Pepino_xl_goe611_wing_only_flap_flaperon
T1-40.0 m/s-LLT-x0.3m
Freestream speed = 40.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -15            0     -0.15306      0.17049      0.16959   0.00090518            0    -0.076738            0    -0.076738   1.8974e-18   7.5789e-19    7.228e-19   3.5086e-20     -0.89774     -0.35122            0      -71.998       80.199      -18.223            0      -69.655            0            0            0            0            0            0       26.721      -104.02           40      -48.084    2.142e-15      -7.2195   8.5562e-16      0.21319            0            0      -18.703       -40817         3208       0.6865     -0.03263            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -14.5            0     -0.14917      0.16534      0.16451   0.00083632            0    -0.074417            0    -0.074417   1.6432e-18   8.2681e-19   8.2445e-19   2.3654e-21      -0.9022     -0.34845            0       -70.17       77.777      -17.188            0      -68.034            0            0            0            0            0            0       26.795      -104.84           40      -47.943   1.8552e-15      -7.0012   9.3344e-16      0.20982            0            0      -18.398       -41141       3111.1      0.70578      -0.0313            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -14            0     -0.14307      0.15944      0.15866   0.00078139            0    -0.073838            0    -0.073838   1.5868e-18   5.4027e-19   5.3081e-19   9.4614e-21      -0.8973     -0.33939            0      -67.298       75.001      -15.924            0      -65.388            0            0            0            0            0            0       26.714      -107.64           40      -48.098   1.7914e-15      -6.9467   6.0994e-16      0.20587            0            0      -17.703       -42239         3000      0.69482    -0.029453            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -13.5            0     -0.13707      0.15312      0.15238   0.00073743            0    -0.073539            0    -0.073539   1.4569e-18   4.8853e-19   4.7434e-19   1.4192e-20      -0.8952     -0.33143            0      -64.477       72.026      -14.715            0      -62.777            0            0            0            0            0            0       26.679      -110.23           40      -48.165   1.6448e-15      -6.9186   5.5153e-16      0.20155            0            0      -16.984       -43255         2881      0.67582    -0.027627            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.13114      0.14681      0.14611   0.00069454            0    -0.072719            0    -0.072719   1.6263e-18   6.9275e-19   6.6633e-19   2.6413e-20     -0.89326     -0.32347            0      -61.687       69.059      -13.558            0       -60.18            0            0            0            0            0            0       26.647      -112.94           40      -48.227    1.836e-15      -6.8414   7.8208e-16      0.19783            0            0      -16.314       -44318       2762.4       0.6568    -0.025943            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.12517      0.14098      0.14035   0.00062848            0    -0.071287            0    -0.071287   1.2423e-18   3.9798e-19   3.8399e-19   1.3995e-20     -0.88788     -0.31413            0      -58.881       66.317      -12.456            0       -57.55            0            0            0            0            0            0       26.558       -116.3           40      -48.399   1.4025e-15      -6.7067   4.4931e-16      0.19466            0            0      -15.682       -45636       2652.7       0.6613    -0.024366            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -12            0     -0.11745       0.1357      0.13515   0.00054793            0    -0.069793            0    -0.069793   1.0164e-18   4.6876e-19   4.6304e-19   5.7163e-21     -0.86552     -0.29662            0      -55.249       63.833      -11.235            0      -54.095            0            0            0            0            0            0       26.177      -123.16           40      -49.123   1.1475e-15      -6.5662   5.2921e-16      0.19122            0            0      -14.879       -48330       2553.3      0.66782    -0.022459            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -11.5            0     -0.10804      0.13102      0.13055   0.00046431            0    -0.068629            0    -0.068629   6.6069e-19   6.2628e-19   6.2116e-19    5.125e-21     -0.82462     -0.27105            0      -50.822        61.63      -9.9182            0      -49.845            0            0            0            0            0            0       25.448      -134.79           40       -50.49   7.4589e-16      -6.4566   7.0705e-16      0.18734            0            0      -13.888       -52890       2465.2      0.66684     -0.02024            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -11            0    -0.096299      0.12539      0.12501   0.00037513            0     -0.06966            0     -0.06966   6.4375e-19     3.79e-19   3.7269e-19   6.3076e-21     -0.76799     -0.23832            0      -45.299       58.983      -8.4702            0        -44.5            0            0            0            0            0            0       24.364      -153.29           40      -52.476   7.2676e-16      -6.5536   4.2788e-16      0.17376            0            0      -12.453       -60152       2359.3      0.65573    -0.016733            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -10.5            0    -0.083378      0.11915      0.11886   0.00029016            0    -0.071941            0    -0.071941   3.8964e-19   4.3518e-19   4.2916e-19    6.012e-21     -0.69975     -0.20206            0      -39.221        56.05      -7.0132            0      -38.589            0            0            0            0            0            0       22.933      -180.81           40      -55.017   4.3988e-16      -6.7682    4.913e-16      0.15729            0            0      -10.788       -70949         2242      0.63552    -0.013115            0            0            0            0            0            0            0            0            0           40        0.325            0  
