Pepino_xl_goe611_wing_only_flaperon
T1-40.0 m/s-LLT-x0.325m
Freestream speed = 40.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -14.5            0     -0.19207       0.1619      0.16053    0.0013674            0    -0.087833            0    -0.087833   3.8625e-18  -1.2145e-19  -1.5811e-19   3.6663e-20      -1.1864     -0.51993            0      -90.348       76.156      -21.999            0      -87.632            0            0            0            0            0            0       30.584      -70.266           40      -40.128   4.3606e-15      -8.2633  -1.3711e-16      0.22339            0            0      -21.792       -27573       3046.2      0.71562    -0.042905            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -14            0     -0.18485      0.15658      0.15537    0.0012063            0    -0.085445            0    -0.085445   3.7439e-18   3.5368e-19   3.1623e-19   3.7452e-20      -1.1806     -0.50758            0      -86.954       73.654      -20.485            0      -84.508            0            0            0            0            0            0       30.522      -71.976           40      -40.266   4.2267e-15      -8.0387   3.9929e-16      0.21935            0            0       -21.15       -28243       2946.2      0.75138    -0.040546            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -13.5            0     -0.17649      0.15108         0.15    0.0010822            0    -0.083729            0    -0.083729    3.518e-18   4.3234e-19   3.9528e-19   3.7057e-20      -1.1682     -0.49078            0      -83.022       71.067      -18.886            0      -80.847            0            0            0            0            0            0       30.387      -74.439           40      -40.564   3.9717e-15      -7.8772   4.8809e-16      0.21547            0            0      -20.328       -29210       2842.7      0.76352    -0.038029            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.16785      0.14555      0.14458   0.00096768            0    -0.082073            0    -0.082073   3.7721e-18    5.068e-19   4.6304e-19   4.3759e-20      -1.1532     -0.47248            0      -78.959       68.468      -17.318            0      -77.037            0            0            0            0            0            0       30.221      -77.323           40       -40.93   4.2586e-15      -7.7214   5.7216e-16      0.21164            0            0      -19.472       -30342       2738.7      0.77233    -0.035525            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.15911      0.14003      0.13918   0.00085941            0    -0.080441            0    -0.080441   3.2921e-18   6.5191e-19   6.2116e-19    3.075e-20      -1.1362     -0.45324            0      -74.847       65.872      -15.805            0      -73.161            0            0            0            0            0            0       30.027      -80.605           40      -41.351   3.7167e-15      -7.5679   7.3598e-16      0.20816            0            0      -18.605       -31630       2634.9      0.78142    -0.033122            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -12            0     -0.15015      0.13453      0.13378   0.00075298            0    -0.078988            0    -0.078988   2.5637e-18   4.8216e-19   4.6304e-19    1.912e-20      -1.1161     -0.43249            0      -70.633       63.285      -14.339            0      -69.163            0            0            0            0            0            0       29.791      -84.472           40      -41.859   2.8943e-15      -7.4312   5.4434e-16      0.20536            0            0      -17.698       -33147       2531.4      0.79426    -0.030836            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -11.5            0     -0.14076      0.12889      0.12825   0.00064075            0    -0.078178            0    -0.078178   2.1741e-18    4.578e-19   4.4046e-19   1.7346e-20      -1.0921     -0.40974            0      -66.213       60.628      -12.905            0      -64.944            0            0            0            0            0            0       29.501      -89.162           40      -42.479   2.4544e-15       -7.355   5.1684e-16      0.20537            0            0      -16.688       -34987       2425.1      0.82023    -0.028908            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -11            0     -0.13041      0.12271      0.12218   0.00053206            0    -0.078885            0    -0.078885   2.0611e-18   9.7191e-20   7.9056e-20   1.8134e-20      -1.0628     -0.38379            0      -61.347       57.724       -11.46            0      -60.267            0            0            0            0            0            0       29.131      -95.191           40      -43.258   2.3269e-15      -7.4215   1.0972e-16      0.20376            0            0      -15.438       -37353         2309      0.84793    -0.026573            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -10.5            0      -0.1178      0.11546      0.11502   0.00044006            0    -0.081753            0    -0.081753   2.1345e-18   2.3997e-19   2.2588e-19   1.4094e-20      -1.0202     -0.35016            0      -55.413       54.315      -9.8947            0      -54.523            0            0            0            0            0            0       28.566      -104.33           40      -44.427   2.4098e-15      -7.6913   2.7092e-16      0.19431            0            0      -13.753       -40941       2172.6      0.83647     -0.02289            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -10            0     -0.10393      0.10879      0.10846   0.00033505            0    -0.084984            0    -0.084984   1.8861e-18   7.9787e-20   6.7763e-20   1.2024e-20     -0.95531     -0.30797            0      -48.888       51.175      -8.3342            0      -48.173            0            0            0            0            0            0       27.631      -118.63           40      -46.309   2.1293e-15      -7.9953   9.0076e-17      0.17354            0            0      -11.986       -46549         2047      0.85514    -0.018036            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -9.5            0    -0.084552      0.10222      0.10199   0.00022891            0    -0.092345            0    -0.092345   2.0893e-18   2.5425e-19   2.4282e-19   1.1433e-20     -0.82714     -0.24051            0      -39.773       48.085      -6.4582            0      -39.245            0            0            0            0            0            0       25.495       -151.9           40      -50.405   2.3588e-15      -8.6878   2.8704e-16      0.11049            0            0      -9.3079       -59605       1923.4       0.8284   -0.0093425            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -9            0     -0.06195     0.095981     0.095809   0.00017168            0     -0.10339            0     -0.10339   2.5439e-18   2.0788e-19   1.9764e-19   1.0239e-20     -0.64544     -0.16065            0      -29.142        45.15       -4.479            0      -28.795            0            0            0            0            0            0       21.692      -227.41           40       -57.16    2.872e-15      -9.7268   2.3469e-16    0.0087668            0            0      -5.8388       -89236         1806      0.59299  -0.00054311            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -8.5            0    -0.038702     0.090635     0.090435   0.00019986            0     -0.11762            0     -0.11762   3.5187e-18   1.8825e-19    1.807e-19   7.5488e-21     -0.42701    -0.084005            0      -18.206       42.635       -2.598            0      -18.019            0            0            0            0            0            0       15.708      -434.89           40      -66.877   3.9725e-15      -11.065   2.1253e-16    -0.089707            0            0      -1.9482  -1.7065e+05       1705.4       0.1988    0.0034719            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -8            0    -0.014243     0.085334     0.085044   0.00029067            0     -0.13125            0     -0.13125   4.1025e-18   5.2522e-20   5.0822e-20   1.7001e-21     -0.16691     -0.01992            0         -6.7       40.141     -0.79707            0      -6.6539            0            0            0            0            0            0       6.5854        -1834           40      -80.524   4.6315e-15      -12.348   5.9295e-17      -1.6768            0            0       2.3903  -7.1966e+05       1605.6     0.018514     0.023884            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -7.5            0      0.01005     0.079229     0.078814   0.00041495            0     -0.14236            0     -0.14236   4.7208e-18    3.821e-19   3.8964e-19  -7.5396e-21      0.12684     0.012716       9.9753       4.7274        37.27      0.81057            0       4.6614            0            0            0            0            0            0       5.0334       2873.1           40       82.771   5.3296e-15      -13.393   4.3137e-16       3.3456            0            0       5.7516   1.1274e+06       1490.8    0.0064562     0.033622            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -7            0     0.041211     0.072779     0.072157    0.0006214            0     -0.15666            0     -0.15666   4.9467e-18   1.6375e-19    1.807e-19  -1.6952e-20      0.56625      0.11495        4.926       19.386       34.235       2.6527            0       19.206            0            0            0            0            0            0        19.71       317.82           40       60.479   5.5846e-15      -14.738   1.8487e-16       0.9363            0            0       10.455   1.2471e+05       1369.4     0.072498     0.038586            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -6.5            0     0.079654     0.066574     0.065607   0.00096763            0     -0.17252            0     -0.17252   5.5283e-18   3.3727e-19   3.8399e-19  -4.6716e-20       1.1965      0.33768       3.5432       37.469       31.317       4.6939            0       37.177            0            0            0            0            0            0       30.692       108.19           40       39.889   6.2412e-15       -16.23   3.8077e-16      0.69626            0            0       16.083        42454       1252.7      0.17393      0.05546            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -6            0      0.12579     0.060723     0.059203    0.0015198            0     -0.18993            0     -0.18993   6.7989e-18   6.1527e-20   1.5811e-19  -9.6586e-20       2.0716      0.73474       2.8195       59.173       28.564       6.8963            0       58.774            0            0            0            0            0            0       36.023       49.723           40       25.768   7.6756e-15      -17.868   6.9462e-17      0.67917            0            0       22.812        19511       1142.6      0.27618     0.085434            0            0            0            0            0            0            0            0            0           40        0.325            0  
