Pepino_xl_goe611_wing_only
T1-40.0 m/s-LLT-x0.325m
Freestream speed = 40.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -17            0     -0.27469      0.19342       0.1906     0.002826            0   -0.0072503            0   -0.0072503   1.9199e-19   5.6861e-19   5.9857e-19  -2.9961e-20      -1.4201     -0.74429            0      -129.21       90.987      -36.507            0      -123.96            0            0            0            0            0            0       32.705      -49.085           40      -35.152   2.1675e-16      -0.6821   6.4194e-16      0.31387            0            0      -37.701       -19261       3639.5      0.70821    -0.086215            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -16.5            0     -0.26867      0.18803      0.18536    0.0026674            0   -0.0095002            0   -0.0095002   6.8892e-19    4.893e-19   5.0822e-19  -1.8923e-20      -1.4289     -0.74063            0      -126.38        88.45      -34.692            0      -121.53            0            0            0            0            0            0       32.771      -49.328           40      -34.987   7.7776e-16     -0.89378    5.524e-16        0.312            0            0      -36.855       -19356         3538      0.71784    -0.083825            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -16            0     -0.26256      0.18254         0.18    0.0025341            0    -0.011651            0    -0.011651    7.228e-19   9.0009e-19   8.9221e-19   7.8845e-21      -1.4384     -0.73704            0      -123.51       85.866      -32.898            0      -119.05            0            0            0            0            0            0       32.843      -49.568           40      -34.808   8.1601e-16      -1.0961   1.0162e-15      0.31014            0            0      -36.004       -19450       3434.6       0.7216    -0.081432            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -15.5            0     -0.25632      0.17696      0.17455    0.0024045            0    -0.013823            0    -0.013823   6.7763e-19    1.008e-18   9.9385e-19   1.4192e-20      -1.4485     -0.73333            0      -120.57        83.24      -31.131            0      -116.49            0            0            0            0            0            0       32.917      -49.819           40      -34.621   7.6501e-16      -1.3005    1.138e-15      0.30823            0            0      -35.132       -19549       3329.6      0.72476    -0.079004            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -15            0     -0.24958      0.17115      0.16888    0.0022678            0    -0.016091            0    -0.016091    1.152e-18   8.1106e-19   7.9056e-19     2.05e-20      -1.4583     -0.72854            0       -117.4       80.508      -29.356            0      -113.68            0            0            0            0            0            0       32.989      -50.146           40       -34.44   1.3005e-15      -1.5139   9.1566e-16      0.30609            0            0      -34.187       -19677       3220.3      0.72862    -0.076395            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -14.5            0     -0.24268       0.1652      0.16306    0.0021368            0    -0.017994            0    -0.017994   6.0986e-19   4.8853e-19   4.7434e-19   1.4192e-20       -1.469     -0.72366            0      -114.16       77.709      -27.609            0      -110.77            0            0            0            0            0            0       33.066      -50.484           40      -34.244   6.8851e-16      -1.6928   5.5153e-16      0.30413            0            0      -33.249       -19810       3108.4      0.73109    -0.073805            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -14            0     -0.23651      0.15938      0.15737      0.00201            0    -0.019758            0    -0.019758            0   5.8544e-19   5.7598e-19   9.4614e-21      -1.4839     -0.72167            0      -111.25       74.972      -25.997            0      -108.18            0            0            0            0            0            0       33.171      -50.624           40      -33.975            0      -1.8588   6.6094e-16      0.30223            0            0      -32.394       -19865       2998.9      0.73817     -0.07148            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -13.5            0     -0.23085      0.15366      0.15178    0.0018844            0    -0.021846            0    -0.021846    9.035e-20   7.1308e-19   7.1151e-19   1.5769e-21      -1.5023     -0.72183            0      -108.59       72.282      -24.489            0       -105.8            0            0            0            0            0            0       33.298      -50.612           40      -33.649     1.02e-16      -2.0553   8.0504e-16          0.3            0            0      -31.556       -19860       2891.3      0.75019    -0.069257            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.22444       0.1479      0.14615    0.0017563            0    -0.024103            0    -0.024103   9.5997e-19   7.7224e-20   6.7763e-20   9.4614e-21      -1.5174     -0.71889            0      -105.57       69.574      -22.944            0      -103.05            0            0            0            0            0            0         33.4       -50.82           40      -33.385   1.0838e-15      -2.2676   8.7183e-17      0.29737            0            0       -30.61       -19942         2783      0.76076    -0.066739            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.21681      0.14205      0.14045    0.0016038            0    -0.027086            0    -0.027086    1.039e-18   5.5537e-19   5.5339e-19   1.9711e-21      -1.5263     -0.71069            0      -101.99       66.822      -21.338            0      -99.735            0            0            0            0            0            0       33.458      -51.406           40      -33.232    1.173e-15      -2.5482   6.2699e-16      0.29364            0            0      -29.462       -20172       2672.9      0.77751    -0.063665            0            0            0            0            0            0            0            0            0           40        0.325            0  
