Pepino_xl_mh32_wing_only
T1-50.0 m/s-LLT-x0.3m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -19            0     -0.65305      0.23387      0.21995     0.013926            0     0.079314            0     0.079314   2.2588e-18   9.1738e-19   7.8492e-19   1.3246e-19      -2.7923      -2.2565            0      -479.99        171.9      -146.59            0      -457.17            0            0            0            0            0            0       47.072       -16.19           50      -19.704   3.9844e-15       11.659   1.6183e-15      0.34677            0            0      -137.08      -6353.1       8594.9      0.81232     -0.22646            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -18.5            0     -0.63627      0.22636      0.21319     0.013174            0      0.07324            0      0.07324   1.3778e-18  -1.9645e-20  -1.0164e-19   8.1999e-20      -2.8108      -2.2421            0      -467.66       166.38      -139.21            0      -446.57            0            0            0            0            0            0       47.108      -16.294           50      -19.584   2.4305e-15       10.766  -3.4653e-17      0.34552            0            0      -133.35      -6393.9       8318.9      0.81516     -0.21985            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -18            0     -0.61792      0.21838      0.20604     0.012341            0     0.065193            0     0.065193   4.5175e-20  -2.3284e-19  -2.2023e-19  -1.2615e-20      -2.8296      -2.2243            0      -454.17       160.51      -131.72            0      -434.75            0            0            0            0            0            0       47.143      -16.425           50      -19.464   7.9689e-17       9.5834  -4.1074e-16      0.34358            0            0      -129.06      -6445.2       8025.5      0.82072     -0.21231            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -17.5            0     -0.59866      0.21029      0.19873     0.011557            0     0.056825            0     0.056825   2.7331e-18    1.285e-19   3.3881e-20   9.4614e-20      -2.8468      -2.2027            0      -440.01       154.56      -124.21            0       -422.2            0            0            0            0            0            0       47.174      -16.586           50      -19.355   4.8212e-15       8.3533   2.2667e-16      0.34135            0            0      -124.53      -6508.4       7728.2       0.8226     -0.20435            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -17            0     -0.56606       0.1989      0.18843     0.010466            0     0.046788            0     0.046788   1.1746e-18   1.0587e-18    9.515e-19   1.0723e-19      -2.8459      -2.1412            0      -416.05       146.19      -114.29            0      -400.12            0            0            0            0            0            0       47.173      -17.062           50       -19.36   2.0719e-15       6.8779   1.8676e-15      0.33838            0            0      -117.31      -6695.2       7309.6       0.8121     -0.19155            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -16.5            0     -0.51793      0.18392      0.17466    0.0092595            0     0.052389            0     0.052389   8.1315e-19   3.9192e-19   3.1623e-19   7.5692e-20      -2.8161      -2.0267            0      -380.68       135.18      -101.59            0      -366.94            0            0            0            0            0            0       47.118      -18.026           50       -19.55   1.4344e-15       7.7012   6.9134e-16      0.34102            0            0      -109.52      -7073.5         6759      0.76847     -0.17663            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -16            0     -0.50229      0.17623      0.16747    0.0087628            0      0.04913            0      0.04913   2.5298e-18   5.6165e-19   4.8281e-19   7.8845e-20      -2.8502        -2.02            0      -369.18       129.53      -95.569            0      -356.66            0            0            0            0            0            0        47.18      -18.086           50      -19.333   4.4626e-15       7.2221   9.9076e-16      0.33934            0            0      -106.45      -7096.9       6476.4      0.76372     -0.17045            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -15.5            0     -0.48853      0.16886      0.16054    0.0083175            0     0.044884            0     0.044884   6.0986e-19   4.9116e-19   5.7316e-19  -8.1999e-20      -2.8932      -2.0222            0      -359.07       124.11      -90.067            0      -347.65            0            0            0            0            0            0       47.257      -18.066           50      -19.067   1.0758e-15       6.5979   8.6641e-16      0.33718            0            0       -103.6      -7089.1       6205.4      0.76114     -0.16472            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -15            0     -0.47487      0.16147       0.1536    0.0078698            0     0.040556            0     0.040556  -7.4539e-19   8.5755e-19   9.4585e-19  -8.8307e-20      -2.9408      -2.0266            0      -349.03       118.68      -84.748            0      -338.63            0            0            0            0            0            0       47.338      -18.027           50       -18.78  -1.3149e-15       5.9617   1.5127e-15      0.33495            0            0      -100.75        -7074       5934.1      0.76006     -0.15906            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -14.5            0     -0.46153      0.15404       0.1466    0.0074415            0     0.036295            0     0.036295   2.8686e-18   5.3483e-19   6.0422e-19  -6.9384e-20      -2.9962      -2.0355            0      -339.23       113.22       -79.64            0      -329.79            0            0            0            0            0            0       47.428      -17.948           50      -18.457   5.0602e-15       5.3354   9.4345e-16      0.33271            0            0      -97.973      -7042.9         5661       0.7593     -0.15356            0            0            0            0            0            0            0            0            0           40        0.325            0  
