Pepino_xl_styr_wing_only
T1-50.0 m/s-LLT-x0.3m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -9.5            0    -0.012787     0.043153     0.043125   2.7697e-05            0     -0.12968            0     -0.12968   3.3881e-20   2.0326e-19   2.0329e-19  -2.4639e-23     -0.29633    -0.033509            0      -9.3987       31.717      -1.5312            0      -9.2732            0            0            0            0            0            0       14.206      -1090.3           50      -73.494   5.9767e-17      -19.062   3.5856e-16       1.0064            0            0      -4.2774  -4.2782e+05       1585.9       0.1566     -0.01287            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -9            0  -0.00084222     0.037379     0.037354   2.4323e-05            0     -0.13022            0     -0.13022   5.4351e-20   7.6556e-20   7.6233e-20   3.2339e-22    -0.022532   -0.0006539            0     -0.61903       27.473    -0.079181            0     -0.61421            0            0            0            0            0            0       1.1263       -55870           50      -88.709   9.5876e-17      -19.143   1.3505e-16       6.8901            0            0      -2.0239  -2.1923e+07       1373.7   0.00077358    -0.005803            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -8.5            0     0.010669     0.031755     0.031728   2.7244e-05            0     -0.13143            0     -0.13143   1.2705e-20   8.2261e-20    8.188e-20   3.8114e-22      0.33598     0.034704       9.6813       7.8419        23.34       1.1789            0       7.7528            0            0            0            0            0            0       15.924       1052.7           50       71.429   2.2412e-17      -19.321   1.4511e-16      0.16816            0            0     -0.33997   4.1308e+05         1167      0.11083    0.0017941            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -8            0     0.023098     0.026289     0.026253   3.6142e-05            0     -0.13301            0     -0.13301   1.1964e-19   1.1902e-19   1.1858e-19   4.3119e-22      0.87862      0.13353       6.5798       16.977       19.323       2.3891            0       16.808            0            0            0            0            0            0       33.002       273.59           50       48.697   2.1105e-16      -19.552   2.0994e-16      0.38452            0            0       2.7042   1.0736e+05       966.13      0.39158    0.0088817            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -7.5            0     0.050035     0.022128     0.022057   7.1236e-05            0     -0.13875            0     -0.13875  -4.2069e-19   4.8762e-20   4.7999e-20   7.6381e-22       2.2612       0.5058       4.4705       36.776       16.264       4.8522            0       36.455            0            0            0            0            0            0       45.728        72.23           50       23.857   -7.421e-16      -20.396   8.6017e-17      0.79887            0            0        9.054        28343        813.2      0.93223     0.039972            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -7            0     0.077473     0.017505     0.017335   0.00016982            0     -0.14463            0     -0.14463  -5.3645e-20   1.0298e-19   1.0306e-19  -7.3918e-23       4.4258       1.2319       3.5927       56.942       12.866       7.0634            0       56.503            0            0            0            0            0            0       48.771       29.656           50       12.732  -9.4631e-17      -21.261   1.8166e-16      0.73872            0            0       15.556        11637       643.29       0.9375     0.057231            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -6.5            0      0.11615     0.015502     0.015119   0.00038271            0     -0.14535            0     -0.14535  -4.4046e-19        1e-19   9.8821e-20   1.1827e-21       7.4925       2.5535       2.9342       85.368       11.394       9.9435            0       84.788            0            0            0            0            0            0       49.561       14.307           50       7.6021  -7.7697e-16      -21.367   1.7641e-16      0.60377            0            0       23.588       5614.2       569.69      0.93502     0.070126            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -6            0      0.15843     0.014604     0.013887   0.00071735            0     -0.14575            0     -0.14575  -3.1623e-19   7.5149e-20   7.6233e-20  -1.0841e-21       10.848        4.318       2.5124       116.44       10.734       12.696            0       115.75            0            0            0            0            0            0       49.789       8.4608           50       5.2666  -5.5782e-16      -21.425   1.3256e-16      0.52283            0            0        32.28         3320       536.69      0.92811      0.08283            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -5.5            0       0.2017     0.014163     0.012992    0.0011711            0      -0.1461            0      -0.1461  -9.0915e-19   9.6493e-20   9.1762e-20   4.7307e-21       14.241       6.3957       2.2266       148.25        10.41       15.066            0       147.48            0            0            0            0            0            0       49.877       5.7122           50       4.0167  -1.6037e-15      -21.477   1.7021e-16      0.47744            0            0       41.151       2241.5        520.5      0.92143     0.096299            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -5            0      0.24559     0.013989     0.012247    0.0017426            0     -0.14636            0     -0.14636  -8.6397e-19   7.8993e-20   7.6233e-20   2.7596e-21       17.555       8.6999       2.0179       180.51       10.282       17.008            0       179.71            0            0            0            0            0            0       49.919       4.1993           50       3.2602   -1.524e-15      -21.516   1.3934e-16      0.44932            0            0       50.127       1647.8        514.1      0.91809      0.11035            0            0            0            0            0            0            0            0            0           40        0.325            0  
