Pepino_xl_goe611_wing_only_tip1
T1-50.0 m/s-LLT-x0.3m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -13.5            0     -0.23641      0.15394      0.15237    0.0015704            0   -0.0065452            0   -0.0065452   -2.294e-19    2.849e-19   2.7475e-19   1.0149e-20      -1.5357      -0.7467            0      -181.37        118.1      -41.168            0      -176.64            0            0            0            0            0            0         41.9       -47.89           50      -33.071  -4.5757e-16     -0.99028   5.6826e-16      0.31604            0            0      -55.717       -18792         5905       0.8396    -0.074716            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.22655      0.14782      0.14636    0.0014559            0   -0.0072509            0   -0.0072509  -3.9479e-19   1.3036e-21            0   1.3036e-21      -1.5326     -0.72946            0       -173.8        113.4      -38.007            0      -169.59            0            0            0            0            0            0       41.874      -49.022           50      -33.124  -7.8744e-16       -1.097   2.6001e-18      0.31469            0            0      -53.761       -19236         5670      0.83162    -0.071291            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.21547      0.14153      0.14019    0.0013311            0   -0.0086967            0   -0.0086967   1.4938e-19    9.569e-20   9.3362e-20   2.3278e-21      -1.5225     -0.70672            0       -165.3       108.57       -34.78            0       -161.6            0            0            0            0            0            0       41.791        -50.6           50      -33.298   2.9795e-16      -1.3158   1.9086e-16      0.31266            0            0       -51.49       -19855       5428.6      0.82283     -0.06737            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -12            0     -0.20182      0.13496      0.13378    0.0011729            0    -0.012896            0    -0.012896   2.6675e-20   3.0632e-19   2.9342e-19   1.2896e-20      -1.4954     -0.67181            0      -154.83       103.53       -31.31            0      -151.63            0            0            0            0            0            0       41.563      -53.229           50      -33.771   5.3206e-17      -1.9511   6.1099e-16      0.30781            0            0      -48.363       -20887       5176.7       0.8192    -0.062122            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -11.5            0      -0.1851      0.12803      0.12705   0.00097859            0    -0.019891            0    -0.019891  -2.7208e-19   1.5259e-19   1.4404e-19   8.5431e-21      -1.4458     -0.62203            0         -142       98.215      -27.575            0       -139.3            0            0            0            0            0            0       41.122      -57.488           50       -34.67   -5.427e-16      -3.0095   3.0435e-16      0.29909            0            0      -44.309       -22558       4910.8      0.82595    -0.055362            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -11            0     -0.16826      0.12114      0.12034   0.00079777            0    -0.027476            0    -0.027476   -1.227e-19   2.2727e-19   2.2674e-19   5.2958e-22      -1.3891     -0.56979            0      -129.09        92.93       -24.03            0      -126.83            0            0            0            0            0            0       40.578      -62.759           50      -35.751  -2.4475e-16      -4.1571    4.533e-16      0.28873            0            0      -40.171       -24627       4646.5      0.83724    -0.048583            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -10.5            0     -0.15359      0.11459      0.11393    0.0006568            0    -0.034443            0    -0.034443  -2.6675e-19  -1.8688e-19  -1.8139e-19  -5.4936e-21      -1.3403     -0.52529            0      -117.83       87.908      -20.977            0      -115.95            0            0            0            0            0            0       40.075      -68.076           50      -36.726  -5.3206e-16      -5.2112  -3.7276e-16      0.27817            0            0      -36.546       -26713       4395.4      0.84729    -0.042724            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -10            0     -0.13779      0.10793       0.1074   0.00053009            0    -0.042045            0    -0.042045   1.7605e-19   4.7491e-20   4.1346e-20   6.1454e-21      -1.2766     -0.47386            0       -105.7       82.801      -17.955            0      -104.17            0            0            0            0            0            0       39.361      -75.464           50      -38.073   3.5116e-16      -6.3613   9.4727e-17      0.26239            0            0      -32.607       -29612       4140.1      0.84489    -0.036154            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0         -9.5            0     -0.11993      0.10131       0.1009   0.00040685            0    -0.049499            0    -0.049499   7.2555e-19   2.0293e-19   1.9739e-19   5.5402e-21      -1.1838     -0.40994            0      -92.001       77.719      -14.877            0      -90.791            0            0            0            0            0            0       38.196      -87.231           50       -40.19   1.4472e-15       -7.489   4.0477e-16      0.23828            0            0       -28.44       -34229       3885.9      0.83392    -0.028576            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0           -9            0     -0.10314     0.094763      0.09446   0.00030343            0    -0.056377            0    -0.056377   1.6805e-19    1.695e-21   -5.335e-21     7.03e-21      -1.0884     -0.34955            0      -79.125       72.698      -12.148            0      -78.188            0            0            0            0            0            0       36.819       -102.3           50      -42.576    3.352e-16      -8.5297   3.3809e-18      0.21259            0            0      -24.522       -40143       3634.9      0.82707    -0.021927            0            0            0            0            0            0            0            0            0           40        0.325            0  
