Pepino_xl_goe611_wing_only_tip2
T1-50.0 m/s-LLT-x0.3m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -15            0     -0.26517       0.1737       0.1719    0.0018041            0    0.0093313    0.0013935    0.0079378  -4.0024e-18  -3.0133e-18  -2.7744e-18  -2.3889e-19      -1.5266     -0.78611            0      -208.83        136.8      -52.677            0      -202.08            0            0            0            0            0            0       41.825      -44.897           50      -33.227  -8.5103e-15       1.4328  -6.4073e-15      0.33225            0            0       -65.28       -17618       6839.8      0.87524    -0.088104            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -14.5            0     -0.25555      0.16748       0.1658    0.0016831            0    0.0080949      0.00135    0.0067449  -4.8142e-18  -2.9972e-18  -2.7282e-18  -2.6902e-19      -1.5258     -0.77133            0      -201.25        131.9      -49.106            0      -195.17            0            0            0            0            0            0       41.819      -45.757           50       -33.24  -1.0236e-14       1.2429   -6.373e-15      0.33071            0            0      -63.243       -17955       6594.8       0.8713    -0.084513            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -14            0     -0.24648      0.16132      0.15974    0.0015795            0    0.0071523    0.0013066    0.0058456  -5.2201e-18  -3.3521e-18  -3.0673e-18   -2.848e-19      -1.5279     -0.75856            0      -194.11       127.04      -45.752            0      -188.64            0            0            0            0            0            0       41.836      -46.528           50      -33.204  -1.1099e-14       1.0982  -7.1276e-15      0.32949            0            0      -61.349       -18258       6352.1      0.86375    -0.081213            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -13.5            0     -0.23802      0.15526      0.15378    0.0014865            0    0.0065333    0.0012633      0.00527  -5.2868e-18  -2.8744e-18  -2.5946e-18  -2.7978e-19       -1.533     -0.74792            0      -187.45       122.27       -42.62            0      -182.54            0            0            0            0            0            0       41.878       -47.19           50      -33.117  -1.1241e-14       1.0032  -6.1118e-15      0.32864            0            0      -59.596       -18517       6113.6      0.85588    -0.078222            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -13            0     -0.22939      0.14923      0.14784    0.0013904            0    0.0058721    0.0012189    0.0046532  -4.2336e-18  -3.0042e-18  -2.8001e-18  -2.0409e-19      -1.5371      -0.7362            0      -180.65       117.53       -39.57            0      -176.27            0            0            0            0            0            0       41.911      -47.941           50      -33.047  -9.0019e-15      0.90165  -6.3879e-15      0.32804            0            0      -57.837       -18812       5876.3      0.84985    -0.075249            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -12.5            0     -0.21945      0.14302      0.14173    0.0012855            0     0.004406    0.0011699    0.0032361  -4.1976e-18   -2.475e-18  -2.3018e-18  -1.7325e-19      -1.5344     -0.71878            0      -172.82       112.63      -36.417            0      -168.94            0            0            0            0            0            0       41.889      -49.103           50      -33.093  -8.9254e-15      0.67652  -5.2626e-15      0.32655            0            0      -55.682       -19268       5631.6      0.84126     -0.07166            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -12            0     -0.20681      0.13654      0.13539    0.0011444            0   0.00015984     0.001119  -0.00095918  -4.2079e-18  -2.8941e-18  -2.7462e-18  -1.4796e-19      -1.5147     -0.68882            0      -162.87       107.53      -32.981            0       -159.5            0            0            0            0            0            0       41.726      -51.239           50      -33.433  -8.9473e-15     0.024543  -6.1538e-15       0.3226            0            0      -52.645       -20106       5376.3      0.83932    -0.066718            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -11.5            0      -0.1907      0.12966      0.12869   0.00097244            0   -0.0067528    0.0010667   -0.0078195  -3.1495e-18  -2.2313e-18  -2.1271e-18   -1.042e-19      -1.4708     -0.64229            0      -150.18       102.11      -29.191            0      -147.32            0            0            0            0            0            0       41.348       -54.95           50      -34.212  -6.6968e-15      -1.0369  -4.7444e-15      0.31568            0            0      -48.657       -21562       5105.5      0.83983      -0.0602            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0          -11            0     -0.17255      0.12255      0.12175   0.00079982            0    -0.016108    0.0010097    -0.017117  -3.5143e-18  -2.4562e-18  -2.3608e-18  -9.5322e-20       -1.408     -0.58489            0      -135.89       96.509      -25.311            0      -133.51            0            0            0            0            0            0       40.765      -60.343           50      -35.383  -7.4725e-15      -2.4733  -5.2226e-15      0.30446            0            0      -43.874       -23679       4825.5      0.83597    -0.052535            0            0            0            0            0            0            0            0            0           40        0.325            0  
          0        -10.5            0     -0.15617      0.11575       0.1151   0.00064644            0    -0.025075   0.00095418    -0.026029  -2.8053e-18  -2.3543e-18  -2.2812e-18  -7.3083e-20      -1.3492     -0.53318            0      -122.98       91.153      -21.911            0      -121.02            0            0            0            0            0            0        40.17      -66.196           50      -36.545  -5.9649e-15      -3.8502  -5.0059e-15      0.29171            0            0      -39.455       -25975       4557.6       0.8472    -0.045555            0            0            0            0            0            0            0            0            0           40        0.325            0  
