Cola
T1-50.0 m/s-LLT-x0.117m-z0.2m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -10.5            0     -0.78213     0.060401     0.019336     0.041064            0    -0.027144   -0.0050168    -0.022127   4.1392e-18   2.8139e-19   2.6825e-19   1.3135e-20      -12.949      -11.452            0      -360.25       27.821      -47.052            0      -357.66            0            0            0            0            0            0       49.852      -4.0299           50       -4.416   2.2878e-15      -3.2631   1.5553e-16      0.11914            0            0      -45.782      -1581.4         1391       0.9905     -0.09318            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0          -10            0     -0.75042     0.054498     0.016631     0.037866            0    -0.024357   -0.0047802    -0.019576   3.9981e-18   1.7539e-19   2.4106e-19  -6.5675e-20       -13.77      -11.928            0      -345.64       25.102      -42.844            0      -343.42            0            0            0            0            0            0       49.869       -3.869           50      -4.1537   2.2098e-15       -2.928   9.6939e-17      0.11956            0            0      -44.013      -1518.2       1255.1      0.98881    -0.089717            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0         -9.5            0     -0.71699     0.049246     0.014683     0.034563            0    -0.021595   -0.0044009    -0.017194   4.9858e-18   2.1677e-19   6.6144e-21   2.1016e-19      -14.559      -12.328            0      -330.24       22.683      -38.805            0      -328.34            0            0            0            0            0            0       49.882      -3.7435           50      -3.9292   2.7558e-15       -2.596   1.1982e-16      0.11997            0            0      -42.075        -1469       1134.1      0.98896    -0.086016            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0           -9            0     -0.68227     0.044621     0.013322     0.031299            0    -0.019108    -0.004008      -0.0151   2.7281e-18   4.0563e-20   6.0265e-20  -1.9702e-20       -15.29       -12.63            0      -314.25       20.553      -34.921            0      -312.64            0            0            0            0            0            0       49.893      -3.6541           50      -3.7419   1.5079e-15      -2.2971    2.242e-17      0.12033            0            0      -40.039      -1433.9       1027.6      0.98889    -0.082097            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0         -8.5            0      -0.6472     0.040305     0.012139     0.028166            0    -0.016772   -0.0036613    -0.013111   3.8099e-18  -7.2858e-21   1.0436e-19  -1.1165e-19      -16.057      -12.918            0       -298.1       18.565      -31.231            0      -296.74            0            0            0            0            0            0       49.903      -3.5725           50      -3.5636   2.1058e-15      -2.0163   -4.027e-18      0.12069            0            0      -37.982      -1401.9       928.23       0.9888    -0.078107            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0           -8            0     -0.61168      0.03634     0.011172     0.025168            0    -0.014629   -0.0034278    -0.011201   6.6556e-18   1.9343e-19   2.1313e-19  -1.9702e-20      -16.832      -13.164            0      -281.74       16.738      -27.731            0      -280.61            0            0            0            0            0            0       49.912      -3.5057           50         -3.4   3.6787e-15      -1.7585   1.0691e-16      0.12106            0            0      -35.906      -1375.6       836.92      0.98846     -0.07405            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0         -7.5            0     -0.57568     0.032765     0.010465       0.0223            0    -0.012656   -0.0032357   -0.0094199   2.0226e-18   1.1348e-19   1.0363e-19   9.8512e-21       -17.57      -13.331            0      -265.16       15.091      -24.426            0      -264.23            0            0            0            0            0            0       49.919      -3.4619           50      -3.2575   1.1179e-15      -1.5214   6.2721e-17      0.12144            0            0      -33.798      -1358.4       754.57      0.98815     -0.06991            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0           -7            0     -0.53969     0.029394    0.0097894     0.019605            0    -0.010742   -0.0030572   -0.0076844   1.3405e-18  -1.5609e-22   2.9398e-20  -2.9554e-20      -18.361      -13.488            0      -248.58       13.539      -21.332            0      -247.83            0            0            0            0            0            0       49.926      -3.4215           50      -3.1175   7.4094e-16      -1.2913  -8.6274e-20      0.12185            0            0       -31.69      -1342.6       676.95      0.98786    -0.065761            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0         -6.5            0     -0.50369     0.026308    0.0092258     0.017082            0   -0.0088834   -0.0029058   -0.0059776   1.5522e-18   5.0493e-20   1.2273e-19  -7.2242e-20      -19.146      -13.588            0         -232       12.117      -18.446            0       -231.4            0            0            0            0            0            0       49.932      -3.3964           50      -2.9899   8.5793e-16      -1.0679   2.7908e-17      0.12235            0            0      -29.579      -1332.7       605.87      0.98754    -0.061625            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
          0           -6            0     -0.46768      0.02344    0.0087072     0.014733            0   -0.0070783    -0.002758   -0.0043203   2.7281e-18   3.7029e-20   7.6434e-20  -3.9405e-20      -19.952      -13.645            0      -215.41       10.796      -15.768            0      -214.94            0            0            0            0            0            0       49.937      -3.3823           50      -2.8692   1.5079e-15     -0.85091   2.0467e-17      0.12289            0            0      -27.467      -1327.2       539.82      0.98714    -0.057471            0            0            0            0            0            0            0            0            0           40        0.117        0.199  
