Cola
T1-50.0 m/s-VLM2-x0.1m-z0.2m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0     -0.46765      0.15229     0.097061     0.055226   -1.108e-16     0.053632      0.01169     0.041942   1.2952e-17  -2.6577e-17  -1.2403e-17  -1.4174e-17      -3.0708         -2.1            0      -178.73       58.204      -41.296  -4.2348e-14      -175.17      -63.757  -1.2073e-13      -175.17            0            0            0       47.543      -24.125           50      -18.038   5.9403e-15       5.1018  -1.2189e-14      0.13821  -5.3119e-17      0.18778      -15.232      -9466.8       2910.2      0.21849    -0.064631            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -19.5            0     -0.45735      0.14026     0.087489      0.05277  -1.4729e-16     0.052457     0.011748     0.040709   3.0915e-17     6.51e-18  -1.2183e-17   1.8693e-17      -3.2607      -2.2052            0       -174.8       53.607      -39.337  -5.6294e-14       -171.5      -60.731  -5.0843e-16       -171.5            0            0            0       47.803      -22.975           50       -17.05   1.4179e-14         4.99   2.9857e-15      0.13792  -4.6806e-17       0.1874      -14.913      -9015.3       2680.3      0.21869    -0.063079            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -19            0     -0.44695      0.12622     0.075872     0.050351  -1.1427e-16     0.049803     0.010322      0.03948     7.26e-17  -3.9461e-17  -7.1208e-18  -3.2341e-17       -3.541      -2.3673            0      -170.82       48.242      -37.419  -4.3675e-14      -167.78      -57.771  -9.3001e-14      -167.78            0            0            0       48.118      -21.401           50       -15.77   3.3297e-14       4.7375  -1.8099e-14      0.13765  -3.0541e-16      0.18702       -14.59      -8397.9       2412.1       0.2189    -0.061522            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -18.5            0     -0.43645      0.11343     0.065465     0.047969  -1.0167e-16     0.047282    0.0090239     0.038258   2.1662e-17  -4.2354e-17  -3.2411e-17  -9.9431e-18      -3.8476      -2.5419            0      -166.81       43.355      -35.544   -3.886e-14      -164.01      -54.875   -1.831e-13         -164            0            0            0       48.392      -19.931           50      -14.569   9.9352e-15       4.4977  -1.9425e-14      0.13738  -5.5578e-17      0.18666      -14.262        -7821       2167.7       0.2191    -0.059961            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -18            0     -0.42586      0.09753     0.051903     0.045627  -7.5178e-17     0.044601    0.0075607     0.037041   3.1786e-17   1.0007e-17  -8.6522e-18   1.8659e-17      -4.3664      -2.8494            0      -162.76       37.276      -33.711  -2.8733e-14      -160.18      -52.046  -1.3713e-13      -160.18            0            0            0       48.738       -17.78           50      -12.899   1.4578e-14       4.2427   4.5895e-15      0.13712  -1.3961e-17      0.18631      -13.929      -6976.9       1863.8       0.2193    -0.058395            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -17.5            0     -0.41517     0.090266     0.046939     0.043326  -1.0037e-16     0.042358     0.006528      0.03583  -3.9625e-17  -2.3079e-17  -8.1304e-18  -1.4949e-17      -4.5994      -2.9636            0      -158.68       34.499      -31.922   -3.836e-14      -156.31      -49.284  -1.1578e-13      -156.31            0            0            0       48.859      -17.095           50      -12.266  -1.8174e-14       4.0293  -1.0585e-14      0.13687  -5.5419e-17      0.18596      -13.592      -6708.2         1725       0.2195    -0.056824            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -17            0     -0.40439     0.086215     0.045146     0.041069  -1.1123e-16     0.040751    0.0061257     0.034625   5.6446e-18  -9.2701e-18   -9.584e-18    3.139e-19      -4.6904      -2.9827            0      -154.56       32.951      -30.177  -4.2512e-14      -152.39       -46.59   -8.965e-14      -152.39            0            0            0       48.901      -16.985           50      -12.035   2.5889e-15       3.8765  -4.2516e-15      0.13662   6.0186e-17      0.18563      -13.251      -6665.1       1647.6      0.21969    -0.055249            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -16.5            0     -0.39352     0.082364     0.043507     0.038857  -4.9979e-17     0.039269    0.0058415     0.033428   5.4829e-17   3.8531e-18  -8.8218e-18   1.2675e-17      -4.7778      -2.9971            0       -150.4       31.479      -28.477  -1.9102e-14      -148.43      -43.965  -8.2905e-15      -148.42            0            0            0        48.94      -16.904           50      -11.821   2.5147e-14       3.7355   1.7672e-15      0.13639  -1.8203e-16      0.18531      -12.907        -6633         1574      0.21988     -0.05367            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -16            0     -0.38256     0.078689     0.041998     0.036691  -1.0471e-16     0.037842    0.0056041     0.032238  -1.0115e-16  -4.3539e-17  -6.9511e-18  -3.6588e-17      -4.8616       -3.007            0      -146.21       30.075      -26.822   -4.002e-14      -144.41      -41.409   -1.555e-13      -144.41            0            0            0       48.975      -16.848           50      -11.623  -4.6392e-14       3.5997  -1.9969e-14      0.13615  -2.5867e-17      0.18499      -12.558      -6611.3       1503.7      0.22007    -0.052087            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -15.5            0     -0.37151      0.07508     0.040506     0.034574  -1.6161e-16     0.036411    0.0053564     0.031055  -4.2193e-17    -2.35e-17  -8.1276e-18  -1.5373e-17      -4.9482       -3.016            0      -141.99       28.696      -25.212  -6.1766e-14      -140.36      -38.924  -6.2713e-14      -140.36            0            0            0       49.009      -16.798           50      -11.425  -1.9352e-14       3.4636  -1.0778e-14      0.13593  -5.5063e-17      0.18469      -12.205      -6591.5       1434.8      0.22025      -0.0505            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
