Cola_naca0014
T1-50.0 m/s-VLM2-x0.1m-z0.2m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0     -0.46765     0.065164    0.0099384     0.055226   -1.108e-16     0.041393  -0.00054839     0.041942   1.2952e-17  -1.3552e-17   6.2215e-19  -1.4174e-17      -7.1764      -4.9076            0      -178.73       24.906      -41.296  -4.2348e-14      -175.17      -63.757  -1.2073e-13      -175.17            0            0            0       49.522      -10.323           50      -7.9328   5.9403e-15       3.9376  -6.2153e-15      0.13821  -5.3119e-17      0.18778      -15.232      -4050.9       1245.3      0.21849    -0.064631            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -19.5            0     -0.45735     0.062577    0.0098066      0.05277  -1.4729e-16     0.040151  -0.00055717     0.040709   3.0915e-17   1.8936e-17   2.4321e-19   1.8693e-17      -7.3086      -4.9426            0       -174.8       23.917      -39.337  -5.6294e-14       -171.5      -60.731  -5.0843e-16       -171.5            0            0            0       49.538       -10.25           50      -7.7912   1.4179e-14       3.8194   8.6848e-15      0.13792  -4.6806e-17       0.1874      -14.913      -4022.2       1195.8      0.21869    -0.063079            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -19            0     -0.44695     0.060026     0.009675     0.050351  -1.1427e-16     0.038915  -0.00056543      0.03948     7.26e-17  -3.2035e-17   3.0542e-19  -3.2341e-17      -7.4459      -4.9779            0      -170.82       22.942      -37.419  -4.3675e-14      -167.78      -57.771  -9.3001e-14      -167.78            0            0            0       49.555      -10.178           50      -7.6491   3.3297e-14       3.7018  -1.4693e-14      0.13765  -3.0541e-16      0.18702       -14.59      -3993.7       1147.1       0.2189    -0.061522            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -18.5            0     -0.43645     0.057514    0.0095447     0.047969  -1.0167e-16     0.037684  -0.00057326     0.038258   2.1662e-17  -9.9262e-18   1.6968e-20  -9.9431e-18      -7.5886      -5.0134            0      -166.81       21.982      -35.544   -3.886e-14      -164.01      -54.875   -1.831e-13         -164            0            0            0       49.571      -10.106           50       -7.507   9.9352e-15       3.5847  -4.5525e-15      0.13738  -5.5578e-17      0.18666      -14.262      -3965.4       1099.1       0.2191    -0.059961            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -18            0     -0.42586     0.055041    0.0094141     0.045627  -7.5178e-17      0.03646    -0.000581     0.037041   3.1786e-17   1.8913e-17   2.5452e-19   1.8659e-17      -7.7371       -5.049            0      -162.76       21.037      -33.711  -2.8733e-14      -160.18      -52.046  -1.3713e-13      -160.18            0            0            0       49.588      -10.034           50      -7.3645   1.4578e-14       3.4682   8.6745e-15      0.13712  -1.3961e-17      0.18631      -13.929      -3937.4       1051.8       0.2193    -0.058395            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -17.5            0     -0.41517      0.05261    0.0092834     0.043326  -1.0037e-16     0.035241  -0.00058833      0.03583  -3.9625e-17  -1.4841e-17   1.0746e-19  -1.4949e-17      -7.8914      -5.0847            0      -158.68       20.107      -31.922   -3.836e-14      -156.31      -49.284  -1.1578e-13      -156.31            0            0            0       49.603      -9.9637           50       -7.222  -1.8174e-14       3.3524  -6.8068e-15      0.13687  -5.5419e-17      0.18596      -13.592      -3909.8       1005.4       0.2195    -0.056824            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -17            0     -0.40439     0.050223    0.0091536     0.041069  -1.1123e-16      0.03403   -0.0005952     0.034625   5.6446e-18   4.6096e-19   1.4705e-19    3.139e-19      -8.0519      -5.1203            0      -154.56       19.195      -30.177  -4.2512e-14      -152.39       -46.59   -8.965e-14      -152.39            0            0            0       49.619      -9.8945           50      -7.0796   2.5889e-15       3.2371   2.1141e-16      0.13662   6.0186e-17      0.18563      -13.251      -3882.6       959.76      0.21969    -0.055249            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -16.5            0     -0.39352     0.047882     0.009025     0.038857  -4.9979e-17     0.032827  -0.00060118     0.033428   5.4829e-17   1.2918e-17   2.4321e-19   1.2675e-17      -8.2185      -5.1555            0       -150.4         18.3      -28.477  -1.9102e-14      -148.43      -43.965  -8.2905e-15      -148.42            0            0            0       49.634      -9.8269           50      -6.9375   2.5147e-14       3.1227   5.9248e-15      0.13639  -1.8203e-16      0.18531      -12.907      -3856.1       915.02      0.21988     -0.05367            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0          -16            0     -0.38256     0.045588    0.0088964     0.036691  -1.0471e-16      0.03163  -0.00060722     0.032238  -1.0115e-16  -3.6492e-17   9.6151e-20  -3.6588e-17      -8.3917      -5.1903            0      -146.21       17.424      -26.822   -4.002e-14      -144.41      -41.409   -1.555e-13      -144.41            0            0            0       49.649       -9.761           50      -6.7957  -4.6392e-14       3.0089  -1.6737e-14      0.13615  -2.5867e-17      0.18499      -12.558      -3830.2       871.18      0.22007    -0.052087            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
          0        -15.5            0     -0.37151     0.043342    0.0087676     0.034574  -1.6161e-16     0.030442  -0.00061331     0.031055  -4.2193e-17  -1.5158e-17   2.1493e-19  -1.5373e-17      -8.5717      -5.2246            0      -141.99       16.565      -25.212  -6.1766e-14      -140.36      -38.924  -6.2713e-14      -140.36            0            0            0       49.663       -9.697           50      -6.6542  -1.9352e-14       2.8958   -6.952e-15      0.13593  -5.5063e-17      0.18469      -12.205      -3805.1       828.26      0.22025      -0.0505            0            0            0            0            0            0            0            0            0           40        0.117          0.2  
