Cola_nueva
T1-50.0 m/s-VLM1-x0.11m-z0.13m
Freestream speed = 50.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0     -0.33795     0.062443      0.01687     0.045572  -1.5529e-18   -0.0025575    0.0041465    -0.006704  -8.6626e-17   1.6313e-17  -9.6384e-19   1.7277e-17      -5.4122      -3.1463            0      -130.41       24.095      -28.077  -5.9922e-16      -128.56       -48.01   1.1528e-14      -131.91            0            0            0       49.168      -16.026           50      -10.468  -3.3427e-14     -0.30703   6.2948e-15      0.11799  -1.0312e-16      0.15683      -9.2826      -6288.4       1204.8      0.20103    -0.039874            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -19.5            0     -0.33082     0.060051     0.016428     0.043623  -2.4591e-17   -0.0023845    0.0040127   -0.0063972   3.6839e-17  -4.5007e-18  -8.9409e-19  -3.6066e-18       -5.509      -3.1686            0      -127.66       23.172      -26.745   -9.489e-15      -125.95      -45.732  -5.3458e-14      -129.14            0            0            0       49.196      -15.913           50      -10.288   1.4215e-14     -0.28626  -1.7367e-15      0.11764   1.4716e-16      0.15636      -9.0881      -6244.1       1158.6      0.20124    -0.038916            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -19            0      -0.3236     0.055974     0.014278     0.041696   2.5189e-17   -0.0030897    0.0030069   -0.0060966   1.9536e-17   1.4397e-17  -9.5039e-19   1.5347e-17      -5.7813      -3.2888            0      -124.87       21.599      -25.441   9.7199e-15       -123.3      -43.502    2.732e-14      -126.34            0            0            0       49.268      -15.331           50      -9.8134   7.5383e-15     -0.37092   5.5555e-15      0.11729  -2.9183e-16       0.1559      -8.8908        -6016       1079.9      0.20146    -0.037956            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -18.5            0      -0.3163     0.053684     0.013891     0.039792  -2.5613e-18   -0.0029111    0.0028913   -0.0058024  -3.7202e-17   2.8681e-17  -6.2183e-19   2.9303e-17      -5.8918      -3.3136            0      -122.05       20.715      -24.166  -9.8833e-16      -120.62      -41.322  -7.1388e-15       -123.5            0            0            0       49.295      -15.216           50      -9.6328  -1.4355e-14     -0.34948   1.1067e-14      0.11696   1.1834e-16      0.15546      -8.6909      -5970.9       1035.8      0.20167    -0.036992            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -18            0      -0.3089     0.051424     0.013509     0.037915   1.1791e-17   -0.0027347    0.0027798   -0.0055146   3.3263e-17  -4.7377e-18  -7.8485e-19  -3.9528e-18       -6.007      -3.3386            0       -119.2       19.843       -22.92   4.5499e-15      -117.89      -39.192  -4.4296e-14      -120.62            0            0            0       49.321      -15.102           50      -9.4515   1.2835e-14      -0.3283  -1.8281e-15      0.11663   1.7303e-16      0.15502      -8.4883      -5926.1       992.16      0.20188    -0.036026            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -17.5            0     -0.30143     0.049185      0.01312     0.036065  -1.5307e-17   -0.0025669    0.0026663   -0.0052332  -5.0553e-18   5.7578e-18   -8.067e-19   6.5645e-18      -6.1285      -3.3647            0      -116.31       18.979      -21.704  -5.9066e-15      -115.11      -37.112   9.7536e-14       -117.7            0            0            0       49.347      -14.985           50      -9.2674  -1.9507e-15     -0.30816   2.2218e-15       0.1163   6.3628e-17      0.15459      -8.2831      -5880.2       948.95      0.20208    -0.035057            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -17            0     -0.29387     0.046967     0.012723     0.034244  -1.3109e-17    -0.002408    0.0025505   -0.0049584  -8.2014e-18  -3.5814e-18  -5.6301e-19  -3.0184e-18      -6.2568      -3.3918            0       -113.4       18.124      -20.517  -5.0584e-15       -112.3      -35.083   4.6828e-14      -114.75            0            0            0       49.373      -14.866           50      -9.0805  -3.1647e-15     -0.28907   -1.382e-15      0.11599  -8.8804e-17      0.15417      -8.0754      -5833.2       906.18      0.20229    -0.034086            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -16.5            0     -0.28623     0.044772     0.012318     0.032454    1.567e-17   -0.0022584     0.002432   -0.0046903   1.4574e-17   5.0385e-18  -7.7141e-19   5.8099e-18      -6.3929      -3.4202            0      -110.45       17.276      -19.361   6.0467e-15      -109.46      -33.106   6.3502e-15      -111.77            0            0            0       49.399      -14.742           50      -8.8903   5.6239e-15     -0.27112   1.9442e-15      0.11568   1.1931e-17      0.15377      -7.8652      -5784.8       863.82      0.20249    -0.033111            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -16            0      -0.2785     0.042597       0.0119     0.030697   2.2319e-17   -0.0021186    0.0023104    -0.004429   9.4115e-19    6.388e-18  -4.1511e-19   6.8032e-18      -6.5382      -3.4504            0      -107.47       16.437      -18.236   8.6122e-15      -106.57      -31.182   1.2358e-14      -108.74            0            0            0       49.425      -14.613           50      -8.6959   3.6317e-16     -0.25434    2.465e-15      0.11538  -7.7096e-17      0.15337      -7.6526      -5734.2       821.85      0.20268    -0.032135            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -15.5            0      -0.2707      0.04045     0.011476     0.028974   1.4117e-18   -0.0019877    0.0021867   -0.0041744   1.7398e-17    1.681e-17  -7.3779e-19   1.7547e-17      -6.6923      -3.4819            0      -104.46       15.609      -17.141   5.4475e-16      -103.65      -29.311  -4.2791e-14      -105.69            0            0            0       49.451      -14.481           50      -8.4986   6.7134e-15     -0.23862   6.4864e-15      0.11509   5.3864e-17      0.15298      -7.4377      -5682.3       780.43      0.20288    -0.031156            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -15            0     -0.26282     0.036998     0.009711     0.027287  -1.9549e-17   -0.0025076    0.0014192   -0.0039268   1.0487e-18   2.0175e-17  -4.7478e-19    2.065e-17      -7.1038      -3.6419            0      -101.42       14.276      -16.078  -7.5435e-15      -100.69      -27.493  -1.4397e-14      -102.61            0            0            0       49.512      -13.845           50      -8.0128   4.0467e-16     -0.30104    7.785e-15      0.11481  -2.2329e-17       0.1526      -7.2206      -5432.7       713.82      0.20306    -0.030174            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -14.5            0     -0.25487     0.035003    0.0093657     0.025637   2.3495e-17   -0.0023649    0.0013212   -0.0036861  -4.1276e-17    1.147e-17  -6.3696e-19   1.2107e-17      -7.2815       -3.676            0      -98.349       13.507      -15.047   9.0662e-15      -97.693      -25.729   6.5074e-14      -99.488            0            0            0       49.535      -13.716           50      -7.8198  -1.5927e-14     -0.28391   4.4261e-15      0.11453   1.5404e-16      0.15223      -7.0012      -5382.2       675.33      0.20325     -0.02919            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -14            0     -0.24684     0.032984    0.0089571     0.024026  -1.3983e-18   -0.0022392    0.0012133   -0.0034525  -3.2349e-17   -5.141e-18  -7.7309e-19  -4.3679e-18      -7.4839      -3.7182            0      -95.251       12.728      -14.047  -5.3956e-16      -94.665       -24.02  -3.0454e-15       -96.34            0            0            0        49.56       -13.56           50      -7.6108  -1.2483e-14     -0.26881  -1.9838e-15      0.11426   -6.901e-17      0.15187      -6.7797      -5321.1       636.38      0.20343    -0.028204            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -13.5            0     -0.23874     0.029978    0.0075215     0.022456  -1.2453e-17   -0.0025703   0.00065565    -0.003226   2.9579e-17   4.1965e-18  -5.2771e-19   4.7242e-18       -7.964      -3.8913            0      -92.126       11.568       -13.08  -4.8055e-15      -91.603      -22.367   -7.255e-14      -93.163            0            0            0        49.61      -12.957           50      -7.1569   1.1414e-14     -0.30857   1.6193e-15        0.114   3.2663e-18      0.15152      -6.5561      -5084.4       578.39       0.2036    -0.027216            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -13            0     -0.23057      0.02807    0.0071418     0.020929   4.1555e-17   -0.0024441   0.00056264   -0.0030067   1.1159e-18  -1.6285e-18  -6.3948e-19  -9.8905e-19      -8.2142      -3.9443            0      -88.973       10.832      -12.146   1.6035e-14      -88.509      -20.768   2.2205e-14      -89.958            0            0            0       49.634      -12.783           50      -6.9411   4.3061e-16     -0.29341  -6.2841e-16      0.11374   7.5862e-17      0.15118      -6.3306      -5016.1       541.58      0.20377    -0.026226            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -12.5            0     -0.22234     0.025574    0.0061297     0.019444   9.1896e-18    -0.002581   0.00021368   -0.0027946   8.2149e-18   2.3277e-19   9.2434e-21   2.2352e-19      -8.6939      -4.0994            0      -85.794       9.8683      -11.244   3.5461e-15      -85.384      -19.227  -2.1281e-14      -86.726            0            0            0       49.672        -12.3           50      -6.5615   3.1699e-15     -0.30984   8.9819e-17      0.11349  -1.3092e-17      0.15085      -6.1031      -4826.4       493.42      0.20393    -0.025233            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -12            0     -0.21403     0.023783     0.005778     0.018005  -3.2238e-17   -0.0024552   0.00013466   -0.0025899  -6.7292e-18   1.7554e-18  -1.8487e-20   1.7739e-18      -8.9994      -4.1634            0      -82.589       9.1772      -10.375   -1.244e-14      -82.229      -17.741   2.3818e-14      -83.467            0            0            0       49.694       -12.11           50      -6.3406  -2.5966e-15     -0.29475   6.7737e-16      0.11325   6.0525e-17      0.15053      -5.8737      -4752.1       458.86      0.20409    -0.024239            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -11.5            0     -0.20566     0.021831     0.005219     0.016612  -1.5879e-17   -0.0024137  -2.1117e-05   -0.0023926   5.6738e-18  -3.2049e-18  -7.7309e-20  -3.1276e-18      -9.4206      -4.2722            0      -79.359        8.424      -9.5402  -6.1271e-15      -79.044      -16.313   2.1738e-14      -80.182            0            0            0       49.721      -11.802           50      -6.0593   2.1894e-15     -0.28976  -1.2367e-15      0.11302  -2.9353e-17      0.15022      -5.6426      -4631.1        421.2      0.20424    -0.023243            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -11            0     -0.19723     0.020381    0.0051147     0.015267  -1.1623e-17   -0.0022557  -5.3089e-05   -0.0022027   1.5247e-17   2.7839e-18  -5.0419e-20   2.8344e-18      -9.6768      -4.2975            0      -76.105       7.8647      -8.7387  -4.4851e-15      -75.831      -14.943  -1.1051e-14      -76.873            0            0            0       49.735      -11.733           50         -5.9   5.8833e-15      -0.2708   1.0743e-15      0.11279   5.2968e-17      0.14992      -5.4097      -4603.9       393.23      0.20438    -0.022245            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0        -10.5            0     -0.18873      0.01877    0.0047994     0.013971  -6.4536e-19   -0.0021382  -0.00011796   -0.0020202   3.6234e-17   -1.323e-17   2.1008e-20  -1.3251e-17      -10.055      -4.3682            0      -72.827       7.2428       -7.971  -2.4903e-16       -72.59       -13.63    1.144e-14      -73.541            0            0            0       49.755      -11.543           50      -5.6796   1.3982e-14     -0.25669  -5.1051e-15      0.11257  -8.5593e-17      0.14963      -5.1752      -4529.3       362.14      0.20452    -0.021246            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0          -10            0     -0.18018     0.017221    0.0044965     0.012725   3.7142e-18   -0.0020228  -0.00017741   -0.0018454   2.7596e-17   -7.109e-19   9.7476e-20  -8.0838e-19      -10.462       -4.441            0      -69.526       6.6453      -7.2375   1.4332e-15      -69.323      -12.376   1.8968e-14      -70.186            0            0            0       49.773      -11.353           50      -5.4597   1.0649e-14     -0.24284  -2.7432e-16      0.11236   6.8949e-17      0.14935      -4.9391      -4455.1       332.26      0.20465    -0.020244            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
          0         -9.5            0     -0.17157     0.015757    0.0042268     0.011531  -7.1359e-18   -0.0019026   -0.0002244   -0.0016782   3.0009e-17   1.1953e-18  -2.4369e-19    1.439e-18      -10.888      -4.5099            0      -66.203       6.0804      -6.5383  -2.7536e-15       -66.03       -11.18      1.2e-14       -66.81            0            0            0        49.79       -11.18           50      -5.2476    1.158e-14      -0.2284   4.6125e-16      0.11215   6.1733e-17      0.14907      -4.7016      -4387.1       304.02      0.20477    -0.019242            0            0            0            0            0            0            0            0            0           40         0.11         0.13  
