A400M_htp&vtp_refined
T6/1-TriUniform-ThickSurf-Vel(200.65,200.65)-alpha(0.00,1.00...(30)



 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.2834      0.16885     0.014941      0.15391   1.1795e-05      -1.5436     0.028311      -1.5719  -3.7076e-05   6.4712e-05   -2.082e-09   6.4714e-05       -7.601       -8.611            0  -3.9594e+05        52090       -90801       3.6386   -3.883e+05       -74628      -22.734  -6.4848e+05            0            0            0       198.94            0       200.65      -7.4949      -194.04  -1.5638e+06       338.67     0.049797  -2.3593e-06       11.666  -7.7495e+05            0   1.0452e+07      0.59934    -0.063911            0            0            0            0            0            0            0            0            0            0        2.985        7.948  
        -19          -19            0      -1.2218      0.15343     0.013941      0.13949   1.0439e-05      -1.3855     0.026502       -1.412  -3.6038e-05   5.9615e-05  -4.3911e-09    5.962e-05      -7.9635      -8.8025            0  -3.7693e+05        47332       -82028       3.2204   -3.704e+05       -71233      -25.368  -6.1191e+05            0            0            0       199.09            0       200.65      -7.1574       -188.6  -1.4037e+06       311.99      0.27087  -2.1301e-06       11.812  -7.3768e+05            0   9.4972e+06      0.59934     -0.33095            0            0            0            0            0            0            0            0            0            0         2.98        7.948  
        -18          -18            0        -1.16      0.13889     0.013158      0.12573   1.0123e-05      -1.2362     0.025132      -1.2614  -3.4565e-05   5.5211e-05  -4.2807e-09   5.5216e-05      -8.3518      -8.9951            0  -3.5785e+05        42848       -73693       3.1228  -3.5233e+05       -67495      -26.907  -5.7651e+05            0            0            0       199.23            0       200.65      -6.8278       -180.9  -1.2524e+06       288.95      0.49515  -3.1061e-06       11.942  -7.0026e+05            0   8.5975e+06      0.59932     -0.57438            0            0            0            0            0            0            0            0            0            0        2.975        7.948  
        -17          -17            0       -1.098      0.12514     0.012476      0.11266   1.0175e-05      -1.0979     0.023949      -1.1218  -3.2632e-05   5.1133e-05  -3.9979e-09   5.1137e-05      -8.7742       -9.194            0  -3.3872e+05        38605       -65796       3.1388  -3.3409e+05       -65331      -26.242  -5.4042e+05            0            0            0       199.36            0       200.65       -6.502      -170.78  -1.1123e+06        267.6      0.71887  -4.5386e-06        12.05  -6.6271e+05            0   7.7461e+06      0.59926     -0.78931            0            0            0            0            0            0            0            0            0            0         2.97        7.948  
        -16          -16            0      -1.0358      0.11216     0.011878      0.10028   9.3459e-06     -0.96773     0.022922     -0.99066  -3.1079e-05   4.7145e-05  -3.9986e-09   4.7149e-05      -9.2351       -9.399            0  -3.1954e+05        34600       -58339       2.8832  -3.1569e+05       -62257      -27.228    -5.06e+05            0            0            0       199.49            0       200.65        -6.18      -162.65  -9.8042e+05       246.73      0.94516  -5.0845e-06       12.147  -6.2503e+05            0   6.9426e+06      0.59915       -0.979            0            0            0            0            0            0            0            0            0            0        2.965        7.948  
        -15          -15            0     -0.97345     0.099934     0.011351     0.088583   8.9549e-06      -0.8467     0.022025     -0.86873   -2.933e-05   4.3559e-05  -3.6871e-09   4.3562e-05      -9.7409      -9.6107            0   -3.003e+05        30829       -51328       2.7625  -2.9714e+05       -59285      -27.374  -4.7229e+05            0            0            0        199.6            0       200.65      -5.8615       -153.5   -8.578e+05       227.96       1.1721  -6.2996e-06       12.231  -5.8724e+05            0   6.1859e+06      0.59906      -1.1409            0            0            0            0            0            0            0            0            0            0         2.96        7.948  
        -14          -14            0     -0.91093     0.088474     0.010874       0.0776   8.3043e-06     -0.73473     0.021217     -0.75595  -2.7622e-05    4.014e-05  -3.5079e-09   4.0143e-05      -10.296      -9.8268            0  -2.8102e+05        27294       -44756       2.5618  -2.7846e+05       -56498      -27.506  -4.3919e+05            0            0            0       199.71            0       200.65      -5.5475      -144.56  -7.4436e+05       210.07       1.3988  -7.0325e-06       12.302  -5.4933e+05            0   5.4765e+06      0.59884      -1.2742            0            0            0            0            0            0            0            0            0            0        2.955        7.948  
        -13          -13            0     -0.84827     0.077784      0.01046     0.067325   7.6817e-06     -0.63159     0.020527     -0.65212  -2.5883e-05   3.6969e-05  -3.2444e-09   3.6973e-05      -10.905      -10.044            0  -2.6168e+05        23996       -38629       2.3697  -2.5965e+05       -53858      -27.288  -4.0672e+05            0            0            0       199.81            0       200.65      -5.2393      -135.46  -6.3987e+05       193.47        1.625  -7.7214e-06       12.363  -5.1131e+05            0   4.8148e+06      0.59853      -1.3784            0            0            0            0            0            0            0            0            0            0         2.95        7.948  
        -12          -12            0     -0.78551     0.067817      0.01009     0.057727   7.1874e-06     -0.53718     0.019922      -0.5571  -2.4111e-05   3.4059e-05  -2.9578e-09   3.4062e-05      -11.583      -10.266            0  -2.4232e+05        20921       -32963       2.2172  -2.4073e+05       -51350      -26.608  -3.7493e+05            0            0            0       199.91            0       200.65      -4.9344      -126.18  -5.4421e+05       178.24       1.8506   -8.606e-06       12.416   -4.732e+05            0   4.1978e+06      0.59858      -1.4536            0            0            0            0            0            0            0            0            0            0        2.945        7.948  
        -11          -11            0     -0.72256     0.058653    0.0097659     0.048887   6.8093e-06     -0.45121     0.019402     -0.47062  -2.2336e-05   3.1341e-05  -2.6548e-09   3.1344e-05      -12.319      -10.472            0   -2.229e+05        18094       -27728       2.1006  -2.2169e+05       -49002       -25.52   -3.437e+05            0            0            0       199.99            0       200.65      -4.6407      -116.89  -4.5712e+05       164.02       2.0751  -9.3689e-06       12.463  -4.3499e+05            0   3.6306e+06      0.59807      -1.4994            0            0            0            0            0            0            0            0            0            0         2.94        7.948  
        -10          -10            0     -0.65949     0.050264    0.0094908     0.040773   6.1097e-06     -0.37362     0.018982      -0.3926  -2.0646e-05   2.8774e-05  -2.3812e-09   2.8776e-05      -13.121      -10.655            0  -2.0345e+05        15506       -22941       1.8848  -2.0254e+05       -46838      -24.425  -3.1303e+05            0            0            0       200.07            0       200.65      -4.3584      -108.05  -3.7851e+05       150.58       2.2984  -9.2677e-06       12.506   -3.967e+05            0   3.1113e+06      0.59738      -1.5158            0            0            0            0            0            0            0            0            0            0        2.935        7.948  
         -9           -9            0     -0.59631     0.042637    0.0092513     0.033385   5.5718e-06      -0.3042     0.018631     -0.32283  -1.8972e-05   2.6394e-05  -2.1332e-09   2.6396e-05      -13.986        -10.8            0  -1.8395e+05        13153       -18605       1.7188   -1.833e+05       -44828      -22.887  -2.8295e+05            0            0            0       200.14            0       200.65      -4.0897      -99.289  -3.0818e+05       138.13        2.521  -8.9847e-06       12.552  -3.5832e+05            0   2.6391e+06      0.59646      -1.5033            0            0            0            0            0            0            0            0            0            0         2.93        7.948  
         -8           -8            0     -0.53302     0.035776    0.0090464      0.02673   4.2671e-06      -0.2419      0.01835     -0.26025  -1.7429e-05   2.4203e-05  -1.9449e-09   2.4205e-05      -14.899      -10.877            0  -1.6443e+05        11036       -14719       1.3163  -1.6398e+05       -42518      -21.614  -2.5387e+05            0            0            0        200.2            0       200.65      -3.8399      -91.209  -2.4506e+05       126.66       2.7518  -6.9794e-06       12.621  -3.1987e+05            0   2.2145e+06      0.59523      -1.4668            0            0            0            0            0            0            0            0            0            0        2.925        7.948  
         -7           -7            0     -0.46963     0.029677    0.0088708     0.020806   5.5853e-06     -0.18939     0.018127     -0.20752  -1.5733e-05      2.2e-05  -1.6139e-09   2.2002e-05      -15.825      -10.845            0  -1.4487e+05       9154.8       -11285        1.723  -1.4458e+05       -41398      -18.264  -2.2434e+05            0            0            0       200.25            0       200.65      -3.6158      -82.335  -1.9187e+05       115.13       2.9659  -7.4963e-06       12.671  -2.8136e+05            0   1.8369e+06      0.59364      -1.3929            0            0            0            0            0            0            0            0            0            0         2.92        7.948  
         -6           -6            0     -0.40615     0.024343    0.0087193     0.015624   4.8138e-06     -0.14355     0.017951      -0.1615    -1.43e-05   2.0015e-05  -1.5159e-09   2.0016e-05      -16.685      -10.633            0  -1.2529e+05       7509.5      -8303.4        1.485  -1.2511e+05       -39911        -16.1  -1.9586e+05            0            0            0       200.29            0       200.65      -3.4299      -74.838  -1.4543e+05       104.74       3.1931  -3.5613e-06       12.771  -2.4279e+05            0   1.5068e+06      0.59128      -1.2969            0            0            0            0            0            0            0            0            0            0        2.915        7.948  
