A400M_htp&vtp_refined
T6/1-VLM2-Vel(200.65,200.65)-beta(0.00,1.00)-CGx(2.88,2.88)



 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20            0          -20    -0.081497      0.23651    0.0089246      0.22758       0.3127    -0.013191     0.017944    -0.031136   -0.0085703     0.082422  -0.00058759      0.08301     -0.34459    -0.098372            0       -25142        72962   1.0983e+05        96467       -25142        80796        96289      -9665.5            0            0            0        65.37            0       200.65      -70.987       -44853       -13364   4.3136e+05       4.1477      -7.7001       3.0556    1.256e+05            0    1.464e+07    0.0016344     -0.33803            0            0            0            0            0            0            0            0            0            0        2.985        7.948  
        -19            0          -19     -0.07388      0.21492      0.00886      0.20606      0.30671   -0.0099953     0.017931    -0.027927    -0.008185     0.078552  -0.00055533     0.079107     -0.34375    -0.093435            0       -22792        66303        99812        94619       -22792        73468        94035      -8648.6            0            0            0       65.229            0       200.65      -71.029       -42836       -10126    4.111e+05       4.1218      -8.1369        3.016   1.2109e+05            0   1.3304e+07    0.0014834     -0.30452            0            0            0            0            0            0            0            0            0            0         2.98        7.948  
        -18            0          -18    -0.066569      0.19414    0.0087972      0.18534      0.29937   -0.0069869     0.017915    -0.024902   -0.0077888     0.074634  -0.00052339     0.075158      -0.3429    -0.088471            0       -20536        59891        90127        92355       -20536        66410        91406      -7696.4            0            0            0       65.083            0       200.65      -71.073       -40763      -7078.5    3.906e+05       4.0985      -8.6233       2.9787   1.1638e+05            0   1.2017e+07     0.001339     -0.27284            0            0            0            0            0            0            0            0            0            0        2.975        7.948  
        -17            0          -17    -0.059577      0.17432    0.0087362      0.16559      0.29064   -0.0041661     0.017895    -0.022061   -0.0073829     0.070674  -0.00049178     0.071166     -0.34177     -0.08342            0       -18379        53778        80829        89662       -18379        59638        88417      -6807.8            0            0            0       64.891            0       200.65      -71.131       -38638      -4220.7   3.6987e+05       4.0783      -9.1687        2.944   1.0645e+05            0   1.0791e+07    0.0012004     -0.24297            0            0            0            0            0            0            0            0            0            0         2.97        7.948  
        -16            0          -16    -0.052928      0.15557    0.0086778      0.14689      0.28053   -0.0015305     0.017874    -0.019404   -0.0069685     0.066677  -0.00046054     0.067137     -0.34021     -0.07827            0       -16328        47993        71958        86543       -16328        53164        85080      -5981.9            0            0            0       64.627            0       200.65      -71.211       -36469      -1550.5   3.4895e+05       4.0606       -9.783       2.9118   1.0156e+05            0   9.6299e+06     0.001068     -0.21492            0            0            0            0            0            0            0            0            0            0        2.965        7.948  
        -15            0          -15    -0.046646      0.13795    0.0086214      0.12933      0.26907   0.00091982      0.01785     -0.01693   -0.0065468     0.062647  -0.00042964     0.063076     -0.33813    -0.073027            0       -14390        42558        63548        83008       -14390        47002        81410      -5217.4            0            0            0       64.271            0       200.65      -71.318       -34262       931.87   3.2786e+05       4.0444      -10.477       2.8817        96480            0   8.5393e+06   0.00094214     -0.18866            0            0            0            0            0            0            0            0            0            0         2.96        7.948  
        -14            0          -14    -0.040747      0.12152    0.0085674      0.11295      0.25633     0.003187     0.017824    -0.014637    -0.006119     0.058587  -0.00039906     0.058986     -0.33531    -0.067686            0       -12570        37488        55627        79076       -12570        41167        77424      -4512.5            0            0            0        63.79            0       200.65      -71.463       -32023       3228.8   3.0661e+05       4.0289      -11.266       2.8532        86357            0    7.522e+06   0.00082318     -0.16417            0            0            0            0            0            0            0            0            0            0        2.955        7.948  
        -13            0          -13    -0.035234      0.10631    0.0085152     0.097797      0.24239    0.0052722     0.017795    -0.012523   -0.0056861       0.0545  -0.00036877     0.054868     -0.33142     -0.06221            0       -10869        32797        48226        74775       -10869        35674        73143        -3865            0            0            0       63.123            0       200.65      -71.664       -29758       5341.3   2.8522e+05       4.0141      -12.172       2.8262        81194            0   6.5806e+06   0.00071088     -0.14143            0            0            0            0            0            0            0            0            0            0         2.95        7.948  
        -12            0          -12    -0.030105     0.092398    0.0084649     0.083933      0.22735    0.0071784     0.017764    -0.010586   -0.0052491     0.050387  -0.00033878     0.050726     -0.32582    -0.056531            0        -9287        28504        41379        70137        -9287        30537        68588      -3272.8            0            0            0       62.159            0       200.65      -71.954       -27471       7272.4    2.637e+05       4.0004      -13.225       2.8009        75866            0   5.7193e+06   0.00060469     -0.12043            0            0            0            0            0            0            0            0            0            0        2.945        7.948  
        -11            0          -11     -0.02536     0.079918    0.0084171     0.071501      0.21132    0.0089088     0.017732   -0.0088229   -0.0048091     0.046251  -0.00030911     0.046561     -0.31732    -0.050533            0      -7823.3        24654        35142        65190      -7823.3        25769        63780      -2734.2            0            0            0       60.689            0       200.65      -72.395       -25168       9025.5   2.4205e+05       3.9885      -14.469       2.7778        65947            0   4.9468e+06   0.00050371     -0.10115            0            0            0            0            0            0            0            0            0            0         2.94        7.948  
        -10            0          -10    -0.021004     0.069295    0.0083707     0.060924      0.19433     0.010465     0.017697   -0.0072317    -0.004367     0.042095  -0.00027971     0.042375     -0.30311    -0.043929            0      -6479.5        21377        29655        59949      -6479.5        21379        58739      -2247.6            0            0            0       58.204            0       200.65      -73.138       -22854        10602    2.203e+05       3.9788      -15.963        2.757        60648            0   4.2893e+06   0.00040551     -0.08357            0            0            0            0            0            0            0            0            0            0        2.935        7.948  
         -9            0           -9    -0.017043     0.062692    0.0083265     0.054365      0.17623      0.01185      0.01766   -0.0058091   -0.0039239     0.037922  -0.00025059     0.038173     -0.27186    -0.035491            0      -5257.7        19340        25591        54367      -5257.7        17378        53484      -1811.7            0            0            0       52.638            0       200.65      -74.791       -20535        12006   1.9846e+05       3.9715       -17.79       2.7388        55204            0   3.8805e+06   0.00029922    -0.067687            0            0            0            0            0            0            0            0            0            0         2.93        7.948  
         -8            0           -8    -0.014167      -0.1509    0.0082848     -0.15919      0.18163      0.01307     0.017622   -0.0045518   -0.0034807     0.033734  -0.00022176     0.033956     0.093879     0.011174            0      -4370.3       -46552       -41715        56032      -4370.3        13774        48035      -1425.4            0            0            0       18.754            0       200.65       84.637       -18215        13241   1.7654e+05       3.7758      -19.111       2.5923        45917            0  -9.3406e+06  -7.0603e-05     -0.05349            0            0            0            0            0            0            0            0            0            0        2.925        7.948  
