A400M_w_refined
T6/1-TriUniform-ThickSurf-Vel(200.65,200.65)-alpha(0.00,1.00...(29)



 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -19          -19            0      -1.4799     0.097448     0.012176     0.085272   1.5048e-13    -0.024177   -0.0014024    -0.022775  -7.1303e-13   1.7465e-13  -2.8832e-14   2.0348e-13      -15.187      -18.475            0  -1.9973e+06   1.3151e+05  -5.4143e+05   2.0309e-07  -1.9259e+06  -5.2743e+05   6.9939e-07  -1.9149e+06            0            0            0       200.22            0       200.65      -3.7674   -4.081e-05   -1.915e+05   9.9961e-06       4.2822   2.1607e-11      0.61035  -8.7374e+06            0   2.6389e+07       1.0068      -6.3373            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -18          -18            0      -1.3941     0.086646     0.010977     0.075669   1.1886e-13    -0.023947   -0.0012878    -0.022659  -1.7529e-13   3.6801e-14  -1.8361e-15   3.8637e-14       -16.09      -18.998            0  -1.8815e+06   1.1694e+05  -4.8428e+05   1.6041e-07  -1.8209e+06  -4.7198e+05   2.6966e-08  -1.8113e+06            0            0            0       200.27            0       200.65      -3.5564  -1.0033e-05  -1.8967e+05   2.1063e-06       4.3218   5.2882e-12      0.53947  -8.2316e+06            0   2.3464e+07       1.0069      -6.0251            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -17          -17            0      -1.3081     0.076579    0.0099631     0.066616   4.4664e-13    -0.024057   -0.0011871     -0.02287  -1.3754e-12   1.7211e-13  -1.5629e-14   1.8774e-13      -17.082      -19.537            0  -1.7654e+06   1.0335e+05  -4.3017e+05   6.0278e-07  -1.7145e+06  -4.1941e+05  -1.8965e-07  -1.7062e+06            0            0            0       200.31            0       200.65      -3.3504  -7.8724e-05  -1.9055e+05   9.8507e-06        4.357   4.1553e-11      0.46604  -7.7242e+06            0   2.0737e+07       1.0069      -5.6993            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -16          -16            0      -1.2219     0.067315    0.0091951      0.05812   1.6995e-13    -0.024482   -0.0011095    -0.023373  -5.4686e-13   7.6792e-14  -5.5208e-15   8.2312e-14      -18.152      -20.064            0   -1.649e+06        90846  -3.7913e+05   2.2936e-07  -1.6067e+06  -3.6976e+05   1.3667e-07  -1.5995e+06            0            0            0       200.35            0       200.65      -3.1533  -3.1299e-05  -1.9391e+05   4.3952e-06       4.3873   1.8323e-11         0.39  -7.2154e+06            0   1.8228e+07        1.007      -5.3607            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -15          -15            0      -1.1354     0.058795    0.0086097     0.050186  -3.8785e-13    -0.025179   -0.0010497    -0.024129   1.7435e-12  -2.4206e-13   1.6313e-14  -2.5837e-13      -19.312      -20.578            0  -1.5323e+06        79348  -3.3118e+05  -5.2343e-07  -1.4977e+06  -3.2309e+05  -1.5623e-07  -1.4915e+06            0            0            0       200.38            0       200.65      -2.9643   9.9787e-05  -1.9943e+05  -1.3854e-05       4.4125  -6.3037e-11      0.31129  -6.7052e+06            0   1.5921e+07        1.007      -5.0101            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -14          -14            0      -1.0488     0.050923    0.0081035      0.04282  -6.0141e-14      -0.0261   -0.0009964    -0.025103   4.3862e-13  -8.9064e-14   5.8314e-15  -9.4896e-14      -20.596      -21.093            0  -1.4155e+06        68724  -2.8636e+05  -8.1164e-08  -1.3874e+06  -2.7941e+05  -4.3173e-07  -1.3821e+06            0            0            0       200.41            0       200.65      -2.7797   2.5104e-05  -2.0672e+05  -5.0976e-06       4.4319  -1.8411e-11      0.22974  -6.1939e+06            0    1.379e+07       1.0071      -4.6483            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -13          -13            0     -0.96206     0.043689    0.0076621     0.036027   5.5559e-13    -0.027207  -0.00094861    -0.026259  -1.8623e-12    2.205e-13  -1.0163e-14   2.3066e-13      -22.021      -21.599            0  -1.2984e+06        58961  -2.4469e+05    7.498e-07   -1.276e+06  -2.3878e+05   3.3745e-07  -1.2715e+06            0            0            0       200.44            0       200.65      -2.6001  -0.00010659  -2.1549e+05    1.262e-05       4.4448   8.0253e-11      0.14513  -5.6815e+06            0   1.1831e+07       1.0071      -4.2761            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -12          -12            0     -0.87516     0.037087    0.0072761     0.029811   2.0098e-13    -0.028464  -0.00090598    -0.027558  -4.4913e-13   4.8651e-14  -2.5191e-15    5.117e-14      -23.598      -22.075            0  -1.1811e+06        50051  -2.0621e+05   2.7123e-07  -1.1636e+06  -2.0123e+05   2.3124e-07  -1.1597e+06            0            0            0       200.47            0       200.65      -2.4266  -2.5706e-05  -2.2545e+05   2.7845e-06       4.4501   2.1533e-11     0.057073  -5.1681e+06            0   1.0043e+07       1.0072      -3.8945            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -11          -11            0     -0.78814     0.031112    0.0069364     0.024176   8.3842e-14    -0.029833  -0.00086807    -0.028965   4.5586e-15   1.5231e-14   1.0984e-15   1.4133e-14      -25.332      -22.489            0  -1.0636e+06        41988  -1.7092e+05   1.1315e-07  -1.0503e+06  -1.6678e+05   3.1227e-07   -1.047e+06            0            0            0       200.49            0       200.65      -2.2606   2.6091e-07  -2.3629e+05   8.7176e-07       4.4465   3.9851e-13    -0.035027  -4.6539e+06            0   8.4249e+06       1.0072      -3.5044            0            0            0            0            0            0            0            0            0            0          4.8            0  
        -10          -10            0     -0.70101     0.025748    0.0066224     0.019126  -5.5291e-14    -0.031275  -0.00083249    -0.030443  -1.4699e-14   4.3341e-15   9.5883e-17   4.2382e-15      -27.226      -22.795            0  -9.4605e+05        34749  -1.3886e+05  -7.4618e-08  -9.3616e+05  -1.3546e+05  -1.1607e-07  -9.3331e+05            0            0            0       200.51            0       200.65      -2.1035   -8.413e-07  -2.4771e+05   2.4806e-07       4.4319   7.5379e-13     -0.13212   -4.139e+06            0   6.9723e+06       1.0072      -3.1068            0            0            0            0            0            0            0            0            0            0          4.8            0  
