xflr5 v6.47

Plane name :        HTP&VTP_ceroOrigin
Polar name :        T5-a0.0°-125.0m/s-VLM2-0.0kg-x0.4m-TG

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000000   0.000000   0.010077   0.010077  -0.000000   0.000000  -0.004984  -0.000000   0.000000  125.0000     0.9592
    0.000     0.500   0.000027   0.000044   0.010081   0.010125  -0.015067   0.002224  -0.004681  -0.003815  -0.003811  125.0000   -16.0421
    0.000     1.000   0.000110   0.000176   0.010085   0.010261  -0.030139   0.004452  -0.003767  -0.007629  -0.007621  125.0000   -16.0260
    0.000     1.500   0.000247   0.000396   0.010089   0.010486  -0.045220   0.006685  -0.002244  -0.011443  -0.011430  125.0000   -15.9993
    0.000     2.000   0.000441   0.000705   0.010097   0.010802  -0.060313   0.008928  -0.000112  -0.015255  -0.015238  125.0000   -15.9621
    0.000     2.500   0.000690   0.001101   0.010106   0.011207  -0.075425   0.011183   0.002627  -0.019065  -0.019044  125.0000   -15.9145
    0.000     3.000   0.000997   0.001586   0.010117   0.011704  -0.090558   0.013452   0.005973  -0.022874  -0.022848  125.0000   -15.8568
    0.000     3.500   0.001363   0.002160   0.010131   0.012291  -0.105717   0.015740   0.009924  -0.026679  -0.026649  125.0000   -15.7892
    0.000     4.000   0.001788   0.002823   0.010146   0.012969  -0.120906   0.018049   0.014480  -0.030481  -0.030447  125.0000   -15.7121
    0.000     4.500   0.002274   0.003575   0.010163   0.013739  -0.136129   0.020382   0.019639  -0.034280  -0.034241  125.0000   -15.6257
    0.000     5.000   0.002823   0.004417   0.010182   0.014599  -0.151391   0.022742   0.025399  -0.038074  -0.038032  125.0000   -15.5305
    0.000     5.500   0.003437   0.005349   0.010203   0.015552  -0.166694   0.025132   0.031758  -0.041864  -0.041817  125.0000   -15.4269
    0.000     6.000   0.004117   0.006371   0.010225   0.016596  -0.182043   0.027555   0.038714  -0.045649  -0.045597  125.0000   -15.3152
    0.000     6.500   0.004866   0.007484   0.010249   0.017734  -0.197441   0.030014   0.046264  -0.049428  -0.049372  125.0000   -15.1959
    0.000     7.000   0.005686   0.008688   0.010276   0.018964  -0.212891   0.032512   0.054406  -0.053201  -0.053141  125.0000   -15.0695
    0.000     7.500   0.006579   0.009985   0.010304   0.020288  -0.228398   0.035051   0.063136  -0.056967  -0.056902  125.0000   -14.9365
    0.000     8.000   0.007549   0.011373   0.010332   0.021706  -0.243962   0.037635   0.072452  -0.060726  -0.060657  125.0000   -14.7973
    0.000     8.500   0.008597   0.012855   0.010362   0.023217  -0.259589   0.040267   0.082350  -0.064478  -0.064404  125.0000   -14.6525
    0.000     9.000   0.009728   0.014430   0.010394   0.024824  -0.275279   0.042949   0.092827  -0.068221  -0.068142  125.0000   -14.5025
    0.000     9.500   0.010943   0.016099   0.010427   0.026526  -0.291037   0.045684   0.103877  -0.071955  -0.071872  125.0000   -14.3479
    0.000    10.000   0.012246   0.017864   0.010461   0.028324  -0.306863   0.048475   0.115499  -0.075680  -0.075592  125.0000   -14.1890
    0.000    10.500   0.013639   0.019724   0.010496   0.030220  -0.322761   0.051324   0.127686  -0.079394  -0.079302  125.0000   -14.0264
    0.000    11.000   0.015128   0.021681   0.010532   0.032213  -0.338731   0.054236   0.140435  -0.083098  -0.083002  125.0000   -13.8605
    0.000    11.500   0.016714   0.023735   0.010570   0.034304  -0.354777   0.057211   0.153739  -0.086791  -0.086690  125.0000   -13.6918
    0.000    12.000   0.018401   0.025887   0.010608   0.036495  -0.370898   0.060253   0.167595  -0.090472  -0.090366  125.0000   -13.5207
    0.000    12.500   0.020194   0.028138   0.010648   0.038786  -0.387097   0.063365   0.181996  -0.094141  -0.094030  125.0000   -13.3475
    0.000    13.000   0.022094   0.030489   0.010689   0.041178  -0.403374   0.066549   0.196936  -0.097796  -0.097680  125.0000   -13.1728
    0.000    13.500   0.024108   0.032941   0.010731   0.043671  -0.419731   0.069807   0.212410  -0.101437  -0.101316  125.0000   -12.9968
    0.000    14.000   0.026237   0.035494   0.010774   0.046268  -0.436167   0.073143   0.228411  -0.105064  -0.104938  125.0000   -12.8198
    0.000    14.500   0.028486   0.038151   0.010819   0.048970  -0.452684   0.076558   0.244932  -0.108675  -0.108545  125.0000   -12.6423
    0.000    15.000   0.030858   0.040912   0.010865   0.051777  -0.469281   0.080056   0.261965  -0.112271  -0.112135  125.0000   -12.4645


