xflr5 v6.47

Plane name :        WIN_scale
Polar name :        T1-125.0 m/s-VLM2-0.0kg-x0.4m-TG5
Freestream speed : 125.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.086466   0.000925   0.005502   0.006427  -0.000000  -0.000000  -0.037963   0.000000   0.000000  125.0000    -3.5928
   -4.500     0.000  -0.053391   0.000567   0.005458   0.006025  -0.000000   0.000000  -0.055486   0.000000   0.000000  125.0000    -9.0919
   -4.000     0.000  -0.020199   0.000382   0.005419   0.005801  -0.000000  -0.000000  -0.073281   0.000000   0.000000  125.0000   -32.7542
   -3.500     0.000   0.013103   0.000369   0.005383   0.005752   0.000000   0.000000  -0.091337  -0.000000  -0.000000  125.0000    64.0435
   -3.000     0.000   0.046511   0.000527   0.005352   0.005879   0.000000  -0.000000  -0.109641  -0.000000  -0.000000  125.0000    21.8908
   -2.500     0.000   0.080018   0.000854   0.005330   0.006185   0.000000  -0.000000  -0.128179  -0.000000  -0.000000  125.0000    14.9781
   -2.000     0.000   0.113618   0.001351   0.005315   0.006666   0.000000  -0.000000  -0.146939  -0.000000  -0.000000  125.0000    12.1480
   -1.500     0.000   0.147306   0.002015   0.005305   0.007319   0.000000  -0.000000  -0.165908  -0.000000  -0.000000  125.0000    10.6126
   -1.000     0.000   0.181075   0.002844   0.005297   0.008141   0.000000  -0.000000  -0.185073  -0.000000  -0.000000  125.0000     9.6519
   -0.500     0.000   0.214920   0.003837   0.005293   0.009129   0.000000  -0.000000  -0.204421  -0.000000  -0.000000  125.0000     8.9961
    0.000     0.000   0.248835   0.004991   0.005294   0.010285   0.000000  -0.000000  -0.223937  -0.000000  -0.000000  125.0000     8.5218
    0.500     0.000   0.282814   0.006303   0.005302   0.011606   0.000000   0.000000  -0.243609  -0.000000  -0.000000  125.0000     8.1640
    1.000     0.000   0.316852   0.007771   0.005316   0.013087   0.000000   0.000000  -0.263423  -0.000000  -0.000000  125.0000     7.8857
    1.500     0.000   0.350941   0.009392   0.005334   0.014726   0.000000  -0.000000  -0.283366  -0.000000  -0.000000  125.0000     7.6639
    2.000     0.000   0.385077   0.011162   0.005361   0.016524   0.000000  -0.000000  -0.303424  -0.000000  -0.000000  125.0000     7.4838
    2.500     0.000   0.419253   0.013078   0.005396   0.018474   0.000000  -0.000000  -0.323583  -0.000000  -0.000000  125.0000     7.3355
    3.000     0.000   0.453463   0.015135   0.005438   0.020573   0.000000  -0.000000  -0.343829  -0.000000  -0.000000  125.0000     7.2118
    3.500     0.000   0.487701   0.017329   0.005487   0.022816  -0.000000  -0.000000  -0.364149   0.000000   0.000000  125.0000     7.1076
    4.000     0.000   0.521961   0.019655   0.005547   0.025203   0.000000   0.000000  -0.384528  -0.000000  -0.000000  125.0000     7.0193
    4.500     0.000   0.556236   0.022109   0.005615   0.027724   0.000000  -0.000000  -0.404952  -0.000000  -0.000000  125.0000     6.9439
    5.000     0.000   0.590521   0.024683   0.005689   0.030373   0.000000  -0.000000  -0.425408  -0.000000  -0.000000  125.0000     6.8793
    5.500     0.000   0.624809   0.027374   0.005769   0.033142   0.000000  -0.000000  -0.445881  -0.000000  -0.000000  125.0000     6.8238
    6.000     0.000   0.659094   0.030173   0.005853   0.036026   0.000000  -0.000000  -0.466357  -0.000000  -0.000000  125.0000     6.7760
    6.500     0.000   0.693368   0.033074   0.005943   0.039017   0.000000   0.000000  -0.486822  -0.000000  -0.000000  125.0000     6.7349
    7.000     0.000   0.727625   0.036070   0.006038   0.042108  -0.000000   0.000000  -0.507261   0.000000   0.000000  125.0000     6.6995
