xflr5 v6.47

Plane name :        Wing_alone
Polar name :        T1-125.0 m/s-VLM2-0.0kg-x2.3m-TG_GE5
Freestream speed : 125.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.067825   0.000357   0.004922   0.005280   0.000000   0.000000  -0.101412   0.000000   0.000000  125.0000   -11.3901
   -4.500     0.000  -0.034548   0.000114   0.004879   0.004993   0.000000   0.000000  -0.101266   0.000000   0.000000  125.0000   -24.4313
   -4.000     0.000  -0.001181   0.000037   0.004840   0.004877  -0.000000   0.000000  -0.101122   0.000000   0.000000  125.0000  -775.7745
   -3.500     0.000   0.032269   0.000124   0.004805   0.004930  -0.000000   0.000000  -0.100981   0.000000  -0.000000  125.0000    30.6303
   -3.000     0.000   0.065794   0.000375   0.004776   0.005151  -0.000000   0.000000  -0.100846   0.000000  -0.000000  125.0000    16.1297
   -2.500     0.000   0.099383   0.000787   0.004756   0.005543  -0.000000   0.000000  -0.100718   0.000000   0.000000  125.0000    11.4148
   -2.000     0.000   0.133029   0.001359   0.004743   0.006102  -0.000000  -0.000000  -0.100598   0.000000   0.000000  125.0000     9.0811
   -1.500     0.000   0.166721   0.002089   0.004734   0.006824  -0.000000  -0.000000  -0.100486  -0.000000  -0.000000  125.0000     7.6897
   -1.000     0.000   0.200452   0.002975   0.004728   0.007704  -0.000000  -0.000000  -0.100385   0.000000  -0.000000  125.0000     6.7667
   -0.500     0.000   0.234211   0.004015   0.004727   0.008741  -0.000000   0.000000  -0.100296   0.000000   0.000000  125.0000     6.1104
    0.000     0.000   0.267989   0.005204   0.004731   0.009935   0.000000  -0.000000  -0.100220   0.000000   0.000000  125.0000     5.6204
    0.500     0.000   0.301777   0.006542   0.004742   0.011284  -0.000000  -0.000000  -0.100157   0.000000   0.000000  125.0000     5.2410
    1.000     0.000   0.335564   0.008023   0.004759   0.012782  -0.000000  -0.000000  -0.100110  -0.000000  -0.000000  125.0000     4.9390
    1.500     0.000   0.369341   0.009646   0.004781   0.014427  -0.000000  -0.000000  -0.100079   0.000000  -0.000000  125.0000     4.6932
    2.000     0.000   0.403098   0.011406   0.004812   0.016217   0.000000   0.000000  -0.100065  -0.000000  -0.000000  125.0000     4.4896
    2.500     0.000   0.436824   0.013298   0.004851   0.018149  -0.000000   0.000000  -0.100069   0.000000   0.000000  125.0000     4.3184
    3.000     0.000   0.470509   0.015320   0.004897   0.020216   0.000000  -0.000000  -0.100092   0.000000  -0.000000  125.0000     4.1727
    3.500     0.000   0.504143   0.017465   0.004951   0.022416  -0.000000  -0.000000  -0.100135   0.000000  -0.000000  125.0000     4.0474
    4.000     0.000   0.537714   0.019729   0.005015   0.024744   0.000000   0.000000  -0.100199   0.000000   0.000000  125.0000     3.9387
    4.500     0.000   0.571212   0.022108   0.005086   0.027194  -0.000000   0.000000  -0.100285   0.000000  -0.000000  125.0000     3.8437
    5.000     0.000   0.604626   0.024594   0.005163   0.029757   0.000000   0.000000  -0.100392  -0.000000   0.000000  125.0000     3.7601
    5.500     0.000   0.637944   0.027183   0.005245   0.032428   0.000000   0.000000  -0.100523  -0.000000  -0.000000  125.0000     3.6861
    6.000     0.000   0.671154   0.029869   0.005330   0.035199   0.000000  -0.000000  -0.100676   0.000000   0.000000  125.0000     3.6203
    6.500     0.000   0.704245   0.032644   0.005422   0.038066   0.000000  -0.000000  -0.100854   0.000000  -0.000000  125.0000     3.5615
    7.000     0.000   0.737206   0.035502   0.005517   0.041019   0.000000  -0.000000  -0.101055   0.000000   0.000000  125.0000     3.5088
    7.500     0.000   0.770023   0.038436   0.005614   0.044050   0.000000   0.000000  -0.101281   0.000000   0.000000  125.0000     3.4614
    8.000     0.000   0.802684   0.041439   0.005714   0.047153   0.000000  -0.000000  -0.101532   0.000000  -0.000000  125.0000     3.4187
    8.500     0.000   0.835177   0.044502   0.005818   0.050321   0.000000  -0.000000  -0.101807   0.000000   0.000000  125.0000     3.3802
    9.000     0.000   0.867488   0.047618   0.005925   0.053544   0.000000   0.000000  -0.102107  -0.000000  -0.000000  125.0000     3.3452
    9.500     0.000   0.899605   0.050778   0.006034   0.056812   0.000000  -0.000000  -0.102432   0.000000  -0.000000  125.0000     3.3136
   10.000     0.000   0.931514   0.053973   0.006145   0.060118   0.000000   0.000000  -0.102781   0.000000   0.000000  125.0000     3.2849
   10.500     0.000   0.963202   0.057194   0.006257   0.063451   0.000000   0.000000  -0.103155  -0.000000  -0.000000  125.0000     3.2588
   11.000     0.000   0.994654   0.060432   0.006371   0.066803   0.000000  -0.000000  -0.103552  -0.000000  -0.000000  125.0000     3.2351
   11.500     0.000   1.025856   0.063676   0.006487   0.070163   0.000000  -0.000000  -0.103972  -0.000000  -0.000000  125.0000     3.2136
   12.000     0.000   1.056793   0.066917   0.006608   0.073525   0.000000   0.000000  -0.104414  -0.000000  -0.000000  125.0000     3.1941
   12.500     0.000   1.087452   0.070143   0.006731   0.076874   0.000000  -0.000000  -0.104878   0.000000   0.000000  125.0000     3.1764
   13.000     0.000   1.117816   0.073345   0.006856   0.080201   0.000000  -0.000000  -0.105362   0.000000  -0.000000  125.0000     3.1603
   13.500     0.000   1.147870   0.076510   0.006984   0.083495  -0.000000  -0.000000  -0.105866  -0.000000  -0.000000  125.0000     3.1459
   14.000     0.000   1.177599   0.079628   0.007115   0.086742  -0.000000   0.000000  -0.106388   0.000000   0.000000  125.0000     3.1328
   14.500     0.000   1.206986   0.082686   0.007246   0.089932   0.000000   0.000000  -0.106928  -0.000000  -0.000000  125.0000     3.1210
   15.000     0.000   1.236015   0.085671   0.007381   0.093052   0.000000  -0.000000  -0.107482   0.000000  -0.000000  125.0000     3.1105


