MILVUS24_US_vtail
T1-25.0 m/s-TriUniform-ThickSurf-x0.016m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -19            0     -0.72387      0.34326      0.28176     0.061498   8.9184e-13      0.16851      0.33498     -0.16648  -4.9858e-13  -3.5775e-13  -2.5668e-13  -1.0107e-13      -2.1088      -1.7942            0      -8.9689        4.253      -2.1995    1.105e-11      -8.7283      -1.7702   1.0801e-11      -8.9079            0            0            0       22.589      -31.366           25       -25.37  -4.1241e-12      0.14615  -1.4387e-12      0.01539   3.0223e-13     0.089918      -1.3501      -1969.3       106.33      0.23099     -0.01114            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -18.5            0      -0.7065      0.33037      0.27178     0.058585   8.7991e-13      0.16606      0.32421     -0.15815  -4.9128e-13  -3.1016e-13  -2.1422e-13  -9.5944e-14      -2.1385      -1.7975            0      -8.7537       4.0934      -2.0892   1.0902e-11      -8.5317      -1.6827   1.0663e-11      -8.7067            0            0            0       22.646      -31.308           25      -25.061  -4.0588e-12      0.14403  -1.1306e-12     0.015448   3.0543e-13     0.089886      -1.3197      -1965.6       102.33      0.23098    -0.010914            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -18            0       -0.689      0.31515      0.25943      0.05572   8.6786e-13      0.15782      0.30784     -0.15002  -4.8458e-13   -4.505e-13  -3.5944e-13  -9.1054e-14      -2.1863      -1.8147            0      -8.5369       3.9048      -1.9814   1.0753e-11      -8.3324      -1.5972   1.0501e-11      -8.5029            0            0            0       22.735      -31.011           25      -24.579  -3.9989e-12      0.13688  -2.2791e-12     0.015505   3.0885e-13     0.089851      -1.2889        -1947        97.62      0.23097    -0.010683            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -17.5            0     -0.67137      0.29974      0.24683     0.052907   8.5559e-13       0.1481      0.29019     -0.14209  -4.7727e-13  -3.0928e-13  -2.2304e-13  -8.6237e-14      -2.2398      -1.8353            0      -8.3184       3.7139      -1.8762   1.0601e-11      -8.1306      -1.5138   1.0374e-11      -8.2966            0            0            0       22.828      -30.664           25      -24.059  -3.9343e-12      0.12845  -1.2385e-12     0.015561   3.1236e-13     0.089812      -1.2577      -1925.2       92.847      0.23097    -0.010447            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -17            0     -0.65362      0.28746      0.23731     0.050146   8.4305e-13      0.14545       0.2798     -0.13435   -4.693e-13  -2.5902e-13  -1.7777e-13  -8.1254e-14      -2.2738      -1.8383            0      -8.0985       3.5617      -1.7736   1.0446e-11      -7.9263      -1.4324   1.0209e-11      -8.0878            0            0            0       22.885      -30.614           25       -23.74  -3.8643e-12      0.12615  -9.0356e-13     0.015614   3.1608e-13      0.08977      -1.2261      -1922.1       89.042      0.23096    -0.010206            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -16.5            0     -0.63574      0.27508      0.22764     0.047441   8.3026e-13      0.14244      0.26926     -0.12682  -4.6252e-13  -2.4223e-13  -1.6537e-13  -7.6855e-14      -2.3111      -1.8427            0       -7.877       3.4083      -1.6736   1.0287e-11      -7.7196      -1.3531   1.0069e-11      -7.8765            0            0            0       22.944       -30.54           25      -23.398   -3.805e-12      0.12354  -8.2504e-13     0.015666    3.198e-13     0.089724      -1.1942      -1917.4       85.209      0.23096   -0.0099598            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -16            0     -0.61775      0.26379        0.219     0.044793   8.1727e-13      0.13998      0.25947     -0.11949  -4.5406e-13  -2.3798e-13   -1.659e-13   -7.208e-14      -2.3418      -1.8406            0       -7.654       3.2684      -1.5762   1.0126e-11      -7.5105      -1.2759    9.905e-12      -7.6629            0            0            0       22.992      -30.575           25      -23.124  -3.7317e-12      0.12141  -8.4725e-13     0.015717   3.2314e-13     0.089675      -1.1619      -1919.6       81.711      0.23096    -0.009709            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -15.5            0     -0.59963      0.24826      0.20605     0.042204   8.0415e-13      0.13524       0.2476     -0.11236  -4.4654e-13  -1.9458e-13  -1.2696e-13  -6.7628e-14      -2.4154      -1.8704            0      -7.4296        3.076      -1.4816   9.9636e-12      -7.2991      -1.2009   9.7337e-12      -7.4469            0            0            0       23.099      -30.088           25       -22.49  -3.6666e-12       0.1173   -5.575e-13     0.015766   3.2712e-13     0.089622      -1.1292      -1889.1       76.899      0.23097   -0.0094537            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -15            0     -0.58141      0.23182      0.19214     0.039677   7.9075e-13      0.12585       0.2313     -0.10545  -4.3839e-13  -2.3112e-13  -1.6798e-13  -6.3142e-14       -2.508      -1.9124            0      -7.2038       2.8723      -1.3896   9.7976e-12      -7.0856       -1.128   9.5715e-12      -7.2288            0            0            0       23.222      -29.427           25      -21.738  -3.5964e-12      0.10915  -8.9776e-13     0.015813    3.318e-13     0.089566      -1.0962      -1847.6       71.807      0.23097   -0.0091938            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -14.5            0     -0.56307       0.2158      0.17858     0.037213    7.772e-13      0.11397      0.21271    -0.098741  -4.3022e-13  -1.7755e-13   -1.187e-13  -5.8851e-14      -2.6093       -1.958            0      -6.9766       2.6738      -1.3004   9.6297e-12      -6.8698      -1.0572   9.4301e-12      -7.0085            0            0            0       23.344      -28.742           25      -20.969  -3.5266e-12      0.09885  -5.2481e-13     0.015859   3.3587e-13     0.089507      -1.0628      -1804.6       66.844      0.23098   -0.0089295            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
