MILVUS24_US_vtail
T1-25.0 m/s-TriUniform-ThickSurf-x0.018m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -20.5            0     -0.76732      0.36372      0.29454     0.069177   6.8428e-13      0.13262       0.3445     -0.21188  -3.3016e-13   -2.339e-13  -1.6344e-13   -7.046e-14      -2.1097       -1.848            0      -9.5073       4.5065      -2.5267   8.4784e-12      -9.2054      -2.0024     8.26e-12      -9.3242            0            0            0       22.591      -22.839           25      -25.361  -2.7307e-12      0.11502  -8.4608e-13     0.015154   1.9321e-13     0.090292     -0.76611      -806.59       112.66      0.23074    -0.011628            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0          -20            0     -0.75053      0.35091      0.28472      0.06619   6.7172e-13      0.13154       0.3342     -0.20265  -3.2353e-13  -2.4383e-13  -1.7696e-13  -6.6869e-14      -2.1388      -1.8529            0      -9.2992       4.3478      -2.4099   8.3228e-12      -9.0189      -1.9107   8.1222e-12       -9.134            0            0            0       22.647      -22.779           25      -25.058  -2.6731e-12      0.11409  -9.6881e-13     0.015213   1.9283e-13     0.090271     -0.75061      -804.45        108.7      0.23071    -0.011418            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0        -19.5            0      -0.7336      0.33613      0.27289     0.063245    6.587e-13      0.12533      0.31893      -0.1936  -3.1751e-13  -2.1094e-13   -1.474e-13  -6.3532e-14      -2.1825      -1.8693            0      -9.0895       4.1647      -2.2955   8.1614e-12      -8.8297      -1.8209   7.9452e-12      -8.9411            0            0            0       22.728      -22.579           25      -24.617  -2.6209e-12       0.1087  -7.5928e-13      0.01527   1.9475e-13     0.090246     -0.73488       -797.4       104.12      0.23069    -0.011202            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0          -19            0     -0.71654      0.32219      0.26185     0.060342   6.4568e-13      0.12056      0.30529     -0.18474  -3.1117e-13   -1.889e-13  -1.2878e-13  -6.0116e-14       -2.224      -1.8825            0      -8.8781        3.992      -2.1835   8.0002e-12      -8.6378       -1.733   7.7998e-12      -8.7455            0            0            0       22.801       -22.42           25      -24.211   -2.566e-12      0.10456   -6.321e-13     0.015326   1.9484e-13     0.090218     -0.71893       -791.8         99.8      0.23067    -0.010982            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0        -18.5            0     -0.69934      0.30863      0.25115     0.057485   6.3244e-13      0.11739      0.29344     -0.17605  -3.0447e-13  -2.4081e-13  -1.8407e-13  -5.6741e-14       -2.266      -1.8949            0       -8.665        3.824       -2.074    7.836e-12      -8.4432      -1.6471   7.6336e-12      -8.5473            0            0            0       22.872      -22.274           25      -23.813  -2.5084e-12      0.10181  -1.0774e-12      0.01538   1.9526e-13     0.090187     -0.70275      -786.61         95.6      0.23065    -0.010756            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0          -18            0     -0.68202      0.29575      0.24107     0.054675   6.1911e-13      0.11476      0.28231     -0.16755  -2.9817e-13  -1.9647e-13  -1.4295e-13  -5.3513e-14      -2.3061      -1.9045            0      -8.4504       3.6644       -1.967   7.6709e-12      -8.2461      -1.5631   7.4906e-12      -8.3466            0            0            0       22.936      -22.162           25      -23.443  -2.4542e-12     0.099537   -7.745e-13     0.015433   1.9613e-13     0.090152     -0.68637      -782.68       91.609      0.23064    -0.010526            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0        -17.5            0     -0.66457      0.28159      0.22968     0.051916   6.0546e-13      0.11259      0.27183     -0.15924   -2.911e-13  -1.8962e-13  -1.3934e-13  -5.0279e-14        -2.36      -1.9239            0      -8.2342        3.489      -1.8626   7.5018e-12      -8.0465      -1.4811   7.3219e-12      -8.1434            0            0            0       23.019      -21.938           25      -22.963  -2.3939e-12     0.097655  -7.6301e-13     0.015484   1.9654e-13     0.090114     -0.66977      -774.76       87.225      0.23063     -0.01029            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0          -17            0       -0.647      0.26727      0.21806     0.049208   5.9162e-13       0.1096      0.26071     -0.15112  -2.8374e-13   -1.767e-13  -1.2964e-13  -4.7064e-14      -2.4208      -1.9472            0      -8.0164       3.3115      -1.7607   7.3303e-12      -7.8444      -1.4012   7.1738e-12      -7.9379            0            0            0       23.106      -21.676           25      -22.445  -2.3315e-12     0.095055  -7.0345e-13     0.015534   1.9715e-13     0.090072     -0.65297      -765.51       82.788      0.23062     -0.01005            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0        -16.5            0      -0.6293      0.25543      0.20888     0.046555   5.7776e-13      0.10733      0.25052     -0.14319   -2.767e-13  -1.8192e-13   -1.379e-13  -4.4023e-14      -2.4637      -1.9544            0      -7.7972       3.1649      -1.6615   7.1585e-12      -7.6399      -1.3233   6.9878e-12        -7.73            0            0            0       23.164      -21.596           25      -22.092  -2.2718e-12     0.093085  -7.8376e-13     0.015582   1.9807e-13     0.090027     -0.63598      -762.69       79.122      0.23062   -0.0098055            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0          -16            0     -0.61149      0.23945       0.1955     0.043958   5.6369e-13     0.096556      0.23202     -0.13546  -2.6996e-13   -1.802e-13  -1.3901e-13  -4.1192e-14      -2.5537      -1.9969            0      -7.5765       2.9669      -1.5648   6.9842e-12      -7.4331      -1.2475   6.8202e-12      -7.5198            0            0            0       23.279      -21.136           25      -21.385  -2.2149e-12     0.083745  -8.0804e-13     0.015628   1.9808e-13     0.089978     -0.61878      -746.44       74.172      0.23061   -0.0095563            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
