MILVUS24_US_vtail
T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.018m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15    0.0008136    -0.033637     0.036625    -0.070262      0.37521    -0.027448     0.044456    -0.071904     -0.16503   -0.0011635  -4.3267e-05   -0.0011202    -0.024188  -0.00068992       35.059     0.010081      0.81612     -0.87056       4.6489     0.010081     -0.70803       4.6642     0.029822            0            0            0      0.60452       -61176           25      -88.614      -1.3496    -0.023806   -0.0095145      0.16673      -93.391       2.9259      0.46466  -2.1605e+06      -10.419  -2.5541e-07   0.00013565            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0        -14.5   0.00081735    -0.035237     0.030517    -0.065754      0.36381    -0.030441     0.037016    -0.067458     -0.16002   -0.0011356  -4.9363e-05   -0.0010862    -0.023195  -0.00066314       34.978     0.010127      0.71798     -0.81471       4.5077     0.010127     -0.66401       4.5225     0.027764            0            0            0      0.57973       -63647           25      -88.671      -1.3086    -0.026402   -0.0092861      0.15511      -90.138       2.7463      0.45055  -2.2478e+06      -10.915  -2.7544e-07   0.00012678            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0          -14   0.00082098     -0.03487     0.026517    -0.061387       0.3523    -0.031028     0.032122    -0.063149     -0.15496   -0.0010648  -1.2997e-05   -0.0010518    -0.023544  -0.00067461       34.901     0.010172      0.64655      -0.7606       4.3651     0.010172     -0.62135       4.3794      0.02577            0            0            0      0.58844       -62566           25      -88.651      -1.2672    -0.026911   -0.0087077      0.14395        -86.9       2.5738       0.4363  -2.2096e+06      -10.801  -2.9766e-07   0.00011818            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0        -13.5   0.00082449    -0.033447     0.023714     -0.05716      0.34068    -0.030292     0.028688     -0.05898     -0.14985   -0.0010135   3.6719e-06   -0.0010171    -0.024651  -0.00070783       34.826     0.010216      0.59056     -0.70823       4.2211     0.010216     -0.58007        4.235      0.02384            0            0            0      0.61609       -59629           25      -88.588      -1.2254    -0.026272   -0.0082877      0.13324      -83.677       2.4084      0.42192  -2.1059e+06       -10.36  -3.2241e-07   0.00010986            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0          -13   0.00082789    -0.031078     0.021998    -0.053076      0.32896    -0.028323     0.026628    -0.054951     -0.14469  -0.00097812   4.0278e-06  -0.00098215    -0.026639  -0.00076649       34.755     0.010258      0.54867     -0.65763       4.0759     0.010258     -0.54018       4.0893     0.021976            0            0            0      0.66574       -55066           25      -88.474      -1.1832    -0.024565   -0.0079986      0.12298      -80.466       2.2499      0.40741  -1.9447e+06      -9.6265  -3.5009e-07   0.00010181            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0        -12.5   0.00083116    -0.028752     0.020383    -0.049136      0.31714    -0.026373     0.024691    -0.051064     -0.13949  -0.00094334   3.5137e-06  -0.00094686    -0.028908   -0.0008334       34.686     0.010298      0.50866      -0.6088       3.9294     0.010298     -0.50169       3.9423     0.020177            0            0            0      0.72239       -50644           25      -88.344      -1.1407    -0.022874   -0.0077142      0.11316      -77.269       2.0981      0.39277  -1.7886e+06      -8.9062  -3.8116e-07   9.4056e-05            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0          -12   0.00083432    -0.026376     0.018964     -0.04534      0.30522    -0.024356     0.022963    -0.047319     -0.13425  -0.00090842   2.8568e-06  -0.00091127    -0.031631  -0.00091366       34.621     0.010337      0.47174     -0.56177       3.7818     0.010337     -0.46461       3.7942     0.018444            0            0            0      0.79039       -46196           25      -88.188      -1.0978    -0.021124   -0.0074286      0.10378      -74.084       1.9531      0.37802  -1.6314e+06      -8.1702  -4.1622e-07   8.6583e-05            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0        -11.5   0.00083735    -0.024046     0.017644     -0.04169      0.29321    -0.022335     0.021384    -0.043719     -0.12897  -0.00087203   3.3822e-06  -0.00087541    -0.034823   -0.0010077       34.558     0.010375      0.43672     -0.51655       3.6329     0.010375     -0.42896       3.6449     0.016778            0            0            0      0.87004       -41886           25      -88.006      -1.0546    -0.019371   -0.0071311     0.094819      -70.911       1.8147      0.36314  -1.4792e+06      -7.4484  -4.5595e-07   7.9397e-05            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0          -11   0.00084026    -0.021635     0.016552    -0.038187      0.28111    -0.020185     0.020078    -0.040264     -0.12365  -0.00083714   2.1433e-06  -0.00083929    -0.038839   -0.0011258       34.498     0.010411      0.40522     -0.47315        3.483     0.010411     -0.39475       3.4945     0.015179            0            0            0      0.97023       -37490           25      -87.776      -1.0111    -0.017507   -0.0068458     0.086282      -67.749       1.6828      0.34816   -1.324e+06      -6.7015  -5.0125e-07     7.25e-05            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
          0            0        -10.5   0.00084305    -0.019316     0.015516    -0.034833      0.26892    -0.018143     0.018811    -0.036954     -0.11829  -0.00080086   2.0494e-06  -0.00080291    -0.043645   -0.0012672       34.441     0.010446      0.37511     -0.43158        3.332     0.010446     -0.36198        3.343     0.013647            0            0            0       1.0901       -33306           25      -87.501     -0.96729    -0.015736    -0.006549     0.078162      -64.598       1.5573      0.33308  -1.1762e+06      -5.9833  -5.5317e-07   6.5895e-05            0            0            0            0            0            0            0            0            0          3.6        0.018            0  
