MILVUS24_US_wing
T1-25.0 m/s-TriUniform-ThickSurf-x0.03m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0     -0.55788      0.28744      0.27636     0.011072  -3.6162e-20     -0.14479   -0.0015064     -0.14328  -8.6067e-14  -3.9049e-14  -3.2007e-14   -7.042e-15      -1.9409      -1.4497            0      -21.426       11.039      -4.7708  -1.3889e-18      -20.892      -4.2006   1.7677e-18      -20.672            0            0            0       22.224      -16.537           25      -27.259  -3.2728e-12      -0.6395   -6.555e-13   -0.0022253     1.55e-13   -0.0023314      -2.2891      -584.02       275.98       1.0289    0.0012415            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0        -13.5            0     -0.51375      0.27054      0.26115    0.0093919  -3.2285e-20     -0.14439   -0.0013998     -0.14299  -7.9361e-14  -3.6105e-14  -2.9811e-14  -6.2948e-15       -1.899      -1.3611            0      -19.731       10.391      -4.2554  -1.2399e-18       -19.27       -3.715   1.5297e-18      -19.074            0            0            0        22.12      -17.613           25      -27.771  -3.0202e-12     -0.63772  -6.3682e-13   -0.0047254   1.5467e-13   -0.0027717      -2.1094      -622.02       259.76       1.0287    0.0024277            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0          -13            0     -0.46951      0.25284        0.245    0.0078451  -2.8593e-20     -0.14397    -0.001291     -0.14268  -7.2244e-14  -3.3952e-14  -2.8513e-14  -5.4393e-15      -1.8569      -1.2724            0      -18.032       9.7109      -3.7628  -1.0982e-18      -17.638      -3.2515   1.3005e-18      -17.466            0            0            0       22.011      -18.841           25      -28.304  -2.7505e-12     -0.63589  -6.4638e-13   -0.0077149   1.5372e-13    -0.003303      -1.9285      -665.39       242.77       1.0286    0.0036222            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0        -12.5            0     -0.42519      0.23478      0.22834    0.0064333  -2.5088e-20     -0.14355   -0.0011824     -0.14237  -6.5514e-14   -3.029e-14  -2.5593e-14  -4.6968e-15       -1.811      -1.1809            0       -16.33        9.017      -3.2932  -9.6355e-19      -15.996      -2.8104   1.0804e-18      -15.847            0            0            0       21.885      -20.301           25      -28.906  -2.4955e-12     -0.63402  -5.9115e-13    -0.011347   1.5427e-13   -0.0039537      -1.7466      -716.94       225.42       1.0287    0.0048246            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0          -12            0     -0.38077      0.21634      0.21118    0.0051583  -2.1771e-20     -0.14312   -0.0010742     -0.14204  -5.8778e-14  -2.7361e-14  -2.3161e-14  -4.1991e-15      -1.7601      -1.0861            0      -14.624       8.3087      -2.8467  -8.3614e-19      -14.346      -2.3916   8.6931e-19      -14.219            0            0            0       21.737      -22.073           25      -29.603  -2.2416e-12     -0.63212  -5.5851e-13    -0.015847   1.5374e-13   -0.0047661      -1.5637      -779.52       207.72       1.0289    0.0060342            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0        -11.5            0     -0.33628      0.19655      0.19253    0.0040216  -1.8642e-20     -0.14267  -0.00096161     -0.14171  -5.1641e-14  -2.4745e-14  -2.1225e-14  -3.5202e-15      -1.7109     -0.99213            0      -12.915       7.5489      -2.4235  -7.1599e-19      -12.687      -1.9954   6.6733e-19      -12.582            0            0            0       21.584      -24.163           25      -30.306  -1.9705e-12     -0.63015  -5.3586e-13    -0.021561   1.5342e-13   -0.0058046      -1.3798      -853.35       188.72       1.0293    0.0072504            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0          -11            0     -0.29171      0.17334      0.17032    0.0030244  -1.5704e-20     -0.14221  -0.00083492     -0.14137  -4.4478e-14  -1.9469e-14  -1.6421e-14  -3.0477e-15      -1.6829     -0.90892            0      -11.204       6.6574      -2.0237  -6.0312e-19       -11.02      -1.6219   4.7451e-19      -10.937            0            0            0       21.492      -26.375           25       -30.72  -1.6992e-12     -0.62809  -4.0805e-13    -0.029045   1.5286e-13   -0.0071733      -1.1951      -931.48       166.44       1.0299    0.0084728            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0        -10.5            0     -0.24707      0.14134      0.13918    0.0021681  -1.2955e-20     -0.14169  -0.00066934     -0.14102  -3.7685e-14   -1.515e-14  -1.2516e-14  -2.6338e-15       -1.748     -0.86889            0      -9.4892       5.4285      -1.6474  -4.9757e-19      -9.3455      -1.2712   2.9092e-19      -9.2838            0            0            0         21.7       -27.59           25      -29.772  -1.4416e-12     -0.62582  -3.0837e-13    -0.039262   1.5261e-13   -0.0090518      -1.0096      -974.38       135.71       1.0307    0.0097007            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0          -10            0     -0.20238      0.12758      0.12612     0.001454  -1.0399e-20     -0.14126  -0.00059483     -0.14067   -3.053e-14  -1.0476e-14  -8.1924e-15  -2.2835e-15      -1.5863     -0.71363            0      -7.7727       4.8998      -1.2947  -3.9937e-19      -7.6643     -0.94333   1.1662e-19       -7.623            0            0            0       21.149      -33.593           25      -32.227    -1.17e-12     -0.62391  -1.9262e-13    -0.054025   1.5076e-13    -0.011779     -0.82334      -1186.4        122.5       1.0312     0.010934            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
          0         -9.5            0     -0.15763      0.11487      0.11399   0.00088295   -8.034e-21     -0.14083  -0.00052693      -0.1403  -2.3382e-14  -8.0076e-15  -6.0232e-15  -1.9844e-15      -1.3723     -0.54484            0      -6.0541       4.4117     -0.96577  -3.0856e-19      -5.9767     -0.63848  -4.8343e-20      -5.9553            0            0            0       20.205          -44           25      -36.081   -8.983e-13       -0.622   -1.551e-13    -0.077209   1.4934e-13    -0.016078     -0.63636      -1553.9       110.29       1.0302     0.012171            0            0            0            0            0            0            0            0            0          3.6         0.03            0  
