MILVUS24_US_vtail_extended
T1-25.0 m/s-TriUniform-ThickSurf-x0.016m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -21            0     -0.67687      0.34992      0.28721      0.06271  -5.4071e-13      0.17358      0.36774     -0.19416   2.9073e-13   2.2798e-13   1.7563e-13   5.2343e-14      -1.9343      -1.5914            0      -8.3866       4.3356      -2.2801  -6.6995e-12       -8.108       -1.744  -8.4524e-12      -8.0258            0            0            0       22.208      -35.362           25      -27.338    2.373e-12      0.15055   8.8843e-13     0.013267  -1.6633e-13     0.090304      -1.2945      -2220.2       108.39      0.19807   -0.0089802            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -20.5            0     -0.66248      0.33597      0.27589      0.06008  -5.2553e-13      0.17188      0.35732     -0.18544   2.8281e-13   2.2287e-13   1.7379e-13   4.9079e-14      -1.9719       -1.605            0      -8.2083       4.1627      -2.1774  -6.5114e-12      -7.9492      -1.6666  -8.1967e-12      -7.8748            0            0            0       22.297      -35.064           25      -26.891   2.3068e-12      0.14907   8.9716e-13     0.013378  -1.6575e-13     0.090475      -1.2692      -2201.4       104.07      0.19804   -0.0088629            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -20            0     -0.64798      0.32494      0.26745     0.057484  -5.0993e-13      0.17078      0.34768      -0.1769   2.7549e-13   1.7027e-13   1.2413e-13   4.6146e-14      -1.9942      -1.6052            0      -8.0286       4.0261      -2.0767  -6.3181e-12      -7.7881      -1.5907  -7.9295e-12      -7.7211            0            0            0       22.348      -35.058           25      -26.632    2.246e-12      0.14812   5.3796e-13     0.013488    -1.65e-13     0.090643      -1.2434      -2201.1       100.65      0.19802   -0.0087397            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -19.5            0     -0.63336      0.31043      0.25551     0.054924  -4.9437e-13      0.16092      0.32946     -0.16854   2.6788e-13   1.2295e-13    7.979e-14   4.3156e-14      -2.0402      -1.6237            0      -7.8475       3.8464      -1.9781  -6.1253e-12      -7.6245      -1.5164  -7.6809e-12      -7.5648            0            0            0       22.449      -34.659           25      -26.111   2.1828e-12      0.13957   2.1649e-13     0.013595  -1.6435e-13     0.090809      -1.2174      -2176.1       96.159      0.19801   -0.0086107            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -19            0     -0.61862      0.29716      0.24476     0.052401  -4.7864e-13      0.15329      0.31366     -0.16036   2.6147e-13   2.1943e-13   1.7857e-13    4.086e-14      -2.0818      -1.6374            0      -7.6648       3.6819      -1.8815  -5.9304e-12      -7.4586      -1.4437  -7.4214e-12      -7.4059            0            0            0       22.535       -34.37           25      -25.658   2.1305e-12      0.13295   1.0005e-12     0.013701  -1.6364e-13     0.090972      -1.1909      -2157.9       92.047      0.19799    -0.008476            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -18.5            0     -0.60377      0.28577      0.23585     0.049918  -4.6269e-13      0.15095      0.30331     -0.15237   2.5376e-13   1.6075e-13   1.2261e-13   3.8138e-14      -2.1128      -1.6417            0      -7.4808       3.5407      -1.7872  -5.7329e-12      -7.2905      -1.3726  -7.1511e-12      -7.2445            0            0            0       22.597      -34.279           25      -25.329   2.0669e-12      0.13092   5.8817e-13     0.013806  -1.6264e-13     0.091133      -1.1641      -2152.2       88.518      0.19798   -0.0083356            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -18            0      -0.5888       0.2748      0.22732     0.047476   -4.465e-13      0.14865      0.29321     -0.14456   2.4567e-13   1.4232e-13   1.0685e-13   3.5464e-14      -2.1427      -1.6441            0      -7.2954       3.4048       -1.695  -5.5322e-12      -7.1201      -1.3032  -6.8764e-12      -7.0806            0            0            0       22.654      -34.228           25      -25.019   2.0003e-12      0.12892   4.8602e-13     0.013909  -1.6198e-13     0.091291      -1.1369        -2149        85.12      0.19797   -0.0081896            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -17.5            0     -0.57373      0.26474      0.21966     0.045078  -4.3025e-13      0.14694      0.28388     -0.13694   2.3767e-13   1.3137e-13   9.8559e-14    3.281e-14      -2.1672      -1.6415            0      -7.1086       3.2802      -1.6049  -5.3309e-12      -6.9476      -1.2354  -6.6185e-12      -6.9142            0            0            0         22.7      -34.283           25       -24.77   1.9343e-12      0.12744    4.401e-13      0.01401  -1.6052e-13     0.091446      -1.1094      -2152.4       82.004      0.19796    -0.008038            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0          -17            0     -0.55855      0.25075      0.20803     0.042725  -4.1373e-13      0.14272      0.27223     -0.12951   2.2935e-13   1.0301e-13   7.2771e-14    3.024e-14      -2.2275      -1.6647            0      -6.9205       3.1069      -1.5171  -5.1263e-12      -6.7729      -1.1693  -6.3424e-12      -6.7454            0            0            0       22.807      -33.805           25      -24.177   1.8658e-12      0.12378   2.5723e-13      0.01411  -1.5967e-13     0.091598      -1.0815      -2122.4       77.672      0.19796   -0.0078809            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0        -16.5            0     -0.54326      0.23746      0.19704     0.040419  -3.9707e-13      0.13896      0.26124     -0.12228    2.224e-13   1.1564e-13   8.7462e-14   2.8176e-14      -2.2878      -1.6863            0      -6.7311       2.9421      -1.4316  -4.9198e-12      -6.5962      -1.1048  -6.0737e-12      -6.5743            0            0            0       22.907      -33.373           25       -23.61   1.8092e-12      0.12052   3.9018e-13     0.014207  -1.5883e-13     0.091747      -1.0533      -2095.3       73.553      0.19796   -0.0077183            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
