MILVUS24_US_vtail_extended
T5-a0.0°-25.0m/s-TriUniform-ThickSurf-x0.0m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15    0.0011856     0.038674      0.12373    -0.085054      0.45578     0.071758      0.16691    -0.095156     -0.17946  -0.00054213  -0.00051119  -3.0938e-05     0.030655    0.0010555       29.043     0.014689       1.9767      -1.0538       5.6472     0.014689     -0.82344       5.7632     0.091649            0            0            0      0.76603        53316           25       88.244      -1.4675     0.062237   -0.0044333      0.41382      -62.685       5.7078      0.90698   3.3474e+06       11.979  -4.4801e-07    0.0004906            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -14.5     0.001191     0.031236      0.11083    -0.079598      0.44193     0.061527      0.15079    -0.089262       -0.174  -0.00086619   -0.0008362  -2.9998e-05      0.03813    0.0013159       28.976     0.014757       1.7894     -0.98624       5.4757     0.014757     -0.77245       5.5881     0.086685            0            0            0      0.95256        42766           25       87.816      -1.4229     0.053363   -0.0070834        0.387      -60.502       5.3367      0.87947    2.685e+06       9.6754  -4.8314e-07   0.00046093            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -14    0.0011963     0.017629     0.091939    -0.074311      0.42795     0.041023      0.12457    -0.083551      -0.1685   -0.0011669   -0.0011379  -2.9049e-05     0.067862    0.0023472       28.912     0.014823       1.5285     -0.92073       5.3024     0.014823     -0.72304       5.4113     0.081876            0            0            0       1.6927        23976           25       86.118      -1.3779      0.03558   -0.0095425      0.36125      -58.328       4.9804      0.85169   1.5053e+06       5.4605  -5.2212e-07   0.00043217            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -13.5    0.0012014   -0.0025463     0.066648    -0.069194      0.41384     0.012662     0.090686    -0.078024     -0.16294   -0.0018205   -0.0017925  -2.8092e-05     -0.47183    -0.016354        28.85     0.014886       1.1891     -0.85733       5.1276     0.014886     -0.67523       5.2329     0.077222            0            0            0       10.668      -3441.1           25      -64.741      -1.3325     0.010982    -0.014888      0.33655      -56.165       4.6386      0.82365  -2.1604e+05     -0.78874  -5.6554e-07   0.00040434            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -13    0.0012064    -0.019895     0.044355     -0.06425       0.3996    -0.012423     0.060261    -0.072684     -0.15734   0.00010078   0.00012791  -2.7125e-05    -0.060636   -0.0021061       28.791     0.014947      0.88767     -0.79608       4.9512     0.014947     -0.62903       5.0528     0.072724            0            0            0       1.5131       -26721           25       -86.53      -1.2866    -0.010775   0.00082416      0.31288       -54.01        4.311      0.79536  -1.6776e+06      -6.1627  -6.1408e-07   0.00037745            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -12.5    0.0012111    -0.034476     0.025004     -0.05948      0.38524    -0.034175     0.033356    -0.067531     -0.15168   3.4468e-06   2.9597e-05   -2.615e-05    -0.035131   -0.0012226       28.734     0.015006      0.62343     -0.73697       4.7732     0.015006     -0.58445       4.8713     0.068385            0            0            0      0.87772       -46030           25      -87.988      -1.2404     -0.02964   2.8186e-05      0.29023      -51.864       3.9975      0.76683  -2.8899e+06      -10.679  -6.6859e-07   0.00035151            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -12    0.0012157    -0.032266     0.022619    -0.054885      0.37077    -0.032341     0.030226    -0.062568     -0.14598   6.7273e-07    2.584e-05  -2.5168e-05    -0.037679   -0.0013138        28.68     0.015063       0.5702     -0.68004       4.5939     0.015063     -0.54151       4.6882     0.064205            0            0            0      0.94131       -42835           25      -87.842      -1.1938     -0.02805   5.5013e-06      0.26857      -49.726       3.6978      0.73807  -2.6894e+06      -9.9945  -7.3008e-07   0.00032652            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -11.5    0.0012202    -0.029824     0.020643    -0.050467      0.35618     -0.03019     0.027605    -0.057795     -0.14024  -4.2128e-06   1.9964e-05  -2.4177e-05    -0.040913   -0.0014291       28.628     0.015118      0.52286     -0.62529       4.4131     0.015118     -0.50022       4.5037     0.060186            0            0            0        1.022       -39378           25      -87.657      -1.1468    -0.026184   -3.445e-05       0.2479      -47.596       3.4118      0.70908  -2.4723e+06      -9.2381  -7.9978e-07   0.00030249            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -11    0.0012244    -0.027159     0.019067    -0.046226      0.34148    -0.027736     0.025479    -0.053215     -0.13445  -4.6752e-06   1.8504e-05  -2.3179e-05    -0.045083   -0.0015775       28.578     0.015171      0.48133     -0.57275        4.231     0.015171     -0.46059       4.3179     0.056328            0            0            0       1.1259       -35673           25      -87.419      -1.0995    -0.024056  -3.8231e-05      0.22821      -45.474       3.1392      0.67988  -2.2397e+06      -8.4126  -8.7923e-07   0.00027942            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0        -10.5    0.0012285    -0.024562     0.017603    -0.042165      0.32667     -0.02529     0.023538    -0.048828     -0.12862  -5.6549e-06    1.652e-05  -2.2175e-05    -0.050016    -0.001753       28.531     0.015221      0.44203     -0.52244       4.0476     0.015221     -0.42264       4.1307     0.052634            0            0            0       1.2488       -32102           25      -87.137      -1.0518    -0.021935  -4.6243e-05      0.20948      -43.359         2.88      0.65047  -2.0155e+06      -7.6082  -9.7032e-07   0.00025734            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0          -10    0.0012324    -0.021927     0.016358    -0.038285      0.31177    -0.022778     0.021858    -0.044636     -0.12275  -7.1151e-06   1.4048e-05  -2.1163e-05    -0.056203    -0.001973       28.486     0.015269      0.40632     -0.47436       3.8629     0.015269     -0.38638       3.9423     0.049104            0            0            0       1.4029       -28523           25      -86.783      -1.0038    -0.019756  -5.8184e-05      0.19169       -41.25       2.6338      0.62086  -1.7908e+06       -6.792  -1.0754e-06   0.00023623            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
          0            0         -9.5    0.0012361    -0.019499     0.015087    -0.034586      0.29678    -0.020486     0.020155    -0.040641     -0.11685  -8.1579e-06   1.1987e-05  -2.0145e-05    -0.063391   -0.0022287       28.443     0.015315      0.37118     -0.42853       3.6771     0.015315     -0.35181       3.7526      0.04574            0            0            0       1.5816       -25251           25      -86.373     -0.95555    -0.017768  -6.6711e-05      0.17484      -39.148       2.4007      0.59106  -1.5854e+06        -6.04  -1.1976e-06   0.00021611            0            0            0            0            0            0            0            0            0          6.4        0.016            0  
