MILVUS24_US_wing
wing_T1-25.0 m/s-TriUniform-ThickSurf-x0.031m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -13.5            0     -0.51894      0.27251      0.26295    0.0095568  -3.3108e-20     -0.14089   -0.0019433     -0.13895  -8.0776e-14  -3.6503e-14  -3.0189e-14  -6.3133e-15      -1.9043      -1.3718            0      -19.931       10.466      -4.2958  -1.2716e-18      -19.466      -3.7767   6.7763e-17       -19.62            0            0            0       22.134        -23.3           25      -27.705  -3.0732e-12     -0.62228  -6.3897e-13   -0.0022084   1.5575e-13    -0.003742      -2.4962      -1462.9       261.65       1.0315    0.0011461            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0          -13            0     -0.47445      0.25494      0.24695    0.0079887  -2.9265e-20      -0.1405   -0.0017843     -0.13872  -7.3749e-14  -3.4795e-14  -2.9191e-14  -5.6041e-15      -1.8611      -1.2819            0      -18.222       9.7911      -3.8001   -1.124e-18      -17.824      -3.3298   5.9966e-17      -17.976            0            0            0       22.022      -24.935           25       -28.25  -2.8083e-12     -0.62056  -6.6496e-13   -0.0050481   1.5576e-13    -0.004258      -2.2831      -1565.5       244.78       1.0315    0.0023951            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0        -12.5            0     -0.42986      0.23648      0.22993     0.006557  -2.5624e-20     -0.14013   -0.0016233      -0.1385  -6.7013e-14  -3.0661e-14  -2.5819e-14  -4.8417e-15      -1.8177      -1.1918            0      -16.509       9.0825      -3.3274  -9.8411e-19      -16.173      -2.9028   5.2696e-17       -16.32            0            0            0       21.904      -26.821           25      -28.817   -2.553e-12      -0.6189  -5.9265e-13   -0.0085124   1.5534e-13    -0.004896      -2.0688      -1683.9       227.06       1.0316    0.0036591            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0          -12            0     -0.38518      0.21822      0.21295    0.0052634  -2.2185e-20     -0.13977   -0.0014682      -0.1383  -5.9775e-14   -2.781e-14  -2.3667e-14  -4.1431e-15      -1.7651      -1.0955            0      -14.793       8.3809       -2.878  -8.5205e-19      -14.512      -2.4961   4.5956e-17      -14.654            0            0            0       21.752      -29.178           25      -29.533  -2.2787e-12     -0.61733  -5.6745e-13    -0.012819   1.5556e-13    -0.005699      -1.8534      -1831.9       209.52       1.0318    0.0049376            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0        -11.5            0     -0.34042      0.19818      0.19407    0.0041093  -1.8951e-20     -0.13943   -0.0013057     -0.13812  -5.2749e-14  -2.5594e-14  -2.1966e-14  -3.6278e-15      -1.7177      -1.0022            0      -13.074       7.6113      -2.4519  -7.2783e-19      -12.843      -2.1095   3.9747e-17      -12.977            0            0            0       21.606      -31.893           25      -30.206   -2.013e-12      -0.6158  -5.5932e-13      -0.0183    1.547e-13   -0.0067322      -1.6368      -2002.4       190.28       1.0323    0.0062296            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0          -11            0     -0.29559      0.17508      0.17199    0.0030962  -1.5921e-20     -0.13908   -0.0011285     -0.13795  -4.5792e-14  -2.0743e-14  -1.7631e-14  -3.1119e-15      -1.6883     -0.91787            0      -11.352       6.7243      -2.0494  -6.1147e-19      -11.166      -1.7433   3.4071e-17       -11.29            0            0            0        21.51      -34.824           25      -30.639  -1.7492e-12     -0.61428  -4.4645e-13     -0.02549   1.5455e-13    -0.008101      -1.4192      -2186.4       168.11        1.033    0.0075345            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0        -10.5            0     -0.25068      0.14368      0.14145    0.0022254  -1.3098e-20      -0.1387  -0.00090445      -0.1378  -3.8414e-14  -1.5674e-14  -1.3046e-14  -2.6283e-15      -1.7448     -0.87357            0      -9.6279       5.5181      -1.6705  -5.0303e-19      -9.4822      -1.3976   2.8931e-17       -9.594            0            0            0        21.69       -36.59           25      -29.819   -1.469e-12     -0.61261  -3.2306e-13    -0.035309   1.5353e-13   -0.0099866      -1.2007      -2297.3       137.95       1.0337    0.0088514            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0          -10            0     -0.20572      0.12848      0.12699     0.001498  -1.0481e-20     -0.13845  -0.00079064     -0.13766  -3.1444e-14  -1.0389e-14  -8.1037e-15  -2.2855e-15      -1.6011     -0.72622            0       -7.901       4.9346      -1.3153  -4.0252e-19       -7.791      -1.0725   2.4327e-17      -7.8889            0            0            0       21.204      -44.014           25      -31.987  -1.2046e-12     -0.61151  -1.8324e-13    -0.049483   1.5302e-13    -0.012729     -0.98123      -2763.4       123.37       1.0342      0.01018            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0         -9.5            0     -0.16071      0.11559      0.11467   0.00091523  -8.0713e-21     -0.13823  -0.00069469     -0.13754  -2.4372e-14  -8.2946e-15  -6.2717e-15  -2.0229e-15      -1.3903     -0.55735            0      -6.1721       4.4394     -0.98403  -3.0999e-19      -6.0933     -0.76809   2.0262e-17      -6.1755            0            0            0       20.295       -57.35           25      -35.726  -9.3601e-13     -0.61055   -1.597e-13    -0.071674   1.5118e-13    -0.017048     -0.76095      -3600.7       110.98        1.033     0.011519            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0           -9            0     -0.11564     0.097966     0.097488   0.00047794  -5.8703e-21     -0.13801  -0.00057412     -0.13743  -1.7159e-14  -5.6142e-15  -3.8071e-15  -1.8071e-15      -1.1805     -0.40143            0      -4.4415       3.7625     -0.67667  -2.2546e-19      -4.3897     -0.48443   1.6736e-17      -4.4541            0            0            0       19.075      -79.625           25      -40.269  -6.6176e-13     -0.60955  -1.0987e-13     -0.11126   1.4838e-13    -0.024792      -0.5399      -4999.2       94.063       1.0243     0.012867            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
          0         -8.5            0    -0.070545     0.077585     0.077398   0.00018703  -3.8782e-21     -0.13779  -0.00044271     -0.13734  -9.9654e-15  -5.0123e-15  -3.3512e-15  -1.6611e-15     -0.90927      -0.2415            0      -2.7094       2.9798     -0.39337  -1.4895e-19      -2.6807     -0.22164    1.375e-17      -2.7255            0            0            0       16.819      -132.35           25      -47.721  -3.8796e-13     -0.60857  -1.3382e-13     -0.20164   1.4206e-13    -0.042533     -0.31816      -8309.7       74.494      0.97404     0.014225            0            0            0            0            0            0            0            0            0          6.4        0.031            0  
