MILVUS_wing
T1-25.0 m/s-LLT-x0.02875m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0    -0.056951     0.090655     0.090516   0.00013976            0    -0.094777            0    -0.094777  -1.0842e-19   3.7962e-19   3.7947e-19   1.4784e-22     -0.62821     -0.14992            0      -2.5072        3.991     -0.42931            0      -2.4702            0            0            0            0            0            0       13.299      -141.91           25      -57.862   -4.773e-18     -0.47983   1.6712e-17    -0.029033            0            0     -0.29431      -4524.5       99.774      0.84953    0.0016535            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -9.5            0    -0.036949     0.085827     0.085764   6.3414e-05            0    -0.098101            0    -0.098101    1.135e-18    2.478e-19   2.2362e-19   2.4186e-20     -0.43051    -0.082753            0      -1.6266       3.7784     -0.26572            0      -1.6048            0            0            0            0            0            0       9.8856      -257.09           25      -66.708   4.9968e-17     -0.49666   1.0909e-17      0.38661            0            0     -0.19271      -8196.7        94.46       0.7881    -0.014285            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -9            0    -0.018619     0.080939     0.080914   2.4951e-05            0     -0.10161            0     -0.10161   3.7269e-20   7.1669e-19   7.1828e-19  -1.5966e-21     -0.23004    -0.031389            0     -0.81967       3.5632     -0.12714            0     -0.80975            0            0            0            0            0            0       5.6045       -677.8           25      -77.045   1.6407e-18     -0.51441   3.1551e-17       0.5711            0            0     -0.10204       -21610       89.081      0.50858    -0.010633            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -8.5            0     -0.02211     0.075484     0.075455   2.9147e-05            0     -0.10724            0     -0.10724   1.1689e-19   2.1367e-19   2.1006e-19   3.6072e-21     -0.29291    -0.043553            0     -0.97334       3.3231      -0.1426            0     -0.96284            0            0            0            0            0            0       7.0274      -488.49           25      -73.674   5.1459e-18     -0.54294   9.4065e-18      -1.4128            0            0     -0.12064       -15574       83.077      0.61394     0.031236            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -8            0    -0.023058     0.070349     0.070326   2.3222e-05            0     -0.11197            0     -0.11197   6.7763e-20     2.03e-19   2.0329e-19  -2.8828e-22     -0.32776     -0.04977            0      -1.0151        3.097     -0.14026            0      -1.0053            0            0            0            0            0            0       7.7864      -427.47           25      -71.853   2.9831e-18     -0.56689   8.9367e-18      -2.9278            0            0     -0.11998       -13629       77.425      0.83807     0.067507            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -7.5            0   -0.0069797     0.066856     0.066853   2.6386e-06            0     -0.11116            0     -0.11116  -1.9905e-20   4.2686e-19    4.269e-19  -4.6198e-23      -0.1044    -0.008722            0     -0.30727       2.9432    -0.039992            0     -0.30466            0            0            0            0            0            0       2.5959      -2439.2           25       -84.04   -8.763e-19     -0.56278   1.8792e-17      -1.3358            0            0    -0.036081       -77769       73.581      0.67585    0.0093234            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -7            0    0.0089665     0.063412     0.063409   2.8458e-06            0     -0.11036            0     -0.11036   8.7244e-20   4.2008e-19   4.2013e-19  -5.0818e-23       0.1414      0.01339       10.561      0.39474       2.7916     0.048231            0      0.39178            0            0            0            0            0            0       3.5002       1588.9           25       81.952   3.8408e-18      -0.5587   1.8493e-17      0.24234            0            0     0.047072        50659        69.79       1.0342    0.0021729            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -6.5            0     0.048276     0.057887     0.057802   8.5623e-05            0     -0.11593            0     -0.11593   -3.134e-19   3.8662e-19   3.8625e-19   3.6959e-22      0.83396      0.18324       4.5513       2.1253       2.5484      0.24433            0       2.1112            0            0            0            0            0            0       16.012       116.11           25       50.173  -1.3797e-17     -0.58693    1.702e-17      0.62446            0            0       0.2432       3701.8        63.71      0.99636     0.030146            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -6            0     0.088187     0.052461     0.052165   0.00029583            0     -0.12174            0     -0.12174  -4.4723e-19   2.4525e-19   2.4395e-19   1.3009e-21        1.681      0.49919       3.3674       3.8823       2.3095      0.41876            0       3.8596            0            0            0            0            0            0       21.486       42.619           25       30.748  -1.9689e-17     -0.61633   1.0797e-17      0.95202            0            0      0.44416       1358.8       57.737      0.96231     0.083956            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -5.5            0      0.12013     0.048278     0.047706   0.00057189            0     -0.12355            0     -0.12355  -3.6592e-19   1.4289e-19    1.423e-19   5.9134e-22       2.4882      0.86238       2.8852       5.2883       2.1254      0.53192            0       5.2616            0            0            0            0            0            0       23.197        24.67           25       21.895  -1.6109e-17     -0.62548   6.2906e-18      0.84385            0            0      0.61202       786.55       53.134      0.92364      0.10137            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -5            0      0.14668      0.04517     0.044305   0.00086467            0     -0.12248            0     -0.12248  -7.1828e-19   1.3265e-19   1.2875e-19   3.9028e-21       3.2473       1.2437        2.611       6.4574       1.9885      0.60072            0       6.4295            0            0            0            0            0            0       23.893       17.106           25       17.116  -3.1621e-17     -0.62009   5.8398e-18      0.44465            0            0      0.74898       545.39       49.713      0.91085     0.065222            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0         -4.5            0       0.1751     0.042159     0.040926    0.0012325            0     -0.12134            0     -0.12134  -8.4703e-19  -5.7355e-20  -6.7763e-20   1.0408e-20       4.1533        1.738       2.3898       7.7085        1.856      0.65889            0       7.6804            0            0            0            0            0            0       24.305       12.242           25       13.537  -3.7289e-17      -0.6143   -2.525e-18      0.18914            0            0      0.89155       390.29       46.399      0.91058     0.033119            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
          0           -4            0      0.20686     0.038769     0.037059    0.0017099            0     -0.12041            0     -0.12041  -6.2342e-19   1.8343e-19   1.8296e-19   4.7307e-22       5.3357       2.4268       2.1987       9.1067       1.7068      0.71034            0       9.0792            0            0            0            0            0            0       24.572       8.7669           25       10.615  -2.7445e-17     -0.60961   8.0753e-18      0.13731            0            0       1.0522       279.51       42.669      0.91607     0.028403            0            0            0            0            0            0            0            0            0         3.25      0.02875            0  
