MILVUS_vtail
T1-25.0 m/s-VLM2
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -17            0     -0.52382      0.20191      0.15908     0.042831  -1.7115e-16      -3.0176     0.036937      -3.0545   1.8393e-16   1.8045e-16   3.5091e-17   1.4536e-16      -2.5943      -1.8776            0      -7.0184       2.7053      -1.5032  -2.2931e-15      -6.8795      -2.1033   1.3178e-15      -6.8795            0            0            0       23.327      -20.539           25       -21.08   1.5525e-15      -2.8302   1.5232e-15     0.016595  -4.0564e-17      0.14658      -0.2875      -654.83       67.632      0.17982   -0.0086926            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0        -16.5            0     -0.50957      0.19092      0.15039     0.040524  -1.6728e-16      -2.9233     0.042767      -2.9661   2.4216e-16   2.1475e-16    3.052e-17   1.8423e-16       -2.669      -1.9052            0      -6.8274        2.558      -1.4185  -2.2412e-15      -6.7004      -1.9848  -5.7743e-15      -6.7004            0            0            0       23.411      -20.241           25      -20.539   2.0441e-15      -2.7417   1.8127e-15     0.016571  -5.3003e-17      0.14637     -0.28002      -645.34        63.95      0.17985   -0.0084441            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0          -16            0     -0.49521      0.17262      0.13436     0.038266  -2.3852e-16      -2.8339     0.043268      -2.8772   1.0095e-16  -7.2027e-18   3.5053e-17  -4.2256e-17      -2.8687      -2.0188            0      -6.6351       2.3129       -1.336  -3.1959e-15      -6.5193      -1.8694  -4.1608e-15      -6.5193            0            0            0       23.607      -19.103           25      -19.218   8.5214e-16      -2.6579  -6.0798e-17     0.016549   -7.829e-17      0.14617     -0.27245      -609.06       57.822      0.17989   -0.0081951            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0        -15.5            0     -0.48076      0.15561      0.11955     0.036058   -2.393e-16      -2.7436     0.044424       -2.788    5.086e-17    1.319e-16   2.4643e-17   1.0725e-16      -3.0896      -2.1422            0      -6.4414       2.0849      -1.2558  -3.2062e-15      -6.3363      -1.7572   1.0636e-15      -6.3363            0            0            0       23.785      -18.002           25      -17.935   4.2931e-16      -2.5732   1.1133e-15     0.016527  -7.1985e-17      0.14598      -0.2648      -573.96       52.123      0.17992   -0.0079453            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0          -15            0     -0.46621      0.13648      0.10258     0.033903  -1.7037e-16      -2.6541     0.044367      -2.6985   3.0839e-16    3.711e-16   2.7447e-17   3.4365e-16       -3.416      -2.3325            0      -6.2465       1.8286       -1.178  -2.2828e-15      -6.1513      -1.6482  -5.7276e-15      -6.1513            0            0            0       23.993      -16.534           25      -16.317   2.6031e-15      -2.4893   3.1325e-15     0.016505  -1.3766e-16      0.14579     -0.25707      -527.14       45.715      0.17996    -0.007695            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0        -14.5            0     -0.45158      0.11079     0.078988     0.031801  -2.2691e-16      -2.5722     0.036518      -2.6087   7.4063e-17   2.1992e-17   2.8599e-17  -6.6072e-18       -4.076      -2.7391            0      -6.0504       1.4844      -1.1024  -3.0402e-15      -5.9644      -1.5425   -4.773e-15      -5.9644            0            0            0        24.28       -14.08           25      -13.785   6.2516e-16      -2.4124   1.8564e-16     0.016485  -8.8856e-17      0.14561     -0.24926      -448.89        37.11         0.18   -0.0074441            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0          -14            0     -0.43685      0.07786     0.048106     0.029754  -2.7028e-16      -2.4934     0.025226      -2.5186   2.0959e-16   1.0155e-16   2.5718e-17    7.583e-17      -5.6107      -3.7084            0      -5.8531       1.0432      -1.0292  -3.6213e-15      -5.7757        -1.44  -2.0337e-15      -5.7757            0            0            0       24.612      -10.399           25      -10.106   1.7691e-15      -2.3385   8.5717e-16     0.016465    -1.96e-16      0.14543     -0.24137      -331.56        26.08      0.18003   -0.0071927            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0        -13.5            0     -0.42204     0.068103     0.040338     0.027765  -1.7037e-16       -2.405     0.023226      -2.4283   8.9121e-17   2.8194e-16   2.1262e-17   2.6068e-16      -6.1971      -4.0259            0      -5.6546      0.91247     -0.95832  -2.2828e-15      -5.5852      -1.3409  -3.6317e-17      -5.5852            0            0            0       24.681      -9.5792           25      -9.1666   7.5227e-16      -2.2557   2.3799e-15     0.016446   6.1128e-17      0.14526     -0.23341      -305.41       22.812      0.18007   -0.0069406            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0          -13            0     -0.40714     0.058646     0.032812     0.025834  -1.9283e-16      -2.3172     0.020561      -2.3377   1.6195e-16  -6.2423e-18   1.8957e-17    -2.52e-17      -6.9423      -4.4297            0       -5.455      0.78577     -0.88985  -2.5837e-15      -5.3931      -1.2451  -6.3502e-15      -5.3931            0            0            0       24.745       -8.706           25      -8.1968   1.3671e-15      -2.1733  -5.2691e-17     0.016427  -1.1318e-16       0.1451     -0.22538      -277.57       19.644       0.1801   -0.0066881            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0        -12.5            0     -0.39216     0.050355     0.026392     0.023964  -1.8044e-16      -2.2291     0.017874       -2.247   1.9622e-16   2.0692e-16   1.4309e-17   1.9261e-16      -7.7878       -4.877            0      -5.2543      0.67468     -0.82378  -2.4176e-15      -5.1993      -1.1527  -2.5785e-15      -5.1993            0            0            0       24.796      -7.9075           25       -7.317   1.6563e-15      -2.0907   1.7466e-15     0.016409   2.1352e-17      0.14494     -0.21728      -252.11       16.867      0.18014    -0.006435            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
