MILVUS_wing
T1-25.0 m/s-LLT-x0.4m-z0.0m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0    -0.056951     0.090655     0.090516   0.00013976            0    -0.061342     0.041419     -0.10276  -1.0842e-19   3.7962e-19   3.7947e-19   1.4784e-22     -0.62821     -0.14992            0      -2.5072        3.991     -0.42931            0      -2.4702            0            0            0            0            0            0       13.299      -149.36           25      -57.862   -4.773e-18     -0.31056   1.6712e-17    -0.029033            0            0     -0.29431      -5274.7       99.774      0.84953    0.0016535            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0         -9.5            0    -0.036949     0.085827     0.085764   6.3414e-05            0    -0.064049     0.039244     -0.10329    1.135e-18    2.478e-19   2.2362e-19   2.4186e-20     -0.43051    -0.082753            0      -1.6266       3.7784     -0.26572            0      -1.6048            0            0            0            0            0            0       9.8856      -270.58           25      -66.708   4.9968e-17     -0.32426   1.0909e-17      0.38661            0            0     -0.19271      -9555.9        94.46       0.7881    -0.014285            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0           -9            0    -0.018619     0.080939     0.080914   2.4951e-05            0    -0.067203     0.037025     -0.10423   3.7269e-20   7.1669e-19   7.1828e-19  -1.5966e-21     -0.23004    -0.031389            0     -0.81967       3.5632     -0.12714            0     -0.80975            0            0            0            0            0            0       5.6045      -713.37           25      -77.045   1.6407e-18     -0.34023   3.1551e-17       0.5711            0            0     -0.10204       -25193       89.081      0.50858    -0.010633            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0         -8.5            0     -0.02211     0.075484     0.075455   2.9147e-05            0    -0.075826     0.034527     -0.11035   1.1689e-19   2.1367e-19   2.1006e-19   3.6072e-21     -0.29291    -0.043553            0     -0.97334       3.3231      -0.1426            0     -0.96284            0            0            0            0            0            0       7.0274      -514.12           25      -73.674   5.1459e-18     -0.38388   9.4065e-18      -1.4128            0            0     -0.12064       -18157       83.077      0.61394     0.031236            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0           -8            0    -0.023058     0.070349     0.070326   2.3222e-05            0    -0.083042      0.03218     -0.11522   6.7763e-20     2.03e-19   2.0329e-19  -2.8828e-22     -0.32776     -0.04977            0      -1.0151        3.097     -0.14026            0      -1.0053            0            0            0            0            0            0       7.7864       -449.9           25      -71.853   2.9831e-18     -0.42042   8.9367e-18      -2.9278            0            0     -0.11998       -15889       77.425      0.83807     0.067507            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0         -7.5            0   -0.0069797     0.066856     0.066853   2.6386e-06            0    -0.081557     0.030591     -0.11215  -1.9905e-20   4.2686e-19    4.269e-19  -4.6198e-23      -0.1044    -0.008722            0     -0.30727       2.9432    -0.039992            0     -0.30466            0            0            0            0            0            0       2.5959      -2567.2           25       -84.04   -8.763e-19      -0.4129   1.8792e-17      -1.3358            0            0    -0.036081       -90665       73.581      0.67585    0.0093234            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0           -7            0    0.0089665     0.063412     0.063409   2.8458e-06            0    -0.080074     0.029015     -0.10909   8.7244e-20   4.2008e-19   4.2013e-19  -5.0818e-23       0.1414      0.01339       10.561      0.39474       2.7916     0.048231            0      0.39178            0            0            0            0            0            0       3.5002       1672.3           25       81.952   3.8408e-18     -0.40539   1.8493e-17      0.24234            0            0     0.047072        59059        69.79       1.0342    0.0021729            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0         -6.5            0     0.048276     0.057887     0.057802   8.5623e-05            0    -0.082622     0.026449     -0.10907   -3.134e-19   3.8662e-19   3.8625e-19   3.6959e-22      0.83396      0.18324       4.5513       2.1253       2.5484      0.24433            0       2.1112            0            0            0            0            0            0       16.012        122.2           25       50.173  -1.3797e-17     -0.41829    1.702e-17      0.62446            0            0       0.2432       4315.6        63.71      0.99636     0.030146            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0           -6            0     0.088187     0.052461     0.052165   0.00029583            0    -0.085273      0.02387     -0.10914  -4.4723e-19   2.4525e-19   2.4395e-19   1.3009e-21        1.681      0.49919       3.3674       3.8823       2.3095      0.41876            0       3.8596            0            0            0            0            0            0       21.486       44.855           25       30.748  -1.9689e-17     -0.43171   1.0797e-17      0.95202            0            0      0.44416       1584.1       57.737      0.96231     0.083956            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
          0         -5.5            0      0.12013     0.048278     0.047706   0.00057189            0    -0.084482      0.02183     -0.10631  -3.6592e-19   1.4289e-19    1.423e-19   5.9134e-22       2.4882      0.86238       2.8852       5.2883       2.1254      0.53192            0       5.2616            0            0            0            0            0            0       23.197       25.965           25       21.895  -1.6109e-17     -0.42771   6.2906e-18      0.84385            0            0      0.61202       916.97       53.134      0.92364      0.10137            0            0            0            0            0            0            0            0            0          3.6        0.445    0.0023777  
