MILVUS_vtail
T5-a0.0°-25.0m/s-VLM2


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15  -2.3775e-16     0.082509     0.046951     0.035558     -0.43024     -0.13222     0.086385     -0.21861      0.19566      0.26438      0.00745      0.25693  -2.8815e-15   -4.443e-23            0  -3.1855e-15       1.1055      -1.0514      -5.7645  -3.1855e-15      -1.5446      -5.7645  -6.3295e-16            0            0            0   7.3695e-14  -8.6798e+23           25            0       1.6516     -0.12401       2.2317     0.031197  -2.7827e+14      0.45012     -0.24312  -2.7673e+25       27.637   4.4622e-32   -7.417e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0        -14.5  -1.8974e-16      0.07236     0.039007     0.033353     -0.41717     -0.13271     0.071878     -0.20458      0.18972      0.25535    0.0062257      0.24913  -2.6221e-15  -3.6118e-23            0  -2.5422e-15      0.96952     -0.98393      -5.5894  -2.5422e-15      -1.4455      -5.5894   3.0636e-15            0            0            0   6.8144e-14  -1.0677e+24           25            0       1.6014     -0.12446       2.1554      0.03955  -3.3809e+14      0.23673     -0.23574  -3.4042e+25       24.238   3.0297e-32  -7.5041e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0          -14  -2.1684e-16     0.063852     0.032645     0.031207     -0.40397     -0.13076      0.06024       -0.191      0.18372      0.24621    0.0049663      0.24125   -3.396e-15  -5.0008e-23            0  -2.9053e-15      0.85552     -0.91858      -5.4126  -2.9053e-15      -1.3495      -5.4126  -5.0091e-15            0            0            0   8.4798e-14  -7.7118e+23           25            0       1.5508     -0.12263       2.0783    0.0025737  -2.8647e+14      0.30491     -0.22828  -2.4587e+25       21.388   4.2293e-32  -5.5809e-19            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0        -13.5   -2.091e-16     0.056329     0.027209     0.029121     -0.39065     -0.12756     0.050284     -0.17785      0.17766      0.23717    0.0038773      0.23329   -3.712e-15  -5.3677e-23            0  -2.8016e-15      0.75472     -0.85533      -5.2341  -2.8016e-15      -1.2566      -5.2341  -1.2218e-15            0            0            0   9.0349e-14  -7.1846e+23           25            0       1.4996     -0.11964       2.0019     0.046227  -2.8728e+14      0.11458     -0.22075  -2.2906e+25       18.868   4.2143e-32  -9.6659e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0          -13  -2.0522e-16      0.05044     0.023344     0.027096     -0.37721     -0.12194     0.043196     -0.16514      0.17155      0.22839    0.0031239      0.22527  -4.0687e-15  -5.8287e-23            0  -2.7497e-15      0.67581     -0.79422       -5.054  -2.7497e-15      -1.1668       -5.054  -7.8573e-15            0            0            0   1.0145e-13  -6.6164e+23           25            0        1.448     -0.11437       1.9278     0.050377  -2.8263e+14      0.22642     -0.21315  -2.1095e+25       16.895   4.3631e-32  -1.0339e-17            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0        -12.5  -1.2856e-16     0.046739     0.021605     0.025133     -0.36365     -0.11282     0.040058     -0.15288      0.16538      0.21995    0.0027818      0.21717  -2.7505e-15  -3.1186e-23            0  -1.7224e-15      0.62622     -0.73526      -4.8724  -1.7224e-15      -1.0802      -4.8724  -6.4851e-16            0            0            0   6.8144e-14  -1.2366e+24           25            0        1.396     -0.10581       1.8566     0.021833  -4.3498e+14      0.40136     -0.20549  -3.9426e+25       15.656   1.8457e-32  -2.8068e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0          -12  -1.8586e-16     0.043206      0.01997     0.023236     -0.34999       -0.104     0.037067     -0.14107      0.15917      0.21148      0.00247      0.20901  -4.3018e-15  -5.8647e-23            0  -2.4903e-15       0.5789     -0.67846      -4.6893  -2.4903e-15     -0.99674      -4.6893  -4.4358e-16            0            0            0     1.07e-13  -6.5757e+23           25            0       1.3435    -0.097543       1.7851     0.036467  -2.8956e+14      0.11328     -0.19777  -2.0965e+25       14.472   4.1731e-32  -6.7779e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0        -11.5   -1.696e-16     0.039867     0.018462     0.021404     -0.33622    -0.095394      0.03432     -0.12971       0.1529      0.20297    0.0021896      0.20078  -4.2542e-15  -5.5403e-23            0  -2.2724e-15      0.53415     -0.62384      -4.5048  -2.2724e-15      -0.9165      -4.5048  -6.1116e-15            0            0            0     1.07e-13  -6.9608e+23           25            0       1.2907    -0.089469       1.7133     0.041338  -3.0483e+14       0.2968     -0.18999  -2.2193e+25       13.354   3.7721e-32   -7.011e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0          -11  -1.5876e-16     0.036746     0.017105      0.01964     -0.32234    -0.086967     0.031848     -0.11882      0.14659      0.19444    0.0019416       0.1925  -4.3205e-15  -5.4438e-23            0  -2.1271e-15      0.49233     -0.57143      -4.3189  -2.1271e-15      -0.8395      -4.3189  -1.2529e-15            0            0            0     1.07e-13  -7.0842e+23           25            0       1.2374    -0.081566       1.6413     0.021949  -3.1221e+14      0.11357     -0.18215  -2.2586e+25       12.308   3.6022e-32  -3.4846e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0        -10.5  -1.8199e-16     0.033953     0.016008     0.017944     -0.30837     -0.07852     0.029858     -0.10838      0.14024      0.18589    0.0017354      0.18415  -5.3601e-15   -7.231e-23            0  -2.4384e-15      0.45492     -0.52123      -4.1316  -2.4384e-15     -0.76575      -4.1316  -4.5422e-15            0            0            0   1.3476e-13  -5.3332e+23           25            0       1.1838    -0.073643       1.5691     0.044582  -2.6055e+14      0.45346     -0.17425  -1.7004e+25       11.373   5.1809e-32  -8.1136e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0          -10  -1.8741e-16      0.03127     0.014951     0.016319      -0.2943    -0.070498     0.027907    -0.098404      0.13384       0.1773    0.0015444      0.17575  -5.9934e-15  -8.2049e-23            0   -2.511e-15      0.41896     -0.47327      -3.9432   -2.511e-15     -0.69529      -3.9432  -3.5629e-15            0            0            0   1.5141e-13  -4.7002e+23           25            0       1.1298    -0.066119       1.4966   -0.0015024  -2.4147e+14       0.1352      -0.1663  -1.4985e+25       10.474   6.0415e-32   2.8157e-19            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0         -9.5  -1.6031e-16      0.02872     0.013956     0.014765     -0.28014    -0.062808      0.02609    -0.088898       0.1274      0.16867    0.0013702       0.1673  -5.5817e-15  -7.0671e-23            0  -2.1479e-15      0.38481     -0.42755      -3.7535  -2.1479e-15     -0.62812      -3.7535  -3.6667e-15            0            0            0   1.4031e-13  -5.4569e+23           25            0       1.0754    -0.058907       1.4237     0.026965  -2.6872e+14      0.28095     -0.15831  -1.7398e+25       9.6202   4.8857e-32  -4.3227e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
          0            0           -9  -1.3243e-16     0.026247     0.012964     0.013283      -0.2659    -0.055607     0.024254    -0.079862      0.12093         0.16    0.0012065      0.15879  -5.0455e-15  -5.8062e-23            0  -1.7743e-15      0.35167     -0.38409      -3.5627  -1.7743e-15     -0.56427      -3.5627   -3.716e-15            0            0            0   1.2366e-13   -6.642e+23           25            0       1.0207    -0.052154       1.3506     0.034711  -3.0876e+14      0.60545     -0.15026  -2.1176e+25       8.7917    3.706e-32  -4.5967e-18            0            0            0            0            0            0            0            0            0         3.25      0.39227      0.01103  
