xflr5 v6.47

Plane name :        HTP&VTP_ceroOrigin
Polar name :        T1-125.0 m/s-VLM2-0.0kg-x0.401m-TG
Freestream speed : 125.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.361709   0.007356   0.010541   0.017897   0.000000   0.000000  -0.003069   0.000000  -0.000000  125.0000     0.4128
   -4.500     0.000  -0.325581   0.005965   0.010466   0.016431  -0.000000  -0.000000  -0.003258  -0.000000  -0.000000  125.0000     0.4130
   -4.000     0.000  -0.289418   0.004719   0.010394   0.015113  -0.000000  -0.000000  -0.003447  -0.000000  -0.000000  125.0000     0.4132
   -3.500     0.000  -0.253228   0.003616   0.010328   0.013945  -0.000000  -0.000000  -0.003638  -0.000000  -0.000000  125.0000     0.4134
   -3.000     0.000  -0.217023   0.002659   0.010267   0.012926  -0.000000  -0.000000  -0.003829   0.000000   0.000000  125.0000     0.4137
   -2.500     0.000  -0.180811   0.001848   0.010212   0.012060   0.000000   0.000000  -0.004021   0.000000   0.000000  125.0000     0.4139
   -2.000     0.000  -0.144602   0.001184   0.010165   0.011349   0.000000  -0.000000  -0.004213   0.000000   0.000000  125.0000     0.4141
   -1.500     0.000  -0.108407   0.000666   0.010129   0.010795  -0.000000  -0.000000  -0.004405  -0.000000  -0.000000  125.0000     0.4143
   -1.000     0.000  -0.072235   0.000296   0.010101   0.010397  -0.000000   0.000000  -0.004598  -0.000000  -0.000000  125.0000     0.4146
   -0.500     0.000  -0.036096   0.000074   0.010084   0.010158  -0.000000  -0.000000  -0.004791  -0.000000  -0.000000  125.0000     0.4148
    0.000     0.000   0.000000   0.000000   0.010077   0.010077  -0.000000   0.000000  -0.004984  -0.000000   0.000000  125.0000     0.9629
    0.500     0.000   0.036044   0.000074   0.010084   0.010158   0.000000   0.000000  -0.005176   0.000000   0.000000  125.0000     0.4153
    1.000     0.000   0.072026   0.000297   0.010101   0.010397   0.000000   0.000000  -0.005368  -0.000000  -0.000000  125.0000     0.4155
    1.500     0.000   0.107936   0.000667   0.010129   0.010796  -0.000000   0.000000  -0.005560   0.000000   0.000000  125.0000     0.4158
    2.000     0.000   0.143764   0.001186   0.010164   0.011350   0.000000   0.000000  -0.005750   0.000000   0.000000  125.0000     0.4160
    2.500     0.000   0.179502   0.001852   0.010211   0.012063  -0.000000   0.000000  -0.005940   0.000000  -0.000000  125.0000     0.4162
    3.000     0.000   0.215138   0.002666   0.010265   0.012932   0.000000  -0.000000  -0.006128   0.000000   0.000000  125.0000     0.4165
    3.500     0.000   0.250664   0.003628   0.010327   0.013954   0.000000   0.000000  -0.006315  -0.000000  -0.000000  125.0000     0.4168
    4.000     0.000   0.286069   0.004735   0.010392   0.015127  -0.000000   0.000000  -0.006500   0.000000   0.000000  125.0000     0.4170
    4.500     0.000   0.321345   0.005989   0.010463   0.016452   0.000000   0.000000  -0.006684  -0.000000  -0.000000  125.0000     0.4173
    5.000     0.000   0.356482   0.007388   0.010537   0.017925  -0.000000  -0.000000  -0.006866   0.000000   0.000000  125.0000     0.4175
    5.500     0.000   0.391470   0.008931   0.010614   0.019546  -0.000000  -0.000000  -0.007046   0.000000   0.000000  125.0000     0.4178
    6.000     0.000   0.426299   0.010618   0.010694   0.021312   0.000000   0.000000  -0.007225  -0.000000  -0.000000  125.0000     0.4181
    6.500     0.000   0.460961   0.012448   0.010777   0.023225   0.000000   0.000000  -0.007401   0.000000   0.000000  125.0000     0.4183
    7.000     0.000   0.495446   0.014419   0.010862   0.025281  -0.000000   0.000000  -0.007575  -0.000000  -0.000000  125.0000     0.4186
    7.500     0.000   0.529744   0.016530   0.010950   0.027480   0.000000   0.000000  -0.007746   0.000000   0.000000  125.0000     0.4189
    8.000     0.000   0.563846   0.018781   0.011042   0.029823   0.000000   0.000000  -0.007915   0.000000   0.000000  125.0000     0.4191
    8.500     0.000   0.597743   0.021169   0.011138   0.032306  -0.000000  -0.000000  -0.008081   0.000000   0.000000  125.0000     0.4194
    9.000     0.000   0.631426   0.023693   0.011238   0.034931   0.000000   0.000000  -0.008244   0.000000   0.000000  125.0000     0.4197
    9.500     0.000   0.664885   0.026351   0.011348   0.037699   0.000000   0.000000  -0.008404   0.000000   0.000000  125.0000     0.4200
   10.000     0.000   0.698111   0.029143   0.011463   0.040606  -0.000000   0.000000  -0.008561   0.000000   0.000000  125.0000     0.4203
   10.500     0.000   0.731095   0.032066   0.011585   0.043652  -0.000000  -0.000000  -0.008713   0.000000   0.000000  125.0000     0.4206
   11.000     0.000   0.763829   0.035118   0.011716   0.046835  -0.000000   0.000000  -0.008862   0.000000   0.000000  125.0000     0.4209
   11.500     0.000   0.796302   0.038298   0.011856   0.050154  -0.000000   0.000000  -0.009007  -0.000000  -0.000000  125.0000     0.4212
   12.000     0.000   0.828507   0.041603   0.012003   0.053607  -0.000000   0.000000  -0.009148  -0.000000   0.000000  125.0000     0.4215
   12.500     0.000   0.860433   0.045032   0.012162   0.057194   0.000000   0.000000  -0.009283   0.000000   0.000000  125.0000     0.4218
   13.000     0.000   0.892073   0.048582   0.012336   0.060918  -0.000000   0.000000  -0.009414  -0.000000  -0.000000  125.0000     0.4221
