xflr5 v6.47

Plane name :        HTP
Polar name :        T1-125.0 m/s-VLM2-0.0kg-x0.4m-TG
Freestream speed : 125.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.354711   0.007597   0.005548   0.013145  -0.000000  -0.000000   0.002458   0.000000   0.000000  125.0000     0.4120
   -4.500     0.000  -0.319330   0.006160   0.005476   0.011636   0.000000   0.000000   0.002216   0.000000  -0.000000  125.0000     0.4122
   -4.000     0.000  -0.283902   0.004871   0.005407   0.010279   0.000000  -0.000000   0.001973   0.000000   0.000000  125.0000     0.4124
   -3.500     0.000  -0.248439   0.003732   0.005343   0.009076   0.000000   0.000000   0.001729   0.000000  -0.000000  125.0000     0.4126
   -3.000     0.000  -0.212950   0.002744   0.005284   0.008028   0.000000  -0.000000   0.001484  -0.000000  -0.000000  125.0000     0.4129
   -2.500     0.000  -0.177444   0.001907   0.005231   0.007138  -0.000000  -0.000000   0.001238   0.000000   0.000000  125.0000     0.4131
   -2.000     0.000  -0.141931   0.001221   0.005187   0.006408  -0.000000   0.000000   0.000991  -0.000000  -0.000000  125.0000     0.4133
   -1.500     0.000  -0.106421   0.000687   0.005152   0.005839  -0.000000  -0.000000   0.000744   0.000000   0.000000  125.0000     0.4135
   -1.000     0.000  -0.070922   0.000305   0.005125   0.005431   0.000000   0.000000   0.000496  -0.000000  -0.000000  125.0000     0.4138
   -0.500     0.000  -0.035446   0.000076   0.005110   0.005186   0.000000   0.000000   0.000248   0.000000  -0.000000  125.0000     0.4140
    0.000     0.000   0.000000   0.000000   0.005103   0.005103   0.000000   0.000000  -0.000000  -0.000000   0.000000  125.0000     0.9703
    0.500     0.000   0.035405   0.000076   0.005110   0.005186   0.000000  -0.000000  -0.000248   0.000000  -0.000000  125.0000     0.4145
    1.000     0.000   0.070759   0.000305   0.005125   0.005431   0.000000  -0.000000  -0.000496  -0.000000  -0.000000  125.0000     0.4147
    1.500     0.000   0.106054   0.000687   0.005152   0.005839  -0.000000   0.000000  -0.000744   0.000000   0.000000  125.0000     0.4150
    2.000     0.000   0.141279   0.001221   0.005187   0.006408  -0.000000  -0.000000  -0.000991   0.000000  -0.000000  125.0000     0.4152
    2.500     0.000   0.176425   0.001907   0.005231   0.007138  -0.000000   0.000000  -0.001238  -0.000000  -0.000000  125.0000     0.4155
    3.000     0.000   0.211483   0.002744   0.005284   0.008028   0.000000   0.000000  -0.001484   0.000000   0.000000  125.0000     0.4157
    3.500     0.000   0.246443   0.003732   0.005343   0.009076   0.000000  -0.000000  -0.001729   0.000000  -0.000000  125.0000     0.4160
    4.000     0.000   0.281296   0.004871   0.005407   0.010279   0.000000   0.000000  -0.001973   0.000000   0.000000  125.0000     0.4162
    4.500     0.000   0.316032   0.006160   0.005476   0.011636   0.000000  -0.000000  -0.002216   0.000000  -0.000000  125.0000     0.4165
    5.000     0.000   0.350642   0.007597   0.005548   0.013145  -0.000000   0.000000  -0.002458   0.000000   0.000000  125.0000     0.4168
    5.500     0.000   0.385116   0.009182   0.005624   0.014806   0.000000  -0.000000  -0.002699   0.000000  -0.000000  125.0000     0.4170
    6.000     0.000   0.419446   0.010915   0.005702   0.016617   0.000000  -0.000000  -0.002938  -0.000000  -0.000000  125.0000     0.4173
    6.500     0.000   0.453621   0.012793   0.005783   0.018576   0.000000  -0.000000  -0.003176   0.000000   0.000000  125.0000     0.4176
    7.000     0.000   0.487633   0.014816   0.005866   0.020682   0.000000  -0.000000  -0.003412   0.000000  -0.000000  125.0000     0.4179
    7.500     0.000   0.521473   0.016982   0.005952   0.022934  -0.000000   0.000000  -0.003647  -0.000000  -0.000000  125.0000     0.4181
    8.000     0.000   0.555131   0.019290   0.006042   0.025332   0.000000  -0.000000  -0.003879   0.000000  -0.000000  125.0000     0.4184
    8.500     0.000   0.588597   0.021739   0.006135   0.027874  -0.000000   0.000000  -0.004109   0.000000   0.000000  125.0000     0.4187
    9.000     0.000   0.621864   0.024327   0.006231   0.030558   0.000000   0.000000  -0.004337  -0.000000  -0.000000  125.0000     0.4190
    9.500     0.000   0.654922   0.027053   0.006336   0.033389  -0.000000   0.000000  -0.004563   0.000000   0.000000  125.0000     0.4193
   10.000     0.000   0.687762   0.029914   0.006447   0.036362  -0.000000   0.000000  -0.004786   0.000000   0.000000  125.0000     0.4196
   10.500     0.000   0.720375   0.032909   0.006565   0.039474  -0.000000   0.000000  -0.005006   0.000000   0.000000  125.0000     0.4199
   11.000     0.000   0.752751   0.036037   0.006691   0.042727   0.000000  -0.000000  -0.005223  -0.000000  -0.000000  125.0000     0.4202
   11.500     0.000   0.784883   0.039294   0.006826   0.046119   0.000000  -0.000000  -0.005436  -0.000000  -0.000000  125.0000     0.4205
   12.000     0.000   0.816762   0.042679   0.006967   0.049646   0.000000  -0.000000  -0.005647   0.000000   0.000000  125.0000     0.4208
   12.500     0.000   0.848378   0.046190   0.007117   0.053308  -0.000000  -0.000000  -0.005853  -0.000000  -0.000000  125.0000     0.4211
   13.000     0.000   0.879723   0.049825   0.007283   0.057108   0.000000  -0.000000  -0.006055   0.000000  -0.000000  125.0000     0.4214
   13.500     0.000   0.910789   0.053581   0.007459   0.061040   0.000000  -0.000000  -0.006253   0.000000   0.000000  125.0000     0.4218
   14.000     0.000   0.941566   0.057456   0.007644   0.065099   0.000000  -0.000000  -0.006446   0.000000  -0.000000  125.0000     0.4221
   14.500     0.000   0.972047   0.061447   0.007839   0.069286   0.000000  -0.000000  -0.006635   0.000000   0.000000  125.0000     0.4224
   15.000     0.000   1.002223   0.065552   0.008038   0.073590  -0.000000   0.000000  -0.006819   0.000000   0.000000  125.0000     0.4227


