xflr5 v6.47

Plane name :        WIN_scale
Polar name :        T1-125.0 m/s-VLM2-0.0kg-x0.4m-TG
Freestream speed : 125.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.067114   0.000804   0.005476   0.006280  -0.000000  -0.000000  -0.047761   0.000000   0.000000  125.0000    -6.0970
   -4.500     0.000  -0.038224   0.000499   0.005439   0.005938  -0.000000   0.000000  -0.062940   0.000000   0.000000  125.0000   -14.6586
   -4.000     0.000  -0.009325   0.000364   0.005406   0.005771   0.000000   0.000000  -0.078283  -0.000000  -0.000000  125.0000   -76.3531
   -3.500     0.000   0.019577   0.000401   0.005377   0.005778   0.000000  -0.000000  -0.093775  -0.000000  -0.000000  125.0000    44.1429
   -3.000     0.000   0.048473   0.000609   0.005351   0.005960   0.000000  -0.000000  -0.109403  -0.000000  -0.000000  125.0000    20.9774
   -2.500     0.000   0.077357   0.000988   0.005332   0.006320   0.000000  -0.000000  -0.125152  -0.000000  -0.000000  125.0000    15.1240
   -2.000     0.000   0.106221   0.001539   0.005318   0.006857   0.000000   0.000000  -0.141006  -0.000000  -0.000000  125.0000    12.4595
   -1.500     0.000   0.135057   0.002261   0.005309   0.007569   0.000000   0.000000  -0.156953  -0.000000  -0.000000  125.0000    10.9386
   -1.000     0.000   0.163858   0.003154   0.005301   0.008455   0.000000   0.000000  -0.172977  -0.000000  -0.000000  125.0000     9.9570
   -0.500     0.000   0.192617   0.004218   0.005296   0.009514   0.000000  -0.000000  -0.189064  -0.000000  -0.000000  125.0000     9.2724
    0.000     0.000   0.221327   0.005453   0.005293   0.010746   0.000000  -0.000000  -0.205198  -0.000000  -0.000000  125.0000     8.7689
    0.500     0.000   0.249979   0.006858   0.005295   0.012153  -0.000000   0.000000  -0.221366   0.000000   0.000000  125.0000     8.3837
    1.000     0.000   0.278567   0.008433   0.005302   0.013734   0.000000  -0.000000  -0.237552  -0.000000  -0.000000  125.0000     8.0803
    1.500     0.000   0.307083   0.010176   0.005312   0.015488   0.000000  -0.000000  -0.253742  -0.000000  -0.000000  125.0000     7.8356
    2.000     0.000   0.335521   0.012088   0.005326   0.017414   0.000000  -0.000000  -0.269921  -0.000000  -0.000000  125.0000     7.6347
    2.500     0.000   0.363871   0.014167   0.005344   0.019510   0.000000   0.000000  -0.286075  -0.000000  -0.000000  125.0000     7.4671
    3.000     0.000   0.392128   0.016412   0.005368   0.021779  -0.000000  -0.000000  -0.302187   0.000000   0.000000  125.0000     7.3255
    3.500     0.000   0.420284   0.018822   0.005397   0.024219   0.000000  -0.000000  -0.318245  -0.000000  -0.000000  125.0000     7.2047
    4.000     0.000   0.448332   0.021396   0.005431   0.026827   0.000000  -0.000000  -0.334232  -0.000000  -0.000000  125.0000     7.1007
    4.500     0.000   0.476265   0.024134   0.005470   0.029604   0.000000  -0.000000  -0.350135  -0.000000  -0.000000  125.0000     7.0105
    5.000     0.000   0.504075   0.027032   0.005514   0.032546   0.000000  -0.000000  -0.365939  -0.000000  -0.000000  125.0000     6.9317
    5.500     0.000   0.531756   0.030091   0.005565   0.035656   0.000000   0.000000  -0.381628  -0.000000  -0.000000  125.0000     6.8625
    6.000     0.000   0.559299   0.033309   0.005621   0.038929   0.000000  -0.000000  -0.397190  -0.000000  -0.000000  125.0000     6.8015
