xflr5 v6.47

Plane name :        elevator
Polar name :        T1-32.0 m/s-VLM2-0.8kg-x0.096m-z0.1m
Freestream speed :  32.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.437295   0.015398   0.016143   0.031542   0.000000   0.000000  -0.057327   0.000000   0.000000   32.0000     0.0728
   -9.500     0.000  -0.408613   0.013446   0.013657   0.027103   0.000000   0.000000  -0.056886   0.000000   0.000000   32.0000     0.0711
   -9.000     0.000  -0.379842   0.011619   0.013012   0.024631   0.000000   0.000000  -0.056690   0.000000   0.000000   32.0000     0.0691
   -8.500     0.000  -0.350987   0.009922   0.012239   0.022161   0.000000   0.000000  -0.056415   0.000000   0.000000   32.0000     0.0668
   -8.000     0.000  -0.322055   0.008354   0.010457   0.018811   0.000000   0.000000  -0.056407   0.000000   0.000000   32.0000     0.0641
   -7.500     0.000  -0.293050   0.006917   0.011674   0.018591   0.000000   0.000000  -0.056228   0.000000   0.000000   32.0000     0.0609
   -7.000     0.000  -0.263979   0.005613   0.009318   0.014931   0.000000   0.000000  -0.055859   0.000000   0.000000   32.0000     0.0570
   -6.500     0.000  -0.234847   0.004442   0.010889   0.015331   0.000000   0.000000  -0.055799   0.000000   0.000000   32.0000     0.0521
   -6.000     0.000  -0.205659   0.003406   0.008520   0.011927   0.000000   0.000000  -0.055470   0.000000   0.000000   32.0000     0.0459
   -5.500     0.000  -0.176423   0.002506   0.010495   0.013001   0.000000   0.000000  -0.055433   0.000000   0.000000   32.0000     0.0375
   -5.000     0.000  -0.147143   0.001743   0.008095   0.009838   0.000000   0.000000  -0.054946   0.000000   0.000000   32.0000     0.0259
   -4.500     0.000  -0.117825   0.001118   0.008717   0.009835   0.000000   0.000000  -0.054733   0.000000   0.000000   32.0000     0.0086
   -4.000     0.000  -0.088476   0.000630   0.008382   0.009013   0.000000   0.000000  -0.054712   0.000000   0.000000   32.0000    -0.0203
   -3.500     0.000  -0.059100   0.000282   0.008034   0.008316   0.000000   0.000000  -0.054499   0.000000   0.000000   32.0000    -0.0779
   -3.000     0.000  -0.029705   0.000073   0.008132   0.008205   0.000000   0.000000  -0.054521   0.000000   0.000000   32.0000    -0.2494
   -2.500     0.000  -0.000295   0.000003   0.006641   0.006645   0.000000   0.000000  -0.054457   0.000000   0.000000   32.0000   -34.6197
   -2.000     0.000   0.029123   0.000074   0.007771   0.007845   0.000000   0.000000  -0.054868   0.000000   0.000000   32.0000     0.4471
   -1.500     0.000   0.058543   0.000284   0.005642   0.005926   0.000000   0.000000  -0.054649   0.000000   0.000000   32.0000     0.2703
