xflr5 v6.47

Plane name :        wing
Polar name :        T1-32.0 m/s-VLM2
Freestream speed :  32.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.714313   0.014668   0.015071   0.029739   0.000000  -0.000000  -0.127363  -0.000000   0.000000   32.0000     0.1990
   -9.500     0.000  -0.670576   0.012935   0.014048   0.026983   0.000000  -0.000000  -0.123062   0.000000  -0.000000   32.0000     0.1973
   -9.000     0.000  -0.626741   0.011306   0.013258   0.024564   0.000000  -0.000000  -0.118713  -0.000000   0.000000   32.0000     0.1955
   -8.500     0.000  -0.582812   0.009781   0.012584   0.022366   0.000000  -0.000000  -0.114336  -0.000000   0.000000   32.0000     0.1933
   -8.000     0.000  -0.538797   0.008364   0.012597   0.020961   0.000000  -0.000000  -0.109917  -0.000000   0.000000   32.0000     0.1908
   -7.500     0.000  -0.494701   0.007054   0.011456   0.018510   0.000000  -0.000000  -0.105474  -0.000000   0.000000   32.0000     0.1879
   -7.000     0.000  -0.450530   0.005852   0.010886   0.016738   0.000000  -0.000000  -0.100999  -0.000000   0.000000   32.0000     0.1844
   -6.500     0.000  -0.406291   0.004761   0.011035   0.015796   0.000000  -0.000000  -0.096492  -0.000000   0.000000   32.0000     0.1802
   -6.000     0.000  -0.361990   0.003780   0.009977   0.013757   0.000000  -0.000000  -0.091959  -0.000000   0.000000   32.0000     0.1750
   -5.500     0.000  -0.317634   0.002910   0.009303   0.012213   0.000000  -0.000000  -0.087401  -0.000000  -0.000000   32.0000     0.1683
   -5.000     0.000  -0.273228   0.002153   0.009196   0.011349   0.000000  -0.000000  -0.082818  -0.000000   0.000000   32.0000     0.1595
   -4.500     0.000  -0.228779   0.001509   0.008367   0.009876   0.000000  -0.000000  -0.078208  -0.000000   0.000000   32.0000     0.1472
   -4.000     0.000  -0.184293   0.000979   0.007961   0.008940   0.000000  -0.000000  -0.073577  -0.000000   0.000000   32.0000     0.1291
   -3.500     0.000  -0.139777   0.000563   0.007630   0.008192   0.000000  -0.000000  -0.068925  -0.000000   0.000000   32.0000     0.0994
   -3.000     0.000  -0.095237   0.000261   0.007365   0.007626  -0.000000  -0.000000  -0.064253   0.000000   0.000000   32.0000     0.0420
   -2.500     0.000  -0.050679   0.000074   0.007125   0.007198   0.000000  -0.000000  -0.059564  -0.000000   0.000000   32.0000    -0.1163
   -2.000     0.000  -0.006110   0.000002   0.006779   0.006781   0.000000  -0.000000  -0.054857  -0.000000   0.000000   32.0000    -2.5837
   -1.500     0.000   0.038463   0.000045   0.006486   0.006531   0.000000  -0.000000  -0.050136   0.000000   0.000000   32.0000     0.6677
   -1.000     0.000   0.083035   0.000204   0.005598   0.005801   0.000000  -0.000000  -0.045388  -0.000000   0.000000   32.0000     0.4284
   -0.500     0.000   0.127599   0.000478   0.005854   0.006332   0.000000   0.000000  -0.040647   0.000000   0.000000   32.0000     0.3563
    0.000     0.000   0.172148   0.000867   0.005530   0.006397   0.000000   0.000000  -0.035884   0.000000   0.000000   32.0000     0.3215
    0.500     0.000   0.216676   0.001371   0.005639   0.007010   0.000000   0.000000  -0.031120  -0.000000   0.000000   32.0000     0.3010
    1.000     0.000   0.261177   0.001990   0.006128   0.008117   0.000000   0.000000  -0.026354  -0.000000   0.000000   32.0000     0.2876
    1.500     0.000   0.305645   0.002723   0.006223   0.008946   0.000000   0.000000  -0.021574  -0.000000   0.000000   32.0000     0.2780
    2.000     0.000   0.350072   0.003570   0.006334   0.009904   0.000000   0.000000  -0.016789  -0.000000   0.000000   32.0000     0.2709
    2.500     0.000   0.394453   0.004530   0.006476   0.011007   0.000000   0.000000  -0.011998  -0.000000  -0.000000   32.0000     0.2654
    3.000     0.000   0.438781   0.005603   0.006628   0.012231   0.000000   0.000000  -0.007204   0.000000   0.000000   32.0000     0.2610
    3.500     0.000   0.483050   0.006789   0.006803   0.013591   0.000000   0.000000  -0.002408  -0.000000   0.000000   32.0000     0.2575
    4.000     0.000   0.527253   0.008085   0.006989   0.015074   0.000000   0.000000   0.002387  -0.000000   0.000000   32.0000     0.2545
    4.500     0.000   0.571385   0.009491   0.007188   0.016680   0.000000   0.000000   0.007182  -0.000000   0.000000   32.0000     0.2521
    5.000     0.000   0.615439   0.011007   0.007404   0.018411   0.000000   0.000000   0.011974   0.000000   0.000000   32.0000     0.2500
    5.500     0.000   0.659409   0.012632   0.007645   0.020277   0.000000   0.000000   0.016762  -0.000000   0.000000   32.0000     0.2482
    6.000     0.000   0.703288   0.014363   0.007914   0.022277   0.000000   0.000000   0.021544  -0.000000   0.000000   32.0000     0.2466
