xflr5 v6.47

Plane name :        COLA 0012
Polar name :        T1-32.0 m/s-VLM2
Freestream speed :  32.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.578354   0.027706   0.012906   0.040612   0.000000   0.000000   0.257505  -0.000000  -0.000000   32.0000     0.0978
   -9.500     0.000  -0.550173   0.025070   0.012545   0.037615   0.000000   0.000000   0.247639  -0.000000  -0.000000   32.0000     0.0977
   -9.000     0.000  -0.521881   0.022556   0.012239   0.034795   0.000000   0.000000   0.237487  -0.000000  -0.000000   32.0000     0.0976
   -8.500     0.000  -0.493484   0.020167   0.011961   0.032128   0.000000   0.000000   0.227039  -0.000000  -0.000000   32.0000     0.0976
   -8.000     0.000  -0.464985   0.017903   0.011707   0.029611   0.000000   0.000000   0.216289  -0.000000  -0.000000   32.0000     0.0975
   -7.500     0.000  -0.436392   0.015768   0.011463   0.027231   0.000000   0.000000   0.205232  -0.000000  -0.000000   32.0000     0.0974
   -7.000     0.000  -0.407710   0.013763   0.011225   0.024987   0.000000   0.000000   0.193870  -0.000000  -0.000000   32.0000     0.0974
   -6.500     0.000  -0.378944   0.011889   0.010991   0.022880   0.000000   0.000000   0.182204  -0.000000  -0.000000   32.0000     0.0973
   -6.000     0.000  -0.350100   0.010147   0.010759   0.020906   0.000000   0.000000   0.170237  -0.000000  -0.000000   32.0000     0.0972
   -5.500     0.000  -0.321184   0.008540   0.010531   0.019071   0.000000   0.000000   0.157972  -0.000000  -0.000000   32.0000     0.0972
   -5.000     0.000  -0.292201   0.007068   0.010305   0.017373   0.000000   0.000000   0.145411  -0.000000  -0.000000   32.0000     0.0971
   -4.500     0.000  -0.263158   0.005732   0.010078   0.015811   0.000000   0.000000   0.132558  -0.000000  -0.000000   32.0000     0.0971
   -4.000     0.000  -0.234059   0.004535   0.009847   0.014382   0.000000   0.000000   0.119416  -0.000000  -0.000000   32.0000     0.0971
   -3.500     0.000  -0.204912   0.003476   0.009617   0.013093   0.000000   0.000000   0.105990  -0.000000  -0.000000   32.0000     0.0970
   -3.000     0.000  -0.175721   0.002556   0.009399   0.011955   0.000000   0.000000   0.092287  -0.000000  -0.000000   32.0000     0.0970
   -2.500     0.000  -0.146493   0.001776   0.009188   0.010965   0.000000   0.000000   0.078311  -0.000000  -0.000000   32.0000     0.0970
   -2.000     0.000  -0.117234   0.001138   0.009002   0.010139   0.000000   0.000000   0.064073  -0.000000  -0.000000   32.0000     0.0970
   -1.500     0.000  -0.087949   0.000640   0.008841   0.009482   0.000000   0.000000   0.049579  -0.000000  -0.000000   32.0000     0.0969
   -1.000     0.000  -0.058644   0.000285   0.008714   0.008999   0.000000   0.000000   0.034838  -0.000000  -0.000000   32.0000     0.0969
