xflr5 v6.47

Plane name :        elevator
Polar name :        T1-32.0 m/s-VLM2
Freestream speed :  32.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.440037   0.015990   0.015033   0.031023   0.000000  -0.000000  -0.125534   0.000000   0.000000   32.0000     0.0752
   -9.500     0.000  -0.411367   0.013975   0.013787   0.027762   0.000000  -0.000000  -0.120514   0.000000   0.000000   32.0000     0.0735
   -9.000     0.000  -0.382606   0.012089   0.012877   0.024966   0.000000  -0.000000  -0.115907   0.000000   0.000000   32.0000     0.0716
   -8.500     0.000  -0.353760   0.010335   0.012340   0.022675   0.000000  -0.000000  -0.111184   0.000000   0.000000   32.0000     0.0693
   -8.000     0.000  -0.324835   0.008714   0.010285   0.018999   0.000000  -0.000000  -0.106635   0.000000   0.000000   32.0000     0.0667
   -7.500     0.000  -0.295838   0.007228   0.011616   0.018844   0.000000   0.000000  -0.102050   0.000000   0.000000   32.0000     0.0636
   -7.000     0.000  -0.266772   0.005877   0.009254   0.015131   0.000000   0.000000  -0.097154   0.000000   0.000000   32.0000     0.0597
   -6.500     0.000  -0.237646   0.004664   0.010215   0.014878   0.000000   0.000000  -0.092653   0.000000   0.000000   32.0000     0.0550
   -6.000     0.000  -0.208463   0.003588   0.008327   0.011916   0.000000   0.000000  -0.087707   0.000000   0.000000   32.0000     0.0490
   -5.500     0.000  -0.179230   0.002652   0.010249   0.012901   0.000000   0.000000  -0.083203   0.000000   0.000000   32.0000     0.0409
   -5.000     0.000  -0.149953   0.001856   0.007879   0.009735   0.000000   0.000000  -0.078140   0.000000   0.000000   32.0000     0.0298
   -4.500     0.000  -0.120638   0.001201   0.009046   0.010247   0.000000   0.000000  -0.073390   0.000000   0.000000   32.0000     0.0133
   -4.000     0.000  -0.091291   0.000688   0.007869   0.008557   0.000000   0.000000  -0.068719   0.000000   0.000000   32.0000    -0.0138
   -3.500     0.000  -0.061918   0.000317   0.008171   0.008488   0.000000   0.000000  -0.063987   0.000000   0.000000   32.0000    -0.0667
   -3.000     0.000  -0.032524   0.000089   0.007366   0.007454   0.000000   0.000000  -0.059326   0.000000   0.000000   32.0000    -0.2152
   -2.500     0.000  -0.003116   0.000004   0.006565   0.006568   0.000000   0.000000  -0.054669   0.000000   0.000000   32.0000    -3.1663
   -2.000     0.000   0.026301   0.000062   0.007900   0.007961   0.000000   0.000000  -0.050510   0.000000   0.000000   32.0000     0.4841
   -1.500     0.000   0.055719   0.000264   0.005526   0.005789   0.000000   0.000000  -0.045661   0.000000   0.000000   32.0000     0.2799
   -1.000     0.000   0.085135   0.000609   0.005308   0.005917  -0.000000   0.000000  -0.041011   0.000000   0.000000   32.0000     0.2168
   -0.500     0.000   0.114540   0.001098   0.006277   0.007375  -0.000000   0.000000  -0.036458  -0.000000  -0.000000   32.0000     0.1862
    0.000     0.000   0.143930   0.001730   0.005008   0.006738  -0.000000   0.000000  -0.031753  -0.000000  -0.000000   32.0000     0.1680
    0.500     0.000   0.173298   0.002505   0.005922   0.008428  -0.000000   0.000000  -0.027301  -0.000000  -0.000000   32.0000     0.1561
    1.000     0.000   0.202639   0.003423   0.004882   0.008306  -0.000000   0.000000  -0.022560  -0.000000  -0.000000   32.0000     0.1476
    1.500     0.000   0.231946   0.004484   0.006454   0.010938  -0.000000   0.000000  -0.017853  -0.000000  -0.000000   32.0000     0.1412
    2.000     0.000   0.261213   0.005686   0.008090   0.013775  -0.000000   0.000000  -0.013304  -0.000000  -0.000000   32.0000     0.1363
    2.500     0.000   0.290435   0.007028   0.008376   0.015405  -0.000000   0.000000  -0.008754  -0.000000  -0.000000   32.0000     0.1324
    3.000     0.000   0.319606   0.008511   0.008611   0.017123  -0.000000   0.000000  -0.004205  -0.000000  -0.000000   32.0000     0.1292
    3.500     0.000   0.348719   0.010133   0.008803   0.018936  -0.000000   0.000000   0.000294  -0.000000  -0.000000   32.0000     0.1266
    4.000     0.000   0.377769   0.011893   0.008975   0.020868  -0.000000   0.000000   0.004756  -0.000000  -0.000000   32.0000     0.1244
    4.500     0.000   0.406750   0.013790   0.009116   0.022906  -0.000000   0.000000   0.009168  -0.000000  -0.000000   32.0000     0.1225
    5.000     0.000   0.435656   0.015823   0.009251   0.025074  -0.000000   0.000000   0.013545  -0.000000  -0.000000   32.0000     0.1209
    5.500     0.000   0.464482   0.017990   0.009382   0.027372  -0.000000   0.000000   0.017884  -0.000000  -0.000000   32.0000     0.1195
    6.000     0.000   0.493221   0.020290   0.009532   0.029822  -0.000000   0.000000   0.022191  -0.000000  -0.000000   32.0000     0.1182
    6.500     0.000   0.521869   0.022721   0.009685   0.032407  -0.000000   0.000000   0.026452  -0.000000  -0.000000   32.0000     0.1171
    7.000     0.000   0.550419   0.025282   0.009861   0.035143  -0.000000   0.000000   0.030681  -0.000000  -0.000000   32.0000     0.1162
    7.500     0.000   0.578865   0.027971   0.010056   0.038028  -0.000000   0.000000   0.034873  -0.000000  -0.000000   32.0000     0.1153
    8.000     0.000   0.607203   0.030786   0.010269   0.041055  -0.000000   0.000000   0.039024  -0.000000  -0.000000   32.0000     0.1146
    8.500     0.000   0.635427   0.033726   0.010496   0.044222  -0.000000   0.000000   0.043136  -0.000000  -0.000000   32.0000     0.1139
    9.000     0.000   0.663531   0.036787   0.010723   0.047510  -0.000000   0.000000   0.047200  -0.000000  -0.000000   32.0000     0.1133
    9.500     0.000   0.691510   0.039968   0.010963   0.050932  -0.000000   0.000000   0.051218  -0.000000  -0.000000   32.0000     0.1127
   10.000     0.000   0.719358   0.043268   0.011218   0.054486  -0.000000   0.000000   0.055192  -0.000000  -0.000000   32.0000     0.1122
   10.500     0.000   0.747071   0.046682   0.011485   0.058167  -0.000000   0.000000   0.059120  -0.000000  -0.000000   32.0000     0.1118
   11.000     0.000   0.774643   0.050209   0.011776   0.061985  -0.000000   0.000000   0.063003  -0.000000  -0.000000   32.0000     0.1114
   11.500     0.000   0.802069   0.053847   0.012088   0.065935  -0.000000   0.000000   0.066839  -0.000000  -0.000000   32.0000     0.1110
   12.000     0.000   0.829344   0.057593   0.012446   0.070039  -0.000000   0.000000   0.070628  -0.000000  -0.000000   32.0000     0.1107
   12.500     0.000   0.856463   0.061444   0.012863   0.074307  -0.000000   0.000000   0.074368  -0.000000  -0.000000   32.0000     0.1104
   13.000     0.000   0.883421   0.065397   0.013362   0.078759  -0.000000   0.000000   0.078060  -0.000000  -0.000000   32.0000     0.1101
   13.500     0.000   0.910214   0.069450   0.013950   0.083401  -0.000000   0.000000   0.081706  -0.000000  -0.000000   32.0000     0.1099
   14.000     0.000   0.936836   0.073600   0.014637   0.088237  -0.000000   0.000000   0.085302  -0.000000  -0.000000   32.0000     0.1097
   14.500     0.000   0.963283   0.077844   0.015428   0.093271  -0.000000   0.000000   0.088855  -0.000000  -0.000000   32.0000     0.1095
   15.000     0.000   0.989550   0.082178   0.016314   0.098491  -0.000000   0.000000   0.092361  -0.000000  -0.000000   32.0000     0.1093
   15.500     0.000   1.015633   0.086599   0.017255   0.103854  -0.000000   0.000000   0.095818  -0.000000  -0.000000   32.0000     0.1092
   16.000     0.000   1.041527   0.091105   0.018232   0.109336  -0.000000   0.000000   0.099227  -0.000000  -0.000000   32.0000     0.1091
   16.500     0.000   1.067229   0.095691   0.019230   0.114921  -0.000000   0.000000   0.102583  -0.000000  -0.000000   32.0000     0.1089
   17.000     0.000   1.092733   0.100356   0.020296   0.120651  -0.000000   0.000000   0.105899  -0.000000  -0.000000   32.0000     0.1089
   17.500     0.000   1.118037   0.105094   0.021473   0.126567  -0.000000   0.000000   0.109177  -0.000000  -0.000000   32.0000     0.1088
   18.000     0.000   1.143135   0.109903   0.022836   0.132739  -0.000000   0.000000   0.112430  -0.000000  -0.000000   32.0000     0.1087
   18.500     0.000   1.168023   0.114779   0.024482   0.139261  -0.000000   0.000000   0.115677  -0.000000  -0.000000   32.0000     0.1087
   19.000     0.000   1.192699   0.119719   0.026566   0.146285  -0.000000   0.000000   0.118934  -0.000000  -0.000000   32.0000     0.1086
   19.500     0.000   1.217158   0.124719   0.028951   0.153670  -0.000000   0.000000   0.122173  -0.000000  -0.000000   32.0000     0.1086
   20.000     0.000   1.241396   0.129775   0.032272   0.162047  -0.000000   0.000000   0.125474  -0.000000  -0.000000   32.0000     0.1086
   20.500     0.000   1.265411   0.134884   0.037488   0.172372  -0.000000   0.000000   0.129032  -0.000000  -0.000000   32.0000     0.1086


