A320-200: HTP&VTP_refined
HTPVTP_M_0_2_T1-66.5 m/s-LLT-x4.55m
Freestream speed = 66.500 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.5341      0.16591     0.014373      0.15154            0     -0.05537   -0.0032822    -0.052088   8.4671e-18  -7.3082e-19   8.5994e-20  -8.1682e-19      -9.2468      -11.453            0  -1.0525e+05        11383       -26229            0  -1.0246e+05            0            0            0            0            0            0       66.115            0         66.5      -6.1723   7.1926e-12       -10392  -6.2081e-13       1.9888            0            0   -1.352e+05            0   7.5694e+05      0.99402      -3.0511            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0        -19.5            0      -1.5004      0.15871     0.013723      0.14499            0    -0.052182   -0.0031456    -0.049037  -7.6974e-19   2.6487e-20   1.9845e-19  -1.7196e-19      -9.4537       -11.58            0  -1.0294e+05        10889       -24985            0  -1.0035e+05            0            0            0            0            0            0       66.131            0         66.5      -6.0382  -6.5387e-13      -9793.3     2.25e-14       1.9926            0            0  -1.3231e+05            0    7.241e+05      0.99372      -2.9896            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0          -19            0      -1.4662      0.15154     0.013112      0.13843            0    -0.049173    -0.003014    -0.046159    8.929e-18  -3.6977e-19   6.0136e-20   -4.299e-19      -9.6754      -11.716            0  -1.0059e+05        10397       -23770            0       -98204            0            0            0            0            0            0       66.148            0         66.5      -5.9009   7.5849e-12      -9228.6  -3.1411e-13        1.996            0            0  -1.2935e+05            0   6.9139e+05      0.99392      -2.9265            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0        -18.5            0      -1.4315      0.14446      0.01254      0.13192            0    -0.046321   -0.0028882    -0.043433   8.6981e-18  -2.5161e-19   1.3531e-19  -3.8691e-19      -9.9097      -11.857            0       -98211       9910.6       -22580            0       -96008            0            0            0            0            0            0       66.164            0         66.5      -5.7623   7.3888e-12      -8693.3  -2.1373e-13       1.9991            0            0  -1.2633e+05            0   6.5906e+05       0.9942      -2.8618            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0          -18            0      -1.3964      0.13749     0.011983       0.1255            0    -0.043561   -0.0027674    -0.040794   9.2369e-19  -1.1257e-18   1.4252e-19  -1.2682e-18      -10.157      -12.002            0       -95803       9432.5       -21416            0       -93775            0            0            0            0            0            0        66.18            0         66.5      -5.6231   7.8465e-13      -8175.4  -9.5625e-13       2.0022            0            0  -1.2326e+05            0   6.2726e+05      0.99437      -2.7959            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0        -17.5            0      -1.3613      0.13064     0.011401      0.11924            0    -0.040794   -0.0026492    -0.038145   8.0053e-18  -7.5187e-19   6.4947e-20  -8.1682e-19       -10.42      -12.158            0       -93393       8962.8       -20282            0       -91531            0            0            0            0            0            0       66.196            0         66.5      -5.4818   6.8003e-12      -7656.1  -6.3869e-13       2.0054            0            0  -1.2021e+05            0   5.9603e+05      0.99462        -2.73            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0          -17            0      -1.3252      0.12393     0.010933      0.11299            0    -0.038289    -0.002549     -0.03574   1.3855e-18  -7.8074e-19   3.6082e-20  -8.1682e-19      -10.693      -12.309            0       -90915       8502.2       -19168            0       -89209            0            0            0            0            0            0       66.211            0         66.5      -5.3427    1.177e-12      -7185.9  -6.6321e-13       2.0082            0            0  -1.1705e+05            0    5.654e+05      0.99464      -2.6612            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0        -16.5            0      -1.2884      0.11734     0.010532      0.10681            0    -0.035955   -0.0024602    -0.033495   1.2316e-18  -6.8048e-19   2.8865e-20  -7.0934e-19       -10.98      -12.464            0       -88396       8050.5       -18080            0       -86837            0            0            0            0            0            0       66.226            0         66.5      -5.2038   1.0462e-12      -6747.9  -5.7805e-13       2.0107            0            0  -1.1383e+05            0   5.3536e+05       0.9947      -2.5906            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0          -16            0      -1.2514      0.11091     0.010164      0.10074            0    -0.033729   -0.0023782    -0.031351   9.7757e-18   1.9103e-20   8.3589e-20  -6.4486e-20      -11.283      -12.621            0       -85852       7609.1       -17020            0       -84431            0            0            0            0            0            0        66.24            0         66.5      -5.0649   8.3042e-12      -6330.2   1.6228e-14        2.013            0            0  -1.1058e+05            0     5.06e+05      0.99477       -2.519            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0        -15.5            0       -1.214      0.10463    0.0098172     0.094818            0    -0.031588   -0.0023007    -0.029288    5.773e-18  -3.1581e-19    6.615e-21  -3.2243e-19      -11.602      -12.784            0       -83290       7178.6       -15990            0       -81999            0            0            0            0            0            0       66.254            0         66.5      -4.9261   4.9041e-12      -5928.3  -2.6827e-13       2.0152            0            0   -1.073e+05            0   4.7738e+05      0.99482      -2.4465            0            0            0            0            0            0            0            0            0            0         4.55            0  
