A320-Wing_refined
Wing_M_0_2_T1-66.5 m/s-LLT-x3_875m
Freestream speed = 66.500 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -19.5            0      -1.5472     0.099611     0.014018     0.085593            0     -0.05569    0.0016269    -0.057317  -6.3531e-18  -9.4352e-19   1.7464e-20  -9.6099e-19      -15.532       -19.32            0  -4.2051e+05        27073  -1.1844e+05            0  -4.0415e+05            0            0            0            0            0            0       66.363            0         66.5      -3.6837  -5.8373e-11       -62677  -8.6691e-12        4.313            0            0  -1.4284e+06            0   1.8004e+06      0.95122       -6.673            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -19            0      -1.5093     0.094896     0.013426      0.08147            0    -0.053821    0.0015531    -0.055374   3.5295e-19  -7.1469e-19   4.9174e-20  -7.6386e-19      -15.905      -19.539            0  -4.1021e+05        25792  -1.1261e+05            0  -3.9507e+05            0            0            0            0            0            0       66.369            0         66.5      -3.5977   3.2429e-12       -60573  -6.5666e-12        4.318            0            0  -1.3946e+06            0   1.7151e+06      0.95099       -6.517            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -18.5            0      -1.4713     0.090221      0.01288     0.077341            0    -0.052201    0.0014855    -0.053687            0  -9.5018e-19   4.3659e-20  -9.9384e-19      -16.308      -19.781            0  -3.9989e+05        24521  -1.0695e+05            0   -3.859e+05            0            0            0            0            0            0       66.375            0         66.5       -3.509            0       -58751  -8.7303e-12       4.3221            0            0  -1.3604e+06            0   1.6307e+06        0.952      -6.3592            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -18            0      -1.4328     0.085646     0.012362     0.073285            0    -0.050638    0.0014219     -0.05206  -7.6473e-19  -4.9344e-19   4.0442e-20  -5.3388e-19      -16.729      -20.024            0  -3.8942e+05        23278  -1.0139e+05            0  -3.7651e+05            0            0            0            0            0            0       66.382            0         66.5      -3.4209  -7.0263e-12       -56991  -4.5337e-12       4.3259            0            0  -1.3256e+06            0    1.548e+06      0.95276      -6.1981            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -17.5            0      -1.3929     0.081058     0.011864     0.069193            0    -0.049255    0.0013611    -0.050616  -1.6471e-18  -7.6942e-19   5.1932e-20  -8.2136e-19      -17.184      -20.281            0  -3.7858e+05        22031       -95905            0  -3.6671e+05            0            0            0            0            0            0       66.388            0         66.5      -3.3305  -1.5134e-11       -55435  -7.0695e-12       4.3294            0            0  -1.2897e+06            0    1.465e+06      0.95371      -6.0305            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -17            0      -1.3515     0.076489     0.011389       0.0651            0     -0.04839    0.0013034    -0.049693  -8.8238e-19  -6.2629e-19   3.0791e-20  -6.5708e-19       -17.67      -20.542            0  -3.6733e+05        20789       -90476            0  -3.5645e+05            0            0            0            0            0            0       66.394            0         66.5      -3.2392  -8.1073e-12       -54461  -5.7544e-12       4.3311            0            0  -1.2521e+06            0   1.3825e+06      0.95433      -5.8535            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -16.5            0      -1.3078     0.071904     0.010924     0.060979            0    -0.048437    0.0012459    -0.049683   6.4708e-19  -2.4347e-19   2.7574e-20  -2.7105e-19      -18.188        -20.8            0  -3.5545e+05        19543       -85061            0  -3.4552e+05            0            0            0            0            0            0         66.4            0         66.5       -3.147   5.9454e-12       -54514   -2.237e-12       4.3292            0            0  -1.2116e+06            0   1.2996e+06      0.95397      -5.6618            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -16            0       -1.264     0.067437     0.010459     0.056978            0    -0.048592    0.0011879     -0.04978   3.5295e-19  -4.1823e-19   2.9413e-20  -4.4764e-19      -18.744      -21.074            0  -3.4356e+05        18329       -79811            0  -3.3452e+05            0            0            0            0            0            0       66.406            0         66.5      -3.0538   3.2429e-12       -54689  -3.8427e-12       4.3264            0            0  -1.1708e+06            0   1.2189e+06       0.9538      -5.4688            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -15.5            0      -1.2202     0.063131     0.010011      0.05312            0    -0.048785    0.0011324    -0.049917  -4.4119e-19  -3.9836e-19            0  -3.9836e-19      -19.328       -21.35            0  -3.3163e+05        17158       -74712            0  -3.2343e+05            0            0            0            0            0            0       66.411            0         66.5      -2.9618  -4.0537e-12       -54905  -3.6601e-12       4.3226            0            0  -1.1296e+06            0    1.141e+06      0.95328      -5.2744            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -15            0      -1.1772     0.059037    0.0095974      0.04944            0    -0.048561    0.0010807    -0.049642  -1.5883e-18  -5.0111e-19  -1.2408e-20  -4.8871e-19       -19.94      -21.635            0  -3.1996e+05        16046       -69831            0  -3.1253e+05            0            0            0            0            0            0       66.417            0         66.5       -2.871  -1.4593e-11       -54654  -4.6043e-12       4.3197            0            0  -1.0895e+06            0    1.067e+06      0.95339      -5.0853            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -14.5            0      -1.1345     0.055125    0.0092226     0.045903            0    -0.048066     0.001034      -0.0491    4.706e-19   -4.047e-19   5.9744e-21  -4.1068e-19      -20.581      -21.921            0  -3.0835e+05        14983       -65126            0  -3.0165e+05            0            0            0            0            0            0       66.422            0         66.5      -2.7818   4.3239e-12       -54097  -3.7184e-12       4.3175            0            0    -1.05e+06            0   9.9634e+05      0.95371      -4.8983            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -14            0      -1.0916     0.051381    0.0088987     0.042482            0    -0.047453   0.00099397    -0.048447  -4.4119e-19  -2.4319e-19    3.217e-21  -2.4641e-19      -21.246      -22.198            0   -2.967e+05        13965       -60574            0  -2.9068e+05            0            0            0            0            0            0       66.426            0         66.5      -2.6948  -4.0537e-12       -53407  -2.2344e-12       4.3155            0            0  -1.0106e+06            0   9.2866e+05      0.95409       -4.711            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -13.5            0      -1.0482     0.047778    0.0086172     0.039161            0    -0.046911    0.0009593    -0.047871  -2.6471e-18  -4.2573e-19   1.3787e-21   -4.271e-19       -21.94      -22.463            0   -2.849e+05        12986       -56160            0  -2.7952e+05            0            0            0            0            0            0       66.431            0         66.5      -2.6097  -2.4322e-11       -52797  -3.9116e-12       4.3127            0            0  -9.7067e+05            0   8.6355e+05      0.95435      -4.5208            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -13            0      -1.0045     0.044314    0.0083603     0.035954            0     -0.04643    0.0009276    -0.047357  -5.8825e-20  -2.7139e-19   1.6085e-20  -2.8747e-19      -22.668      -22.719            0  -2.7301e+05        12044       -51893            0  -2.6821e+05            0            0            0            0            0            0       66.435            0         66.5       -2.526  -5.4049e-13       -52255  -2.4935e-12       4.3092            0            0  -9.3043e+05            0   8.0094e+05      0.95453      -4.3286            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0        -12.5            0     -0.96043     0.040987    0.0081231     0.032864            0     -0.04603   0.00089836    -0.046928  -1.0294e-18  -2.2122e-19   1.2868e-20  -2.3409e-19      -23.433      -22.964            0  -2.6103e+05        11140       -47778            0  -2.5678e+05            0            0            0            0            0            0        66.44            0         66.5      -2.4437  -9.4585e-12       -51804  -2.0326e-12       4.3044            0            0  -8.8981e+05            0    7.408e+05      0.95465      -4.1341            0            0            0            0            0            0            0            0            0            0        3.875            0  
          0          -12            0     -0.91609     0.037797    0.0079003     0.029897            0    -0.045681   0.00087143    -0.046552  -1.2059e-18  -2.8276e-19    2.114e-20   -3.039e-19      -24.237      -23.198            0  -2.4898e+05        10273       -43819            0  -2.4523e+05            0            0            0            0            0            0       66.443            0         66.5      -2.3626   -1.108e-11       -51412   -2.598e-12       4.2987            0            0  -8.4891e+05            0   6.8315e+05      0.95474       -3.938            0            0            0            0            0            0            0            0            0            0        3.875            0  
