A320-200: HTP_vble_case1
T1-99.8 m/s-LLT-x2.11m-case1
Freestream speed = 99.759 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -19.5            0      -1.5097      0.15906     0.012483      0.14658            0   0.00037647    0.0010483  -0.00067186  -1.0717e-18  -5.5221e-19   8.9112e-20  -6.4132e-19      -9.4913      -11.662            0  -2.3437e+05        24693       -56783            0  -2.2852e+05            0            0            0            0            0            0        99.21            0       99.759      -6.0145  -2.0714e-12       159.87  -1.0673e-12       2.2888            0            0  -2.9986e+05            0   2.4633e+06      0.98968      -3.4553            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0          -19            0       -1.474      0.15182     0.011979      0.13984            0   0.00085961    0.0010044   -0.0001448   4.2869e-18  -9.2924e-19   1.1363e-20  -9.4061e-19      -9.7092      -11.788            0  -2.2883e+05        23569       -53975            0  -2.2343e+05            0            0            0            0            0            0       99.234            0       99.759      -5.8804   8.2856e-12       365.05   -1.796e-12        2.292            0            0  -2.9289e+05            0   2.3512e+06      0.98897      -3.3785            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0        -18.5            0      -1.4384      0.14465     0.011504      0.13315            0    0.0012298   0.00096324   0.00026661   7.5787e-18  -2.3514e-19   8.5523e-20  -3.2066e-19       -9.944      -11.926            0   -2.233e+05        22456       -51252            0  -2.1832e+05            0            0            0            0            0            0       99.258            0       99.759      -5.7426   1.4648e-11       522.28  -4.5447e-13       2.2949            0            0  -2.8587e+05            0   2.2402e+06      0.98905       -3.301            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0          -18            0      -1.4024       0.1376     0.011041      0.12656            0     0.001549   0.00092336   0.00062564     2.22e-18  -5.0407e-19   9.4494e-20  -5.9857e-19      -10.192       -12.07            0  -2.1772e+05        21362       -48593            0  -2.1314e+05            0            0            0            0            0            0       99.282            0       99.759      -5.6037   4.2908e-12       657.81  -9.7426e-13       2.2978            0            0  -2.7878e+05            0    2.131e+06      0.98916      -3.2225            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0        -17.5            0      -1.3661      0.13065     0.010584      0.12007            0    0.0018032   0.00088323   0.00091994   3.5214e-18   -7.745e-19   1.4473e-19  -9.1923e-19      -10.456      -12.221            0  -2.1207e+05        20283       -45995            0  -2.0786e+05            0            0            0            0            0            0       99.306            0       99.759      -5.4631   6.8061e-12       765.75  -1.4969e-12       2.3005            0            0  -2.7163e+05            0   2.0234e+06      0.98929      -3.1427            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0          -17            0      -1.3295      0.12385     0.010144       0.1137            0    0.0020093   0.00084472    0.0011646   6.8897e-18  -5.8391e-19   5.7414e-20  -6.4132e-19      -10.735      -12.377            0  -2.0639e+05        19226       -43462            0  -2.0253e+05            0            0            0            0            0            0       99.329            0       99.759      -5.3221   1.3316e-11       853.29  -1.1286e-12       2.3031            0            0  -2.6442e+05            0    1.918e+06       0.9894      -3.0619            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0        -16.5            0      -1.2926      0.11721    0.0097329      0.10748            0    0.0021933   0.00080838    0.0013849   1.0258e-17      4.2e-21    8.971e-20   -8.551e-20      -11.028      -12.538            0  -2.0067e+05        18196       -40995            0  -1.9714e+05            0            0            0            0            0            0       99.351            0       99.759      -5.1812   1.9826e-11       931.42   8.1176e-15       2.3056            0            0  -2.5714e+05            0   1.8152e+06      0.98949      -2.9803            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0          -16            0      -1.2553      0.11071    0.0093554      0.10135            0    0.0023047   0.00077484    0.0015298   3.4449e-18  -5.5551e-19   4.3061e-20  -5.9857e-19      -11.339      -12.704            0  -1.9488e+05        17187       -38591            0  -1.9167e+05            0            0            0            0            0            0       99.373            0       99.759      -5.0401   6.6581e-12       978.73  -1.0737e-12        2.308            0            0  -2.4979e+05            0   1.7145e+06      0.98959      -2.8973            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0        -15.5            0      -1.2177      0.10439    0.0090238     0.095368            0    0.0023649   0.00074567    0.0016192   3.3683e-18  -5.9161e-19   6.0405e-20  -6.5201e-19      -11.665      -12.872            0  -1.8904e+05        16206       -36252            0  -1.8612e+05            0            0            0            0            0            0       99.394            0       99.759      -4.8998   6.5102e-12       1004.3  -1.1434e-12       2.3102            0            0  -2.4236e+05            0   1.6167e+06      0.98965      -2.8132            0            0            0            0            0            0            0            0            0            0         2.11            0  
          0          -15            0      -1.1797      0.09823    0.0087245     0.089505            0    0.0023572   0.00071938    0.0016378   1.0794e-17   -4.774e-19   3.5884e-21  -4.8099e-19       -12.01      -13.045            0  -1.8314e+05        15249       -33980            0   -1.805e+05            0            0            0            0            0            0       99.415            0       99.759      -4.7597   2.0862e-11         1001  -9.2271e-13       2.3123            0            0  -2.3484e+05            0   1.5213e+06      0.98971      -2.7278            0            0            0            0            0            0            0            0            0            0         2.11            0  
