A320-200: HTP_vble_case7
T1-99.8 m/s-LLT-xm0.6145m-case7
Freestream speed = 99.759 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -19.5            0      -1.5096      0.15907     0.012481      0.14659            0  -6.4721e-05     0.001048   -0.0011127   2.1437e-18   2.0513e-19   3.4093e-20   1.7104e-19        -9.49       -11.66            0  -2.3435e+05        24695       -56777            0  -2.2851e+05            0            0            0            0            0            0        99.21            0       99.759      -6.0153   4.1429e-12      -27.488   3.9643e-13       -1.021            0            0  -2.9982e+05            0   2.4635e+06      0.98969       1.5414            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -19            0       -1.474      0.15183     0.011978      0.13985            0  -0.00011135    0.0010041   -0.0011154   7.3498e-18   1.1633e-19    7.357e-20    4.276e-20      -9.7079      -11.786            0  -2.2882e+05        23571       -53969            0  -2.2342e+05            0            0            0            0            0            0       99.234            0       99.759      -5.8812   1.4204e-11      -47.294   2.2482e-13       -1.019            0            0  -2.9284e+05            0   2.3514e+06      0.98897       1.5019            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -18.5            0      -1.4383      0.14466     0.011502      0.13316            0  -0.00010572   0.00096292   -0.0010686   1.1331e-17  -3.7794e-19   1.3518e-19  -5.1312e-19      -9.9427      -11.924            0  -2.2329e+05        22458       -51247            0  -2.1831e+05            0            0            0            0            0            0       99.258            0       99.759      -5.7433   2.1898e-11      -44.899  -7.3039e-13      -1.0168            0            0  -2.8582e+05            0   2.2403e+06      0.98906       1.4625            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -18            0      -1.4024      0.13761      0.01104      0.12657            0  -0.00010161   0.00092305   -0.0010247   4.0577e-18  -2.0414e-19   1.0587e-19  -3.1001e-19      -10.191      -12.068            0  -2.1771e+05        21363       -48588            0  -2.1312e+05            0            0            0            0            0            0       99.282            0       99.759      -5.6044   7.8419e-12      -43.155  -3.9451e-13      -1.0146            0            0  -2.7874e+05            0   2.1312e+06      0.98916       1.4229            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -17.5            0       -1.366      0.13066     0.010583      0.12008            0  -0.00024843   0.00088293   -0.0011314  -6.1249e-19   3.4552e-20   9.8692e-20  -6.4139e-20      -10.455      -12.219            0  -2.1206e+05        20284       -45990            0  -2.0785e+05            0            0            0            0            0            0       99.306            0       99.759      -5.4638  -1.1837e-12      -105.51   6.6775e-14      -1.0129            0            0  -2.7159e+05            0   2.0235e+06      0.98929       1.3836            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -17            0      -1.3294      0.12386     0.010143      0.11371            0  -0.00039244   0.00084444   -0.0012369   1.2403e-17  -1.6311e-19   2.9308e-20  -1.9242e-19      -10.733      -12.375            0  -2.0638e+05        19228       -43457            0  -2.0252e+05            0            0            0            0            0            0       99.329            0       99.759      -5.3228   2.3969e-11      -166.68  -3.1522e-13      -1.0111            0            0  -2.6437e+05            0   1.9181e+06       0.9894       1.3442            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -16.5            0      -1.2925      0.11722     0.009732      0.10749            0  -0.00049001   0.00080811   -0.0012981   5.5124e-18   -1.279e-19   5.3832e-20  -1.8173e-19      -11.027      -12.536            0  -2.0066e+05        18197       -40990            0  -1.9713e+05            0            0            0            0            0            0       99.351            0       99.759      -5.1819   1.0653e-11      -208.12  -2.4717e-13      -1.0093            0            0   -2.571e+05            0   1.8153e+06       0.9895       1.3046            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -16            0      -1.2552      0.11072    0.0093547      0.10136            0  -0.00068454   0.00077459   -0.0014591   8.7279e-18    2.316e-19   8.1944e-20   1.4966e-19      -11.337      -12.702            0  -1.9487e+05        17188       -38587            0  -1.9166e+05            0            0            0            0            0            0       99.373            0       99.759      -5.0407   1.6867e-11      -290.74   4.4759e-13      -1.0078            0            0  -2.4975e+05            0   1.7147e+06      0.98959       1.2651            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -15.5            0      -1.2176       0.1044     0.009023     0.095376            0  -0.00081703   0.00074543   -0.0015625   7.3498e-18    3.237e-19   8.8523e-20   2.3518e-19      -11.663       -12.87            0  -1.8903e+05        16207       -36248            0  -1.8611e+05            0            0            0            0            0            0       99.394            0       99.759      -4.9005   1.4204e-11         -347   6.2558e-13      -1.0063            0            0  -2.4232e+05            0   1.6168e+06      0.98965       1.2253            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -15            0      -1.1797     0.098237    0.0087239     0.089513            0   -0.0009756   0.00071916   -0.0016948   8.3451e-18   1.8159e-19      6.4e-20   1.1759e-19      -12.008      -13.042            0  -1.8313e+05        15251       -33976            0  -1.8049e+05            0            0            0            0            0            0       99.415            0       99.759      -4.7604   1.6128e-11      -414.35   3.5093e-13      -1.0048            0            0   -2.348e+05            0   1.5214e+06      0.98971       1.1853            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -14.5            0      -1.1414     0.092223    0.0084413     0.083782            0   -0.0012142   0.00069449   -0.0019087   6.8905e-18    1.993e-19   4.9645e-20   1.4966e-19      -12.376      -13.222            0  -1.7719e+05        14317       -31773            0   -1.748e+05            0            0            0            0            0            0       99.435            0       99.759      -4.6194   1.3316e-11      -515.71   3.8517e-13      -1.0036            0            0  -2.2723e+05            0   1.4282e+06      0.98991       1.1456            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -14            0      -1.1028     0.086394    0.0081734      0.07822            0   -0.0014824   0.00067107   -0.0021534   8.9193e-18   6.3555e-20   8.4935e-20   -2.138e-20      -12.765      -13.405            0   -1.712e+05        13412       -29635            0  -1.6906e+05            0            0            0            0            0            0       99.454            0       99.759      -4.4794   1.7237e-11      -629.58   1.2282e-13      -1.0027            0            0  -2.1961e+05            0    1.338e+06      0.98983       1.1057            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -13.5            0      -1.0645      0.08079    0.0079247     0.072866            0   -0.0015593   0.00064915   -0.0022084   7.8475e-18   -1.874e-19   3.7084e-20  -2.2449e-19      -13.176      -13.594            0  -1.6525e+05        12542       -27578            0  -1.6333e+05            0            0            0            0            0            0       99.473            0       99.759      -4.3403   1.5166e-11      -662.26  -3.6217e-13      -1.0013            0            0  -2.1201e+05            0   1.2512e+06      0.98998       1.0659            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -13            0      -1.0258     0.075352    0.0076888     0.067664            0   -0.0016672   0.00062835   -0.0022956   2.9093e-18  -2.6125e-19   9.1514e-20  -3.5277e-19      -13.613      -13.788            0  -1.5925e+05        11698       -25587            0  -1.5753e+05            0            0            0            0            0            0       99.491            0       99.759      -4.2013   5.6225e-12      -708.09  -5.0489e-13      -1.0001            0            0  -2.0433e+05            0    1.167e+06      0.99001       1.0259            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -12.5            0     -0.98647     0.070054    0.0074593     0.062595            0   -0.0017384   0.00060818   -0.0023466   3.0624e-18   6.9307e-20   5.8617e-20    1.069e-20      -14.082      -13.986            0  -1.5314e+05        10875       -23659            0  -1.5162e+05            0            0            0            0            0            0       99.508            0       99.759       -4.062   5.9184e-12      -738.34   1.3394e-13     -0.99889            0            0  -1.9649e+05            0   1.0849e+06      0.98973      0.98538            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -12            0     -0.94685     0.064925    0.0072411     0.057683            0   -0.0016518     0.000589   -0.0022408   4.6319e-18    1.746e-20   3.3495e-20  -1.6035e-20      -14.584      -14.191            0  -1.4699e+05        10079       -21802            0  -1.4564e+05            0            0            0            0            0            0       99.525            0       99.759      -3.9226   8.9516e-12      -701.56   3.3744e-14     -0.99709            0            0  -1.8853e+05            0   1.0055e+06      0.98945       0.9441            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0        -11.5            0      -0.9074     0.060015    0.0070263     0.052989            0   -0.0014934   0.00057032   -0.0020637   4.0577e-18   5.6593e-20   2.4523e-20    3.207e-20      -15.119      -14.402            0  -1.4087e+05       9316.9       -20023            0  -1.3968e+05            0            0            0            0            0            0       99.541            0       99.759       -3.784   7.8419e-12      -634.28   1.0937e-13     -0.99505            0            0  -1.8059e+05            0   9.2945e+05      0.98921      0.90291            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
          0          -11            0     -0.86804     0.055316    0.0068193     0.048496            0   -0.0013415   0.00055177   -0.0018933   8.0389e-19  -5.8221e-20   8.0748e-20  -1.3897e-19      -15.693      -14.621            0  -1.3476e+05       8587.4       -18323            0  -1.3372e+05            0            0            0            0            0            0       99.557            0       99.759      -3.6462   1.5536e-12      -569.77  -1.1252e-13     -0.99303            0            0  -1.7268e+05            0   8.5666e+05      0.98913      0.86199            0            0            0            0            0            0            0            0            0            0      -0.6145            0  
