A320-200: HTP_vble_case5
T1-99.8 m/s-VLM2-x0.835m-case5
Freestream speed = 99.759 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.2056      0.12456    0.0083818      0.11618   5.3452e-17    -0.087613   0.00056288    -0.088175  -1.7209e-16  -2.1834e-17  -8.2908e-19  -2.1005e-17      -9.6791      -10.628            0  -1.8717e+05        19337       -47066   8.2981e-12  -1.8205e+05       -66473  -2.4964e-12  -1.8263e+05            0            0            0       99.231            0       99.759      -5.8986  -2.9747e-10       -41603  -3.7741e-11      0.71979  -4.2338e-16      0.24942   -1.993e+05            0    1.929e+06      0.99562     -0.86781            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -19.5            0      -1.1787      0.11926    0.0082162      0.11105    6.806e-17    -0.084882   0.00055524    -0.085437  -2.1076e-16   6.5375e-17  -5.1586e-19   6.5891e-17      -9.8835       -10.73            0  -1.8299e+05        18515       -44833   1.0566e-11  -1.7825e+05       -63319   2.6732e-13  -1.7881e+05            0            0            0       99.252            0       99.759      -5.7775   -3.643e-10       -40306     1.13e-10      0.71854   4.8864e-16      0.24899  -1.9512e+05            0    1.847e+06      0.99567     -0.84697            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -19            0      -1.1516      0.11404    0.0080548      0.10599   8.8828e-17    -0.082169   0.00054762    -0.082716  -1.1149e-17   2.6591e-17  -5.0801e-19   2.7099e-17      -10.098      -10.837            0  -1.7878e+05        17704       -42647    1.379e-11  -1.7439e+05       -60232  -1.1609e-12  -1.7493e+05            0            0            0       99.273            0       99.759      -5.6555  -1.9272e-11       -39018   4.5963e-11      0.71732   1.3107e-15      0.24856  -1.9089e+05            0   1.7661e+06      0.99573     -0.82606            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -18.5            0      -1.1242       0.1089    0.0078975        0.101   9.6785e-17    -0.079474   0.00054005    -0.080014   5.4413e-18   3.6602e-17  -5.3063e-19   3.7133e-17      -10.324      -10.946            0  -1.7453e+05        16906       -40510   1.5025e-11  -1.7049e+05       -57213  -1.6647e-12  -1.7099e+05            0            0            0       99.294            0       99.759      -5.5327   9.4056e-12       -37738   6.3269e-11      0.71612   1.8349e-15      0.24815  -1.8659e+05            0   1.6865e+06      0.99581      -0.8051            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -18            0      -1.0967      0.10385    0.0077451     0.096101   4.5394e-17    -0.076799   0.00053259    -0.077332  -5.5436e-17   -3.116e-17  -5.8498e-19  -3.0575e-17      -10.561      -11.059            0  -1.7025e+05        16121       -38421   7.0472e-12  -1.6653e+05       -54264  -8.8575e-12  -1.6701e+05            0            0            0       99.315            0       99.759      -5.4093  -9.5824e-11       -36468  -5.3861e-11      0.71496   2.2016e-15      0.24775  -1.8224e+05            0   1.6082e+06      0.99589     -0.78407            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -17.5            0      -1.0689     0.098879    0.0075968     0.091282   8.3294e-17    -0.074144   0.00052521    -0.074669  -1.2234e-16   3.2682e-17   -3.459e-19   3.3028e-17       -10.81      -11.176            0  -1.6593e+05        15350       -36382   1.2931e-11  -1.6251e+05       -51384  -3.1195e-12  -1.6297e+05            0            0            0       99.335            0       99.759      -5.2853  -2.1147e-10       -35207   5.6492e-11      0.71382  -1.2943e-15      0.24735  -1.7783e+05            0   1.5313e+06      0.99598     -0.76298            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -17            0      -1.0409     0.094006    0.0074541     0.086552   6.3745e-17     -0.07151   0.00051804    -0.072028  -8.0577e-17   4.7281e-17  -3.3993e-19   4.7621e-17      -11.072      -11.296            0  -1.6158e+05        14594       -34393    9.896e-12  -1.5845e+05       -48575  -1.7221e-12  -1.5888e+05            0            0            0       99.354            0       99.759      -5.1607  -1.3928e-10       -33956   8.1728e-11      0.71272   1.4798e-16      0.24697  -1.7337e+05            0   1.4559e+06      0.99608     -0.74183            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -16.5            0      -1.0126     0.089229    0.0073151     0.081914    5.266e-17    -0.068897   0.00051095    -0.069408  -6.5922e-17    3.037e-18  -2.2463e-19   3.2617e-18      -11.349       -11.42            0   -1.572e+05        13852       -32456   8.1751e-12  -1.5434e+05       -45838   1.6977e-12  -1.5475e+05            0            0            0       99.374            0       99.759      -5.0356  -1.1395e-10       -32716   5.2497e-12      0.71164   2.7068e-15       0.2466  -1.6886e+05            0   1.3819e+06      0.99618     -0.72063            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -16            0     -0.98421      0.08455    0.0071791     0.077371   7.1193e-17    -0.066307   0.00050389    -0.066811   -2.403e-16   3.1586e-18  -4.2287e-19   3.5815e-18      -11.641      -11.548            0  -1.5279e+05        13126       -30569   1.1052e-11  -1.5018e+05       -43174  -1.8609e-12  -1.5056e+05            0            0            0       99.393            0       99.759        -4.91  -4.1536e-10       -31486   5.4598e-12      0.71059  -6.4902e-16      0.24624  -1.6429e+05            0   1.3094e+06      0.99629     -0.69937            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -15.5            0     -0.95559     0.079973    0.0070454     0.072928   6.4246e-17    -0.063741   0.00049687    -0.064237  -2.0388e-17  -1.5513e-17  -2.0766e-19  -1.5305e-17      -11.949       -11.68            0  -1.4835e+05        12415       -28734   9.9737e-12  -1.4598e+05       -40583  -6.6346e-12  -1.4634e+05            0            0            0       99.411            0       99.759       -4.784  -3.5242e-11       -30267  -2.6814e-11      0.70958   1.7083e-15      0.24588  -1.5968e+05            0   1.2385e+06       0.9964     -0.67806            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -15            0     -0.92677       0.0755    0.0069121     0.068588   8.1656e-17    -0.061198   0.00048976    -0.061688   -1.033e-17    7.128e-17   -3.682e-19   7.1648e-17      -12.275      -11.817            0  -1.4387e+05        11721       -26952   1.2676e-11  -1.4173e+05       -38066   2.7951e-12  -1.4206e+05            0            0            0       99.429            0       99.759      -4.6574  -1.7855e-11       -29060   1.2321e-10      0.70859  -3.0543e-16      0.24554  -1.5501e+05            0   1.1693e+06      0.99652      -0.6567            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -14.5            0     -0.89776     0.071132    0.0067782     0.064354   8.2024e-17    -0.058681   0.00048249    -0.059164  -2.2472e-17   4.0251e-17  -4.6559e-19   4.0716e-17      -12.621      -11.958            0  -1.3937e+05        11043       -25223   1.2734e-11  -1.3743e+05       -35624   9.1517e-13  -1.3775e+05            0            0            0       99.447            0       99.759      -4.5302  -3.8843e-11       -27865   6.9576e-11      0.70764   1.2254e-16      0.24521   -1.503e+05            0   1.1016e+06      0.99664     -0.63529            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -14            0     -0.86857     0.066873    0.0066435      0.06023   5.0503e-17     -0.05619   0.00047485    -0.056665   1.8106e-17  -1.2262e-17  -4.7376e-19  -1.1788e-17      -12.988      -12.105            0  -1.3484e+05        10382       -23548   7.8403e-12   -1.331e+05       -33258  -3.2749e-12  -1.3339e+05            0            0            0       99.464            0       99.759      -4.4027   3.1297e-11       -26682  -2.1195e-11      0.70671   6.0069e-16      0.24489  -1.4555e+05            0   1.0357e+06      0.99676     -0.61383            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -13.5            0      -0.8392      0.06273    0.0065113     0.056219   5.9467e-17    -0.053726   0.00046703    -0.054193  -5.5394e-18   3.0639e-17  -3.9145e-19   3.1031e-17      -13.378      -12.255            0  -1.3028e+05       9738.4       -21927   9.2318e-12  -1.2872e+05       -30968  -3.8699e-13  -1.2899e+05            0            0            0       99.481            0       99.759      -4.2749  -9.5751e-12       -25512   5.2961e-11      0.70581    2.448e-15      0.24458  -1.4075e+05            0   9.7149e+05      0.99688     -0.59232            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -13            0     -0.80966     0.058715    0.0063905     0.052324   5.5139e-17    -0.051288   0.00045984    -0.051748  -1.3117e-16   4.7052e-17  -1.7122e-19   4.7223e-17       -13.79      -12.408            0  -1.2569e+05         9115       -20360     8.56e-12   -1.243e+05       -28755   1.3303e-12  -1.2455e+05            0            0            0       99.498            0       99.759      -4.1477  -2.2673e-10       -24354   8.1331e-11      0.70495    1.686e-15      0.24428   -1.359e+05            0    9.093e+05      0.99699     -0.57077            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -12.5            0     -0.77995     0.054833    0.0062844     0.048549   4.9019e-17    -0.048878   0.00045355    -0.049332  -1.8284e-16   6.7747e-18  -1.1624e-19   6.8909e-18      -14.224      -12.562            0  -1.2108e+05       8512.4       -18849   7.6098e-12  -1.1984e+05       -26621   4.5066e-12  -1.2008e+05            0            0            0       99.513            0       99.759      -4.0215  -3.1605e-10       -23210    1.171e-11      0.70411   -3.856e-16      0.24399  -1.3102e+05            0   8.4919e+05      0.99711     -0.54917            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -12            0     -0.75007     0.051091    0.0061956     0.044896   5.2061e-17    -0.046495   0.00044877    -0.046944   -3.967e-17   1.0449e-17   5.3408e-21   1.0444e-17      -14.681      -12.715            0  -1.1644e+05       7931.6       -17393   8.0821e-12  -1.1535e+05       -24564  -3.6181e-14  -1.1557e+05            0            0            0       99.528            0       99.759      -3.8967  -6.8572e-11       -22078   1.8062e-11      0.70331   6.3832e-16      0.24371  -1.2609e+05            0   7.9124e+05      0.99722     -0.52753            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -11.5            0     -0.72004     0.047478    0.0061098     0.041368   4.9739e-17    -0.044141   0.00044429    -0.044585   4.1756e-17   1.7677e-17  -2.8589e-20   1.7705e-17      -15.166      -12.869            0  -1.1178e+05       7370.6       -15992   7.7216e-12  -1.1082e+05       -22587  -1.2306e-12  -1.1102e+05            0            0            0       99.543            0       99.759      -3.7725   7.2178e-11       -20960   3.0555e-11      0.70253   -2.923e-16      0.24344  -1.2113e+05            0   7.3528e+05      0.99734     -0.50586            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -11            0     -0.68986     0.043994    0.0060246     0.037969    4.551e-17    -0.041817   0.00043992    -0.042257  -1.1355e-16   4.0342e-18  -1.0116e-19   4.1354e-18      -15.681      -13.024            0   -1.071e+05       6829.7       -14649   7.0652e-12  -1.0625e+05       -20689   -1.269e-12  -1.0644e+05            0            0            0       99.557            0       99.759      -3.6489  -1.9628e-10       -19857   6.9733e-12      0.70179  -5.9396e-16      0.24318  -1.1613e+05            0   6.8132e+05      0.99744     -0.48414            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0        -10.5            0     -0.65954     0.040637    0.0059366     0.034701   2.5711e-17    -0.039524   0.00043501    -0.039959   2.4781e-18    1.232e-17  -1.1813e-19   1.2438e-17       -16.23      -13.181            0  -1.0239e+05       6308.6       -13362   3.9914e-12  -1.0166e+05       -18872   5.3691e-12  -1.0182e+05            0            0            0        99.57            0       99.759      -3.5258   4.2836e-12       -18768   2.1296e-11      0.70108     1.77e-15      0.24294   -1.111e+05            0   6.2934e+05      0.99755     -0.46239            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0          -10            0     -0.62907      0.03742     0.005854     0.031566   4.7552e-17    -0.037263    0.0004302    -0.037693   1.0315e-17   1.2005e-17  -1.2064e-19   1.2125e-17      -16.811      -13.334            0       -97659       5809.1       -12132    7.382e-12       -97026       -17135   8.0772e-13       -97177            0            0            0       99.583            0       99.759      -3.4042   1.7829e-11       -17694    2.075e-11      0.70039   1.0818e-15       0.2427  -1.0603e+05            0   5.7951e+05      0.99764      -0.4406            0            0            0            0            0            0            0            0            0            0        0.835            0  
          0         -9.5            0     -0.59847     0.034354    0.0057871     0.028567   3.9492e-17    -0.035033   0.00042691     -0.03546  -3.6863e-17  -1.3552e-17  -3.5815e-20  -1.3516e-17      -17.421      -13.477            0       -92908       5333.2       -10960   6.1308e-12       -92366       -15480   2.7238e-12       -92503            0            0            0       99.595            0       99.759      -3.2853  -6.3719e-11       -16635  -2.3425e-11      0.69974   1.4307e-15      0.24247  -1.0093e+05            0   5.3203e+05      0.99773     -0.41877            0            0            0            0            0            0            0            0            0            0        0.835            0  
