A320-200: HTP_vble_case9
T1-99.8 m/s-VLM2-xm0.805m-case9
Freestream speed = 99.759 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.2232     0.090739    0.0085276     0.082212  -1.1679e-16     -0.19505   0.00051292     -0.19556     1.55e-16   2.5326e-18   4.7455e-20   2.4851e-18      -13.481       -14.91            0   -1.899e+05        14087       -52956   -1.813e-11  -1.8281e+05       -66765  -6.7838e-12  -1.8343e+05            0            0            0       99.485            0       99.759      -4.2424   3.2813e-10       -75623   5.3615e-12      -1.1486   -1.052e-15      0.28524  -2.3066e+05            0   1.4053e+06      0.96557        1.405            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0        -19.5            0      -1.1953     0.086952    0.0083604     0.078592  -1.5146e-16     -0.18968   0.00051469      -0.1902   1.4888e-17  -2.5187e-18  -9.5167e-20  -2.4236e-18      -13.747       -15.03            0  -1.8557e+05        13499       -50443  -2.3514e-11    -1.79e+05       -63597  -9.3813e-12  -1.7959e+05            0            0            0       99.496            0       99.759      -4.1605   3.1519e-11       -73543  -5.3322e-12      -1.1472  -1.2804e-15      0.28489  -2.2583e+05            0   1.3466e+06      0.96451       1.3713            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0          -19            0      -1.1673     0.083222    0.0081997     0.075022  -2.5261e-17     -0.18432   0.00051667     -0.18484   2.1729e-16  -4.8727e-17  -3.8067e-19  -4.8346e-17      -14.026      -15.154            0  -1.8121e+05        12920       -47984  -3.9216e-12  -1.7513e+05       -60496   1.1626e-11  -1.7569e+05            0            0            0       99.506            0       99.759      -4.0781   4.6001e-10       -71464  -1.0316e-10      -1.1458  -6.7124e-16      0.28454  -2.2092e+05            0   1.2888e+06      0.96349       1.3374            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0        -18.5            0       -1.139     0.079547    0.0080417     0.071506  -9.6022e-17     -0.17897   0.00051825     -0.17949  -1.8086e-16    1.173e-17   2.8191e-19   1.1448e-17      -14.318      -15.281            0  -1.7682e+05        12349       -45579  -1.4907e-11  -1.7121e+05       -57464   8.8684e-12  -1.7174e+05            0            0            0       99.516            0       99.759       -3.995  -3.8288e-10       -69388   2.4832e-11      -1.1444  -2.3478e-15       0.2842  -2.1595e+05            0   1.2319e+06      0.96251       1.3035            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0          -18            0      -1.1105     0.075932    0.0078871     0.068045  -5.2739e-17     -0.17362    0.0005196     -0.17414   7.9074e-17  -2.1058e-17   1.3749e-19  -2.1196e-17      -14.626      -15.413            0   -1.724e+05        11788       -43229  -8.1873e-12  -1.6723e+05       -54502   2.9472e-12  -1.6774e+05            0            0            0       99.526            0       99.759      -3.9114    1.674e-10       -67315  -4.4581e-11      -1.1431    1.039e-15      0.28387  -2.1091e+05            0   1.1759e+06      0.96155       1.2694            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0        -17.5            0      -1.0819     0.072378    0.0077352     0.064642  -5.0708e-17     -0.16828   0.00052084      -0.1688   1.0318e-16  -5.4091e-18  -1.3262e-19  -5.2765e-18      -14.948      -15.548            0  -1.6796e+05        11236       -40935   -7.872e-12   -1.632e+05       -51609   7.9397e-12  -1.6368e+05            0            0            0       99.536            0       99.759      -3.8273   2.1843e-10       -65245  -1.1451e-11      -1.1418  -3.8004e-15      0.28355  -2.0581e+05            0   1.1209e+06      0.96064       1.2353            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0          -17            0      -1.0531     0.068887    0.0075851     0.061302  -1.4993e-17     -0.16296   0.00052187     -0.16348   3.8434e-17   1.8066e-18  -3.5143e-20   1.8418e-18      -15.287      -15.688            0  -1.6348e+05        10694       -38697  -2.3275e-12  -1.5912e+05       -48788   5.6172e-13  -1.5958e+05            0            0            0       99.546            0       99.759      -3.7426   8.1366e-11       -63180   3.8247e-12      -1.1405    2.761e-16      0.28323  -2.0064e+05            0   1.0668e+06      0.95975        1.201            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0        -16.5            0      -1.0241     0.065461    0.0074365     0.058025  -3.4918e-17     -0.15764   0.00052263     -0.15816   1.8756e-17  -5.1981e-17   7.2594e-20  -5.2054e-17      -15.644      -15.832            0  -1.5898e+05        10162       -36517  -5.4207e-12    -1.55e+05       -46039   4.5577e-12  -1.5543e+05            0            0            0       99.556            0       99.759      -3.6574   3.9708e-11       -61120  -1.1005e-10      -1.1393   1.1104e-15      0.28292  -1.9542e+05            0   1.0138e+06       0.9589       1.1667            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0          -16            0     -0.99495     0.062104    0.0072885     0.054815  -1.1248e-17     -0.15234   0.00052314     -0.15287   3.3263e-17  -7.4418e-18   2.3984e-19  -7.6816e-18      -16.021       -15.98            0  -1.5446e+05       9641.1       -34394  -1.7462e-12  -1.5082e+05       -43363  -2.3413e-12  -1.5122e+05            0            0            0       99.565            0       99.759      -3.5717   7.0418e-11       -59065  -1.5754e-11       -1.138  -1.0194e-15      0.28262  -1.9013e+05            0   9.6179e+05      0.95807       1.1323            0            0            0            0            0            0            0            0            0            0       -0.805            0  
          0        -15.5            0     -0.96562     0.058818    0.0071438     0.051675  -4.8496e-17     -0.14706    0.0005237     -0.14758   1.2392e-16   1.4057e-17   1.8623e-19    1.387e-17      -16.417      -16.132            0  -1.4991e+05       9131.1       -32330  -7.5286e-12   -1.466e+05       -40761   9.3664e-12  -1.4698e+05            0            0            0       99.574            0       99.759      -3.4857   2.6233e-10       -57016   2.9758e-11      -1.1369  -1.4965e-15      0.28233  -1.8479e+05            0   9.1091e+05      0.95728       1.0978            0            0            0            0            0            0            0            0            0            0       -0.805            0  
