A320-Wing_refined
T1-99.8 m/s-VLM2-x4.73m
Freestream speed = 99.759 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.4201     0.078084     0.010915     0.067169   3.5174e-17     -0.12293    0.0017698      -0.1247  -1.8987e-16   2.3276e-16   -1.217e-18   2.3398e-16      -18.187      -21.674            0  -8.6861e+05        47759  -2.5848e+05   2.1513e-11  -8.3027e+05    -3.02e+05  -1.2919e-10  -8.2973e+05            0            0            0       99.608            0       99.759      -3.1471  -3.9259e-09  -3.1134e+05   4.8128e-09       4.6729   4.5582e-16      0.69103  -2.9329e+06            0   4.7644e+06       1.0212      -6.6361            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0        -19.5            0      -1.3832     0.074388     0.010584     0.063804   4.3584e-17     -0.11898    0.0016996     -0.12067  -1.6782e-16   -8.754e-18   -1.385e-18   -7.369e-18      -18.594      -21.869            0  -8.4602e+05        45498  -2.4562e+05   2.6657e-11  -8.1052e+05  -2.8683e+05   5.6338e-11     -8.1e+05            0            0            0       99.615            0       99.759      -3.0784    -3.47e-09  -3.0133e+05  -1.8101e-10       4.6654   3.7334e-16      0.69037  -2.8632e+06            0   4.5389e+06       1.0199      -6.4532            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0          -19            0      -1.3461     0.070773     0.010273     0.060501    6.475e-17      -0.1151    0.0016367     -0.11674   3.3413e-16   2.9463e-17  -9.2785e-19    3.039e-17      -19.019      -22.066            0   -8.233e+05        43287  -2.3305e+05   3.9604e-11   -7.905e+05  -2.7202e+05   1.2057e-10     -7.9e+05            0            0            0       99.621            0       99.759      -3.0097   6.9088e-09  -2.9153e+05   6.0919e-10       4.6579   4.0931e-15      0.68972  -2.7925e+06            0   4.3183e+06       1.0186      -6.2698            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0        -18.5            0      -1.3087     0.067234     0.009973     0.057261   8.2309e-17     -0.11132    0.0015777     -0.11289   5.7016e-17  -8.0797e-17  -1.1901e-18  -7.9607e-17      -19.465      -22.269            0  -8.0047e+05        41123  -2.2078e+05   5.0343e-11  -7.7022e+05  -2.5756e+05   1.2581e-11  -7.6975e+05            0            0            0       99.627            0       99.759      -2.9409   1.1789e-09  -2.8194e+05  -1.6706e-09       4.6502  -2.4286e-15      0.68908  -2.7209e+06            0   4.1024e+06       1.0174      -6.0859            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0          -18            0      -1.2712      0.06377    0.0096813     0.054089   3.5912e-17     -0.10762    0.0015202     -0.10914  -2.1838e-16   8.6061e-17  -7.5304e-19   8.6814e-17      -19.935      -22.476            0  -7.7753e+05        39004  -2.0881e+05   2.1965e-11   -7.497e+05  -2.4345e+05  -2.5093e-11  -7.4925e+05            0            0            0       99.634            0       99.759      -2.8718  -4.5154e-09  -2.7256e+05   1.7795e-09       4.6424   5.4955e-15      0.68845  -2.6485e+06            0    3.891e+06       1.0162      -5.9016            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0        -17.5            0      -1.2335     0.060384    0.0093976     0.050986   5.0857e-17       -0.104    0.0014636     -0.10547  -3.3973e-16  -1.7064e-17  -1.0354e-18  -1.6029e-17      -20.428      -22.689            0  -7.5447e+05        36933  -1.9713e+05   3.1106e-11  -7.2893e+05   -2.297e+05    1.213e-10  -7.2851e+05            0            0            0       99.639            0       99.759      -2.8025  -7.0244e-09  -2.6342e+05  -3.5283e-10       4.6345  -1.2972e-16      0.68783  -2.5751e+06            0   3.6844e+06        1.015      -5.7168            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0          -17            0      -1.1957     0.057072    0.0091172     0.047955   8.7593e-17     -0.10048    0.0014064     -0.10189   2.5496e-16   5.3412e-17   -1.022e-18   5.4434e-17       -20.95      -22.908            0  -7.3131e+05        34907  -1.8576e+05   5.3575e-11  -7.0793e+05  -2.1631e+05   2.1072e-10  -7.0753e+05            0            0            0       99.645            0       99.759      -2.7328   5.2717e-09   -2.545e+05   1.1044e-09       4.6264  -2.8287e-15      0.68723   -2.501e+06            0   3.4823e+06        1.014      -5.5316            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0        -16.5            0      -1.1576      0.05384     0.008841     0.044999   2.6054e-17    -0.097057    0.0013489    -0.098406   2.7862e-17  -1.0516e-17  -7.7993e-19  -9.7357e-18      -21.501      -23.134            0  -7.0804e+05        32930   -1.747e+05   1.5935e-11   -6.867e+05   -2.033e+05  -1.1042e-10  -6.8632e+05            0            0            0       99.651            0       99.759      -2.6628    5.761e-10  -2.4582e+05  -2.1743e-10       4.6181   9.7702e-16      0.68663   -2.426e+06            0   3.2851e+06       1.0129       -5.346            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0          -16            0      -1.1194     0.050687     0.008568     0.042119   7.6115e-17    -0.093722    0.0012916    -0.095014   4.1847e-17   2.8367e-17  -9.4802e-19   2.9315e-17      -22.085      -23.366            0  -6.8467e+05        31002  -1.6396e+05   4.6555e-11  -6.6524e+05  -1.9065e+05   4.4834e-12  -6.6488e+05            0            0            0       99.657            0       99.759      -2.5926   8.6527e-10  -2.3737e+05   5.8653e-10       4.6095   5.2793e-15      0.68604  -2.3503e+06            0   3.0927e+06       1.0119      -5.1599            0            0            0            0            0            0            0            0            0            0         4.73            0  
          0        -15.5            0       -1.081     0.047619    0.0083018     0.039318   4.1083e-17     -0.09048    0.0012356    -0.091716   2.6894e-18  -7.0029e-17  -6.9589e-19  -6.9333e-17      -22.701      -23.603            0  -6.6119e+05        29126  -1.5352e+05   2.5128e-11  -6.4357e+05  -1.7838e+05    1.981e-12  -6.4323e+05            0            0            0       99.662            0       99.759      -2.5223   5.5608e-11  -2.2916e+05   -1.448e-09       4.6007   5.4028e-15      0.68545  -2.2738e+06            0   2.9055e+06       1.0109      -4.9735            0            0            0            0            0            0            0            0            0            0         4.73            0  
