A320_htp_case6_refined
T6/1-TriUniform-ThickSurf-x0.6m_visc.loop_case6


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.5862      0.14273     0.012115      0.13062   2.2418e-14    -0.044847    0.0024802    -0.047327   2.7597e-13  -1.5679e-14   3.4557e-15  -1.9135e-14      -11.113      -13.997            0  -6.0084e+05        54065  -1.5901e+05   8.4916e-09  -5.8153e+05  -1.4597e+05   8.1214e-08  -5.6834e+05            0            0            0       163.54            0        164.2      -5.1418   1.4269e-06       -41522   -8.107e-08      0.34993    -1.86e-12      0.38341  -8.3982e+05            0   8.8773e+06       1.0221     -0.55506            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -19          -19            0      -1.5127      0.13006     0.011257      0.11881    -2.63e-14    -0.040503    0.0022653    -0.042768  -1.1929e-13   1.2825e-14  -1.1915e-15   1.4016e-14       -11.63      -14.304            0  -5.7299e+05        49267    -1.44e+05  -9.9623e-09  -5.5643e+05  -1.3286e+05   -4.237e-08  -5.4441e+05            0            0            0       163.59            0        164.2      -4.9143   -6.168e-07       -37500    6.631e-08      0.36764   8.8855e-13      0.38296  -8.0164e+05            0   8.0895e+06       1.0219     -0.55613            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -18          -18            0      -1.4385      0.11793     0.010477      0.10745   6.6089e-15     -0.03634    0.0020713    -0.038411   1.5119e-13  -2.9242e-15   1.6611e-15  -4.5853e-15      -12.198       -14.63            0   -5.449e+05        44671  -1.2967e+05   2.5034e-09  -5.3081e+05  -1.2024e+05   3.5688e-08   -5.199e+05            0            0            0       163.65            0        164.2      -4.6866   7.8174e-07       -33645  -1.5119e-08      0.38499  -1.1635e-12      0.38168  -7.6306e+05            0   7.3348e+06       1.0218     -0.55381            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -17          -17            0      -1.3629      0.10623    0.0097664     0.096466  -5.4768e-14    -0.032334     0.001896     -0.03423  -1.7147e-13   1.3774e-14  -1.3932e-15   1.5167e-14       -12.83      -14.978            0  -5.1627e+05        40240    -1.16e+05  -2.0746e-08  -5.0439e+05  -1.0802e+05  -7.8336e-08  -4.9456e+05            0            0            0        163.7            0        164.2      -4.4568   -8.866e-07       -29936   7.1219e-08      0.40192   1.3961e-12      0.37952  -7.2366e+05            0   6.6073e+06       1.0217     -0.54779            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -16          -16            0      -1.2861     0.095009    0.0091116     0.085898  -2.7403e-14    -0.028556    0.0017354    -0.030291  -4.5836e-14   8.0249e-15  -4.4037e-16   8.4652e-15      -13.537      -15.352            0  -4.8718e+05        35989  -1.0301e+05   -1.038e-08  -4.7727e+05       -96254   -5.191e-09  -4.6846e+05            0            0            0       163.75            0        164.2      -4.2249  -2.3699e-07       -26438   4.1493e-08      0.41833   4.5701e-13      0.37654  -6.8365e+05            0   5.9092e+06       1.0217     -0.53803            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -15          -15            0      -1.2088     0.084391    0.0085146     0.075876   2.4308e-14    -0.024962      0.00159    -0.026552   8.9088e-14  -1.0062e-14   6.6264e-16  -1.0725e-14      -14.324      -15.748            0  -4.5788e+05        31967       -90747   9.2078e-09  -4.4972e+05       -85076   1.8409e-08  -4.4187e+05            0            0            0        163.8            0        164.2      -3.9936   4.6063e-07       -23111  -5.2028e-08       0.4343  -9.1811e-13      0.37267  -6.4321e+05            0   5.2488e+06       1.0218     -0.52498            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -14          -14            0      -1.1312     0.074434    0.0079785     0.066455  -2.6096e-14    -0.021537    0.0014585    -0.022995  -1.3887e-13   1.2405e-14  -1.0125e-15   1.3418e-14      -15.198      -16.164            0   -4.285e+05        28195       -79239   -9.885e-09  -4.2186e+05       -74538   -2.587e-08  -4.1491e+05            0            0            0       163.84            0        164.2      -3.7645  -7.1801e-07       -19940   6.4141e-08      0.44987   1.5274e-12      0.36785   -6.024e+05            0   4.6295e+06       1.0217     -0.50891            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -13          -13            0      -1.0525     0.065009    0.0074757     0.057533  -1.4968e-14    -0.018286     0.001337    -0.019623  -1.1638e-13   6.2497e-15  -6.8102e-16   6.9308e-15       -16.19       -16.61            0  -3.9868e+05        24625       -68449  -5.6696e-09  -3.9336e+05       -64545  -3.3812e-08  -3.8726e+05            0            0            0       163.88            0        164.2      -3.5344  -6.0173e-07       -16930   3.2314e-08      0.46498   1.3446e-12      0.36202  -5.6073e+05            0   4.0433e+06       1.0216     -0.48939            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -12          -12            0     -0.97336     0.056198    0.0069857     0.049212  -6.7974e-14    -0.015277    0.0012218    -0.016498  -2.5754e-13    1.692e-14  -1.3689e-15   1.8289e-14       -17.32      -17.088            0   -3.687e+05        21287       -58424  -2.5748e-08  -3.6452e+05       -55214  -7.9431e-08   -3.592e+05            0            0            0       163.92            0        164.2      -3.3043  -1.3316e-06       -14144   8.7483e-08      0.47954   3.2421e-12      0.35518  -5.1874e+05            0   3.4953e+06       1.0215     -0.46677            0            0            0            0            0            0            0            0            0            0          0.6            0  
        -11          -11            0     -0.89436      0.04816    0.0066168     0.041543   4.0527e-14    -0.012592    0.0011286     -0.01372   1.9763e-13  -6.9553e-15    9.461e-16  -7.9014e-15      -18.571      -17.562            0  -3.3878e+05        18243       -49194   1.5351e-08  -3.3555e+05       -46612    4.005e-08  -3.3095e+05            0            0            0       163.96            0        164.2      -3.0823   1.0218e-06       -11658  -3.5962e-08      0.49336  -2.7709e-12      0.34742  -4.7703e+05            0   2.9954e+06       1.0216     -0.44124            0            0            0            0            0            0            0            0            0            0          0.6            0  
