A320_htp_case5_refined
T6/1-TriUniform-ThickSurf-x0.72m_visc.loop-case5


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.3733      0.15479     0.009369      0.14543   -5.956e-14    -0.021458    0.0015397    -0.022998   1.7308e-14   3.1491e-15   1.3969e-16   3.0094e-15      -8.8715      -10.396            0  -5.2024e+05        58642  -1.2616e+05  -2.2564e-08  -5.0771e+05  -1.1472e+05   2.2866e-08  -4.9063e+05            0            0            0       163.16            0        164.2      -6.4312   7.3082e-08       -24317   1.3297e-08      0.44798  -6.5281e-14      0.35233  -5.8734e+05            0   9.6288e+06        1.032      -0.6152            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -19          -19            0      -1.3053      0.14036    0.0088426      0.13152   1.2955e-14    -0.019805    0.0014209    -0.021226   -3.859e-14   1.2169e-15  -3.6904e-16   1.5859e-15      -9.2997      -10.625            0  -4.9451e+05        53175  -1.1389e+05   4.9078e-09  -4.8379e+05  -1.0397e+05    6.695e-09  -4.6833e+05            0            0            0       163.26            0        164.2      -6.1374  -1.6294e-07       -22443   5.1384e-09      0.46713    2.933e-13      0.35034  -5.5908e+05            0   8.7311e+06       1.0311     -0.60977            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -18          -18            0      -1.2376       0.1267    0.0083663      0.11834  -9.2775e-16    -0.018149    0.0013129    -0.019462  -2.0059e-14   1.4301e-15  -1.0315e-16   1.5333e-15      -9.7679      -10.867            0  -4.6885e+05        47999  -1.0225e+05  -3.5146e-10  -4.5976e+05       -93720  -2.2472e-08  -4.4582e+05            0            0            0       163.34            0        164.2      -5.8453    -8.47e-08       -20566   6.0388e-09      0.48585   1.1046e-13      0.34735  -5.3074e+05            0   7.8813e+06       1.0301      -0.6013            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -17          -17            0      -1.1699      0.11376     0.007927      0.10583   1.9757e-14    -0.016501    0.0012139    -0.017715   8.6516e-14  -6.8039e-15   5.3262e-16  -7.3366e-15      -10.284      -11.123            0   -4.432e+05        43096       -91236   7.4846e-09  -4.3555e+05       -83959   2.3126e-08  -4.2305e+05            0            0            0       163.43            0        164.2       -5.554   3.6531e-07       -18699   -2.873e-08      0.50411  -6.8484e-13      0.34337  -5.0227e+05            0   7.0763e+06       1.0292     -0.58975            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -16          -16            0      -1.1018      0.10149    0.0075337     0.093953     3.78e-15    -0.014881    0.0011242    -0.016005   5.4654e-14  -5.5356e-15   3.3355e-16  -5.8692e-15      -10.857      -11.396            0  -4.1741e+05        38447       -80839    1.432e-09  -4.1105e+05       -74649   1.9949e-08  -3.9988e+05            0            0            0        163.5            0        164.2      -5.2626   2.3078e-07       -16863  -2.3374e-08      0.52183  -4.6546e-13      0.33835  -4.7354e+05            0   6.3128e+06       1.0283     -0.57496            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -15          -15            0      -1.0336     0.089898    0.0071655     0.082732  -2.3886e-14    -0.013318    0.0010409    -0.014359  -2.3018e-14   2.9167e-15  -1.8501e-16   3.1017e-15      -11.497      -11.688            0  -3.9155e+05        34056       -71065  -9.0489e-09  -3.8632e+05       -65827   -1.084e-09  -3.7639e+05            0            0            0       163.58            0        164.2       -4.971  -9.7194e-08       -15093   1.2316e-08      0.53893   2.2857e-13      0.33231  -4.4466e+05            0   5.5919e+06       1.0276     -0.55701            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -14          -14            0     -0.96572     0.079067    0.0067961     0.072271   -8.316e-15     -0.01185   0.00096051    -0.012811  -2.2433e-15    1.183e-15  -2.1641e-17   1.2046e-15      -12.214      -12.003            0  -3.6585e+05        29953       -61941  -3.1504e-09   -3.616e+05       -57576   4.7665e-09  -3.5283e+05            0            0            0       163.65            0        164.2      -4.6806  -9.4725e-09       -13429   4.9952e-09      0.55535   3.5568e-14      0.32526  -4.1599e+05            0   4.9182e+06        1.027     -0.53631            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -13          -13            0     -0.89781     0.068983    0.0064906     0.062492  -4.8537e-14    -0.010453   0.00089128    -0.011344  -2.4006e-13   1.1739e-14   -9.491e-16   1.2688e-14      -13.015      -12.332            0  -3.4012e+05        26133       -53443  -1.8388e-08  -3.3673e+05       -49842  -5.7758e-08  -3.2902e+05            0            0            0       163.71            0        164.2      -4.3937  -1.0136e-06       -11846   4.9566e-08      0.57105   2.6386e-12      0.31713  -3.8725e+05            0    4.291e+06       1.0265     -0.51269            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -12          -12            0     -0.82951     0.059651    0.0062839     0.053367  -1.0446e-14   -0.0091048   0.00083723    -0.009942  -6.2844e-14   2.5449e-15  -2.1792e-16   2.7629e-15      -13.906      -12.665            0  -3.1425e+05        22598       -45560  -3.9572e-09  -3.1158e+05       -42605  -1.3096e-08  -3.0485e+05            0            0            0       163.77            0        164.2      -4.1131  -2.6536e-07       -10318   1.0746e-08      0.58605   7.6159e-13      0.30779  -3.5825e+05            0   3.7105e+06       1.0261     -0.48613            0            0            0            0            0            0            0            0            0            0         0.72            0  
        -11          -11            0     -0.76094     0.051023    0.0061016     0.044921   9.0734e-15    -0.007831   0.00078825   -0.0086192   5.3059e-14   -2.372e-15   1.5607e-16  -2.5281e-15      -14.914      -13.009            0  -2.8827e+05        19329       -38300   3.4373e-09  -2.8622e+05       -35890   1.3673e-08  -2.8039e+05            0            0            0       163.83            0        164.2      -3.8361   2.2404e-07      -8874.2  -1.0016e-08      0.60028  -7.0041e-13      0.29715  -3.2906e+05            0   3.1738e+06       1.0258     -0.45677            0            0            0            0            0            0            0            0            0            0         0.72            0  
