A320_htp_case8_refined
T6/1-TriUniform-ThickSurf-x0m-visc.loop-case8


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.3119      0.14018    0.0086032      0.13158  -1.6178e-13     -0.01465   0.00063727    -0.015287   2.4707e-13  -1.3797e-14   1.2658e-15  -1.5062e-14      -9.3587      -10.719            0  -4.9701e+05        53107  -1.2315e+05  -6.1286e-08  -4.8408e+05  -1.1213e+05   1.0804e-08  -4.6389e+05            0            0            0       163.27            0        164.2      -6.0991   1.0433e-06       -16601  -5.8257e-08     -0.12889  -1.8018e-12      0.12407  -5.1873e+05            0   8.7199e+06        1.041      0.16909            0            0            0            0            0            0            0            0            0            0            0            0  
        -19          -19            0      -1.2399      0.12628    0.0081357      0.11815  -2.4531e-14    -0.014384   0.00060505    -0.014989  -8.7309e-14   1.7359e-14  -6.3115e-16    1.799e-14      -9.8183      -10.933            0  -4.6972e+05        47841   -1.106e+05  -9.2933e-09   -4.587e+05  -1.0105e+05   5.6146e-09  -4.4042e+05            0            0            0       163.35            0        164.2      -5.8155  -3.6866e-07       -16300   7.3299e-08     -0.12303   6.9427e-13      0.12911   -4.917e+05            0   7.8553e+06       1.0356      0.15255            0            0            0            0            0            0            0            0            0            0            0            0  
        -18          -18            0      -1.1692      0.11333    0.0077205      0.10561  -2.3824e-14    -0.013913   0.00057744    -0.014491  -3.5614e-13   3.4933e-14  -2.1473e-15    3.708e-14      -10.317      -11.156            0  -4.4294e+05        42932       -98826  -9.0254e-09  -4.3362e+05       -90626  -2.6392e-08  -4.1714e+05            0            0            0       163.43            0        164.2      -5.5362  -1.5038e-06       -15767    1.475e-07     -0.11701   2.9471e-12      0.13374  -4.6497e+05            0   7.0494e+06       1.0302      0.13681            0            0            0            0            0            0            0            0            0            0            0            0  
        -17          -17            0      -1.1003      0.10134    0.0073498     0.093991  -6.2558e-14    -0.013377   0.00055289     -0.01393  -2.2511e-14   6.5189e-15  -7.8848e-17   6.5977e-15      -10.858       -11.39            0  -4.1685e+05        38392       -87824  -2.3699e-08  -4.0905e+05       -80904  -9.7452e-10  -3.9424e+05            0            0            0        163.5            0        164.2       -5.262  -9.5051e-08       -15159   2.7526e-08      -0.1111   2.0863e-13      0.13788  -4.3881e+05            0   6.3038e+06       1.0252      0.12225            0            0            0            0            0            0            0            0            0            0            0            0  
        -16          -16            0      -1.0323     0.090113    0.0070196     0.083093  -3.6661e-14    -0.012819   0.00053094     -0.01335  -3.0649e-14   6.0275e-15  -2.0132e-16   6.2288e-15      -11.455      -11.639            0  -3.9106e+05        34138       -77532  -1.3889e-08  -3.8459e+05       -71737  -4.3583e-09  -3.7135e+05            0            0            0       163.57            0        164.2       -4.989  -1.2942e-07       -14527   2.5451e-08     -0.10541   2.9505e-13      0.14149  -4.1285e+05            0   5.6053e+06       1.0206      0.10881            0            0            0            0            0            0            0            0            0            0            0            0  
        -15          -15            0     -0.96453     0.079559    0.0067102     0.072849   5.0451e-14    -0.012192   0.00050953    -0.012702  -9.0036e-14  -3.2645e-15  -2.2026e-16  -3.0443e-15      -12.123      -11.906            0   -3.654e+05        30140       -67914   1.9112e-08  -3.6009e+05       -63076  -2.3452e-08  -3.4832e+05            0            0            0       163.64            0        164.2      -4.7154  -3.8018e-07       -13816  -1.3784e-08    -0.099818   9.2245e-13      0.14453  -3.8687e+05            0   4.9489e+06       1.0163     0.096277            0            0            0            0            0            0            0            0            0            0            0            0  
        -14          -14            0     -0.89745     0.069751    0.0064355     0.063316   3.3012e-14    -0.011477   0.00049029    -0.011968  -1.1357e-13    3.052e-15  -3.1709e-16   3.3691e-15      -12.866      -12.189            0  -3.3998e+05        26424       -58976   1.2506e-08  -3.3569e+05       -54968  -1.2038e-08  -3.2528e+05            0            0            0        163.7            0        164.2      -4.4442  -4.7955e-07       -13006   1.2887e-08     -0.09426   1.2976e-12      0.14697  -3.6097e+05            0   4.3388e+06       1.0124     0.084594            0            0            0            0            0            0            0            0            0            0            0            0  
        -13          -13            0     -0.83084     0.060699    0.0062379     0.054461  -7.9323e-15    -0.010696   0.00047817    -0.011174  -3.2661e-14   7.1312e-15  -8.7126e-17   7.2183e-15      -13.688      -12.476            0  -3.1475e+05        22995       -50700   -3.005e-09  -3.1132e+05       -47399   3.4003e-09  -3.0218e+05            0            0            0       163.76            0        164.2      -4.1785  -1.3791e-07       -12121   3.0111e-08    -0.088797   4.3487e-13      0.14873  -3.3511e+05            0   3.7757e+06       1.0087     0.073776            0            0            0            0            0            0            0            0            0            0            0            0  
        -12          -12            0     -0.76469     0.052359    0.0060755     0.046283  -7.7346e-15   -0.0098735   0.00046884    -0.010342   1.8633e-13  -2.1433e-15   4.7406e-16  -2.6174e-15      -14.605      -12.771            0  -2.8969e+05        19835       -43080  -2.9301e-09  -2.8701e+05       -40375    2.899e-08  -2.7903e+05            0            0            0       163.81            0        164.2       -3.917   7.8678e-07       -11189  -9.0501e-09     -0.08348  -2.5142e-12      0.14968  -3.0928e+05            0   3.2569e+06       1.0055     0.063836            0            0            0            0            0            0            0            0            0            0            0            0  
        -11          -11            0     -0.69909     0.044703    0.0059096     0.038794    8.736e-16   -0.0090124   0.00045893   -0.0094713  -3.4774e-14  -4.7284e-15  -5.7252e-17  -4.6711e-15      -15.639      -13.076            0  -2.6484e+05        16935       -36108   3.3095e-10  -2.6278e+05       -33911   -1.497e-08  -2.5586e+05            0            0            0       163.86            0        164.2      -3.6588  -1.4683e-07       -10213  -1.9966e-08    -0.078289   4.8034e-13      0.14972  -2.8353e+05            0   2.7807e+06       1.0026     0.054731            0            0            0            0            0            0            0            0            0            0            0            0  
        -10          -10            0     -0.63372     0.037707    0.0057518     0.031956  -4.8944e-14   -0.0081288    0.0004494   -0.0085782  -8.1922e-14   4.8183e-15  -1.6343e-16   4.9818e-15      -16.806      -13.379            0  -2.4007e+05        14285       -29766  -1.8542e-08  -2.3853e+05       -27985  -1.5043e-08  -2.3259e+05            0            0            0       163.91            0        164.2      -3.4052  -3.4592e-07      -9211.7   2.0345e-08    -0.073282   1.3647e-12      0.14861  -2.5771e+05            0   2.3455e+06       1.0002      0.04644            0            0            0            0            0            0            0            0            0            0            0            0  
         -9           -9            0     -0.56901     0.031435    0.0056192     0.025816  -1.2374e-14   -0.0072176   0.00044199   -0.0076596    2.157e-13   3.6847e-15   5.0952e-16   3.1752e-15      -18.101      -13.654            0  -2.1556e+05        11909       -24061  -4.6876e-09  -2.1444e+05       -22638   3.1917e-08  -2.0938e+05            0            0            0       163.95            0        164.2      -3.1621   9.1079e-07        -8179   1.5559e-08    -0.068403  -4.0139e-12       0.1461  -2.3202e+05            0   1.9554e+06      0.99809     0.038922            0            0            0            0            0            0            0            0            0            0            0            0  
         -8           -8            0     -0.50472      0.02584    0.0054955     0.020345   2.9856e-14   -0.0063069   0.00043498   -0.0067419   1.5066e-13  -1.8935e-15   2.9456e-16   -2.188e-15      -19.532      -13.876            0   -1.912e+05       9789.3       -18978    1.131e-08  -1.9042e+05       -17855   2.0601e-08  -1.8615e+05            0            0            0       163.98            0        164.2      -2.9309   6.3617e-07      -7147.1  -7.9951e-09    -0.063766  -3.1925e-12      0.14176  -2.0637e+05            0   1.6074e+06      0.99648     0.032184            0            0            0            0            0            0            0            0            0            0            0            0  
         -7           -7            0     -0.44079     0.020916    0.0053802     0.015536  -2.4889e-15   -0.0053978   0.00042857   -0.0058264  -1.5095e-14  -1.2778e-15  -1.7582e-17  -1.2602e-15      -21.074      -13.992            0  -1.6699e+05       7923.8       -14509  -9.4288e-10  -1.6646e+05       -13635  -5.1846e-09  -1.6292e+05            0            0            0       164.01            0        164.2      -2.7167   -6.374e-08      -6116.9  -5.3954e-09    -0.059368   3.5706e-13      0.13489  -1.8072e+05            0   1.3011e+06       0.9953     0.026169            0            0            0            0            0            0            0            0            0            0            0            0  
         -6           -6            0     -0.37714     0.016659    0.0052774     0.011381  -1.5055e-14   -0.0045075   0.00042308   -0.0049306   -3.249e-14   2.8516e-15  -4.3337e-17   2.8949e-15      -22.639      -13.903            0  -1.4288e+05         6311       -10647  -5.7034e-09  -1.4254e+05      -9975.4   -2.841e-09  -1.3965e+05            0            0            0       164.04            0        164.2      -2.5292  -1.3719e-07        -5108   1.2041e-08     -0.05533   9.4635e-13      0.12436  -1.5505e+05            0   1.0362e+06       0.9946     0.020867            0            0            0            0            0            0            0            0            0            0            0            0  
         -5           -5            0     -0.31369     0.013072    0.0051972    0.0078745   5.7382e-14   -0.0036604   0.00041873   -0.0040791   2.6876e-13  -9.8398e-16   4.1153e-16  -1.3955e-15      -23.998      -13.441            0  -1.1884e+05         4952      -7385.5   2.1738e-08  -1.1864e+05      -6876.3   3.3138e-08  -1.1634e+05            0            0            0       164.05            0        164.2      -2.3862   1.1349e-06        -4148  -4.1548e-09     -0.05193   -9.333e-12      0.10811  -1.2935e+05            0    8.131e+05       0.9945      0.01629            0            0            0            0            0            0            0            0            0            0            0            0  
         -4           -4            0     -0.25042     0.010125    0.0051096    0.0050157   4.8906e-14   -0.0028609   0.00041391   -0.0032748   1.5106e-13  -3.6424e-15   2.2598e-16  -3.8684e-15      -24.733      -12.377            0       -94869       3835.8      -4722.3   1.8527e-08       -94771      -4340.9    2.099e-08       -93008            0            0            0       164.06            0        164.2      -2.3153   6.3784e-07        -3242   -1.538e-08     -0.04945  -6.6114e-12     0.081997   -1.036e+05            0   6.2983e+05      0.99506     0.012383            0            0            0            0            0            0            0            0            0            0            0            0  
         -3           -3            0     -0.18727    0.0078252    0.0050245    0.0028007   4.1197e-14   -0.0021231   0.00040893    -0.002532   8.9205e-14  -3.6371e-15   7.8167e-17  -3.7153e-15      -23.932      -10.356            0       -70944       2964.5      -2653.4   1.5607e-08       -70903      -2368.5   1.5518e-08       -69632            0            0            0       164.05            0        164.2      -2.3928   3.7667e-07      -2405.9  -1.5358e-08    -0.048734  -5.2268e-12     0.036297       -77777            0   4.8675e+05      0.99654    0.0091264            0            0            0            0            0            0            0            0            0            0            0            0  
         -2           -2            0     -0.12415    0.0061784    0.0049512    0.0012272   2.4852e-15   -0.0014569   0.00040472   -0.0018616   7.1754e-15  -4.8452e-16   -9.881e-18  -4.7463e-16      -20.094      -7.0801            0       -47032       2340.6      -1176.8    9.415e-10       -47020      -959.38  -4.4633e-11       -46205            0            0            0       163.99            0        164.2       -2.849   3.0298e-08        -1651  -2.0459e-09    -0.052244  -6.4608e-13    -0.058555       -51857            0   3.8432e+05      0.99953    0.0064861            0            0            0            0            0            0            0            0            0            0            0            0  
         -1           -1            0    -0.060923    0.0052153    0.0049217   0.00029363   7.9266e-15  -0.00088175   0.00040444   -0.0012862   5.3789e-15  -1.6886e-15   4.3042e-18  -1.6929e-15      -11.682      -2.8833            0       -23080       1975.7      -291.58   3.0029e-09       -23078      -113.92   2.2552e-09       -22693            0            0            0        163.6            0        164.2      -4.8928   2.2712e-08      -999.21  -7.1302e-09    -0.073255  -9.8617e-13     -0.35543       -25789            0   3.2441e+05        1.006    0.0044629            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0            0    0.0024161    0.0048997     0.004897    2.634e-06   2.2655e-14  -0.00041372   0.00040317  -0.00081689   7.7278e-14   1.6289e-15  -5.0242e-17   1.6791e-15      0.49312     0.024239       20.344       915.31       1856.2      0.99787   8.5825e-09       915.31       164.88   8.1253e-09       889.15            0            0            0       72.619            0        164.2       63.751    3.263e-07      -468.83    6.878e-09       1.2514   3.5265e-10        15.03       427.11            0   3.0478e+05      0.17638    0.0030234            0            0            0            0            0            0            0            0            0            0            0            0  
          1            1            0     0.065966    0.0052806     0.004924   0.00035667   2.9418e-14  -6.2633e-05   0.00040761  -0.00047024    9.937e-14   3.3775e-15  -3.5375e-17   3.4129e-15       12.492       3.2084       3.8935        24990       2000.5      -301.04   1.1145e-08        24989      -125.15   1.0376e-08        24562            0            0            0       163.67            0        164.2       4.5768   4.1959e-07      -70.977   1.4261e-08      0.03255   1.6596e-11      0.77662        26825            0   3.2847e+05      0.97097    0.0021472            0            0            0            0            0            0            0            0            0            0            0            0  
          2            2            0      0.12982    0.0063206      0.00496    0.0013606   -3.881e-14   0.00014998   0.00041127  -0.00026129  -1.0802e-13   -2.609e-15   1.4096e-16  -2.7499e-15        20.54       7.4006       2.7754        49181       2394.5      -1201.3  -1.4703e-08        49169       -987.5  -1.1794e-08        48343            0            0            0          164            0        164.2       2.7873   -4.561e-07       169.96  -1.1016e-08     0.013923  -9.1705e-12      0.51136        53441            0   3.9316e+05      0.98581    0.0018075            0            0            0            0            0            0            0            0            0            0            0            0  
          3            3            0      0.19402    0.0080516    0.0050316    0.0030201   2.5081e-14   0.00021384   0.00041877  -0.00020493   6.8257e-14   3.5212e-15  -6.8837e-17     3.59e-15       24.097       10.614       2.2703        73502       3050.2      -2704.3   9.5015e-09        73461      -2425.5   7.3505e-09        72229            0            0            0       164.06            0        164.2       2.3763   2.8822e-07       242.32   1.4868e-08     0.010182   3.8659e-12      0.42135        80283            0   5.0084e+05      0.99199    0.0019754            0            0            0            0            0            0            0            0            0            0            0            0  
          4            4            0      0.25862     0.010471    0.0051297    0.0053417   2.5249e-14   0.00011365   0.00042784  -0.00031419     6.24e-14   3.5855e-15  -1.3124e-16   3.7167e-15       24.698        12.56       1.9664        97976         3967      -4815.8   9.5653e-09        97878        -4443   1.1329e-08        96227            0            0            0       164.06            0        164.2       2.3186   2.6348e-07       128.79    1.514e-08     0.010106   2.6384e-12      0.37622   1.0738e+05            0   6.5136e+05      0.99651    0.0026136            0            0            0            0            0            0            0            0            0            0            0            0  
          5            5            0      0.32376     0.013552     0.005215    0.0083374   1.0214e-14  -0.00017485   0.00043628  -0.00061112    2.478e-14   -3.234e-16  -4.2806e-17  -2.8059e-16        23.89       13.593       1.7575   1.2265e+05       5134.1      -7543.5   3.8696e-09   1.2246e+05        -7047    6.862e-09   1.2037e+05            0            0            0       164.05            0        164.2       2.3969   1.0464e-07      -198.14  -1.3655e-09     0.011452   8.2896e-13      0.34912   1.3476e+05            0   8.4301e+05       1.0006    0.0037076            0            0            0            0            0            0            0            0            0            0            0            0  
          6            6            0      0.38948     0.017324    0.0053071     0.012017   1.4297e-14  -0.00065658   0.00044583   -0.0011024   4.9516e-14   4.5551e-15  -9.1309e-17   4.6464e-15       22.482       14.031       1.6023   1.4755e+05         6563       -10896    5.416e-09   1.4722e+05       -10243   9.7593e-09   1.4466e+05            0            0            0       164.03            0        164.2       2.5468   2.0908e-07      -744.04   1.9234e-08     0.013338     1.37e-12      0.33101   1.6247e+05            0   1.0776e+06       1.0046    0.0051951            0            0            0            0            0            0            0            0            0            0            0            0  
          7            7            0      0.45577     0.021809    0.0054223     0.016387   5.4403e-14   -0.0013351   0.00045488   -0.0017899   1.2466e-13   1.5722e-15  -2.4375e-16    1.816e-15       20.898       14.108       1.4813   1.7266e+05         8262       -14880    2.061e-08   1.7213e+05       -14032   1.8801e-08   1.6907e+05            0            0            0       164.01            0        164.2       2.7396   5.2637e-07      -1512.9   6.6386e-09     0.015355   2.9582e-12      0.31804   1.9048e+05            0   1.3566e+06       1.0088    0.0069984            0            0            0            0            0            0            0            0            0            0            0            0  
          8            8            0      0.52268     0.027011    0.0055525     0.021458   1.2159e-13   -0.0022312   0.00046615   -0.0026973   2.6341e-13   1.2902e-14  -5.3502e-16   1.3437e-14       19.351        13.99       1.3832   1.9801e+05        10233       -19507   4.6062e-08   1.9721e+05       -18421   2.6611e-08   1.9361e+05            0            0            0       163.98            0        164.2       2.9583   1.1123e-06      -2528.4   5.4477e-08     0.017411   5.4418e-12      0.30821   2.1883e+05            0   1.6802e+06       1.0132    0.0091002            0            0            0            0            0            0            0            0            0            0            0            0  
          9            9            0      0.59027     0.032931    0.0056867     0.027244    2.162e-14   -0.0033587   0.00047797   -0.0038366   5.4631e-14   3.9367e-15  -8.2406e-17   4.0191e-15       17.924       13.771       1.3016   2.2361e+05        12475       -24787   8.1905e-09   2.2248e+05       -23414   2.1903e-08    2.183e+05            0            0            0       163.94            0        164.2       3.1932   2.3068e-07      -3806.1   1.6623e-08      0.01939   9.6723e-13      0.30044   2.4751e+05            0   2.0484e+06       1.0178     0.011445            0            0            0            0            0            0            0            0            0            0            0            0  
         10           10            0      0.65854     0.039604    0.0058525     0.033751   4.0561e-14   -0.0047151   0.00048895   -0.0052041    6.323e-14   8.3871e-15  -1.7601e-16   8.5632e-15       16.628       13.494       1.2323   2.4948e+05        15003       -30730   1.5366e-08   2.4791e+05       -29014   1.8226e-08    2.431e+05            0            0            0        163.9            0        164.2       3.4416   2.6699e-07      -5343.2   3.5415e-08     0.021156   1.0119e-12       0.2941   2.7656e+05            0   2.4635e+06       1.0226     0.013932            0            0            0            0            0            0            0            0            0            0            0            0  
