A320_htp_case1_refined
T6/1-TriUniform-ThickSurf-x1.7m-case1


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.4159      0.13399     0.010376      0.12361   2.5053e-14    -0.048948     0.003402     -0.05235   6.1248e-14  -5.9537e-15   8.3762e-16  -6.7913e-15      -10.567      -12.574            0  -5.3635e+05        50755  -1.3944e+05   9.4903e-09  -5.2002e+05  -1.2089e+05   1.3888e-08   -5.061e+05            0            0            0       163.47            0        164.2      -5.4058   2.8885e-07       -49677  -2.8078e-08       1.2842   -4.165e-13      0.70627  -7.3087e+05            0   8.3338e+06       1.0344      -1.8184            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -19          -19            0        -1.35      0.12215    0.0097351      0.11241   2.5924e-15    -0.043809    0.0030817     -0.04689   9.3587e-16  -1.6997e-16   6.1058e-18  -1.7607e-16      -11.052      -12.841            0  -5.1137e+05        46269  -1.2622e+05   9.8201e-10  -4.9737e+05  -1.0989e+05   4.8149e-09  -4.8481e+05            0            0            0       163.53            0        164.2      -5.1701   4.4136e-09       -44460  -8.0159e-10       1.3165   2.0207e-14      0.69227  -6.9708e+05            0   7.5973e+06        1.034      -1.7772            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -18          -18            0      -1.2837      0.11085    0.0091506       0.1017   1.2982e-16    -0.038998    0.0027928    -0.041791   9.6062e-15   -2.047e-15   1.0611e-16  -2.1531e-15      -11.581      -13.122            0  -4.8628e+05        41990  -1.1363e+05   4.9178e-11  -4.7439e+05       -99360   1.0915e-08  -4.6312e+05            0            0            0       163.59            0        164.2      -4.9352   4.5304e-08       -39579  -9.6537e-09       1.3477  -2.3022e-14      0.67685  -6.6305e+05            0   6.8946e+06       1.0335      -1.7301            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -17          -17            0      -1.2168      0.10002    0.0086233     0.091401   1.1924e-14    -0.034493    0.0025321    -0.037025   1.9724e-14  -3.4886e-15   1.2999e-16  -3.6186e-15      -12.165      -13.419            0  -4.6091e+05        37889  -1.0165e+05   4.5169e-09   -4.509e+05       -89249   1.0207e-08  -4.4084e+05            0            0            0       163.64            0        164.2      -4.6994    9.302e-08       -35006  -1.6453e-08       1.3778  -1.5432e-13      0.66001  -6.2854e+05            0   6.2213e+06       1.0331      -1.6764            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -16          -16            0      -1.1491     0.089687    0.0081396     0.081547   6.4755e-15    -0.030234    0.0022948    -0.032529   1.3448e-14  -1.9899e-15   8.3404e-17  -2.0733e-15      -12.812      -13.734            0  -4.3527e+05        33973       -90282   2.4529e-09  -4.2692e+05       -79584   4.3971e-10  -4.1802e+05            0            0            0        163.7            0        164.2       -4.463   6.3424e-08       -30684  -9.3844e-09       1.4069  -1.4625e-13      0.64187  -5.9367e+05            0   5.5783e+06       1.0327      -1.6166            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -15          -15            0      -1.0806     0.079832    0.0076852     0.072147   3.4454e-16    -0.026267    0.0020782    -0.028345  -2.7183e-15   2.3617e-16  -4.0471e-17   2.7664e-16      -13.536      -14.071            0  -4.0933e+05        30241       -79544   1.3051e-10  -4.0245e+05       -70376  -8.6107e-10  -3.9463e+05            0            0            0       163.75            0        164.2      -4.2253   -1.282e-08       -26658   1.1138e-09       1.4348   2.1187e-14      0.62236  -5.5836e+05            0   4.9654e+06       1.0323      -1.5504            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -14          -14            0      -1.0114     0.070475     0.007249     0.063226   2.0832e-15    -0.022611    0.0018775    -0.024489   2.7583e-15  -8.8543e-16   6.9223e-18  -8.9235e-16      -14.351      -14.432            0  -3.8311e+05        26696       -69445   7.8913e-10  -3.7753e+05       -61647   1.1828e-09  -3.7071e+05            0            0            0        163.8            0        164.2       -3.986   1.3008e-08       -22948  -4.1757e-09       1.4615  -3.7522e-14      0.60147  -5.2261e+05            0   4.3834e+06       1.0319      -1.4781            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -13          -13            0     -0.94127     0.061645    0.0068645      0.05478  -9.4446e-15    -0.019295    0.0016944     -0.02099  -2.3096e-14   3.0644e-15  -1.6075e-16   3.2252e-15      -15.269      -14.814            0  -3.5655e+05        23351       -59988  -3.5776e-09  -3.5208e+05       -53397  -3.0855e-09   -3.462e+05            0            0            0       163.85            0        164.2       -3.747  -1.0892e-07       -19582   1.4452e-08       1.4867   2.9124e-13      0.57913  -4.8631e+05            0   3.8342e+06       1.0315      -1.3994            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -12          -12            0     -0.87072     0.053443    0.0065506     0.046892   1.3968e-14      -0.0162    0.0015349    -0.017735   3.7584e-14  -5.5106e-15   1.9725e-16  -5.7078e-15      -16.293      -15.203            0  -3.2983e+05        20244       -51201   5.2912e-09  -3.2632e+05       -45697   1.1327e-08  -3.2129e+05            0            0            0       163.89            0        164.2      -3.5123   1.7725e-07       -16441  -2.5988e-08       1.5109  -4.8437e-13      0.55551  -4.4986e+05            0    3.324e+06       1.0312      -1.3156            0            0            0            0            0            0            0            0            0            0          1.7            0  
        -11          -11            0     -0.79997     0.045907    0.0063084     0.039598  -2.7072e-16    -0.013306    0.0014046     -0.01471  -2.4022e-16   -4.393e-16   6.1821e-18  -4.4548e-16      -17.426      -15.586            0  -3.0303e+05        17390       -43096  -1.0255e-10  -3.0032e+05       -38579   1.0905e-09  -2.9608e+05            0            0            0       163.93            0        164.2      -3.2844  -1.1329e-09       -13504  -2.0718e-09       1.5341   6.3863e-15      0.53057  -4.1339e+05            0   2.8553e+06       1.0308      -1.2272            0            0            0            0            0            0            0            0            0            0          1.7            0  
