A320_htp_case3_refined
T6/1-TriUniform-ThickSurf-x1.8m-visc.loop-case3


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0       -1.507      0.12794     0.011657      0.11628   8.7494e-14    -0.067647    0.0045354    -0.072183   2.7803e-13   -7.014e-14   4.1093e-15  -7.4249e-14      -11.779      -14.459            0  -5.7083e+05        48463  -1.5384e+05   3.3142e-08  -5.5147e+05  -1.4182e+05   1.4494e-07  -5.3888e+05            0            0            0       163.61            0        164.2      -4.8527   1.4376e-06       -62631  -3.6266e-07       1.4015  -1.7709e-12      0.78459   -8.435e+05            0   7.9574e+06       1.0362      -2.1121            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -19          -19            0      -1.4388      0.11692     0.010854      0.10607  -1.1154e-14    -0.059758    0.0040736    -0.063831  -6.0298e-15  -1.0048e-14  -1.7235e-16  -9.8755e-15      -12.306      -14.761            0  -5.4502e+05        44289  -1.3945e+05   -4.225e-09   -5.284e+05  -1.2921e+05   5.5873e-08  -5.1704e+05            0            0            0       163.66            0        164.2      -4.6458  -3.1177e-08       -55326  -5.1953e-08       1.4342   3.2564e-13      0.76821  -8.0574e+05            0   7.2722e+06       1.0356      -2.0636            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -18          -18            0      -1.3689      0.10619     0.010122     0.096063   1.6686e-13    -0.052176    0.0036611    -0.055837   4.7619e-13  -8.1671e-14   5.6624e-15  -8.7334e-14      -12.891      -15.083            0  -5.1851e+05        40222  -1.2562e+05   6.3205e-08  -5.0438e+05  -1.1691e+05   1.6018e-07  -4.9421e+05            0            0            0        163.7            0        164.2      -4.4357   2.4622e-06       -48307  -4.2228e-07        1.466   -3.777e-12      0.75053  -7.6698e+05            0   6.6043e+06       1.0349      -2.0068            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -17          -17            0       -1.298     0.095884     0.009455     0.086429   2.5192e-14    -0.045135    0.0032927    -0.048428   6.1886e-14  -1.6369e-14   5.9366e-16  -1.6963e-14      -13.537      -15.423            0  -4.9167e+05        36320  -1.1244e+05   9.5427e-09  -4.7976e+05  -1.0507e+05   4.6473e-08  -4.7072e+05            0            0            0       163.75            0        164.2      -4.2248   3.1998e-07       -41788  -8.4637e-08       1.4966  -4.4208e-13      0.73145  -7.2759e+05            0   5.9636e+06       1.0343      -1.9426            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -16          -16            0      -1.2264      0.08606    0.0088547     0.077205  -6.6395e-14    -0.038729    0.0029633    -0.041693  -1.6386e-13   3.7534e-14   -1.255e-15   3.8789e-14       -14.25      -15.781            0  -4.6455e+05        32599       -99934   -2.515e-08  -4.5461e+05       -93752  -5.1528e-08  -4.4664e+05            0            0            0       163.79            0        164.2      -4.0141  -8.4726e-07       -35858   1.9407e-07       1.5259   1.6225e-12      0.71091  -6.8757e+05            0   5.3526e+06       1.0336      -1.8713            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -15          -15            0      -1.1542     0.076725    0.0083052      0.06842    8.766e-14    -0.032815    0.0026655    -0.035481    2.283e-13  -4.2324e-14    1.811e-15  -4.4135e-14      -15.043      -16.161            0  -4.3718e+05        29063       -88117   3.3205e-08  -4.2899e+05       -82986   6.9262e-08  -4.2203e+05            0            0            0       163.83            0        164.2      -3.8033   1.1804e-06       -30382  -2.1884e-07        1.554  -2.3618e-12      0.68911  -6.4718e+05            0    4.772e+06        1.033      -1.7935            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -14          -14            0      -1.0809     0.067836    0.0077886     0.060048  -8.6206e-14    -0.027406    0.0023951    -0.029801  -9.9158e-14   3.7206e-15  -5.8249e-16   4.3031e-15      -15.934      -16.566            0  -4.0944e+05        25696       -76982  -3.2654e-08  -4.0278e+05       -72747  -2.5272e-08  -3.9675e+05            0            0            0       163.87            0        164.2      -3.5911   -5.127e-07       -25374   1.9237e-08       1.5809    1.139e-12      0.66601  -6.0616e+05            0   4.2192e+06       1.0324      -1.7088            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -13          -13            0      -1.0068     0.059434    0.0073025     0.052131   4.0111e-14    -0.022521    0.0021459    -0.024667   1.4734e-13  -4.0828e-14    8.622e-16   -4.169e-14      -16.941      -16.999            0  -3.8139e+05        22513       -66552   1.5194e-08  -3.7605e+05       -63083   3.3507e-08  -3.7089e+05            0            0            0       163.91            0        164.2      -3.3782    7.618e-07       -20851   -2.111e-07       1.6065  -1.9684e-12      0.64161  -5.6464e+05            0   3.6966e+06       1.0318      -1.6175            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -12          -12            0     -0.93157     0.051535    0.0068871     0.044648  -6.5208e-15    -0.018239    0.0019225    -0.020162  -5.4388e-14   2.0503e-14  -2.1847e-16   2.0721e-14      -18.076      -17.447            0  -3.5287e+05        19521       -56823    -2.47e-09  -3.4867e+05       -53970  -8.4087e-09  -3.4432e+05            0            0            0       163.95            0        164.2      -3.1664  -2.8121e-07       -16887   1.0601e-07       1.6304   8.2963e-13      0.61573  -5.2229e+05            0   3.2053e+06       1.0313      -1.5188            0            0            0            0            0            0            0            0            0            0          1.8            0  
        -11          -11            0     -0.85575     0.044251    0.0065576     0.037693  -8.0665e-15    -0.014363    0.0017343    -0.016097  -6.3213e-14   3.5429e-14   -2.213e-16    3.565e-14      -19.338      -17.889            0  -3.2415e+05        16762       -47835  -3.0555e-09  -3.2092e+05       -45513  -4.0049e-08  -3.1729e+05            0            0            0       163.98            0        164.2      -2.9601  -3.2684e-07       -13298   1.8319e-07       1.6532   9.0845e-13      0.58861  -4.7971e+05            0   2.7522e+06       1.0308      -1.4147            0            0            0            0            0            0            0            0            0            0          1.8            0  
