A320_htp_case7_refined
T6/1-TriUniform-ThickSurf-xm0.2m_visc.loop-case7


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0       -1.406       0.1334    0.0095919       0.1238   8.3344e-14     -0.02695   0.00060865    -0.027559  -2.0996e-14  -1.4284e-14   1.3963e-16  -1.4423e-14       -10.54      -12.498            0  -5.3259e+05        50531  -1.3809e+05   3.1571e-08  -5.1651e+05  -1.2773e+05  -1.7671e-08  -5.0008e+05            0            0            0       163.46            0        164.2      -5.4199  -9.9017e-08       -27351  -6.7364e-08     -0.31284   1.6292e-13     0.089581  -6.2247e+05            0    8.297e+06       1.0184      0.43985            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -19          -19            0      -1.3327      0.12071    0.0090148      0.11169    1.463e-14    -0.025561   0.00058648    -0.026147  -1.7946e-13   1.7042e-14  -1.1457e-15   1.8188e-14      -11.041      -12.746            0  -5.0483e+05        45724  -1.2435e+05   5.5419e-09   -4.911e+05  -1.1548e+05  -2.0485e-08  -4.7611e+05            0            0            0       163.53            0        164.2      -5.1753  -8.4637e-07       -25941   8.0373e-08     -0.30885   1.4692e-12     0.097642  -5.9144e+05            0   7.5077e+06       1.0142       0.4116            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -18          -18            0       -1.259      0.10856    0.0084877      0.10007   4.0309e-14    -0.024148   0.00056655    -0.024715  -4.9111e-14  -2.0459e-15  -1.0165e-16  -1.9443e-15      -11.597      -13.013            0  -4.7693e+05        41123  -1.1133e+05   1.5269e-08   -4.653e+05   -1.037e+05  -7.9034e-09   -4.517e+05            0            0            0       163.59            0        164.2      -4.9282  -2.3161e-07       -24508  -9.6487e-09     -0.30482    4.219e-13      0.10535  -5.6011e+05            0   6.7523e+06       1.0103      0.38377            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -17          -17            0       -1.185     0.096975    0.0079993     0.088976  -9.9432e-15    -0.022677   0.00054798    -0.023225   1.0553e-13  -5.4323e-16   6.4306e-16  -1.1863e-15      -12.219      -13.302            0  -4.4887e+05        36734       -99007  -3.7665e-09  -4.3911e+05       -92402   2.3764e-08  -4.2685e+05            0            0            0       163.65            0        164.2      -4.6785   4.9768e-07       -23015  -2.5619e-09     -0.30068  -9.4696e-13      0.11268  -5.2844e+05            0   6.0317e+06       1.0066       0.3563            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -16          -16            0      -1.1124     0.086257    0.0075582     0.078699   9.3435e-14     -0.02106   0.00053203    -0.021592  -5.2257e-14  -1.1358e-14   4.7698e-17  -1.1406e-14      -12.897      -13.602            0  -4.2139e+05        32674       -87493   3.5394e-08  -4.1328e+05       -81876  -8.8163e-09  -4.0225e+05            0            0            0       163.71            0        164.2      -4.4338  -2.4645e-07       -21374  -5.3567e-08     -0.29623   5.2565e-13      0.11964  -4.9719e+05            0    5.365e+06       1.0029      0.32953            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -15          -15            0      -1.0415     0.076379    0.0071743     0.069205   6.0559e-14    -0.019501   0.00051875    -0.020019   -2.475e-14  -1.4401e-14   3.4523e-16  -1.4746e-14      -13.636      -13.915            0  -3.9451e+05        28933       -76785    2.294e-08  -3.8785e+05       -72119  -1.9064e-08  -3.7798e+05            0            0            0       163.76            0        164.2      -4.1944  -1.1672e-07       -19791  -6.7915e-08     -0.29189   2.4348e-13      0.12616  -4.6656e+05            0   4.7506e+06      0.99964        0.304            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -14          -14            0     -0.97088      0.06714    0.0068244     0.060316   3.4562e-14    -0.017973    0.0005058    -0.018478   1.5674e-13   -1.168e-14    7.576e-16  -1.2438e-14       -14.46      -14.248            0  -3.6777e+05        25433       -66803   1.3092e-08  -3.6237e+05       -62959   2.5199e-08  -3.5359e+05            0            0            0       163.81            0        164.2      -3.9559   7.3921e-07       -18240  -5.5085e-08     -0.28763  -1.8313e-12      0.13218  -4.3598e+05            0    4.176e+06      0.99675      0.27925            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -13          -13            0     -0.90017     0.058504    0.0065175     0.051987   1.9522e-14    -0.016436   0.00049478    -0.016931   3.7217e-14  -9.0252e-15   2.1514e-16  -9.2403e-15      -15.386      -14.598            0  -3.4099e+05        22162       -57517   7.3951e-09  -3.3668e+05       -54350   8.1897e-09  -3.2891e+05            0            0            0       163.85            0        164.2      -3.7186   1.7552e-07       -16681  -4.2563e-08     -0.28334  -4.8688e-13      0.13764  -4.0519e+05            0   3.6388e+06      0.99413      0.25506            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -12          -12            0      -0.8299     0.050582    0.0062888     0.044294    2.014e-14     -0.01486   0.00049023     -0.01535  -3.2555e-13   1.2428e-14  -8.6994e-16   1.3298e-14      -16.407      -14.947            0  -3.1437e+05        19161       -48949   7.6289e-09  -3.1099e+05       -46369  -2.9184e-08  -3.0416e+05            0            0            0       163.89            0        164.2      -3.4879  -1.5353e-06       -15081   5.8613e-08     -0.27894   4.5998e-12      0.14247  -3.7442e+05            0   3.1461e+06      0.99175      0.23149            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -11          -11            0     -0.75973     0.043303    0.0061073     0.037196   4.1931e-14    -0.013313   0.00048898    -0.013802   3.8573e-14  -1.4126e-14   1.4186e-16  -1.4268e-14      -17.544      -15.292            0  -2.8779e+05        16403       -41081   1.5884e-08  -2.8519e+05       -38988  -6.1512e-09  -2.7924e+05            0            0            0       163.93            0        164.2      -3.2623   1.8191e-07       -13511  -6.6621e-08      -0.2746  -6.3341e-13      0.14652  -3.4356e+05            0   2.6934e+06      0.98971      0.20862            0            0            0            0            0            0            0            0            0            0         -0.2            0  
        -10          -10            0      -0.6898     0.036643    0.0059265     0.030717   3.3188e-14    -0.011789   0.00048675    -0.012276   1.7458e-13  -6.6017e-15   4.6888e-16  -7.0706e-15      -18.825      -15.635            0   -2.613e+05        13881       -33915   1.2572e-08  -2.5935e+05       -32230   2.4345e-08   -2.542e+05            0            0            0       163.97            0        164.2      -3.0408   8.2333e-07       -11964  -3.1134e-08     -0.27029  -3.0097e-12      0.14965  -3.1267e+05            0   2.2791e+06      0.98799      0.18644            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -9           -9            0     -0.61979     0.030592    0.0057594     0.024833   2.2864e-15    -0.010305   0.00048516     -0.01079  -4.3295e-14   2.7434e-15  -7.9748e-17   2.8231e-15       -20.26       -15.95            0  -2.3478e+05        11588       -27436   8.6611e-10  -2.3336e+05       -26077   -1.145e-09  -2.2896e+05            0            0            0          164            0        164.2      -2.8258  -2.0418e-07       -10458   1.2938e-08     -0.26607   8.5206e-13      0.15159   -2.816e+05            0   1.9028e+06      0.98662      0.16491            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -8           -8            0     -0.55024     0.025219    0.0056258     0.019593   4.1052e-14   -0.0088489   0.00048589   -0.0093348   2.8583e-14  -8.7968e-15   1.2132e-16  -8.9181e-15      -21.818      -16.185            0  -2.0843e+05         9553       -21659   1.5551e-08  -2.0744e+05       -20582   7.7968e-09  -2.0371e+05            0            0            0       164.02            0        164.2      -2.6242    1.348e-07      -8980.6  -4.1486e-08     -0.26189  -6.4817e-13      0.15201  -2.5059e+05            0   1.5686e+06      0.98557       0.1441            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -7           -7            0     -0.48094     0.020461     0.005482     0.014979   2.8815e-14   -0.0074529   0.00048495   -0.0079379   7.3069e-14  -2.9965e-16   1.3044e-16  -4.3009e-16      -23.506      -16.301            0  -1.8218e+05       7750.5       -16571   1.0915e-08  -1.8152e+05       -15729   1.8661e-08  -1.7841e+05            0            0            0       164.05            0        164.2      -2.4361    3.446e-07      -7563.8  -1.4132e-09     -0.25784  -1.8067e-12      0.15035  -2.1956e+05            0   1.2726e+06      0.98491      0.12401            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -6           -6            0     -0.41179     0.016346     0.005362     0.010984   1.1237e-14   -0.0061235   0.00048589   -0.0066094  -9.8239e-14  -2.4421e-15  -2.0674e-16  -2.2354e-15      -25.192      -16.166            0  -1.5599e+05       6191.9       -12167   4.2567e-09  -1.5557e+05       -11517  -3.1763e-09  -1.5303e+05            0            0            0       164.07            0        164.2      -2.2731   -4.633e-07      -6214.7  -1.1517e-08     -0.25403     2.91e-12      0.14565  -1.8845e+05            0   1.0167e+06      0.98466      0.10461            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -5           -5            0     -0.34274      0.01286     0.005253    0.0076075   -2.869e-14    -0.004875     0.000487    -0.005362   -1.218e-13    1.539e-15  -2.3104e-16     1.77e-15      -26.651      -15.603            0  -1.2983e+05       4871.6      -8444.9  -1.0868e-08  -1.2959e+05      -7948.2  -1.2722e-08  -1.2757e+05            0            0            0       164.08            0        164.2      -2.1488  -5.7443e-07      -4947.6   7.2581e-09      -0.2506   4.3494e-12      0.13623  -1.5727e+05            0   7.9989e+05      0.98489     0.085893            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -4           -4            0     -0.27377     0.010011    0.0051616    0.0048494   2.9032e-14   -0.0037299   0.00048874   -0.0042186    1.901e-13   2.7142e-15   2.7259e-16   2.4416e-15      -27.347      -14.309            0  -1.0371e+05       3792.2      -5401.6   1.0997e-08  -1.0358e+05      -5025.3   2.0764e-08  -1.0203e+05            0            0            0       164.09            0        164.2      -2.0942   8.9651e-07      -3785.4     1.28e-08     -0.24795  -8.4853e-12      0.11866  -1.2599e+05            0   6.2267e+05      0.98577     0.067883            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -3           -3            0     -0.20489    0.0077667    0.0050553    0.0027114    2.205e-14   -0.0026885   0.00048892   -0.0031774   3.3714e-14  -2.3356e-15   8.8245e-17  -2.4239e-15      -26.381      -11.941            0       -77614       2942.1      -3036.3   8.3525e-09       -77561      -2751.7   6.9592e-09       -76446            0            0            0       164.08            0        164.2      -2.1708     1.59e-07      -2728.5  -1.1015e-08     -0.24667  -2.0218e-12     0.084976       -94631            0   4.8307e+05      0.98752     0.050541            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -2           -2            0       -0.136    0.0061605    0.0049699    0.0011906   1.3154e-14   -0.0017577   0.00049063   -0.0022483   3.6923e-14  -1.3785e-15   3.6742e-17  -1.4152e-15      -22.076      -8.1412            0       -51517       2333.6      -1347.2   4.9827e-09       -51501      -1126.6    4.919e-09       -50788            0            0            0       164.03            0        164.2      -2.5936   1.7413e-07      -1783.8  -6.5011e-09     -0.24877  -3.3498e-12     0.010936       -63136            0   3.8317e+05      0.99079     0.033832            0            0            0            0            0            0            0            0            0            0         -0.2            0  
         -1           -1            0    -0.066977    0.0052176     0.004931   0.00028663   1.8197e-14  -0.00096541   0.00049644   -0.0014619   4.0441e-14    -2.36e-15   -8.331e-18  -2.3516e-15      -12.837      -3.3221            0       -25371       1976.4      -334.22    6.893e-09       -25369      -151.21    6.115e-09       -25032            0            0            0        163.7            0        164.2      -4.4544   1.9072e-07      -979.78   -1.113e-08      -0.2654  -7.4565e-12     -0.22794       -31470            0   3.2452e+05      0.99818     0.017776            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          0            0            0    0.0021703    0.0048976    0.0048953   2.2801e-06   1.3001e-13  -0.00032093   0.00050177   -0.0008227    3.678e-13   8.0972e-16  -2.8272e-16   1.0924e-15      0.44313     0.020644       21.466        822.1       1855.2       0.8637   4.9247e-08        822.1        170.9   4.8169e-08       803.11            0            0            0       66.521            0        164.2       66.101   1.7346e-06      -325.71   3.8187e-09       1.0793   2.0877e-09       15.118       366.93            0   3.0462e+05      0.13175    0.0023424            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          1            1            0     0.071526    0.0052703    0.0049304   0.00033989  -7.4148e-14   0.00016368   0.00051525  -0.00035156  -2.2428e-13   -7.073e-15   9.0986e-17   -7.164e-15       13.572       3.6296       3.7391        27094       1996.4      -344.13  -2.8087e-08        27092      -162.92  -2.6447e-08        26733            0            0            0       163.75            0        164.2       4.2141  -1.0577e-06       166.12  -3.3357e-08     -0.17439  -3.8589e-11      0.71467        32407            0    3.278e+05         0.96    -0.012473            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          2            2            0      0.14114    0.0062834    0.0049803    0.0013031   1.2014e-13   0.00046909   0.00052907  -5.9981e-05   2.9772e-13   5.1206e-15  -3.6137e-16    5.482e-15       22.462       8.4389       2.6618        53465       2380.2      -1372.6   4.5509e-08        53449      -1156.2   4.1154e-08        52759            0            0            0       164.03            0        164.2        2.549   1.4041e-06       476.07   2.4149e-08     -0.18915   2.5939e-11      0.49712        64671            0   3.9082e+05      0.97503    -0.026697            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          3            3            0      0.21106    0.0079606    0.0050643    0.0028962   1.0604e-13   0.00058307   0.00054744   3.5631e-05   2.6693e-13   3.6501e-15  -3.8817e-16   4.0383e-15       26.513       12.181       2.1767        79950       3015.5      -3088.7    4.017e-08        79898      -2812.4   3.1193e-08        78880            0            0            0       164.08            0        164.2         2.16   1.2589e-06       591.75   1.7214e-08     -0.19114   1.5552e-11      0.42605        97175            0   4.9513e+05        0.981    -0.040342            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          4            4            0      0.28133     0.010299    0.0051744    0.0051244   1.4097e-13   0.00048437    0.0005683  -8.3925e-05   3.1215e-13   5.5616e-15   -4.017e-16   5.9633e-15       27.317       14.489       1.8853   1.0657e+05       3901.2      -5497.5   5.3399e-08   1.0644e+05      -5135.4   4.5113e-08    1.051e+05            0            0            0       164.09            0        164.2       2.0965   1.4721e-06       491.58   2.6229e-08     -0.18987   1.3597e-11      0.39228   1.2993e+05            0   6.4056e+05      0.98511    -0.053418            0            0            0            0            0            0            0            0            0            0         -0.2            0  
          5            5            0      0.35207     0.013271     0.005274    0.0079967    1.029e-13   0.00015426   0.00058959  -0.00043533   2.3707e-13   1.2961e-14  -4.7267e-16   1.3433e-14        26.53       15.742       1.6853   1.3337e+05       5026.9        -8606   3.8978e-08   1.3312e+05      -8132.5   2.6032e-08   1.3144e+05            0            0            0       164.08            0        164.2       2.1586    1.118e-06       156.56   6.1124e-08     -0.18734   8.2327e-12      0.37344     1.63e+05            0   8.2541e+05      0.98866    -0.065958            0            0            0            0            0            0            0            0            0            0         -0.2            0  
