A320_htp_case9_refined
T6/1-TriUniform-ThickSurf-xm0.4_visc.loop-case9


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.4766      0.12591     0.010474      0.11544   4.6728e-14    -0.027637   0.00054047    -0.028178  -3.3068e-13   5.7888e-14  -3.0523e-15    6.094e-14      -11.728      -14.251            0  -5.5934e+05        47694  -1.5022e+05     1.77e-08  -5.4056e+05  -1.4005e+05   6.1544e-09  -5.2676e+05            0            0            0        163.6            0        164.2      -4.8738  -1.7098e-06       -25588   2.9931e-07     -0.48218   2.7076e-12      0.05713  -7.1809e+05            0   7.8312e+06       1.0022        0.712            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -19          -19            0      -1.4016      0.11415    0.0097989      0.10435   1.4405e-13    -0.025921   0.00053542    -0.026456  -5.4785e-13   3.1946e-14  -4.2034e-15    3.615e-14      -12.278      -14.536            0   -5.309e+05        43239  -1.3547e+05   5.4564e-08  -5.1485e+05  -1.2677e+05  -6.8452e-08  -5.0218e+05            0            0            0       163.65            0        164.2      -4.6561  -2.8327e-06       -23999   1.6518e-07     -0.47987   4.6718e-12     0.067902    -6.83e+05            0   7.0996e+06      0.99881      0.67257            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -18          -18            0      -1.3268        0.103    0.0091831     0.093814   7.3178e-14    -0.024139   0.00053037    -0.024669  -1.7235e-13  -1.2978e-14  -7.4058e-16  -1.2238e-14      -12.882      -14.838            0  -5.0257e+05        39014  -1.2151e+05   2.7719e-08  -4.8896e+05  -1.1411e+05   -6.181e-08  -4.7738e+05            0            0            0        163.7            0        164.2      -4.4389  -8.9116e-07       -22349  -6.7105e-08     -0.47729   1.5488e-12     0.078435  -6.4787e+05            0    6.406e+06      0.99559      0.63325            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -17          -17            0      -1.2518     0.092382    0.0086171     0.083765   2.1755e-14    -0.022318   0.00052545    -0.022843  -7.4654e-14  -1.5206e-14  -2.4483e-16  -1.4961e-14       -13.55       -15.16            0  -4.7417e+05        34994  -1.0829e+05   8.2405e-09  -4.6273e+05  -1.0201e+05  -4.3534e-08   -4.522e+05            0            0            0       163.75            0        164.2      -4.2208    -3.86e-07       -20663  -7.8624e-08     -0.47445   6.6805e-13     0.088692  -6.1249e+05            0   5.7458e+06      0.99254      0.59391            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -16          -16            0      -1.1753     0.082145    0.0080955      0.07405  -6.7656e-14    -0.020591    0.0005205    -0.021111  -2.4536e-13   2.8066e-14   -1.651e-15   2.9717e-14      -14.308      -15.512            0   -4.452e+05        31116       -95752  -2.5628e-08  -4.3569e+05       -90313   -2.872e-08  -4.2618e+05            0            0            0        163.8            0        164.2       -3.998  -1.2687e-06       -19064   1.4512e-07      -0.4716   2.6077e-12     0.098591   -5.763e+05            0   5.1091e+06      0.98979      0.55428            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -15          -15            0      -1.0996     0.072607    0.0076123     0.064994  -1.4531e-13    -0.018728   0.00051553    -0.019244   4.7676e-13  -5.1129e-14    2.912e-15  -5.4041e-14      -15.144      -15.881            0  -4.1652e+05        27503       -84022  -5.5044e-08  -4.0869e+05       -79360   -3.812e-09  -4.0015e+05            0            0            0       163.84            0        164.2      -3.7778   2.4651e-06       -17339  -2.6436e-07     -0.46832  -5.5865e-12      0.10817  -5.4023e+05            0   4.5159e+06      0.98704      0.51496            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -14          -14            0       -1.026     0.063917     0.007189     0.056728  -6.2641e-14    -0.016876   0.00051179    -0.017388   1.5862e-13  -1.5945e-14   6.7368e-16  -1.6619e-14      -16.052      -16.259            0  -3.8864e+05        24211       -73170  -2.3728e-08  -3.8229e+05       -69325  -5.6977e-09  -3.7464e+05            0            0            0       163.88            0        164.2      -3.5648   8.2015e-07       -15625  -8.2446e-08     -0.46488  -2.0059e-12      0.11736  -5.0505e+05            0   3.9754e+06      0.98455      0.47697            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -13          -13            0     -0.95284     0.055843    0.0068109     0.049032   1.6436e-14    -0.015127   0.00050791    -0.015635  -8.3274e-14  -5.3557e-15  -3.3136e-16  -5.0243e-15      -17.063      -16.656            0  -3.6093e+05        21153       -63094   6.2258e-09  -3.5585e+05       -59970  -2.0151e-08  -3.4904e+05            0            0            0       163.92            0        164.2      -3.3541  -4.3057e-07       -14005  -2.7691e-08     -0.46147   1.0792e-12      0.12609  -4.6999e+05            0   3.4732e+06      0.98244      0.43971            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -12          -12            0     -0.87919      0.04832    0.0064973     0.041822   3.6208e-15    -0.013451   0.00050744    -0.013958  -6.0213e-14  -2.1135e-15  -9.3841e-17  -2.0197e-15      -18.195      -17.061            0  -3.3303e+05        18303       -53745   1.3715e-09  -3.2904e+05       -51196  -1.5264e-08  -3.2303e+05            0            0            0       163.95            0        164.2      -3.1458  -3.1133e-07       -12453  -1.0928e-08     -0.45803   8.6516e-13      0.13426  -4.3457e+05            0   3.0053e+06      0.98062       0.4027            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -11          -11            0     -0.80578     0.041458    0.0062697     0.035188  -4.2288e-14    -0.011784   0.00051333    -0.012297    5.261e-14  -3.7314e-16   8.2461e-17   -4.556e-16      -19.436      -17.447            0  -3.0522e+05        15704       -45155  -1.6018e-08  -3.0216e+05       -43104  -1.0198e-08  -2.9689e+05            0            0            0       163.98            0        164.2      -2.9453   2.7202e-07       -10910  -1.9293e-09      -0.4544  -8.5925e-13       0.1418   -3.991e+05            0   2.5785e+06      0.97902      0.36615            0            0            0            0            0            0            0            0            0            0         -0.4            0  
        -10          -10            0     -0.73226     0.035171    0.0060737     0.029098  -2.9854e-14    -0.010195   0.00052026    -0.010715  -2.3967e-13   1.2379e-14  -6.8117e-16    1.306e-14       -20.82      -17.816            0  -2.7737e+05        13323       -37311  -1.1309e-08  -2.7507e+05       -35664  -2.5426e-08  -2.7049e+05            0            0            0       164.01            0        164.2      -2.7499  -1.2392e-06      -9438.8   6.4004e-08     -0.45076   4.3079e-12      0.14854  -3.6345e+05            0   2.1875e+06      0.97773      0.33007            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -9           -9            0      -0.6588     0.029448    0.0058709     0.023577  -5.2443e-14   -0.0086646   0.00052495   -0.0091895  -3.8653e-13   2.6231e-14  -9.6687e-16   2.7198e-14      -22.372      -18.158            0  -2.4955e+05        11155       -30217  -1.9865e-08  -2.4787e+05       -28907  -2.9907e-08  -2.4393e+05            0            0            0       164.03            0        164.2      -2.5594  -1.9986e-06      -8022.1   1.3563e-07     -0.44702   7.7914e-12      0.15428  -3.2767e+05            0   1.8316e+06      0.97672       0.2945            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -8           -8            0     -0.58501     0.024324    0.0057198     0.018604  -4.9334e-14   -0.0072311   0.00053343   -0.0077645  -2.9727e-13    1.514e-14   -5.894e-16    1.573e-14      -24.051      -18.395            0   -2.216e+05       9213.7       -23862  -1.8687e-08  -2.2042e+05       -22813  -2.7161e-08  -2.1708e+05            0            0            0       164.05            0        164.2      -2.3809   -1.537e-06      -6694.9   7.8283e-08     -0.44334   6.7644e-12      0.15868   -2.916e+05            0   1.5129e+06      0.97604      0.25936            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -7           -7            0     -0.51157     0.019801    0.0055689     0.014232  -1.2187e-13   -0.0058761   0.00054062   -0.0064168  -6.5412e-13   3.5439e-14  -1.5519e-15   3.6991e-14      -25.836      -18.479            0  -1.9378e+05       7500.5       -18265  -4.6162e-08  -1.9299e+05       -17442  -5.7208e-08   -1.902e+05            0            0            0       164.07            0        164.2      -2.2166  -3.3821e-06      -5440.4   1.8324e-07     -0.43962   1.7122e-11       0.1613  -2.5555e+05            0   1.2315e+06      0.97565       0.2249            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -6           -6            0     -0.43823     0.015868    0.0054245     0.010444  -3.8962e-14   -0.0046341    0.0005475   -0.0051816  -3.6489e-13   1.6221e-14   -5.294e-16    1.675e-14      -27.617      -18.282            0    -1.66e+05       6010.8       -13417  -1.4758e-08   -1.655e+05       -12780  -1.9916e-08  -1.6321e+05            0            0            0       164.09            0        164.2      -2.0738  -1.8867e-06      -4290.5   8.3869e-08     -0.43602   1.1224e-11      0.16131  -2.1941e+05            0   9.8695e+05      0.97565      0.19108            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -5           -5            0     -0.36492     0.012547     0.005308    0.0072386  -8.5539e-15   -0.0035126    0.0005561   -0.0040687  -1.5654e-14   6.4564e-16   2.7633e-17   6.1801e-16      -29.085       -17.57            0  -1.3823e+05       4752.6      -9315.9  -3.2401e-09  -1.3794e+05      -8827.2  -2.3751e-09  -1.3611e+05            0            0            0        164.1            0        164.2      -1.9692  -8.0941e-08      -3252.1   3.3383e-09     -0.43267   5.7349e-13      0.15724  -1.8314e+05            0   7.8036e+05      0.97608      0.15789            0            0            0            0            0            0            0            0            0            0         -0.4            0  
         -4           -4            0     -0.29163    0.0098143    0.0051961    0.0046182   3.2527e-14   -0.0025322    0.0005633   -0.0030955   2.3473e-13   1.5793e-15   4.3209e-16   1.1472e-15      -29.715      -16.047            0  -1.1047e+05       3717.6      -5960.7   1.2321e-08  -1.1032e+05      -5588.5   2.3848e-08  -1.0892e+05            0            0            0        164.1            0        164.2      -1.9275   1.2137e-06      -2344.4   8.1658e-09     -0.42987  -1.0807e-11      0.14618  -1.4676e+05            0   6.1041e+05      0.97709      0.12536            0            0            0            0            0            0            0            0            0            0         -0.4            0  
