A320_vtp_htp
T6/1-TriUniform-ThickSurf-beta(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -15            0          -15     0.043247      0.15065    0.0087922      0.14185      0.33129      0.23538    0.0056203      0.22976      0.12482     0.013269  -3.7864e-05     0.013307      0.28708     0.059701       4.8086        16382        57065        89255   1.2549e+05        16382        62113   1.3701e+05        29856            0            0            0       45.307            0        164.2       73.982   5.8866e+05   2.3888e+05        62580       8.3762      0.51103       8.8219        21076            0   9.3698e+06   0.00084094      0.36225            0            0            0            0            0            0            0            0            0            0        3.966            0  
        -14            0          -14     0.042211      0.13253     0.008739      0.12379      0.31674      0.20446    0.0055591       0.1989      0.11719     0.012593  -3.5027e-05     0.012628      0.31851     0.065439       4.8673        15990        50201        78241   1.1998e+05        15990        54259   1.2938e+05        27746            0            0            0       49.832            0        164.2       72.333   5.5266e+05    2.075e+05        59390       7.9703      0.35476       8.0824        18225            0   8.2429e+06   0.00091804      0.33643            0            0            0            0            0            0            0            0            0            0        3.966            0  
        -13            0          -13     0.041215       0.1156     0.008688      0.10691      0.30067      0.17579    0.0054975      0.17029       0.1094     0.011869  -3.2272e-05     0.011901      0.35653     0.072381       4.9257        15612        43790        67859    1.139e+05        15612        46913   1.2145e+05        25761            0            0            0       55.141            0        164.2       70.377   5.1595e+05   1.7841e+05        55976       7.5696      0.21846        7.362        17997            0   7.1902e+06    0.0010134      0.31199            0            0            0            0            0            0            0            0            0            0        3.966            0  
        -12            0          -12      0.04029     0.099883    0.0086399     0.091243      0.28318      0.14935    0.0054383      0.14391      0.10148     0.011102  -2.9582e-05     0.011132      0.40337     0.080966        4.982        15262        37836        58136   1.0727e+05        15262        40080   1.1323e+05        23913            0            0            0       61.423            0        164.2       68.032    4.786e+05   1.5157e+05        52360       7.1755      0.10185       6.6605        17849            0   6.2125e+06    0.0011347       0.2891            0            0            0            0            0            0            0            0            0            0        3.966            0  
        -11            0          -11      0.03944     0.085386    0.0085982     0.076788      0.26436       0.1251    0.0053894      0.11972     0.093442     0.010298   -2.686e-05     0.010324      0.46191     0.091733       5.0353        14940        32344        49097   1.0014e+05        14940        33768   1.0475e+05        22207            0            0            0       68.853            0        164.2       65.207   4.4068e+05   1.2697e+05        48564       6.7915    0.0049689        5.983        16797            0   5.3108e+06    0.0012921      0.26786            0            0            0            0            0            0            0            0            0            0        3.966            0  
        -10            0          -10     0.038668     0.072115    0.0085588     0.063556      0.24431      0.10304    0.0053429     0.097698     0.085292    0.0094587    -2.42e-05    0.0094829       0.5362      0.10544       5.0854        14647        27317        40765        92546        14647        27982        96027        20645            0            0            0       77.591            0        164.2         61.8   4.0224e+05   1.0457e+05        44608       6.4217    -0.072294       5.3356        15888            0   4.4854e+06    0.0015005      0.24831            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -9            0           -9      0.03796     0.060074    0.0085167     0.051558      0.22314     0.083129    0.0052871     0.077842     0.077045    0.0085892  -2.1628e-05    0.0086108      0.63189      0.12311       5.1326        14379        22756        33161        84526        14379        22728        87083        19224            0            0            0        87.71            0        164.2       57.712   3.6335e+05        84366        40507       6.0708     -0.12973       4.7261        15106            0   3.7365e+06    0.0017826      0.23045            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -8            0           -8     0.037348     0.049281    0.0084806       0.0408      0.20095     0.065355    0.0052405     0.060114      0.06871     0.007694  -1.9087e-05     0.007713      0.75786      0.14646       5.1745        14148        18668        26305        76121        14148        18012        77940        17957            0            0            0       99.175            0        164.2       52.843   3.2404e+05        66327        36285       5.7421     -0.16967       4.1574        14907            0   3.0652e+06    0.0021805      0.21446            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -7            0           -7     0.036796     0.039742    0.0084501     0.031292      0.17785     0.049717    0.0052033     0.044513       0.0603    0.0067757  -1.6551e-05    0.0067923      0.92587       0.1776       5.2132        13938        15054        20214        67370        13938        13837        68616        16832            0            0            0       111.55            0        164.2       47.204   2.8438e+05        50456        31955       5.4407     -0.19113       3.6395        14703            0   2.4718e+06    0.0027597       0.2002            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -6            0           -6     0.036324     0.031456    0.0084182     0.023038      0.15395     0.036177    0.0051614     0.031015     0.051822    0.0058387  -1.4058e-05    0.0058527       1.1548      0.22009       5.2469        13760        11915        14904        58315        13760        10208        59134        15857            0            0            0       124.12            0        164.2       40.892    2.444e+05        36715        27536       5.1702     -0.19683       3.1763        14205            0   1.9565e+06     0.003653       0.1878            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -5            0           -5     0.035928     0.024429    0.0083847     0.016044      0.12935     0.024725    0.0051149     0.019611     0.043285    0.0048862  -1.1613e-05    0.0048978       1.4707      0.27877       5.2758        13609       9253.6        10388        48999        13609         7128        49513        15032            0            0            0       135.78            0        164.2       34.213   2.0414e+05        25093        23044       4.9344     -0.18807       2.7739        14001            0   1.5194e+06    0.0051314      0.17728            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -4            0           -4     0.035604     0.018669    0.0083537     0.010315      0.10418     0.015359    0.0050704     0.010289     0.034699    0.0039216  -9.2531e-06    0.0039308       1.9072      0.35986       5.2997        13487       7071.8       6676.6        39465        13487       4601.7        39774        14356            0            0            0       145.42            0        164.2        27.67   1.6364e+05        15588        18494       4.7365     -0.16671       2.4373        14050            0   1.1612e+06    0.0078383      0.16864            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -3            0           -3     0.035354      0.01418    0.0083242    0.0058554     0.078549    0.0080707    0.0050272    0.0030435      0.02607    0.0029483   -6.919e-06    0.0029553       2.4933      0.46881       5.3184        13392       5371.3       3780.5        29755        13392       2631.7        29936        13831            0            0            0        152.4            0        164.2       21.854   1.2295e+05       8190.8        13905       4.5794     -0.13495       2.1707        14103            0   8.8194e+05     0.013615       0.1619            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -2            0           -2     0.035176     0.010971    0.0083031    0.0026676     0.052567    0.0028597    0.0049902   -0.0021306     0.017408    0.0019698  -4.6329e-06    0.0019744       3.2063      0.60135       5.3319        13325       4155.7       1706.5        19912        13325       1220.9        20021        13456            0            0            0       156.75            0        164.2       17.322        82099       2902.2       9289.5       4.4654    -0.095179       1.9776        13767            0   6.8235e+05     0.029584      0.15707            0            0            0            0            0            0            0            0            0            0        3.966            0  
         -1            0           -1     0.035069    0.0090601    0.0083063   0.00075377     0.026352  -0.00024176    0.0049933   -0.0052351    0.0087202   0.00098922  -2.3292e-06   0.00099155       3.8707      0.72485         5.34        13284         3432       459.81       9982.2        13284       371.83        10049        13232            0            0            0       158.98            0        164.2       14.486        41125      -245.35       4665.2       4.3961    -0.049961       1.8604        13592            0   5.6352e+05      0.10406      0.15417            0            0            0            0            0            0            0            0            0            0        3.966            0  
          0            0            0     0.035033    0.0084185    0.0083032   0.00011529   2.0318e-05   -0.0012896    0.0049795   -0.0062691   1.3534e-05   1.0043e-05    3.082e-09    1.004e-05       4.1614      0.77889       5.3427        13270       3188.9       43.673       7.6966        13270       86.558        39.64        13158            0            0            0       159.65            0        164.2       13.512       63.828      -1308.8       47.362       4.3726   -0.0019911       1.8207        13476            0   5.2361e+05      0.67894      0.15318            0            0            0            0            0            0            0            0            0            0        3.966            0  
          1            0            1     0.035068    0.0090588    0.0083063   0.00075257    -0.026311  -0.00023554    0.0049933   -0.0052289   -0.0087041   -0.0009645   2.3352e-06  -0.00096684       3.8711      0.72492       5.3401        13284       3431.5       459.09      -9966.8        13284       366.97      -9985.4        13235            0            0            0       158.98            0        164.2       14.484       -41049      -239.04      -4548.7       4.3952     0.045981       1.8589        13618            0   5.6344e+05      0.10422      0.15413            0            0            0            0            0            0            0            0            0            0        3.966            0  
          2            0            2     0.035174     0.010968    0.0083032    0.0026652    -0.052527     0.002883    0.0049904   -0.0021074    -0.017425   -0.0019311   4.6388e-06   -0.0019357       3.2069      0.60145        5.332        13324       4154.8         1705       -19897        13324       1214.6       -20006        13463            0            0            0       156.75            0        164.2       17.319       -82178       2925.9      -9107.3       4.4635     0.091205       1.9747        13793            0   6.8221e+05     0.029608        0.157            0            0            0            0            0            0            0            0            0            0        3.966            0  
          3            0            3     0.035352     0.014176    0.0083244    0.0058518    -0.078509    0.0081324    0.0050276    0.0031048    -0.026141   -0.0028864   6.9252e-06   -0.0028933       2.4937      0.46888       5.3185        13391         5370       3778.3       -29739        13391       2630.6       -30001        13841            0            0            0        152.4            0        164.2       21.851  -1.2328e+05       8253.4       -13613       4.5766      0.13099       2.1664        14078            0   8.8173e+05     0.013622      0.16179            0            0            0            0            0            0            0            0            0            0        3.966            0  
          4            0            4     0.035601     0.018664    0.0083539      0.01031     -0.10414     0.015491    0.0050708      0.01042    -0.034845   -0.0038269   9.2595e-06   -0.0038362       1.9075      0.35991       5.2999        13486       7070.1       6673.7       -39450        13486       4615.7       -39949        14370            0            0            0       145.42            0        164.2       27.666  -1.6433e+05        15722       -18048       4.7328      0.16276       2.4317        14025            0   1.1609e+06    0.0078406      0.16849            0            0            0            0            0            0            0            0            0            0        3.966            0  
          5            0            5     0.035923     0.024423     0.008385     0.016038     -0.12931     0.024969    0.0051153     0.019854    -0.043527   -0.0047492   1.1619e-05   -0.0047608       1.4709      0.27879       5.2761        13608       9251.4        10384       -48985        13608       7170.5       -49829        15048            0            0            0       135.79            0        164.2        34.21  -2.0528e+05        25341       -22398       4.9298      0.18412        2.767        13976            0    1.519e+06    0.0051321      0.17709            0            0            0            0            0            0            0            0            0            0        3.966            0  
          6            0            6     0.036319     0.031449    0.0084184      0.02303     -0.15391     0.036585    0.0051618     0.031423     -0.05218   -0.0056496   1.4064e-05   -0.0056636       1.1549      0.22009       5.2473        13758        11913        14900       -58301        13758        10295       -59620        15877            0            0            0       124.13            0        164.2       40.889  -2.4608e+05        37130       -26644       5.1647      0.19289       3.1681        14231            0    1.956e+06     0.003653      0.18758            0            0            0            0            0            0            0            0            0            0        3.966            0  
          7            0            7     0.036788     0.039734    0.0084504     0.031283     -0.17781     0.050352    0.0052037     0.045148    -0.060792   -0.0065244   1.6558e-05    -0.006541      0.92588      0.17759       5.2137        13936        15051        20209       -67355        13936        13988       -69299        16854            0            0            0       111.55            0        164.2       47.204   -2.867e+05        51101       -30770       5.4344      0.18714       3.6302        14729            0   2.4713e+06    0.0027593      0.19992            0            0            0            0            0            0            0            0            0            0        3.966            0  
