A320-200: HTP&VTP_refined
T5-a0.0°-66.5m/s-VLM2-x4.5m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15     0.017733     0.049495    0.0093038     0.040191      -0.4118    -0.095951    0.0032906    -0.099241      0.10322     0.030612   8.9708e-05     0.030522      0.35828      0.04771       7.5095       1216.6       3395.7      -4715.5       -28252       1216.6      -7570.1       -28252       5308.3            0            0            0       22.429            0         66.5       70.288        87681       -18008        26004       15.066      -2.9258       14.857        -1759            0   2.2581e+05   0.00050074      0.26717            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0        -14.5     0.016595     0.046963    0.0092637     0.037699     -0.39929    -0.089631    0.0032444    -0.092875      0.10008     0.029681   8.6434e-05     0.029595      0.35337     0.045523       7.7626       1138.6         3222        -4413       -27394       1138.6      -7084.5       -27394       4967.7            0            0            0       22.157            0         66.5       70.538        85017       -16821        25214       15.066      -3.0314       14.857      -1703.9            0   2.1426e+05   0.00046755      0.25003            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0          -14     0.015493     0.044496    0.0092229     0.035273     -0.38666     -0.08351    0.0031968    -0.086706     0.096916     0.028742    8.318e-05     0.028659      0.34819      0.04334        8.034       1062.9       3052.7      -4119.9       -26527       1062.9        -6614       -26527       4637.8            0            0            0       21.867            0         66.5       70.802        82328       -15673        24415       15.066      -3.1443       14.857      -1648.5            0   2.0301e+05   0.00043552      0.23343            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0        -13.5     0.014426     0.042097    0.0091821     0.032915     -0.37391    -0.077588    0.0031483    -0.080737      0.09372     0.027794   7.9954e-05     0.027714      0.34269     0.041161       8.3257       989.75       2888.1      -3836.2       -25652       989.75      -6158.6       -25652       4318.5            0            0            0       21.558            0         66.5       71.084        79613       -14561        23610       15.066      -3.2655       14.857      -1592.7            0   1.9206e+05   0.00040467      0.21736            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0          -13     0.013396      0.03977    0.0091441     0.030626     -0.36104    -0.071864    0.0031037    -0.074968     0.090496     0.026837   7.6747e-05      0.02676      0.33683     0.038984       8.6401       919.03       2728.5      -3562.1       -24770       919.03      -5718.6       -24770       4009.9            0            0            0       21.227            0         66.5       71.385        76874       -13487        22797       15.066      -3.3957       14.857      -1536.4            0   1.8145e+05   0.00037499      0.20183            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0        -12.5     0.012401     0.037518    0.0091097     0.028408     -0.34807    -0.066338    0.0030643    -0.069402     0.087244     0.025872   7.3559e-05     0.025799      0.33054     0.036809       8.9798        850.8         2574      -3297.7       -23880        850.8        -5294       -23880       3712.2            0            0            0        20.87            0         66.5       71.709        74111       -12450        21978       15.066      -3.5363       14.857      -1479.9            0   1.7117e+05   0.00034646      0.18684            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0          -12     0.011443     0.035341    0.0090773     0.026264     -0.33499    -0.061014    0.0030274    -0.064041     0.083965     0.024899   7.0392e-05     0.024829       0.3238     0.034637       9.3482       785.08       2424.6      -3042.9       -22982       785.08      -4885.1       -22982       3425.5            0            0            0       20.485            0         66.5       72.058        71326       -11451        21151       15.066      -3.6883       14.857        -1423            0   1.6124e+05   0.00031909      0.17241            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0        -11.5     0.010522     0.033239    0.0090457     0.024193     -0.32181    -0.055894    0.0029917    -0.058886     0.080661     0.023919   6.7238e-05     0.023852      0.31656     0.032471       9.7488       721.88       2280.4        -2798       -22078       721.88      -4491.8       -22078       3149.7            0            0            0       20.069            0         66.5       72.434        68519       -10490        20319       15.066      -3.8533       14.857      -1365.7            0   1.5165e+05   0.00029288      0.15853            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0          -11     0.009638     0.031214    0.0090151     0.022199     -0.30853    -0.050981    0.0029571    -0.053938     0.077332     0.022932   6.4102e-05     0.022868      0.30877     0.030313       10.186       661.23       2141.5      -2562.9       -21167       661.23      -4114.4       -21167       2885.1            0            0            0       19.619            0         66.5       72.841        65692      -9567.9        19480       15.066      -4.0332       14.857      -1308.2            0   1.4241e+05    0.0002678      0.14521            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0        -10.5    0.0087914     0.029269    0.0089865     0.020283     -0.29515    -0.046275    0.0029255      -0.0492      0.07398     0.021937   6.0981e-05     0.021876      0.30036     0.028163       10.665       603.15       2008.1      -2337.8       -20249       603.15        -3753       -20249       2631.6            0            0            0        19.13            0         66.5       73.282        62844      -8684.6        18635       15.066      -4.2299       14.857      -1250.3            0   1.3354e+05   0.00024387      0.13245            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0          -10    0.0079823     0.027403    0.0089582     0.018445     -0.28169    -0.041779    0.0028938    -0.044673     0.070605     0.020936    5.788e-05     0.020879      0.29129     0.026025       11.193       547.64       1880.1      -2122.6       -19326       547.64      -3407.6       -19326       2389.5            0            0            0       18.598            0         66.5        73.76        59977      -7840.8        17785       15.066      -4.4461       14.857      -1192.2            0   1.2502e+05   0.00022108      0.12027            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -9.5    0.0072112     0.025618    0.0089296     0.016688     -0.26814    -0.037496    0.0028614    -0.040357     0.067209     0.019929   5.4797e-05     0.019874      0.28149     0.023904       11.776       494.74       1757.6      -1917.6       -18396       494.74      -3078.4       -18396       2158.6            0            0            0       18.019            0         66.5       74.279        57092        -7037        16929       15.066      -4.6848       14.857      -1133.8            0   1.1688e+05   0.00019943      0.10865            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -9    0.0064782     0.023915    0.0089014     0.015013     -0.25451    -0.033426    0.0028291    -0.036255     0.063792     0.018916   5.1736e-05     0.018864      0.27089     0.021803       12.424       444.45       1640.7      -1722.7       -17461       444.45      -2765.5       -17461       1939.2            0            0            0       17.387            0         66.5       74.843        54190      -6273.1        16068       15.066      -4.9498       14.857      -1075.2            0   1.0911e+05    0.0001789     0.097604            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -8.5    0.0057835     0.022295    0.0088739     0.013421      -0.2408    -0.029569    0.0027977    -0.032367     0.060356     0.017896   4.8693e-05     0.017848      0.25941     0.019728       13.149       396.79       1529.6      -1537.9       -16520       396.79        -2469       -16520       1731.3            0            0            0       16.698            0         66.5       75.458        51271      -5549.4        15203       15.066      -5.2457       14.857      -1016.4            0   1.0172e+05    0.0001595     0.087137            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -8    0.0051274      0.02076    0.0088465     0.011914     -0.22701    -0.025929    0.0027664    -0.028695     0.056902     0.016872   4.5663e-05     0.016826      0.24698     0.017685       13.965       351.78       1424.3      -1363.5       -15575       351.78      -2188.9       -15575       1534.9            0            0            0       15.945            0         66.5       76.127        48336      -4866.2        14332       15.066      -5.5782       14.857      -957.32            0        94716   0.00014123     0.077252            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -7.5    0.0045101     0.019312      0.00882     0.010492     -0.21316    -0.022504    0.0027362     -0.02524      0.05343     0.015842   4.2652e-05       0.0158      0.23354     0.015684        14.89       309.42       1324.9      -1199.3       -14624       309.42      -1925.3       -14624       1350.1            0            0            0       15.123            0         66.5       76.855        45387      -4223.5        13458       15.066      -5.9548       14.857       -898.1            0        88108   0.00012408     0.067951            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -7    0.0039317      0.01795    0.0087936    0.0091565     -0.19925    -0.019297     0.002706    -0.022003     0.049941     0.014808    3.966e-05     0.014768      0.21903     0.013734       15.948       269.74       1231.5      -1045.5       -13670       269.74      -1678.4       -13670       1176.9            0            0            0       14.228            0         66.5       77.645        42424      -3621.6        12579       15.066      -6.3849       14.857      -838.71            0        81894   0.00010804     0.059237            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -6.5    0.0033924     0.016675    0.0087659    0.0079088     -0.18527    -0.016312    0.0026736    -0.018985     0.046438     0.013769   3.6686e-05     0.013732      0.20345      0.01185       17.169       232.74         1144       -902.1       -12711       232.74      -1448.2       -12711       1015.5            0            0            0       13.258            0         66.5         78.5        39448      -3061.3        11696       15.066      -6.8808       14.857      -779.18            0        76075   9.3129e-05     0.051111            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -6    0.0028924     0.015488    0.0087388    0.0067496     -0.17124    -0.013545    0.0026417    -0.016187     0.042921     0.012726   3.3735e-05     0.012692      0.18675     0.010043       18.594       198.44       1062.6      -769.14       -11748       198.44      -1234.8       -11748       865.82            0            0            0       12.208            0         66.5       79.422        36460      -2542.1        10810       15.066       -7.459       14.857      -719.51            0        70663   7.9327e-05     0.043578            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -5.5    0.0024318     0.014394    0.0087143    0.0056798     -0.15715    -0.010997     0.002613     -0.01361      0.03939     0.011679   3.0815e-05     0.011648      0.16895    0.0083314       20.278       166.84       987.53      -646.67       -10782       166.84      -1038.1       -10782       727.96            0            0            0       11.078            0         66.5       80.411        33461      -2063.8       9920.7       15.066      -8.1418       14.857      -659.73            0        65671   6.6637e-05     0.036639            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -5    0.0020109     0.013391     0.008691    0.0047003     -0.14302   -0.0086684    0.0025853    -0.011254     0.035847     0.010628   2.7926e-05       0.0106      0.15016    0.0067336         22.3       137.96       918.74      -534.72      -9811.9       137.96      -858.43      -9811.9       601.94            0            0            0        9.875            0         66.5        81.46        30451      -1626.8       9028.4       15.066      -8.9608       14.857      -599.86            0        61096   5.5057e-05     0.030297            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0         -4.5    0.0016296      0.01248    0.0086681    0.0038119     -0.12884   -0.0065626    0.0025573   -0.0091198     0.032294    0.0095745   2.5059e-05    0.0095495      0.13058    0.0052711       24.772        111.8       856.21      -433.33      -8839.2        111.8      -695.66      -8839.2       487.81            0            0            0       8.6102            0         66.5       82.561        27433      -1231.6       8133.3       15.066      -9.9613       14.857      -539.91            0        56938   4.4585e-05     0.024552            0            0            0            0            0            0            0            0            0            0         4.55            0  
          0            0           -4    0.0012881      0.01166    0.0086452    0.0030151     -0.11462     -0.00468    0.0025289   -0.0072089      0.02873     0.008518   2.2212e-05    0.0084958      0.11047    0.0039649       27.863       88.374       799.97      -342.53      -7863.9       88.374       -549.9      -7863.9       385.59            0            0            0       7.3019            0         66.5       83.696        24406      -878.31       7235.8       15.066      -11.211       14.857      -479.91            0        53198    3.522e-05     0.019408            0            0            0            0            0            0            0            0            0            0         4.55            0  
