A320_w
T6/1-TriUniform-ThickSurf-X3.85-visc.loop


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -20          -20            0      -1.5591     0.095548     0.012058      0.08349   -9.196e-14      -0.1749    0.0057048     -0.18061  -2.5442e-13   4.5162e-14  -4.4847e-15   4.9647e-14      -16.318      -20.375            0   -2.351e+06   1.4408e+05  -6.8579e+05  -1.3867e-07  -2.2523e+06  -6.5027e+05  -4.8082e-07  -2.2167e+06            0            0            0       163.89            0        164.2      -3.5069  -1.3009e-05  -1.1159e+06   2.3093e-06       2.9558   4.0554e-12       1.6734  -8.3193e+06            0   2.3657e+07      0.99645      -4.6085            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -19          -19            0      -1.4859     0.086759     0.011039      0.07572   -1.446e-13     -0.15999     0.004988     -0.16498   -2.863e-13   5.0103e-14  -4.5512e-15   5.4654e-14      -17.127      -20.877            0  -2.2405e+06   1.3082e+05  -6.2149e+05  -2.1804e-07  -2.1557e+06  -5.9356e+05  -4.3947e-07  -2.1237e+06            0            0            0       163.92            0        164.2      -3.3416  -1.4639e-05  -1.0207e+06   2.5619e-06       3.0166   5.3648e-12       1.6358  -7.9459e+06            0   2.1481e+07       0.9979      -4.4824            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -18          -18            0       -1.408     0.078182     0.010243     0.067939  -8.0628e-14     -0.14587    0.0044285     -0.15029  -1.8106e-13   4.4176e-14  -2.3504e-15   4.6526e-14      -18.009      -21.369            0  -2.1231e+06   1.1789e+05  -5.5864e+05  -1.2158e-07  -2.0508e+06  -5.3624e+05  -6.2337e-08  -2.0224e+06            0            0            0       163.94            0        164.2      -3.1782  -9.2581e-06  -9.3062e+05   2.2588e-06       3.0715   4.4264e-12       1.5935  -7.5403e+06            0   1.9357e+07      0.99864      -4.3247            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -17          -17            0      -1.3275     0.069939    0.0095726     0.060367  -4.2508e-14     -0.13273    0.0039583     -0.13668  -1.3838e-13   2.5514e-14  -1.5394e-15   2.7053e-14      -18.981       -21.87            0  -2.0018e+06   1.0546e+05  -4.9822e+05  -6.4097e-08  -1.9409e+06  -4.8013e+05  -8.9852e-08   -1.916e+06            0            0            0       163.97            0        164.2      -3.0157  -7.0756e-06  -8.4679e+05   1.3046e-06       3.1216   3.1786e-12       1.5474  -7.1163e+06            0   1.7316e+07      0.99915      -4.1441            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -16          -16            0      -1.2447     0.062045    0.0089901     0.053054  -2.0688e-14      -0.1207    0.0035526     -0.12425  -3.6041e-14   8.7743e-15  -6.4995e-16   9.4242e-15      -20.062      -22.383            0  -1.8769e+06        93557  -4.4045e+05  -3.1195e-08  -1.8263e+06  -4.2563e+05   1.3915e-07  -1.8046e+06            0            0            0       163.99            0        164.2      -2.8536  -1.8429e-06  -7.7005e+05   4.4865e-07       3.1665   1.4517e-12       1.4976  -6.6751e+06            0   1.5362e+07      0.99947      -3.9415            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -15          -15            0      -1.1612     0.054627    0.0084687     0.046158  -1.7084e-13     -0.10929    0.0031936     -0.11248  -4.9964e-13   9.2066e-14  -4.2508e-15   9.6317e-14      -21.258      -22.908            0   -1.751e+06        82372  -3.8597e+05  -2.5761e-07  -1.7094e+06  -3.7399e+05  -3.8076e-07  -1.6908e+06            0            0            0       164.02            0        164.2      -2.6933  -2.5548e-05  -6.9725e+05   4.7076e-06       3.2092   1.3508e-11       1.4458  -6.2322e+06            0   1.3525e+07      0.99983      -3.7267            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -14          -14            0      -1.0765     0.047658    0.0079993     0.039658  -7.6675e-15    -0.098676    0.0028765     -0.10155  -2.8404e-15   5.4262e-15  -2.6652e-16   5.6928e-15      -22.589      -23.438            0  -1.6233e+06        71863  -3.3469e+05  -1.1562e-08  -1.5896e+06  -3.2502e+05   7.5999e-08  -1.5738e+06            0            0            0       164.04            0        164.2      -2.5348  -1.4524e-07  -6.2955e+05   2.7746e-07       3.2483   3.8126e-13       1.3912  -5.7827e+06            0     1.18e+07       1.0001      -3.4969            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -13          -13            0     -0.99053     0.041153    0.0075858     0.033567  -1.6936e-13    -0.089072    0.0025988    -0.091671  -4.8581e-13   8.5231e-14  -2.7338e-15   8.7965e-14      -24.069      -23.955            0  -1.4936e+06        62055  -2.8667e+05  -2.5537e-07  -1.4667e+06  -2.7877e+05  -4.6633e-07  -1.4535e+06            0            0            0       164.05            0        164.2      -2.3791  -2.4841e-05  -5.6828e+05   4.3581e-06       3.2821   1.5489e-11       1.3333  -5.3241e+06            0   1.0189e+07       1.0003      -3.2511            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -12          -12            0     -0.90362     0.035152    0.0072212     0.027931   7.2081e-14    -0.080423    0.0023558    -0.082779   2.4994e-13  -4.2028e-14   1.2346e-15  -4.3262e-14      -25.706      -24.436            0  -1.3626e+06        53005   -2.421e+05   1.0869e-07  -1.3415e+06  -2.3559e+05   3.0421e-07  -1.3307e+06            0            0            0       164.07            0        164.2      -2.2278    1.278e-05   -5.131e+05   -2.149e-06       3.3106  -8.4951e-12       1.2719  -4.8596e+06            0   8.7033e+06       1.0005      -2.9915            0            0            0            0            0            0            0            0            0            0         3.85            0  
        -11          -11            0     -0.81592      0.02964    0.0068721     0.022768  -1.3092e-14    -0.072658    0.0021357    -0.074793  -2.4379e-14   1.6186e-15  -9.2713e-17   1.7113e-15      -27.527      -24.865            0  -1.2303e+06        44694  -2.0105e+05  -1.9741e-08  -1.2143e+06  -1.9564e+05  -1.1888e-08  -1.2055e+06            0            0            0       164.09            0        164.2      -2.0805  -1.2466e-06  -4.6355e+05   8.2764e-08       3.3331   9.7612e-13       1.2067  -4.3903e+06            0   7.3387e+06       1.0007      -2.7195            0            0            0            0            0            0            0            0            0            0         3.85            0  
