A320-200: HTP_Xac
HTP_T1-236.5 m/s-LLT-x1.85m
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -19.5            0      -1.5154      0.15804     0.010619      0.14743            0     0.013436   0.00088637     0.012549   8.3902e-18  -8.4163e-20   8.7798e-20  -1.7196e-19      -9.5887      -11.804            0  -4.3549e+05        45416  -1.0543e+05            0  -4.2465e+05            0            0            0            0            0            0       235.24            0       236.52      -5.9538   2.9853e-11        10562  -2.9946e-13       1.9979            0            0   -5.619e+05            0   1.0742e+07      0.99698      -3.0277            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0          -19            0      -1.4724      0.14941      0.01017      0.13924            0     0.013018   0.00084899     0.012169   9.9296e-18   5.5485e-19   1.8943e-19   3.6542e-19      -9.8551      -11.958            0  -4.2312e+05        42935       -99923            0   -4.131e+05            0            0            0            0            0            0       235.31            0       236.52       -5.794   3.5331e-11        10234   1.9742e-12       1.9978            0            0  -5.4701e+05            0   1.0155e+07      0.99652      -2.9416            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0        -18.5            0      -1.4296      0.14093    0.0097408      0.13119            0     0.012538   0.00081354     0.011724  -2.4632e-18  -5.4887e-19   6.3744e-20  -6.1261e-19      -10.144      -12.129            0  -4.1081e+05        40497       -94602            0  -4.0154e+05            0            0            0            0            0            0       235.38            0       236.52        -5.63  -8.7642e-12       9855.8  -1.9529e-12       1.9976            0            0  -5.3215e+05            0   9.5784e+06      0.99703      -2.8558            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0          -18            0      -1.3865      0.13266    0.0093233      0.12334            0      0.01201   0.00077936     0.011231   7.0046e-18   1.1471e-19   9.3211e-20   2.1495e-20      -10.451      -12.306            0  -3.9842e+05        38123       -89410            0  -3.8988e+05            0            0            0            0            0            0       235.44            0       236.52      -5.4657   2.4923e-11       9440.9   4.0813e-13       1.9976            0            0  -5.1717e+05            0   9.0168e+06      0.99745      -2.7696            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0        -17.5            0      -1.3428      0.12456    0.0089153      0.11565            0     0.011342   0.00074646     0.010596  -7.6974e-20   4.4398e-19    1.323e-19   3.1168e-19       -10.78      -12.492            0  -3.8587e+05        35795       -84338            0    -3.78e+05            0            0            0            0            0            0       235.51            0       236.52      -5.2998  -2.7388e-13       8916.1   1.5797e-12       1.9974            0            0    -5.02e+05            0   8.4661e+06      0.99783      -2.6821            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0          -17            0      -1.2991      0.11676    0.0085164      0.10824            0     0.010727   0.00071476     0.010013   1.4856e-17   2.1143e-19   9.3211e-20   1.1822e-19      -11.126      -12.681            0  -3.7331e+05        33552       -79399            0  -3.6609e+05            0            0            0            0            0            0       235.57            0       236.52      -5.1358   5.2859e-11       8432.7    7.523e-13       1.9975            0            0  -4.8678e+05            0   7.9356e+06      0.99782      -2.5949            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0        -16.5            0      -1.2554      0.10924    0.0081361       0.1011            0     0.010163   0.00068415    0.0094789   6.0809e-18   4.5954e-19   1.3711e-19   3.2243e-19      -11.492      -12.877            0  -3.6077e+05        31392       -74607            0  -3.5416e+05            0            0            0            0            0            0       235.63            0       236.52       -4.973   2.1637e-11       7989.1   1.6351e-12       1.9979            0            0  -4.7156e+05            0   7.4248e+06       0.9977      -2.5083            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0          -16            0      -1.2114      0.10193    0.0077699     0.094156            0    0.0094873   0.00065444    0.0088328   1.1623e-17  -1.0115e-19   4.9311e-20  -1.5047e-19      -11.885      -13.081            0  -3.4811e+05        29290       -69942            0  -3.4208e+05            0            0            0            0            0            0       235.69            0       236.52      -4.8096   4.1356e-11       7457.9  -3.5992e-13       1.9984            0            0  -4.5618e+05            0   6.9276e+06      0.99744      -2.4208            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0        -15.5            0      -1.1672      0.09489    0.0074037     0.087487            0    0.0088433   0.00062457    0.0082188     1.17e-17   2.1587e-19   1.2989e-19   8.5981e-20      -12.301      -13.289            0  -3.3542e+05        27268       -65410            0  -3.2994e+05            0            0            0            0            0            0       235.74            0       236.52      -4.6477    4.163e-11       6951.7    7.681e-13       1.9992            0            0  -4.4077e+05            0   6.4494e+06      0.99664      -2.3334            0            0            0            0            0            0            0            0            0            0         1.85            0  
          0          -15            0      -1.1231     0.088131    0.0070466     0.081085            0     0.008241   0.00059546    0.0076456   3.4638e-18   2.7427e-19   1.1306e-19   1.6121e-19      -12.744      -13.505            0  -3.2274e+05        25326       -61024            0  -3.1777e+05            0            0            0            0            0            0       235.79            0       236.52      -4.4869   1.2325e-11       6478.2   9.7588e-13       2.0003            0            0  -4.2537e+05            0     5.99e+06      0.99558      -2.2465            0            0            0            0            0            0            0            0            0            0         1.85            0  
