A320-200: HTP&VTP
T1-236.5 m/s-VLM2
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.3384      0.12357     0.012461      0.11111  -1.2506e-14       2.3755    0.0083147       2.3672    4.273e-15  -5.6281e-15  -2.3683e-18  -5.6257e-15      -10.831      -12.531            0  -3.8461e+05        35509  -1.0154e+05  -3.5937e-09  -3.7233e+05  -1.3544e+05   -3.839e-09  -3.7211e+05            0            0            0       235.52            0       236.52      -5.2749   1.5204e-08   1.8674e+06  -2.0025e-08       4.9201   3.9573e-15     -0.62851  -4.5027e+05            0   8.3985e+06       1.0318       -6.585            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -19.5            0      -1.3081       0.1184      0.01224      0.10616  -1.2486e-14       2.3229    0.0080662       2.3148   4.1467e-15  -5.6382e-15  -2.3087e-18  -5.6359e-15      -11.048      -12.636            0   -3.759e+05        34024       -96723   -3.588e-09  -3.6453e+05  -1.2901e+05  -3.8274e-09  -3.6431e+05            0            0            0       235.56            0       236.52      -5.1718   1.4754e-08    1.826e+06  -2.0061e-08       4.9131   3.7271e-15     -0.62762  -4.4083e+05            0   8.0472e+06       1.0316      -6.4268            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -19            0      -1.2776      0.11331     0.012025      0.10129  -1.2485e-14       2.2697    0.0078258       2.2619   4.2467e-15  -5.5365e-15  -2.2378e-18  -5.5342e-15      -11.275      -12.744            0  -3.6713e+05        32561       -92007  -3.5878e-09  -3.5661e+05  -1.2272e+05  -3.8238e-09  -3.5641e+05            0            0            0       235.59            0       236.52      -5.0683    1.511e-08   1.7842e+06  -1.9699e-08       4.9063   2.2888e-15     -0.62675  -4.3126e+05            0   7.7014e+06       1.0314      -6.2682            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -18.5            0      -1.2468       0.1083     0.011811     0.096488  -1.2519e-14        2.216    0.0075922       2.2084   4.0812e-15  -5.5071e-15   -2.384e-18  -5.5047e-15      -11.513      -12.856            0   -3.583e+05        31121       -87396  -3.5975e-09  -3.4858e+05  -1.1657e+05  -3.8006e-09  -3.4839e+05            0            0            0       235.63            0       236.52      -4.9642   1.4521e-08    1.742e+06  -1.9595e-08       4.8996   4.3565e-15      -0.6259  -4.2156e+05            0   7.3608e+06       1.0312      -6.1091            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -18            0      -1.2159      0.10338     0.011608     0.091771  -1.2513e-14       2.1617    0.0073666       2.1543   4.1588e-15  -5.6308e-15  -1.9701e-18  -5.6288e-15      -11.761      -12.969            0   -3.494e+05        29708       -82890  -3.5959e-09  -3.4045e+05  -1.1056e+05  -3.8111e-09  -3.4027e+05            0            0            0       235.67            0       236.52      -4.8598   1.4797e-08   1.6993e+06  -2.0035e-08       4.8932   4.0716e-15     -0.62508  -4.1173e+05            0   7.0264e+06        1.031      -5.9496            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -17.5            0      -1.1847     0.098547     0.011408     0.087139  -1.2525e-14       2.1069    0.0071477       2.0998   4.1538e-15  -5.5999e-15   -1.921e-18   -5.598e-15      -12.022      -13.085            0  -3.4044e+05        28319       -78491  -3.5992e-09  -3.3222e+05  -1.0469e+05  -3.7903e-09  -3.3204e+05            0            0            0        235.7            0       236.52       -4.755   1.4779e-08   1.6562e+06  -1.9925e-08       4.8869   5.9497e-15     -0.62428  -4.0178e+05            0   6.6979e+06       1.0308      -5.7895            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -17            0      -1.1533     0.093807     0.011213     0.082594  -1.2544e-14       2.0517    0.0069355       2.0447   4.1874e-15  -5.6264e-15  -1.9254e-18  -5.6245e-15      -12.295      -13.203            0  -3.3142e+05        26957       -74201  -3.6047e-09  -3.2388e+05       -98970   -3.785e-09  -3.2372e+05            0            0            0       235.74            0       236.52        -4.65   1.4899e-08   1.6128e+06  -2.0019e-08       4.8808   3.7148e-15     -0.62349   -3.917e+05            0   6.3758e+06       1.0307      -5.6291            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -16.5            0      -1.1217     0.089169     0.011029      0.07814  -1.2533e-14       1.9959    0.0067324       1.9892   4.1376e-15  -5.5496e-15  -1.6344e-18   -5.548e-15       -12.58      -13.323            0  -3.2234e+05        25624       -70020  -3.6014e-09  -3.1545e+05       -93394  -3.7843e-09  -3.1529e+05            0            0            0       235.78            0       236.52      -4.5451   1.4722e-08    1.569e+06  -1.9746e-08       4.8748   4.4118e-15     -0.62274   -3.815e+05            0   6.0606e+06       1.0306      -5.4682            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -16            0      -1.0899     0.084638     0.010857     0.073781  -1.2521e-14       1.9397    0.0065382       1.9332   4.1327e-15  -5.5566e-15  -1.9025e-18  -5.5547e-15      -12.877      -13.444            0   -3.132e+05        24322       -65950  -3.5981e-09  -3.0692e+05       -87965  -3.7669e-09  -3.0677e+05            0            0            0       235.81            0       236.52      -4.4404   1.4705e-08   1.5248e+06  -1.9771e-08       4.8691   4.8892e-15       -0.622  -3.7119e+05            0   5.7526e+06       1.0304      -5.3069            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -15.5            0      -1.0579     0.080224     0.010704      0.06952   -1.254e-14        1.883    0.0063551       1.8767   4.1331e-15  -5.5728e-15  -1.1503e-18  -5.5717e-15      -13.187      -13.564            0  -3.0401e+05        23053       -61992  -3.6037e-09  -2.9829e+05       -82686  -3.7848e-09  -2.9816e+05            0            0            0       235.84            0       236.52      -4.3365   1.4706e-08   1.4802e+06  -1.9829e-08       4.8635   6.2099e-15     -0.62128  -3.6077e+05            0   5.4526e+06       1.0303      -5.1452            0            0            0            0            0            0            0            0            0            0            0            0  
