A320-200: HTP&VTP
T5-a0.0°-236.5m/s-Quads-ThinSurf


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.02364     0.050216    0.0091115     0.041105      -0.4527    0.0049437    0.0031339    0.0018098     0.080078     -0.10208  -0.00078504      -0.1013      0.47076     0.072381       6.5039       6793.3        14430       -22629  -1.3009e+05       6793.3   2.3751e-11       -92230       -122.6            0            0            0       100.74            0       236.52       64.791   2.8492e+05       3886.2  -3.6321e+05     -0.20942      -2.9673    -0.091111       -10425            0   3.4131e+06   0.00087012   -0.0049507            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -14.5     0.022124     0.047632    0.0090751     0.038557     -0.43895    0.0047853    0.0030916    0.0016937     0.077645    -0.098974  -0.00075638    -0.098218      0.46447     0.069085       6.7232       6357.5        13688       -21177  -1.2614e+05       6357.5   2.3031e-11       -89428      -114.74            0            0            0       99.633            0       236.52       65.087   2.7627e+05       3761.7  -3.5216e+05     -0.20942      -3.0744    -0.091111       -10098            0   3.2374e+06   0.00081243   -0.0046331            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -14     0.020654     0.045114    0.0090383     0.036076     -0.42506    0.0046298    0.0030486    0.0015812     0.075188    -0.095838  -0.00072784     -0.09511      0.45782     0.065796       6.9582       5935.2        12964       -19771  -1.2215e+05       5935.2   2.2303e-11       -86598      -107.12            0            0            0       98.456            0       236.52       65.401   2.6753e+05       3639.5    -3.41e+05     -0.20942      -3.1889    -0.091111      -9769.2            0   3.0663e+06   0.00075679   -0.0043253            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -13.5     0.019232     0.042668     0.009004     0.033664     -0.41105    0.0044803     0.003008    0.0014723     0.072709    -0.092674  -0.00069963    -0.091974      0.45074     0.062509       7.2109       5526.6        12261       -18410  -1.1812e+05       5526.6   2.1568e-11       -83743      -99.743            0            0            0       97.192            0       236.52       65.737   2.5871e+05       3521.9  -3.2974e+05     -0.20942      -3.3118    -0.091111        -9438            0      2.9e+06   0.00070318   -0.0040275            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -13     0.017858     0.040293    0.0089702     0.031323      -0.3969    0.0043352    0.0029681    0.0013671     0.070207    -0.089481  -0.00067161     -0.08881       0.4432     0.059227       7.4832       5131.7        11579       -17094  -1.1406e+05       5131.7   2.0826e-11       -80862      -92.617            0            0            0       95.835            0       236.52       66.097    2.498e+05       3407.8  -3.1838e+05     -0.20942      -3.4439    -0.091111      -9104.5            0   2.7386e+06    0.0006516   -0.0037398            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -12.5     0.016532     0.037995      0.00894     0.029054     -0.38264    0.0042002    0.0029346    0.0012656     0.067685    -0.086262  -0.00064406    -0.085618      0.43512     0.055946       7.7774       4750.7        10918       -15825  -1.0996e+05       4750.7   2.0079e-11       -77956      -85.741            0            0            0       94.367            0       236.52       66.485   2.4083e+05       3301.7  -3.0693e+05     -0.20942      -3.5864    -0.091111        -8769            0   2.5824e+06   0.00060203   -0.0034621            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -12     0.015255     0.035772    0.0089107     0.026861     -0.36826    0.0040699    0.0029021    0.0011679     0.065141    -0.083018   -0.0006167    -0.082401      0.42646     0.052672       8.0964       4383.7        10279       -14603  -1.0583e+05       4383.7   1.9325e-11       -75026      -79.117            0            0            0        92.78            0       236.52       66.904   2.3178e+05       3199.3  -2.9538e+05     -0.20942      -3.7406    -0.091111      -8431.5            0   2.4313e+06   0.00055448   -0.0031947            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -11.5     0.014027     0.033628    0.0088841     0.024744     -0.35377     0.003948    0.0028742    0.0010738     0.062578    -0.079748  -0.00058969    -0.079158      0.41713     0.049403       8.4434       4030.9       9663.4       -13427  -1.0166e+05       4030.9   1.8565e-11       -72074      -72.749            0            0            0       91.054            0       236.52       67.358   2.2266e+05       3103.5  -2.8375e+05     -0.20942       -3.908    -0.091111        -8092            0   2.2856e+06   0.00050892   -0.0029375            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0          -11     0.012848     0.031561    0.0088572     0.022704     -0.33917     0.003828    0.0028444   0.00098362     0.059995    -0.076454  -0.00056271    -0.075892       0.4071     0.046145       8.8221       3692.2       9069.6       -12299       -97466       3692.2   1.7799e-11       -69100      -66.636            0            0            0        89.18            0       236.52       67.849   2.1347e+05       3009.2  -2.7203e+05     -0.20942      -4.0904    -0.091111      -7750.7            0   2.1451e+06   0.00046535   -0.0026907            0            0            0            0            0            0            0            0            0            0            0            0  
          0            0        -10.5      0.01172     0.029572     0.008828     0.020744     -0.32447    0.0037065    0.0028093   0.00089721     0.057395    -0.073138  -0.00053565    -0.072602      0.39632     0.042904       9.2372       3367.9       8497.9       -11219       -93241       3367.9   1.7028e-11       -66104      -60.783            0            0            0       87.142            0       236.52       68.381   2.0421e+05       2913.6  -2.6023e+05     -0.20942      -4.2899    -0.091111      -7407.8            0   2.0099e+06   0.00042377   -0.0024543            0            0            0            0            0            0            0            0            0            0            0            0  
