A320-Wing
T1-236.5 m/s-Quads-ThinSurf
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.4266     0.074973     0.009592     0.065381   9.0008e-17       1.3686    0.0053403       1.3632   1.1747e-15   4.8625e-17  -8.0682e-19   4.9431e-17      -19.028      -22.727            0  -1.6241e+06        85350  -4.8552e+05   1.0247e-10  -1.5516e+06        69590  -1.8013e-10   -1.338e+06            0            0            0       236.19            0       236.52      -3.0083    4.521e-08   6.4516e+06   1.8713e-09       3.6357  -2.5859e-14      0.53181  -5.5271e+06            0   2.0187e+07       1.0587      -5.1867            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -19.5            0      -1.3897     0.071472    0.0093453     0.062127   6.0233e-17       1.3346     0.005101       1.3295   1.1743e-15   4.8947e-17   3.7652e-19   4.8571e-17      -19.444      -22.922            0  -1.5821e+06        81365  -4.6143e+05    6.857e-11  -1.5149e+06        68241  -1.5816e-10  -1.3059e+06            0            0            0       236.21            0       236.52      -2.9441   4.5193e-08   6.2913e+06   1.8837e-09       3.6522  -2.7394e-14      0.53468  -5.3963e+06            0   1.9244e+07       1.0573      -5.0755            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -19            0      -1.3526      0.06804    0.0091091     0.058931   2.8412e-17       1.3001    0.0048732       1.2953   1.1386e-15   4.9754e-17  -4.8409e-19   5.0238e-17       -19.88       -23.12            0  -1.5398e+06        77458  -4.3789e+05   3.2344e-11  -1.4778e+06        66868  -1.6198e-10  -1.2733e+06            0            0            0       236.22            0       236.52      -2.8797   4.3818e-08    6.129e+06   1.9148e-09        3.668  -2.7521e-14      0.53746  -5.2638e+06            0    1.832e+07       1.0559      -4.9614            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -18.5            0      -1.3153     0.064674    0.0088774     0.055797   9.5463e-18       1.2653    0.0046539       1.2606   1.0766e-15   4.9324e-17  -2.1515e-19   4.9539e-17      -20.338      -23.325            0  -1.4974e+06        73626  -4.1489e+05   1.0868e-11  -1.4402e+06        65471  -1.3559e-10  -1.2403e+06            0            0            0       236.23            0       236.52       -2.815   4.1434e-08   5.9647e+06   1.8982e-09        3.683  -2.7273e-14      0.54015  -5.1296e+06            0   1.7414e+07       1.0546      -4.8444            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -18            0      -1.2779     0.061378    0.0086507     0.052727   5.8869e-17         1.23    0.0044433       1.2256   1.1864e-15   4.6312e-17  -5.3788e-19    4.685e-17       -20.82      -23.535            0  -1.4547e+06        69873  -3.9245e+05   6.7017e-11  -1.4021e+06        64050  -1.8022e-10  -1.2069e+06            0            0            0       236.25            0       236.52      -2.7499   4.5657e-08   5.7985e+06   1.7823e-09       3.6973   -2.657e-14      0.54275  -4.9939e+06            0   1.6526e+07       1.0533      -4.7246            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -17.5            0      -1.2402     0.058153    0.0084297     0.049724   4.5459e-18       1.1944    0.0042414       1.1902   1.1924e-15   4.6366e-17  -5.3788e-20   4.6419e-17      -21.327       -23.75            0  -1.4119e+06        66203  -3.7057e+05   5.1751e-12  -1.3635e+06        62606  -1.4684e-10  -1.1731e+06            0            0            0       236.26            0       236.52      -2.6846   4.5889e-08   5.6305e+06   1.7844e-09       3.7107  -2.8256e-14      0.54526  -4.8565e+06            0   1.5658e+07       1.0521       -4.602            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -17            0      -1.2024     0.055103    0.0083138     0.046789    1.932e-17       1.1584    0.0040672       1.1543   1.0934e-15   4.4698e-17  -1.0758e-19   4.4806e-17      -21.821      -23.927            0  -1.3688e+06        62730  -3.4926e+05   2.1994e-11  -1.3246e+06        61140   -1.221e-10  -1.1389e+06            0            0            0       236.27            0       236.52      -2.6239    4.208e-08   5.4607e+06   1.7202e-09       3.7232  -2.8443e-14      0.54768  -4.7176e+06            0   1.4837e+07       1.0509      -4.4767            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -16.5            0      -1.1644     0.052041    0.0081152     0.043926   1.4888e-17        1.122    0.0038861       1.1181    9.854e-16   4.2923e-17  -6.4546e-19   4.3569e-17      -22.375      -24.144            0  -1.3256e+06        59244  -3.2853e+05   1.6948e-11  -1.2852e+06        59652  -1.2249e-10  -1.1043e+06            0            0            0       236.28            0       236.52      -2.5591   3.7923e-08   5.2891e+06   1.6519e-09       3.7348   -2.791e-14      0.54999  -4.5771e+06            0   1.4012e+07       1.0498      -4.3488            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -16            0      -1.1262     0.049059    0.0079229     0.041136    5.796e-18       1.0852    0.0037125       1.0815    9.854e-16   4.1417e-17  -2.1515e-19   4.1632e-17      -22.957      -24.363            0  -1.2821e+06        55849  -3.0838e+05   6.5982e-12  -1.2454e+06        58142  -1.3261e-10  -1.0693e+06            0            0            0       236.29            0       236.52      -2.4942   3.7923e-08   5.1158e+06   1.5939e-09       3.7455  -2.9049e-14      0.55221  -4.4352e+06            0   1.3209e+07       1.0487      -4.2183            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -15.5            0      -1.0879     0.046158     0.007737     0.038421   2.6025e-17       1.0481    0.0035452       1.0446    1.034e-15     4.26e-17            0     4.26e-17      -23.569      -24.583            0  -1.2385e+06        52547  -2.8882e+05   2.9627e-11  -1.2051e+06        56610  -1.3688e-10   -1.034e+06            0            0            0       236.31            0       236.52      -2.4295   3.9794e-08   4.9409e+06   1.6395e-09       3.7551  -2.8468e-14      0.55431  -4.2919e+06            0   1.2428e+07       1.0477      -4.0852            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -15            0      -1.0494      0.04334    0.0075552     0.035785   3.6367e-18       1.0106    0.0033826       1.0073   9.4538e-16   4.3488e-17  -2.9584e-19   4.3784e-17      -24.214      -24.805            0  -1.1947e+06        49339  -2.6986e+05   4.1401e-12  -1.1645e+06        55058  -1.4212e-10   -9.983e+05            0            0            0       236.32            0       236.52      -2.3649   3.6383e-08   4.7643e+06   1.6736e-09       3.7637  -3.0454e-14       0.5563  -4.1472e+06            0    1.167e+07       1.0467      -3.9497            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -14.5            0      -1.0108       0.0406    0.0073713     0.033228   1.9775e-17      0.97285    0.0032214      0.96963   8.7955e-16   3.8163e-17  -4.0341e-19   3.8566e-17      -24.897      -25.031            0  -1.1507e+06        46219  -2.5149e+05   2.2512e-11  -1.1235e+06        53486   -1.199e-10  -9.6228e+05            0            0            0       236.33            0       236.52      -2.3001   3.3849e-08   4.5861e+06   1.4687e-09        3.771  -2.7905e-14      0.55818  -4.0012e+06            0   1.0932e+07       1.0458      -3.8117            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -14            0     -0.97202     0.037934    0.0071804     0.030754   5.8187e-17      0.93473    0.0030596      0.93168   8.7395e-16   3.7921e-17  -4.3031e-19   3.8351e-17      -25.624      -25.263            0  -1.1066e+06        43185  -2.3373e+05   6.6241e-11  -1.0822e+06        51893  -1.1223e-10  -9.2594e+05            0            0            0       236.34            0       236.52      -2.2349   3.3634e-08   4.4064e+06   1.4594e-09       3.7772  -2.9362e-14      0.55993  -3.8539e+06            0   1.0214e+07       1.0449      -3.6715            0            0            0            0            0            0            0            0            0            0            0            0  
