A320-200: HTP&VTP
T1-236.5 m/s-Quads-ThinSurf
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.3345      0.12301     0.012431      0.11058  -1.1322e-14       2.0098    0.0083037       2.0015   4.1946e-15  -5.7981e-15  -1.2911e-18  -5.7968e-15      -10.849      -12.533            0   -3.835e+05        35349   -1.013e+05  -3.2534e-09  -3.7124e+05  -1.1731e-11   -3.632e-09   -3.247e+05            0            0            0       235.52            0       236.52      -5.2664   1.4925e-08   1.5799e+06   -2.063e-08       3.8552   1.4004e-15     -0.48556  -4.4921e+05            0   8.3607e+06       1.0308      -5.1449            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -19.5            0      -1.3043      0.11787     0.012212      0.10566  -1.1355e-14       1.9662    0.0080562       1.9581   4.2562e-15  -5.8268e-15  -1.2827e-18  -5.8255e-15      -11.066      -12.638            0  -3.7482e+05        33871       -96496  -3.2631e-09  -3.6345e+05  -1.1481e-11  -3.6415e-09  -3.1768e+05            0            0            0       235.56            0       236.52      -5.1636   1.5144e-08   1.5456e+06  -2.0732e-08       3.8711   1.4295e-15     -0.48763   -4.398e+05            0   8.0112e+06       1.0305      -5.0492            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -19            0      -1.2739       0.1128     0.011999       0.1008  -1.1358e-14        1.922    0.0078167       1.9142   4.2798e-15  -5.8332e-15  -1.1288e-18   -5.832e-15      -11.293      -12.746            0  -3.6607e+05        32416       -91792  -3.2639e-09  -3.5556e+05  -1.1227e-11  -3.6596e-09  -3.1058e+05            0            0            0        235.6            0       236.52      -5.0604   1.5228e-08   1.5109e+06  -2.0755e-08       3.8866   2.2267e-15     -0.48965  -4.3025e+05            0   7.6669e+06       1.0303      -4.9511            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -18.5            0      -1.2432      0.10782     0.011788     0.096031  -1.1352e-14       1.8774    0.0075841       1.8698   4.2649e-15  -5.8545e-15   -1.075e-18  -5.8534e-15      -11.531      -12.857            0  -3.5726e+05        30983       -87191  -3.2622e-09  -3.4756e+05  -1.0971e-11  -3.6706e-09  -3.0339e+05            0            0            0       235.63            0       236.52      -4.9565   1.5175e-08   1.4758e+06  -2.0831e-08       3.9015    1.794e-15     -0.49161  -4.2057e+05            0   7.3281e+06       1.0301      -4.8505            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -18            0      -1.2124      0.10292     0.011585     0.091336  -1.1346e-14       1.8322    0.0073591       1.8249   4.3117e-15  -5.9137e-15   -1.219e-18  -5.9125e-15      -11.779       -12.97            0  -3.4839e+05        29576       -82696  -3.2605e-09  -3.3945e+05  -1.0711e-11  -3.7088e-09  -2.9612e+05            0            0            0       235.67            0       236.52      -4.8524   1.5342e-08   1.4403e+06  -2.1041e-08       3.9161   1.8473e-15     -0.49351  -4.1077e+05            0   6.9953e+06       1.0299      -4.7477            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -17.5            0      -1.1813     0.098113     0.011387     0.086726  -1.1368e-14       1.7866    0.0071411       1.7795   4.4737e-15  -5.8847e-15  -1.0165e-18  -5.8837e-15       -12.04      -13.086            0  -3.3945e+05        28194       -78307  -3.2667e-09  -3.3124e+05  -1.0448e-11  -3.6838e-09  -2.8877e+05            0            0            0       235.71            0       236.52      -4.7479   1.5918e-08   1.4044e+06  -2.0938e-08       3.9301   1.6265e-15     -0.49535  -4.0083e+05            0   6.6684e+06       1.0297      -4.6425            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -17            0        -1.15     0.093396     0.011193     0.082203  -1.1334e-14       1.7405    0.0069295       1.7336   4.3198e-15  -5.9545e-15  -1.0834e-18  -5.9534e-15      -12.313      -13.204            0  -3.3046e+05        26839       -74027   -3.257e-09  -3.2293e+05  -1.0182e-11   -3.723e-09  -2.8135e+05            0            0            0       235.74            0       236.52      -4.6432    1.537e-08   1.3682e+06  -2.1187e-08       3.9437   2.6615e-15     -0.49713  -3.9078e+05            0   6.3478e+06       1.0296      -4.5351            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -16.5            0      -1.1185     0.088781     0.011012      0.07777   -1.137e-14        1.694    0.0067274       1.6873   4.2561e-15  -5.8916e-15  -8.0604e-19  -5.8908e-15      -12.598      -13.323            0   -3.214e+05        25513       -69856  -3.2674e-09  -3.1452e+05  -9.9138e-12   -3.691e-09  -2.7384e+05            0            0            0       235.78            0       236.52      -4.5385   1.5144e-08   1.3316e+06  -2.0963e-08       3.9568   2.4965e-15     -0.49886  -3.8061e+05            0   6.0342e+06       1.0294      -4.4255            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -16            0      -1.0867     0.084273     0.010841     0.073431  -1.1355e-14       1.6471    0.0065339       1.6405   4.4181e-15  -5.9594e-15  -6.4351e-19  -5.9587e-15      -12.896      -13.443            0  -3.1229e+05        24217       -65795  -3.2629e-09  -3.0601e+05  -9.6424e-12  -3.7447e-09  -2.6627e+05            0            0            0       235.81            0       236.52      -4.4342    1.572e-08   1.2947e+06  -2.1204e-08       3.9695   2.4801e-15     -0.50052  -3.7032e+05            0   5.7278e+06       1.0293      -4.3138            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -15.5            0      -1.0548     0.079881      0.01069      0.06919  -1.1334e-14       1.5997    0.0063518       1.5933   4.3345e-15  -5.9174e-15  -5.4582e-19  -5.9168e-15      -13.205      -13.562            0  -3.0312e+05        22955       -61847   -3.257e-09  -2.9741e+05  -9.3682e-12  -3.7018e-09  -2.5862e+05            0            0            0       235.84            0       236.52      -4.3306   1.5423e-08   1.2575e+06  -2.1055e-08       3.9817   3.0756e-15     -0.50213  -3.5992e+05            0   5.4293e+06       1.0292         -4.2            0            0            0            0            0            0            0            0            0            0            0            0  
