A320-Wing
T1-236.5 m/s-TriUniform-ThinSurf
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.4822       0.0541     0.010032     0.044068   1.4154e-13       1.2258    0.0056749       1.2201  -2.3154e-13   1.2327e-14  -3.3262e-15   1.5654e-14      -27.397      -33.354            0  -1.6873e+06        61589  -5.2996e+05   1.6113e-07  -1.6027e+06        56317   6.7631e-08  -1.2247e+06            0            0            0       236.36            0       236.52      -2.0904  -8.9106e-06   5.7785e+06   4.7442e-07       3.1415   4.9453e-12      0.44598  -5.8455e+06            0   1.4567e+07       1.6956      -4.6562            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -19.5            0      -1.4433     0.051623    0.0097478     0.041876   1.3691e-13       1.1948    0.0054007       1.1894  -2.2646e-13   1.2016e-14  -3.2518e-15   1.5268e-14      -27.959       -33.59            0  -1.6431e+06        58769  -5.0355e+05   1.5586e-07  -1.5648e+06        55217   6.6023e-08  -1.1947e+06            0            0            0       236.37            0       236.52      -2.0484  -8.7153e-06   5.6323e+06   4.6245e-07       3.1553   4.9662e-12      0.44833  -5.7059e+06            0     1.39e+07       1.6921      -4.5542            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -19            0      -1.4044       0.0492    0.0094773     0.039723    1.327e-13       1.1634    0.0051428       1.1582  -2.2073e-13   1.1938e-14  -2.9439e-15   1.4882e-14      -28.544      -33.826            0  -1.5987e+06        56010  -4.7774e+05   1.5107e-07  -1.5264e+06        54097   6.4423e-08  -1.1643e+06            0            0            0       236.37            0       236.52      -2.0065  -8.4946e-06   5.4843e+06   4.5945e-07       3.1684   4.9974e-12      0.45061  -5.5646e+06            0   1.3248e+07       1.6887      -4.4495            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -18.5            0      -1.3652     0.046833     0.009221     0.037612   1.2706e-13       1.1316    0.0049001       1.1267  -2.1507e-13   1.1862e-14  -2.6275e-15   1.4489e-14       -29.15       -34.06            0  -1.5542e+06        53315  -4.5254e+05   1.4464e-07  -1.4874e+06        52958   6.2666e-08  -1.1335e+06            0            0            0       236.38            0       236.52      -1.9647   -8.277e-06   5.3346e+06    4.565e-07       3.1807   5.0254e-12      0.45279  -5.4215e+06            0    1.261e+07       1.6854      -4.3422            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -18            0      -1.3259     0.044513    0.0089701     0.035543   1.2236e-13       1.0995    0.0046673       1.0948  -2.0919e-13   1.1697e-14  -2.3943e-15   1.4091e-14      -29.786      -34.298            0  -1.5094e+06        50674  -4.2794e+05   1.3929e-07   -1.448e+06        51799   6.1116e-08  -1.1024e+06            0            0            0       236.39            0       236.52      -1.9229  -8.0507e-06   5.1832e+06   4.5016e-07       3.1922   5.0435e-12      0.45489  -5.2768e+06            0   1.1985e+07       1.6822      -4.2324            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -17.5            0      -1.2864     0.042243    0.0087243     0.033519   1.1751e-13        1.067    0.0044434       1.0626  -2.0369e-13   1.1518e-14  -2.1744e-15   1.3692e-14      -30.452      -34.538            0  -1.4644e+06        48090  -4.0397e+05   1.3377e-07  -1.4081e+06        50621   5.9393e-08  -1.0709e+06            0            0            0       236.39            0       236.52      -1.8808  -7.8392e-06   5.0301e+06   4.4326e-07       3.2029   5.0749e-12       0.4569  -5.1304e+06            0   1.1374e+07       1.6791      -4.1202            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -17            0      -1.2468     0.040117    0.0085757     0.031541   1.1255e-13       1.0342    0.0042447         1.03   -1.975e-13    1.134e-14   -1.949e-15   1.3289e-14      -31.078      -34.701            0  -1.4193e+06        45670  -3.8063e+05   1.2812e-07  -1.3678e+06        49426   5.7617e-08   -1.039e+06            0            0            0        236.4            0       236.52       -1.843  -7.6007e-06   4.8755e+06   4.3643e-07       3.2127   5.0931e-12      0.45881  -4.9824e+06            0   1.0802e+07       1.6762      -4.0055            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -16.5            0       -1.207     0.037967    0.0083564     0.029611   1.0753e-13       1.0011    0.0040451      0.99706  -1.9152e-13   1.0992e-14  -1.8892e-15   1.2881e-14       -31.79      -34.925            0   -1.374e+06        43223  -3.5793e+05   1.2241e-07   -1.327e+06        48212   5.5836e-08  -1.0068e+06            0            0            0        236.4            0       236.52      -1.8017  -7.3706e-06   4.7193e+06   4.2303e-07       3.2216   5.1205e-12      0.46061  -4.8329e+06            0   1.0223e+07       1.6733      -3.8884            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -16            0       -1.167     0.035874    0.0081438      0.02773   1.0318e-13      0.96764     0.003855      0.96379  -1.8575e-13   1.0778e-14  -1.6918e-15    1.247e-14      -32.532      -35.144            0  -1.3286e+06        40840  -3.3586e+05   1.1747e-07  -1.2858e+06        46980   5.4112e-08  -9.7419e+05            0            0            0       236.41            0       236.52      -1.7607  -7.1487e-06   4.5616e+06    4.148e-07       3.2295   5.1377e-12      0.46232  -4.6819e+06            0   9.6593e+06       1.6705       -3.769            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -15.5            0       -1.127     0.033841    0.0079406       0.0259   9.9121e-14      0.93387    0.0036741       0.9302   -1.797e-13   1.0548e-14  -1.5071e-15   1.2055e-14      -33.302      -35.353            0   -1.283e+06        38525  -3.1444e+05   1.1284e-07  -1.2442e+06        45731   5.2365e-08   -9.413e+05            0            0            0       236.41            0       236.52        -1.72  -6.9156e-06   4.4024e+06   4.0594e-07       3.2364    5.162e-12      0.46391  -4.5294e+06            0   9.1119e+06       1.6679      -3.6473            0            0            0            0            0            0            0            0            0            0            0            0  
