A320-Wing
T1-236.5 m/s-VLM1
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.4328     0.075169    0.0096275     0.065542   1.3524e-16       1.4654     0.005356       1.4601  -1.0069e-16   2.1354e-17  -2.7432e-18   2.4097e-17      -19.061      -22.815            0  -1.6311e+06        85574  -4.8775e+05   1.5396e-10  -1.5582e+06  -5.6669e+05   2.1011e-10   -1.557e+06            0            0            0       236.19            0       236.52      -3.0032  -3.8751e-09   6.9081e+06    8.218e-10       4.7473   1.5839e-15      0.70526  -5.5404e+06            0    2.024e+07       1.0653      -6.8018            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -19.5            0      -1.3957     0.071655    0.0093779     0.062277   1.8206e-16       1.4318     0.005115       1.4267  -2.2892e-16   1.0446e-16  -1.8288e-18   1.0629e-16      -19.478      -23.011            0  -1.5889e+06        81573  -4.6355e+05   2.0726e-10  -1.5214e+06  -5.3833e+05   2.5203e-10  -1.5202e+06            0            0            0       236.21            0       236.52       -2.939  -8.8101e-09   6.7496e+06     4.02e-09       4.7399   6.2744e-15      0.70463  -5.4093e+06            0   1.9294e+07       1.0639      -6.6155            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -19            0      -1.3584     0.068212    0.0091402     0.059072   8.6372e-17       1.3976    0.0048863       1.3927  -1.6524e-16   5.2497e-17  -1.7212e-18   5.4219e-17      -19.915      -23.211            0  -1.5465e+06        77654  -4.3989e+05   9.8327e-11  -1.4841e+06  -5.1061e+05   2.8722e-10  -1.4829e+06            0            0            0       236.22            0       236.52      -2.8746  -6.3591e-09   6.5884e+06   2.0204e-09       4.7324    5.954e-15      0.70401  -5.2765e+06            0   1.8367e+07       1.0625      -6.4287            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -18.5            0       -1.321     0.064837    0.0089078     0.055929   1.5001e-16       1.3628    0.0046662       1.3582  -2.2892e-16   9.4345e-17   -2.044e-18   9.6389e-17      -20.374      -23.416            0  -1.5038e+06        73811  -4.1679e+05   1.7078e-10  -1.4463e+06  -4.8356e+05   2.0856e-10  -1.4452e+06            0            0            0       236.23            0       236.52        -2.81  -8.8101e-09   6.4245e+06   3.6308e-09       4.7249   4.3608e-15       0.7034   -5.142e+06            0   1.7458e+07       1.0612      -6.2414            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -18            0      -1.2833      0.06153    0.0086795      0.05285   1.4069e-16       1.3275    0.0044545        1.323  -1.3856e-16   8.5577e-17  -1.3447e-18   8.6922e-17      -20.857      -23.628            0   -1.461e+06        70046  -3.9424e+05   1.6017e-10   -1.408e+06  -4.5716e+05    1.713e-10   -1.407e+06            0            0            0       236.25            0       236.52       -2.745  -5.3324e-09   6.2579e+06   3.2934e-09       4.7171    8.116e-15       0.7028  -5.0059e+06            0   1.6567e+07       1.0599      -6.0536            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -17.5            0      -1.2455     0.058295    0.0084572     0.049838   8.0462e-17       1.2916    0.0042517       1.2874  -8.9504e-17   8.7783e-17  -1.2909e-18   8.9073e-17      -21.365      -23.844            0  -1.4179e+06        66364  -3.7226e+05   9.1599e-11  -1.3693e+06  -4.3143e+05   9.1082e-11  -1.3683e+06            0            0            0       236.26            0       236.52      -2.6798  -3.4445e-09   6.0888e+06   3.3783e-09       4.7093   4.1579e-15      0.70221  -4.8681e+06            0   1.5696e+07       1.0587      -5.8654            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -17            0      -1.2075     0.055234    0.0083381     0.046896   1.3183e-16       1.2552    0.0040762       1.2512  -1.2307e-16   8.8213e-17  -1.2909e-18   8.9504e-17      -21.862      -24.023            0  -1.3746e+06        62879  -3.5085e+05   1.5008e-10  -1.3302e+06  -4.0639e+05   1.6405e-10  -1.3292e+06            0            0            0       236.27            0       236.52       -2.619  -4.7362e-09   5.9173e+06   3.3949e-09       4.7012   2.9877e-15      0.70163  -4.7289e+06            0   1.4872e+07       1.0575      -5.6767            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -16.5            0      -1.1693     0.052163    0.0081387     0.044025   8.1485e-17       1.2183    0.0038945       1.2144   -1.093e-16   7.9929e-17  -1.3985e-18   8.1328e-17      -22.417       -24.24            0  -1.3312e+06        59383  -3.3002e+05   9.2763e-11  -1.2906e+06  -3.8203e+05   2.2408e-10  -1.2897e+06            0            0            0       236.28            0       236.52      -2.5543  -4.2063e-09   5.7432e+06   3.0761e-09        4.693     4.18e-15      0.70106  -4.5881e+06            0   1.4045e+07       1.0563      -5.4876            0            0            0            0            0            0            0            0            0            0            0            0  
          0          -16            0       -1.131     0.049172    0.0079445     0.041227   1.0171e-16       1.1809    0.0037201       1.1771   -2.229e-16   8.7675e-17  -9.6819e-19   8.8643e-17      -23.001      -24.461            0  -1.2875e+06        55978  -3.0977e+05   1.1579e-10  -1.2506e+06  -3.5836e+05    2.127e-10  -1.2498e+06            0            0            0        236.3            0       236.52      -2.4895  -8.5782e-09   5.5667e+06   3.3742e-09       4.6845   3.1641e-15       0.7005  -4.4458e+06            0    1.324e+07       1.0553       -5.298            0            0            0            0            0            0            0            0            0            0            0            0  
          0        -15.5            0      -1.0925     0.046262    0.0077563     0.038506   8.7281e-17       1.1429     0.003552       1.1394  -1.9536e-16   6.8526e-17  -1.1833e-18    6.971e-17      -23.615      -24.683            0  -1.2437e+06        52666  -2.9012e+05   9.9362e-11  -1.2102e+06   -3.354e+05   1.6923e-10  -1.2094e+06            0            0            0       236.31            0       236.52      -2.4248  -7.5184e-09   5.3878e+06   2.6372e-09       4.6757   3.2756e-15      0.69995  -4.3021e+06            0   1.2456e+07       1.0542      -5.1081            0            0            0            0            0            0            0            0            0            0            0            0  
