A320-Wing_Xac
T1-236.5 m/s-LLT-x4.0m
Freestream speed = 236.519 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0       -1.621      0.10503     0.011526     0.093506            0    -0.097892     0.001312    -0.099204   3.6472e-18   -7.144e-19   2.4817e-20  -7.3922e-19      -15.434       -19.65            0  -1.8454e+06   1.1957e+05  -5.3114e+05            0  -1.7705e+06            0            0            0            0            0            0       236.02            0       236.52      -3.7072   1.4036e-10  -4.6147e+05  -2.7494e-11       4.3324            0            0    -6.28e+06            0    2.828e+07      0.95583      -7.0229            0            0            0            0            0            0            0            0            0            0            4            0  
          0        -19.5            0      -1.5791       0.1001     0.011109     0.088988            0    -0.095712    0.0012605    -0.096973  -3.5883e-18  -7.2801e-19   3.5847e-20  -7.6386e-19      -15.776      -19.825            0  -1.7977e+06   1.1395e+05   -5.046e+05            0  -1.7284e+06            0            0            0            0            0            0       236.05            0       236.52      -3.6269   -1.381e-10  -4.5119e+05  -2.8017e-11       4.3351            0            0  -6.1204e+06            0   2.6952e+07      0.95312      -6.8458            0            0            0            0            0            0            0            0            0            0            4            0  
          0          -19            0      -1.5376     0.095069     0.010723     0.084345            0    -0.093901    0.0012129    -0.095114   1.4706e-18  -6.9815e-19            0  -6.9815e-19      -16.173      -20.055            0  -1.7504e+06   1.0823e+05  -4.7909e+05            0  -1.6863e+06            0            0            0            0            0            0       236.07            0       236.52      -3.5381   5.6597e-11  -4.4266e+05  -2.6868e-11       4.3365            0            0    -5.96e+06            0   2.5598e+07      0.95334      -6.6677            0            0            0            0            0            0            0            0            0            0            4            0  
          0        -18.5            0      -1.4957     0.090147     0.010362     0.079785            0    -0.092145    0.0011684    -0.093314   8.8238e-19  -5.7173e-19    3.217e-21  -5.7495e-19      -16.591      -20.291            0  -1.7027e+06   1.0262e+05  -4.5414e+05            0  -1.6435e+06            0            0            0            0            0            0       236.09            0       236.52      -3.4492   3.3958e-11  -4.3438e+05  -2.2003e-11       4.3374            0            0  -5.7979e+06            0   2.4273e+07      0.95364      -6.4873            0            0            0            0            0            0            0            0            0            0            4            0  
          0          -18            0      -1.4537     0.085365     0.010025      0.07534            0    -0.090298    0.0011268    -0.091425  -4.6472e-18  -7.6276e-19   2.5736e-20   -7.885e-19      -17.029      -20.531            0  -1.6549e+06        97181  -4.2982e+05            0  -1.6004e+06            0            0            0            0            0            0       236.11            0       236.52      -3.3608  -1.7885e-10  -4.2567e+05  -2.9355e-11       4.3385            0            0  -5.6361e+06            0   2.2985e+07      0.95399      -6.3067            0            0            0            0            0            0            0            0            0            0            4            0  
          0        -17.5            0      -1.4116     0.080716    0.0097073     0.071009            0    -0.088343    0.0010877    -0.089431   -7.059e-19  -7.8729e-19   4.2281e-20  -8.2957e-19      -17.488      -20.778            0   -1.607e+06        91888  -4.0613e+05            0  -1.5569e+06            0            0            0            0            0            0       236.13            0       236.52      -3.2727  -2.7167e-11  -4.1646e+05  -3.0299e-11       4.3398            0            0  -5.4746e+06            0   2.1733e+07       0.9544       -6.126            0            0            0            0            0            0            0            0            0            0            4            0  
          0          -17            0      -1.3691      0.07618    0.0094029     0.066778            0    -0.086443    0.0010506    -0.087493  -1.5295e-18  -6.4761e-19  -1.5166e-20  -6.3244e-19      -17.972       -21.03            0  -1.5587e+06        86725  -3.8301e+05            0  -1.5128e+06            0            0            0            0            0            0       236.15            0       236.52      -3.1847  -5.8861e-11   -4.075e+05  -2.4923e-11       4.3408            0            0  -5.3117e+06            0   2.0512e+07      0.95478      -5.9431            0            0            0            0            0            0            0            0            0            0            4            0  
          0        -16.5            0      -1.3263     0.071756    0.0091161      0.06264            0     -0.08462    0.0010156    -0.085636  -1.7353e-18  -6.1001e-19   1.0111e-20  -6.2012e-19      -18.483      -21.286            0  -1.5098e+06        81689  -3.6044e+05            0  -1.4679e+06            0            0            0            0            0            0       236.17            0       236.52      -3.0969  -6.6784e-11  -3.9891e+05  -2.3476e-11       4.3411            0            0  -5.1469e+06            0   1.9321e+07      0.95508      -5.7575            0            0            0            0            0            0            0            0            0            0            4            0  
          0          -16            0       -1.283     0.067448    0.0088431     0.058605            0    -0.082878    0.0009827    -0.083861  -1.2942e-18  -5.1001e-19   1.9762e-20  -5.2977e-19      -19.022      -21.546            0  -1.4606e+06        76784  -3.3846e+05            0  -1.4224e+06            0            0            0            0            0            0       236.19            0       236.52      -3.0093  -4.9805e-11   -3.907e+05  -1.9628e-11       4.3409            0            0  -4.9802e+06            0   1.8161e+07      0.95533      -5.5694            0            0            0            0            0            0            0            0            0            0            4            0  
          0        -15.5            0      -1.2394     0.063255    0.0085796     0.054675            0    -0.081204    0.0009515    -0.082155   1.6471e-18  -3.9833e-19   4.1361e-21  -4.0246e-19      -19.593      -21.813            0  -1.4109e+06        72010  -3.1707e+05            0  -1.3762e+06            0            0            0            0            0            0       236.21            0       236.52      -2.9217   6.3389e-11   -3.828e+05   -1.533e-11         4.34            0            0   -4.812e+06            0   1.7032e+07      0.95554      -5.3789            0            0            0            0            0            0            0            0            0            0            4            0  
