T75_HTP&VTP_detail
T1-20.0 m/s-LLT-x0.155m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -12            0     -0.89363     0.075636     0.022276      0.05336            0     0.028337    0.0086006     0.019737     9.63e-18   4.6611e-19   1.6474e-19   3.0138e-19      -11.815      -11.169            0      -74.057       6.2681      -11.072            0      -73.358            0            0            0            0            0            0       19.929      -6.7491           20      -4.8379   1.0423e-15      0.60823   5.0448e-17     0.062393            0            0      -10.955        -7945       125.36      0.94472    -0.055756            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0        -11.5            0     -0.86819     0.071325     0.021062     0.050262            0     0.029413    0.0081322     0.021281   2.9471e-18   2.4588e-19   1.6474e-19    8.114e-20      -12.172      -11.342            0      -71.949       5.9108      -10.263            0      -71.335            0            0            0            0            0            0       19.933      -6.6461           20      -4.6965   3.1897e-16      0.63132   2.6611e-17     0.063313            0            0      -10.628      -7823.8       118.22      0.94666    -0.054967            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0          -11            0     -0.84206      0.06716     0.020015     0.047145            0     0.030419    0.0077277     0.022691   5.8527e-18   2.0774e-19   1.4398e-19   6.3752e-20      -12.538      -11.505            0      -69.783       5.5657        -9.48            0      -69.246            0            0            0            0            0            0       19.937      -6.5516           20      -4.5601   6.3344e-16      0.65291   2.2483e-17      0.06424            0            0      -10.288      -7712.6       111.31      0.94941    -0.054094            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0        -10.5            0     -0.81508     0.062994     0.018948     0.044046            0     0.031219    0.0073158     0.023903   6.6829e-18   2.9023e-19  -2.8537e-20   3.1876e-19      -12.939      -11.682            0      -67.548       5.2204      -8.7206            0      -67.082            0            0            0            0            0            0       19.941      -6.4527           20      -4.4193   7.2329e-16      0.67008   3.1411e-17     0.065152            0            0      -9.9402      -7596.2       104.41      0.95215    -0.053104            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0          -10            0     -0.78714     0.058901     0.017946     0.040955            0     0.031778    0.0069291     0.024849   5.8112e-18   2.8945e-19    2.257e-19   6.3752e-20      -13.364      -11.857            0      -65.232       4.8813       -7.985            0      -64.831            0            0            0            0            0            0       19.944      -6.3576           20      -4.2794   6.2895e-16      0.68209   3.1328e-17     0.066026            0            0      -9.5791      -7484.2       97.626      0.95501    -0.051972            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -9.5            0     -0.75849     0.055035     0.017137     0.037898            0     0.032254    0.0066164     0.025638   6.2678e-18   3.8533e-19   1.2453e-19   2.6081e-19      -13.782      -12.003            0      -62.858       4.5609      -7.2769            0      -62.514            0            0            0            0            0            0       19.948        -6.28           20        -4.15   6.7837e-16       0.6923   4.1705e-17     0.066904            0            0      -9.2049      -7392.9       91.217      0.95827    -0.050746            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -9            0      -0.7279     0.051161      0.01639     0.034771            0     0.032187    0.0063282     0.025859   5.8527e-18   5.0737e-19   1.7122e-19   3.3615e-19      -14.228      -12.139            0      -60.323       4.2398      -6.5905            0      -60.031            0            0            0            0            0            0       19.951      -6.2098           20      -4.0204   6.3344e-16      0.69086   5.4913e-17     0.067654            0            0      -8.8035      -7310.2       84.796      0.96191    -0.049245            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -8.5            0     -0.69437     0.047181     0.015643     0.031539            0     0.031278    0.0060396     0.025238   6.3508e-18    2.445e-19   1.5177e-19   9.2731e-20      -14.717      -12.264            0      -57.544         3.91      -5.9206            0      -57.298            0            0            0            0            0            0       19.954      -6.1466           20      -3.8872   6.8735e-16      0.67134   2.6462e-17      0.06818            0            0      -8.3691      -7235.7         78.2      0.96504    -0.047342            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -8            0     -0.65517      0.04299     0.014924     0.028066            0     0.028798    0.0057621     0.023036   7.4715e-18   3.6643e-19    1.375e-19   2.2893e-19       -15.24      -12.336            0      -54.295       3.5627      -5.2531            0      -54.091            0            0            0            0            0            0       19.957      -6.1107           20      -3.7542   8.0865e-16      0.61813   3.9659e-17     0.068195            0            0      -7.8863      -7193.5       71.254      0.96544    -0.044679            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -7.5            0     -0.61354     0.038865     0.014242     0.024624            0     0.025733    0.0054988     0.020234  -3.3207e-19   3.3861e-19   1.6474e-19   1.7387e-19      -15.786      -12.365            0      -50.846       3.2209      -4.6136            0      -50.677            0            0            0            0            0            0        19.96       -6.096           20      -3.6246   -3.594e-17      0.55233   3.6648e-17     0.067957            0            0      -7.3843      -7176.2       64.417      0.96504    -0.041695            0            0            0            0            0            0            0            0            0          120        0.155            0  
