T75_HTP&VTP
HTP&VTP_T75_T1-29.5 m/s-LLT-x1.5m
Freestream speed = 29.500 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -12            0     -0.89464     0.074484     0.021119     0.053365            0     0.045216     0.008154     0.037062   8.9658e-18   7.1831e-19   3.1261e-19    4.057e-19      -12.011      -11.361            0      -119.69       9.9651      -17.902            0      -118.56            0            0            0            0            0            0       29.398            0         29.5      -4.7593   1.5666e-15       1.5668   1.2551e-16       0.0624            0            0      -17.685            0       293.97      0.94676    -0.055825            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0        -11.5            0     -0.86903     0.070135     0.019924      0.05021            0     0.045704    0.0076928     0.038011   3.7358e-18   1.0202e-18   2.9575e-19   7.2446e-19      -12.391      -11.551            0      -116.27       9.3833      -16.597            0      -115.27            0            0            0            0            0            0       29.404            0         29.5      -4.6141   6.5275e-16       1.5837   1.7826e-16     0.063297            0            0      -17.145            0       276.81      0.94947    -0.055007            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0          -11            0     -0.84295     0.065998     0.018889     0.047109            0     0.046189    0.0072929     0.038896   7.5545e-18   3.5594e-19   6.6154e-20   2.8978e-19      -12.772      -11.727            0      -112.78       8.8298      -15.332            0      -111.91            0            0            0            0            0            0        29.41            0         29.5      -4.4768     1.32e-15       1.6005   6.2193e-17     0.064215            0            0      -16.601            0       260.48      0.95216     -0.05413            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0        -10.5            0     -0.81548     0.061965     0.018034     0.043931            0     0.046355     0.006963     0.039392   1.9924e-18   1.5179e-19   6.4857e-20   8.6935e-20       -13.16      -11.884            0       -109.1       8.2903      -14.103            0      -108.35            0            0            0            0            0            0       29.415            0         29.5      -4.3454   3.4813e-16       1.6063   2.6522e-17     0.065078            0            0      -16.017            0       244.56      0.95556     -0.05307            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0          -10            0     -0.78722     0.057982     0.017197     0.040785            0     0.046315    0.0066397     0.039675   5.2301e-18   1.6976e-19   1.4658e-19   2.3183e-20      -13.577      -12.046            0      -105.32       7.7573      -12.915            0      -104.67            0            0            0            0            0            0        29.42            0         29.5      -4.2124   9.1384e-16       1.6049   2.9662e-17     0.065919            0            0      -15.417            0       228.84      0.95918    -0.051893            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0         -9.5            0     -0.75687     0.053914     0.016358     0.037556            0     0.045597     0.006316     0.039281   3.3207e-18  -9.0688e-20   1.0637e-19  -1.9705e-19      -14.038      -12.213            0      -101.26       7.2131      -11.757            0       -100.7            0            0            0            0            0            0       29.425            0         29.5      -4.0745   5.8022e-16         1.58  -1.5846e-17     0.066614            0            0      -14.768            0       212.79      0.96288    -0.050418            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0           -9            0     -0.72269     0.049738     0.015584     0.034155            0     0.043751    0.0060169     0.037734   7.0149e-18    3.452e-19   9.5988e-20   2.4921e-19       -14.53      -12.352            0      -96.688       6.6545      -10.612            0      -96.212            0            0            0            0            0            0        29.43            0         29.5      -3.9371   1.2257e-15        1.516   6.0317e-17     0.067007            0            0       -14.05            0       196.31      0.96529    -0.048425            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0         -8.5            0     -0.68229     0.045327     0.014907     0.030421            0     0.040076    0.0057555      0.03432   9.0489e-18   3.6966e-19   1.8419e-19   1.8546e-19      -15.053      -12.434            0      -91.283       6.0643      -9.4673            0      -90.882            0            0            0            0            0            0       29.435            0         29.5      -3.8008   1.5811e-15       1.3887   6.4589e-17     0.066851            0            0      -13.255            0        178.9        0.966    -0.045612            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0           -8            0     -0.64048     0.041051     0.014233     0.026818            0       0.0361    0.0054954     0.030605   3.9433e-18   2.2923e-19   1.3361e-19   9.5629e-20      -15.602      -12.486            0      -85.689       5.4922      -8.3726            0      -85.354            0            0            0            0            0            0        29.44            0         29.5      -3.6673   6.8901e-16       1.2509   4.0054e-17     0.066532            0            0      -12.441            0       162.02      0.96559    -0.042612            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0         -7.5            0     -0.59818     0.037038     0.013625     0.023414            0     0.032142    0.0052605     0.026882    4.815e-18   1.7075e-19   1.5047e-19   2.0285e-20       -16.15      -12.491            0       -80.03       4.9553      -7.3403            0      -79.754            0            0            0            0            0            0       29.444            0         29.5      -3.5432   8.4132e-16       1.1138   2.9835e-17     0.066127            0            0      -11.625            0       146.18      0.96471    -0.039556            0            0            0            0            0            0            0            0            0            0         0.15            0  
