T120_wing
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0    -0.028779     0.088074     0.088046   2.8167e-05            0    -0.084142            0    -0.084142  -1.4263e-20   2.6422e-19   2.6452e-19   -2.942e-22     -0.32676    -0.055433            0      -85.306       261.07      -20.556            0      -82.793            0            0            0            0            0            0       14.567      -533.18         46.9      -71.905  -2.2095e-16         -105    4.093e-15      0.25302            0            0      -53.164  -6.2766e+05        12244      0.75401   -0.0072817            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -13.5            0    -0.011019     0.081567     0.081562   4.4632e-06            0    -0.089832            0    -0.089832  -1.4652e-19   1.9714e-19   1.9709e-19   5.3041e-23      -0.1351    -0.014181            0      -32.663       241.78      -7.6122            0      -31.764            0            0            0            0            0            0        6.279      -2084.1         46.9      -82.306  -2.2697e-15       -112.1   3.0539e-15     0.075831            0            0       -20.06  -2.4535e+06        11339      0.69764   -0.0008356            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -13            0     0.014769     0.077822     0.077817   5.3599e-06            0     -0.09458            0     -0.09458  -4.2141e-20   2.5935e-19   2.5933e-19    2.546e-23      0.18978     0.023063       8.2286       43.778       230.68       9.8634            0       42.652            0            0            0            0            0            0       8.7445       1281.5         46.9       79.254   -6.528e-16      -118.03   4.0176e-15     -0.18935            0            0       27.075   1.5086e+06        10819       1.0435   -0.0027965            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -12.5            0     0.041289     0.073307     0.073259   4.7886e-05            0     -0.10199            0     -0.10199  -1.7894e-19   3.5785e-19   3.5787e-19  -2.2631e-23      0.56323      0.11445       4.9213       122.39        217.3       26.628            0       119.46            0            0            0            0            0            0       23.016       258.25         46.9        60.61  -2.7719e-15      -127.28   5.5434e-15       43.942            0            0       75.478   3.0401e+05        10191      0.91289       1.8143            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     0.064515      0.06876     0.068637   0.00012304            0      -0.1081            0      -0.1081  -2.4896e-19   3.5289e-19   3.5269e-19   2.0368e-22      0.93826      0.23832        3.937       191.23       203.82       40.116            0       186.98            0            0            0            0            0            0       32.091       124.02         46.9       46.824  -3.8565e-15       -134.9   5.4665e-15       11.309            0            0       118.43     1.46e+05         9559      0.86743      0.72961            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.14955     0.016148     0.015474   0.00067463            0     -0.13784            0     -0.13784   2.6257e-18   -5.385e-19  -5.1347e-19   -2.503e-20      -9.2609      -3.5813            0      -443.28       47.866      -71.191            0      -437.54            0            0            0            0            0            0       46.629      -8.2529         46.9       -6.163   4.0674e-14      -172.02  -8.3418e-15     -0.32286            0            0       -261.5      -9715.3       2244.9      0.85007     0.048282            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.10676     0.014896     0.014484   0.00041219            0      -0.1389            0      -0.1389   2.5959e-18  -5.6386e-19  -5.2384e-19  -4.0011e-20       -7.167      -2.3418            0      -316.46       44.155      -48.298            0      -312.75            0            0            0            0            0            0        46.45      -12.621         46.9      -7.9431   4.0212e-14      -173.33  -8.7345e-15     -0.64853            0            0       -184.3       -14858       2070.8      0.70908     0.069238            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.063605     0.013982     0.013764   0.00021788            0     -0.14015            0     -0.14015   2.6789e-18  -5.0199e-19  -4.4605e-19  -5.5943e-20       -4.549      -1.1473            0      -188.54       41.446      -27.229            0      -186.56            0            0            0            0            0            0       45.806      -25.762         46.9      -12.398   4.1498e-14       -174.9  -7.7762e-15      -1.8092            0            0      -107.05       -30328       1943.8      0.47614      0.11507            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0    -0.020433     0.013155     0.013029   0.00012592            0     -0.14139            0     -0.14139   2.4169e-18  -4.8674e-19  -4.2011e-19  -6.6625e-20      -1.5532     -0.22202            0      -60.567       38.995      -8.0597            0      -60.029            0            0            0            0            0            0       39.434      -133.12         46.9      -32.775    3.744e-14      -176.44  -7.5399e-15       -3.381            0            0      -29.878  -1.5671e+05       1828.9     0.085023     0.069083            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.018093     0.010811     0.010804   7.0402e-06            0     -0.14329            0     -0.14329  -9.0765e-20   3.6312e-20   3.6306e-20   5.6577e-24       1.6736      0.22512       7.4343       53.632       32.046        7.021            0        53.17            0            0            0            0            0            0        40.26       131.29         46.9       30.859   -1.406e-15      -178.81    5.625e-16       2.8936            0            0       32.435   1.5456e+05         1503       1.1924     0.052354            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0     0.061319     0.010045    0.0099457   9.9778e-05            0     -0.14452            0     -0.14452  -3.9159e-19   2.7328e-20   2.6581e-20   7.4681e-22       6.1042       1.5116       4.0383       181.76       29.776       22.445            0       180.37            0            0            0            0            0            0       46.283       19.553         46.9       9.3037   -6.066e-15      -180.35   4.2333e-16       1.3626            0            0       110.01        23018       1396.5      0.96632     0.083555            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -6.5            0      0.10627    0.0097516    0.0094449   0.00030673            0     -0.14603            0     -0.14603  -3.2157e-19   3.4526e-20   3.5658e-20  -1.1315e-21       10.897       3.5523       3.0676       314.99       28.906       36.561            0       312.86            0            0            0            0            0            0       46.704       8.3202         46.9       5.2431  -4.9813e-15      -182.24   5.3484e-16      0.72531            0            0       190.28       9794.5       1355.7      0.94406     0.077075            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -6            0      0.15172    0.0097127    0.0090787   0.00063403            0     -0.14766            0     -0.14766  -1.8153e-19    5.087e-20   5.1866e-20  -9.9575e-22        15.62       6.0842       2.5674       449.71        28.79       48.877            0       447.05            0            0            0            0            0            0       46.804       4.8578         46.9        3.663   -2.812e-15      -184.26   7.8802e-16      0.52345            0            0       271.55       5718.6       1350.3      0.93091     0.079415            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -5.5            0      0.19724    0.0098248    0.0087458     0.001079            0     -0.14929            0     -0.14929  -4.1493e-19   3.5961e-20   3.3064e-20   2.8967e-21       20.076       8.9161       2.2517       584.66       29.122        59.22            0       581.66            0            0            0            0            0            0       46.842       3.3149         46.9       2.8516  -6.4275e-15       -186.3   5.5707e-16      0.41817            0            0       353.02       3902.3       1365.8       0.9246     0.082481            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -5            0      0.24257     0.010102    0.0084623    0.0016396            0     -0.15085            0     -0.15085  -8.9209e-19   2.8164e-20   2.8526e-20  -3.6209e-22       24.012       11.826       2.0304       719.01       29.944       67.507            0       715.85            0            0            0            0            0            0       46.859       2.4992         46.9       2.3848  -1.3819e-14      -188.25   4.3628e-16      0.35747            0            0       434.22       2942.1       1404.4      0.92021     0.086709            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -4.5            0      0.28788     0.010533    0.0082169    0.0023162            0     -0.15241            0     -0.15241  -9.9582e-19   1.8953e-20   1.7505e-20   1.4484e-21       27.331       14.664       1.8638       853.33       31.222       73.796            0       850.16            0            0            0            0            0            0       46.869       2.0155         46.9       2.0954  -1.5426e-14      -190.19    2.936e-16      0.31536            0            0       515.28       2372.6       1464.3      0.91753     0.090785            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -4            0      0.33348     0.011067    0.0079533    0.0031135            0     -0.15405            0     -0.15405  -1.0996e-18   4.1686e-20   4.6031e-20  -4.3451e-21       30.133       17.401       1.7317       988.48       32.804        78.16            0       985.43            0            0            0            0            0            0       46.874       1.6985         46.9       1.9007  -1.7033e-14      -192.24   6.4574e-16       0.2851            0            0       596.84       1999.5       1538.5       0.9159     0.095073            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -3.5            0      0.37877     0.011692    0.0076677    0.0040244            0     -0.15563            0     -0.15563    -6.95e-19   3.8858e-20   3.3064e-20   5.7935e-21       32.395       19.937       1.6249       1122.7       34.657       80.448            0       1119.9            0            0            0            0            0            0       46.878       1.4825         46.9       1.7681  -1.0766e-14      -194.22   6.0194e-16      0.26239            0            0          678       1745.2       1625.4      0.91411     0.099386            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -3            0      0.42391     0.012553    0.0075048    0.0050486            0     -0.15718            0     -0.15718  -4.0455e-19   3.6796e-20   2.5933e-20   1.0863e-20       33.769       21.986       1.5359       1256.5        37.21       80.707            0         1254            0            0            0            0            0            0       46.879       1.3443         46.9       1.6962  -6.2668e-15      -196.15   5.6999e-16      0.24454            0            0       758.84       1582.5       1745.2      0.91273      0.10366            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -2.5            0      0.46958     0.013534    0.0073358     0.006198            0      -0.1589            0      -0.1589  -9.9582e-19   5.2962e-20   3.6306e-20   1.6656e-20       34.697       23.776       1.4593       1391.9       40.117       79.069            0       1389.8            0            0            0            0            0            0       46.881       1.2431         46.9       1.6509  -1.5426e-14       -198.3   8.2043e-16      0.23013            0            0        840.4       1463.4       1881.5      0.91229      0.10807            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -2            0      0.51443     0.014691    0.0072405    0.0074506            0     -0.16041            0     -0.16041  -1.9502e-18   2.8105e-20   2.5933e-20   2.1725e-21       35.016       25.115       1.3942       1524.9       43.547       75.288            0       1523.2            0            0            0            0            0            0       46.881       1.1768         46.9       1.6358  -3.0209e-14      -200.18   4.3537e-16      0.21835            0            0       921.05       1385.4       2042.4       0.9108      0.11233            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -1.5            0       0.5585     0.015954    0.0071563     0.008798            0     -0.16172            0     -0.16172  -3.9418e-19   1.0761e-21    1.556e-20  -1.4484e-20       35.006       26.161       1.3381       1655.5       47.291       69.406            0       1654.2            0            0            0            0            0            0       46.881       1.1298         46.9       1.6363  -6.1061e-15      -201.82   1.6669e-17      0.20846            0            0       1000.5         1330         2218      0.90914      0.11643            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -1            0       0.6013     0.017354    0.0071297     0.010224            0     -0.16271            0     -0.16271  -1.4315e-18   5.1866e-20   5.1866e-20            0        34.65       26.868       1.2896       1782.3       51.439       61.407            0       1781.5            0            0            0            0            0            0        46.88          1.1         46.9       1.6531  -2.2175e-14      -203.05   8.0344e-16      0.19998            0            0       1078.1         1295       2412.5      0.90682      0.12025            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -0.5            0      0.64207     0.018905    0.0072078     0.011698            0     -0.16317            0     -0.16317  -1.2655e-18   6.3246e-20   2.2691e-20   4.0554e-20       33.962       27.214        1.248       1903.2       56.039       51.281            0       1902.8            0            0            0            0            0            0        46.88       1.0861         46.9       1.6865  -1.9604e-14      -203.63   9.7972e-16      0.19264            0            0       1152.8       1278.5       2628.2      0.90372      0.12369            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            0            0       0.6813     0.020586    0.0073698     0.013216            0     -0.16325            0     -0.16325  -2.6763e-18    4.483e-20   1.2966e-20   3.1864e-20       33.095       27.317       1.2115       2019.5        61.02       39.175            0       2019.5            0            0            0            0            0            0       46.879        1.082         46.9       1.7307  -4.1458e-14      -203.72   6.9446e-16      0.18612            0            0       1224.7       1273.7       2861.8      0.90061       0.1268            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          0.5            0       0.7199      0.02236    0.0075622     0.014798            0      -0.1632            0      -0.1632  -3.6306e-18   2.6747e-20   4.9921e-20  -2.3174e-20       32.195       27.317       1.1786       2133.9        66.28       25.241            0       2134.2            0            0            0            0            0            0       46.877        1.082         46.9       1.7791  -5.6241e-14      -203.66   4.1433e-16       0.1803            0            0       1295.2       1273.7       3108.5      0.89803       0.1298            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            1            0      0.75824     0.024188    0.0077353     0.016452            0     -0.16313            0     -0.16313   -1.141e-18   4.9755e-20   2.6581e-20   2.3174e-20       31.348       27.297       1.1484       2247.6       71.696       9.5347            0       2248.1            0            0            0            0            0            0       46.876       1.0828         46.9       1.8271  -1.7676e-14      -203.57   7.7074e-16      0.17506            0            0       1364.9       1274.6       3362.5      0.89609      0.13273            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          1.5            0      0.79637     0.026078    0.0078994     0.018179            0     -0.16303            0     -0.16303  -9.9582e-19   2.1698e-20   1.8801e-20   2.8967e-21       30.538       27.252       1.1206       2360.6       77.301      -7.9258            0       2361.2            0            0            0            0            0            0       46.875       1.0846         46.9       1.8756  -1.5426e-14      -203.45   3.3612e-16      0.17033            0            0       1434.2       1276.7       3625.4      0.89459      0.13564            0            0            0            0            0            0            0            0            0          120        0.085            0  
