T120_with_T75_b_plusDelta20cm_wing_vs_V
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0    -0.028915     0.088124     0.088098   2.6686e-05            0    -0.084096            0    -0.084096   7.1139e-20   3.8099e-19   3.8101e-19  -2.1044e-23     -0.32811    -0.055793            0       -92.17       280.91      -22.215            0      -89.453            0            0            0            0            0            0       14.622      -510.84         46.9      -71.835   1.2744e-15      -112.86   6.8253e-15       0.2542   1.8458e-16            0      -61.881  -6.0136e+05        13175      0.74704   -0.0073501            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -13.5            0    -0.011101     0.081578     0.081574   4.2478e-06            0    -0.089817            0    -0.089817   3.2856e-20   3.9072e-19   3.9066e-19   5.9844e-23     -0.13607    -0.014337            0      -35.385       260.04      -8.2473            0       -34.41            0            0            0            0            0            0       6.3236        -1988         46.9      -82.251   5.8861e-16      -120.53   6.9996e-15     0.076576   2.2206e-16            0      -23.419  -2.3403e+06        12196      0.69172  -0.00085005            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -13            0      0.01485      0.07781     0.077805   5.0756e-06            0    -0.094595            0    -0.094595  -1.8026e-19   1.6896e-19    1.688e-19   1.5783e-22      0.19085     0.023257       8.2061       47.336       248.03       10.664            0       46.119            0            0            0            0            0            0        8.792       1225.5         46.9       79.195  -3.2293e-15      -126.95   3.0269e-15     -0.19005   9.1067e-16            0       31.553   1.4427e+06        11633        1.036   -0.0028222            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -12.5            0     0.041545     0.073261     0.073215   4.5447e-05            0     -0.10207            0     -0.10207   1.1937e-19   3.3711e-19   3.3761e-19  -4.9454e-22      0.56708      0.11558       4.9062       132.43       233.53       28.804            0       129.26            0            0            0            0            0            0       23.135       246.58         46.9       60.443   2.1384e-15      -136.97   6.0392e-15       44.326  -2.1556e-16            0       88.021   2.9028e+05        10953      0.90557       1.8415            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     0.064872     0.068681     0.068565   0.00011668            0     -0.10819            0     -0.10819  -3.8584e-20    1.787e-19   1.7845e-19   2.5253e-22      0.94454      0.24057       3.9262       206.79       218.93       43.358            0       202.19            0            0            0            0            0            0       32.204       118.47         46.9       46.634  -6.9121e-16      -145.19   3.2014e-15       10.715   4.4621e-17            0       137.99   1.3946e+05        10268      0.86001      0.69509            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.15087     0.016148     0.015499   0.00064841            0     -0.13782            0     -0.13782   2.5911e-18  -5.3497e-19  -5.1123e-19  -2.3738e-20      -9.3432      -3.6291            0      -480.93       51.474      -77.338            0      -474.68            0            0            0            0            0            0       46.634      -7.8534         46.9      -6.1091   4.6419e-14      -184.96  -9.5838e-15     -0.31804   1.2885e-15            0      -305.67      -9245.1       2414.1      0.83709     0.047984            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.10777     0.014889     0.014489   0.00040062            0     -0.13889            0     -0.13889   2.9179e-18  -4.9623e-19  -4.5818e-19  -3.8048e-20      -7.2381      -2.3762            0      -343.54       47.462       -52.48            0      -339.51            0            0            0            0            0            0       46.459      -11.995         46.9      -7.8661   5.2273e-14      -186.39  -8.8897e-15     -0.68839   2.0312e-15            0      -215.47       -14120         2226       0.6913     0.074188            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.064156     0.013976     0.013759    0.0002168            0     -0.14016            0     -0.14016   2.5586e-18  -4.7145e-19   -4.196e-19  -5.1853e-20      -4.5904      -1.1627            0      -204.51       44.551      -29.545            0      -202.36            0            0            0            0            0            0       45.825      -24.513         46.9       -12.29   4.5836e-14      -188.09  -8.4458e-15      -1.8642   2.9919e-15            0      -124.95       -28856       2089.4      0.45271       0.1196            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0     -0.02059     0.013146     0.013017    0.0001295            0      -0.1414            0      -0.1414   2.1317e-18  -4.2525e-19   -3.569e-19  -6.8351e-20      -1.5662     -0.22474            0      -65.633       41.906      -8.7256            0      -65.052            0            0            0            0            0            0        39.53      -126.82         46.9      -32.558   3.8189e-14      -189.77  -7.6182e-15      -3.0013   7.7673e-15            0        -34.7  -1.4929e+05       1965.4     0.078062     0.061797            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.018245     0.010808     0.010801   6.6805e-06            0     -0.14329            0     -0.14329   9.0431e-21   5.0648e-20   5.0641e-20   6.5763e-24       1.6882      0.22803       7.4033        58.16       34.452       7.6125            0        57.66            0            0            0            0            0            0       40.352       124.99         46.9       30.641     1.62e-16       -192.3   9.0733e-16       2.9071  -3.7184e-17            0       37.933   1.4714e+05       1615.8       1.1882     0.053041            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0      0.06191     0.010029    0.0099339   9.5165e-05            0     -0.14454            0     -0.14454  -3.0144e-19   2.7231e-20   2.6526e-20   7.0498e-22        6.173        1.536        4.019       197.35       31.969       24.352            0       195.84            0            0            0            0            0            0       46.296       18.556         46.9       9.2017  -5.4001e-15      -193.97   4.8784e-16       1.3403   3.6528e-16            0       128.79        21844       1499.4      0.96038     0.082979            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -6.5            0      0.10735    0.0097271    0.0094342   0.00029288            0     -0.14607            0     -0.14607   -2.098e-19   2.5321e-20   2.5321e-20            0       11.036       3.6158       3.0521       342.19       31.006       39.664            0       339.88            0            0            0            0            0            0       46.709       7.8823         46.9       5.1776  -3.7585e-15      -196.03   4.5361e-16      0.71641   1.4662e-16            0       222.88       9279.1       1454.2      0.93818     0.076905            0            0            0            0            0            0            0            0            0          120        0.085            0  
